SOS_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,6,0,0,0,21,0,0,0,0,4,5,13,6,0,4,7,8,0,4,5,57,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,10,0,0,3,0,0,0,0,0,9,0,0,6,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,6,20,12,0,11,6,4,4,24,3,90,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,15,0,0,0,0,0,0,0,12
SOS30,0,0,0,10,98,337,1144,1755,252,251,163,216,139,130,107,4607,0,0,5,37,61,264,1148,649,135,155,191,154,78,32,28,2922,17,85,467,946,1087,1218,2455,1735,321,390,476,478,309,134,153,10268,113,347,335,398,2512,3838,16747,10884,3165,3487,3489,4725,1661,243,961,52901,31,284,1079,366,191,710,216,71,21,7,7,12,11,4,89,3092,83,245,284,144,182,191,557,358,82,83,92,145,71,26,81,2615,31,94,288,692,2742,2707,3252,1337,225,236,254,268,142,71,259,12584,1522,2367,1533,1131,1948,1315,2512,1011,216,222,239,345,161,70,371,14965,135,774,980,325,178,120,113,171,24,26,24,16,6,11,166,3063,37,90,229,637,2013,2529,2063,1583,466,388,494,655,518,196,246,12153,156,149,704,798,1292,2491,22622,14963,3548,3815,5071,6057,2201,491,1112,65470,73,279,237,349,648,1157,1871,1008,268,280,299,375,235,40,143,7266,0,18,29,114,514,493,1877,2832
SOS31,0,0,0,0,0,3,30,43,3,0,9,0,4,0,3,104,0,0,0,0,0,19,152,76,11,25,26,21,12,4,0,348,8,23,99,182,190,155,308,233,46,62,39,59,39,18,31,1501,17,39,20,19,70,109,507,376,98,178,238,404,79,20,71,2238,6,56,138,43,15,25,7,10,0,0,3,0,4,0,19,325,7,20,40,11,8,6,35,27,3,18,10,43,15,6,11,269,6,16,42,84,185,188,332,204,34,46,50,68,32,9,47,1335,313,746,482,327,448,208,378,165,23,33,41,49,29,6,109,3363,8,47,77,20,10,9,4,11,0,0,0,0,0,0,19,202,5,9,30,41,54,50,85,84,20,17,22,33,14,0,14,467,24,19,109,65,69,123,1625,1279,346,330,373,518,203,99,133,5329,17,67,53,32,43,95,163,127,38,37,82,98,49,5,33,942,0,0,12,9,21,21,40,82
SOS32,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,17,0,4,23,48,27,31,49,30,4,0,6,4,0,3,3,232,0,12,5,4,10,0,37,18,5,13,5,13,4,0,6,121,3,9,8,11,0,7,0,0,0,4,0,0,0,0,0,44,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,12,0,6,3,10,18,24,39,12,0,5,3,8,7,3,4,146,48,132,82,58,94,46,78,37,8,0,7,3,6,0,16,612,0,8,9,3,0,0,0,5,0,0,0,3,0,0,4,21,0,3,3,4,0,0,6,0,0,0,0,0,0,0,0,28,6,4,23,13,9,10,65,46,12,19,32,15,0,0,6,267,4,10,11,3,0,10,28,8,0,5,5,11,10,0,7,109,0,0,0,6,0,0,4,0
SOS33,0,0,0,0,0,0,5,4,0,3,0,0,0,0,0,14,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,18,0,18,81,112,101,131,179,106,14,11,21,24,11,4,19,829,5,14,21,4,28,31,107,76,28,21,28,27,19,0,16,433,5,28,81,20,5,14,3,3,0,0,0,0,0,0,8,169,6,9,13,7,3,0,5,0,3,0,0,0,0,0,0,49,4,11,28,41,76,71,61,31,6,3,8,15,5,0,26,381,129,308,261,178,376,172,250,107,15,15,16,32,18,0,55,1942,4,21,22,8,7,0,0,0,0,0,0,0,0,0,6,68,0,0,22,14,19,21,27,12,4,3,8,6,6,0,6,160,8,18,47,36,59,52,242,113,14,20,24,35,14,3,16,713,8,40,32,21,25,31,47,40,7,9,21,29,13,0,16,344,0,0,0,4,9,4,6,15
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,6,6,0,0,9,6,3,9,0,46,0,0,0,0,6,0,8,4,6,6,12,24,4,4,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,3,3,0,0,0,0,0,0,3,16,4,4,14,5,4,3,6,12,6,0,7,26,8,3,11,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,4,0,0,0,0,0,0,0,14,0,0,0,0,3,3,6,8,3,0,8,3,6,0,0,48,0,3,0,3,0,0,0,0,0,0,5,8,4,0,0,34,0,0,0,0,0,0,0,0
SOS40,0,0,0,0,31,359,2460,2878,409,389,379,554,151,157,111,7878,0,0,4,3,13,58,680,689,105,145,196,139,99,13,22,2162,3,21,123,224,285,256,456,255,57,68,70,100,64,28,27,2032,23,120,122,248,843,1157,7486,5864,1723,1899,1702,2335,688,77,364,24654,33,343,772,271,131,578,214,24,10,9,3,4,3,0,57,2451,33,208,132,49,97,98,322,240,52,85,63,108,53,9,33,1577,8,21,36,82,237,193,293,90,20,28,35,26,13,3,21,1108,1161,2073,954,457,515,318,564,273,24,54,47,67,48,11,196,6770,90,2489,3162,650,224,117,116,220,28,19,3,26,10,3,238,7393,13,15,64,160,507,535,683,580,234,246,238,318,304,64,87,4039,73,75,378,351,372,825,13122,8418,2626,2946,4626,5634,2282,226,524,42485,13,73,44,84,150,241,449,372,108,95,131,129,76,11,37,2004,0,8,10,27,382,506,1054,1765
SOS41,0,0,0,0,0,14,74,137,15,26,0,13,9,0,8,297,0,0,0,0,0,0,15,28,0,3,16,0,5,0,0,70,0,9,35,58,55,54,88,35,3,20,3,11,9,0,7,377,0,8,13,11,14,23,224,198,59,77,79,75,7,11,23,825,5,64,121,43,16,10,0,5,0,0,0,0,0,0,11,270,6,15,8,0,9,0,15,0,0,8,0,17,8,4,0,92,3,3,8,3,14,17,32,26,3,4,0,13,3,0,7,130,258,622,264,134,159,81,130,42,8,4,10,18,7,0,55,1791,13,126,184,37,14,3,6,8,0,0,0,5,0,0,30,424,6,0,7,10,12,17,21,22,10,12,8,5,10,0,7,139,15,7,42,45,41,59,530,383,81,134,202,197,83,17,34,1865,3,23,7,7,13,19,48,35,10,6,21,28,18,0,3,254,0,0,0,0,11,13,20,21
SOS42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,3,5,8,4,3,5,4,0,0,4,0,0,0,4,43,0,0,0,0,0,0,7,13,8,6,8,11,0,0,0,49,0,5,11,0,0,0,0,0,0,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,7,25,90,45,18,23,13,8,7,0,4,0,0,0,0,8,239,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,10,9,3,3,22,21,11,8,11,17,3,0,0,117,0,0,0,0,0,0,8,4,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
SOS43,0,0,0,0,0,0,8,13,0,3,0,0,0,0,6,32,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,4,10,27,29,24,38,14,0,0,7,6,0,0,7,169,0,8,8,9,8,6,40,25,15,9,5,22,0,0,6,153,0,19,32,9,0,3,0,0,0,0,0,0,0,0,3,76,0,3,6,0,0,0,0,3,0,0,0,0,0,0,0,19,0,3,0,3,11,12,6,3,0,0,0,5,0,0,0,56,66,202,94,59,95,32,50,30,5,3,0,10,8,0,17,673,3,100,130,26,21,5,5,3,0,0,0,0,0,0,26,315,0,0,3,3,10,0,4,10,0,0,0,5,0,0,0,47,4,9,22,29,31,43,102,46,12,15,19,33,7,0,15,389,0,11,0,5,3,11,16,15,4,0,0,15,4,0,10,86,0,0,0,0,5,3,13,6
