SOS_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOS77,42,10,53,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,3,0,3,3,0,3,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,15,0,18,25,0,24,83,15,99
SOS79,541,431,972,165,137,306,82,99,179,91,95,184,122,135,261,28,36,64,65,59,120,7,9,21,108,123,232,8,4,9,0,0,0,509,557,1069,36,46,83,8,3,13,721,747,1469,557,486,1038,1816,1661,3479
SOS80,171418,177844,349258,3163,3284,6448,7191,7310,14503,2215,2099,4317,1540,1513,3050,366,382,752,425,410,837,145,146,288,238,238,473,21920,22529,44448,11,11,23,34056,34643,68697,2336,2351,4688,556,430,986,40117,40699,80821,9125,8365,17486,220663,226905,447565
SOS82,266,272,546,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,29,0,0,0,21,12,34,0,0,0,0,0,6,22,14,38,11,16,26,308,302,610
SOS83,189,179,366,5,0,5,27,11,34,8,0,16,15,5,17,5,0,5,8,0,5,0,0,0,4,0,4,27,16,41,0,0,0,82,36,118,8,3,13,0,3,5,99,43,145,49,33,84,334,262,599
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,78,45,120,17,29,45,22,37,56,19,13,26,12,0,8,0,4,4,0,0,4,0,0,5,0,0,0,70,92,159,0,0,0,127,147,273,12,10,26,5,0,0,153,189,348,98,36,135,331,273,601
SOS91,486,421,908,28,28,53,11,4,17,9,4,6,8,7,15,0,0,0,38,45,86,0,0,0,0,0,0,3,0,4,0,0,0,63,61,131,4,3,10,0,0,0,97,94,191,131,102,234,721,619,1334
SOS92,827,902,1732,51,73,122,40,38,71,7,8,12,36,28,62,0,0,5,22,23,44,0,0,0,9,0,7,5,8,21,0,0,4,114,113,224,13,15,20,0,3,3,181,191,376,163,167,329,1169,1258,2433
SOS93,278,266,541,13,12,23,11,6,14,7,0,6,11,5,13,0,0,0,5,7,14,0,0,0,0,0,0,0,0,0,0,0,0,23,28,51,5,8,14,0,0,0,44,42,86,281,58,337,601,369,971
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,0,0,0,0,0,5,6,4,5,0,8,6,4,11
