SOS_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOS50,4115,1224,12785,6847,4688,3480,2677,3516,387,39725,55,68,97,133,90,114,91,193,30,862,1300,2019,1535,1537,1271,622,1068,852,319,10528,1579,1679,3110,1976,1744,1099,1667,1912,3203,17968,94576,231161,116004,88521,82305,36456,33836,38792,10866,732509
SOS51,777,209,2336,1192,834,682,683,880,92,7676,12,9,17,34,10,28,23,44,3,183,184,250,348,250,165,66,256,175,63,1765,308,280,783,435,294,272,478,595,571,4021,12357,25511,26265,15125,11664,5759,8261,8807,1913,115660
SOS52,97,20,234,100,69,59,77,90,15,762,0,0,0,5,0,6,0,4,0,13,28,19,30,19,13,5,30,27,6,183,77,39,99,84,48,48,106,106,98,704,1787,2568,2675,1794,1267,571,1124,1164,280,13235
SOS53,373,51,640,358,315,177,251,305,28,2500,4,4,6,10,8,9,5,18,3,59,130,92,114,86,43,24,102,55,23,675,407,113,331,156,138,91,240,289,244,1998,10616,9541,9822,4533,4755,1771,3597,4040,840,49508
SOS57,0,0,7,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,8,0,0,4,0,0,0,0,5,0,7,4,33,67,9,3,0,18,60,6,199
SOS59,5,5,22,8,11,3,8,12,0,81,0,0,0,0,0,0,0,3,0,6,0,3,8,4,0,0,3,0,0,23,3,0,9,5,0,0,8,5,11,38,80,233,220,161,97,42,89,176,23,1126
SOS60,438,122,1325,650,448,281,125,356,53,3793,7,7,12,20,6,14,3,13,7,86,176,265,113,163,150,59,68,76,41,1101,143,158,234,231,165,123,92,195,234,1575,9094,22587,9164,10032,7899,3630,2002,4068,1089,69574
SOS61,509,120,1449,817,418,434,225,575,45,4586,3,7,6,14,10,13,0,20,0,61,103,133,112,128,94,52,90,91,32,840,158,132,313,252,186,147,222,341,299,2037,7212,15482,10471,10142,6611,3357,3067,4776,989,62115
SOS62,72,7,180,96,71,64,42,86,7,617,0,0,0,0,0,0,0,0,0,4,20,17,18,20,9,3,11,12,0,120,46,22,46,31,23,24,29,77,42,352,1198,2087,1558,1127,905,401,447,724,146,8604
SOS63,260,51,593,278,199,154,92,227,26,1882,5,4,0,5,4,3,0,8,0,26,110,80,55,61,39,22,44,52,18,479,220,72,206,128,93,90,121,192,111,1238,6255,7665,6071,3987,3224,1355,1639,2591,571,33352
