SOS_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOS43,..,11530,11530,19890,890,20780,6768,84,6852,7195,23,7214,3686,14,3700,1688,6,1696,39222,12548,51767
SOS47,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,..,190056,190056,228914,19008,247920,118499,5376,123871,122607,1801,124404,47193,568,47760,20934,263,21196,538147,217069,755215
SOS51,..,37956,37956,44593,3178,47767,19200,639,19843,19235,178,19417,8467,47,8510,4047,42,4086,95540,42043,137580
SOS52,..,6810,6810,7129,452,7578,2419,42,2464,2258,23,2276,1151,6,1156,912,3,910,13862,7332,21197
SOS53,..,10371,10371,19573,811,20383,6774,103,6879,7206,20,7225,3825,7,3834,2014,24,2035,39395,11339,50741
SOS57,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS59,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,..,22140,22140,23816,2084,25896,11373,884,12257,9965,427,10391,3918,162,4076,1846,76,1924,50921,25767,76686
SOS61,..,28585,28585,30168,2092,32256,12118,396,12513,10093,156,10248,4070,48,4117,1906,19,1925,58353,31293,89650
SOS62,..,3804,3804,4760,244,4999,1568,18,1586,1413,3,1418,514,0,511,259,0,262,8510,4070,12580
SOS63,..,8837,8837,15502,699,16202,5502,90,5593,5246,20,5263,2315,11,2328,1271,9,1279,29836,9656,39495
SOS67,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,..,10068,10068,11576,1685,13260,7101,540,7646,6314,182,6495,2663,60,2721,1520,16,1538,29176,12554,41727
SOS71,..,3546,3546,3352,481,3830,2059,168,2234,1914,59,1970,1029,14,1046,1465,5,1467,9823,4273,14097
SOS72,..,1298,1298,1095,90,1185,605,23,626,656,7,663,528,0,528,1326,0,1327,4211,1421,5629
SOS73,..,1892,1892,2732,200,2936,1273,49,1326,1407,14,1417,774,0,781,844,3,845,7037,2170,9202
SOS77,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SOS79,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,..,43285,43285,50188,4754,54938,25798,2002,27797,26893,746,27636,9917,222,10143,4144,114,4258,116933,51123,168058
SOS82,..,29,29,62,0,64,32,0,32,43,0,43,28,0,28,5,0,5,173,32,203
SOS83,..,26,26,47,0,47,19,3,22,24,0,22,5,0,5,11,0,11,106,33,138
SOS87,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,..,122,122,120,4,121,60,0,60,58,0,58,34,0,34,10,0,10,291,126,416
SOS92,..,302,302,310,19,331,99,0,99,71,0,71,49,0,51,43,0,43,567,319,887
SOS93,..,73,73,71,0,80,23,0,23,34,0,34,13,0,13,13,0,13,155,73,227
SOS97,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
