SOS_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,9,0,0,0,27,0,0,0,17,3,14,4,0,0,38
SOS29,0,0,3,9,5,0,0,0,0,22,0,0,0,4,0,0,0,0,0,4,0,6,3,24,11,3,0,0,0,46,0,0,0,4,0,0,3,0,0,10,0,0,0,0,0,3,0,0,0,6,0,0,0,5,10,7,3,0,0,26,0,3,0,9,3,0,0,0,0,12,0,0,5,12,8,9,0,0,0,28,0,0,0,14,8,4,0,0,0,33,0,0,3,16,0,0,0,0,0,15,0,0,6,8,0,0,0,0,0,13,0,0,0,8,3,3,4,0,0,25,3,6,4,18,9,0,0,0,0,36,0,0,6,13,5,10,3,0,0,38,0,0,0,5,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,5,3,18,32,105,31,18,17,3,3,233,146,300,363,1421,586,371,178,34,11,3416,414,730,1131,3553,1393,1074,613,152,29,9089
SOS30,71,697,746,3265,574,298,171,39,6,5864,41,578,1607,3413,3543,2369,1327,408,152,13456,192,2118,4333,15854,6998,5226,2871,753,180,38524,13,76,96,1547,707,739,1066,454,266,4960,22,355,722,2399,1783,1758,1052,347,51,8480,36,511,865,3043,2788,3671,3545,2410,869,17740,99,648,884,2273,1119,841,654,182,44,6742,186,2402,4864,13626,8215,5502,3288,1377,375,39836,50,533,1066,4077,1765,1460,1073,525,156,10709,151,656,1089,8434,1734,1321,1285,301,52,15026,97,950,1640,5432,1780,809,355,70,15,11157,23,83,81,785,408,304,139,86,17,1929,368,1565,2037,5610,2183,1939,1622,653,127,16109,103,876,2067,7500,4920,3752,2327,713,288,22547,9,192,352,1096,899,822,771,531,166,4833,9,128,718,2735,1583,1360,758,209,54,7561,859,6549,10523,40809,15588,12918,10381,6297,2301,106229,8561,19837,22932,55606,21545,17840,14913,10865,6453,178553,209228,468494,469163,1034108,471471,398262,318021,178459,67791,3614998
SOS31,8,69,30,258,37,36,11,4,0,455,6,106,205,573,617,404,208,33,11,2160,92,993,1196,4075,1820,1274,757,168,28,10401,0,13,9,125,59,80,131,58,20,496,0,17,38,200,68,53,29,15,0,431,0,47,88,351,352,680,891,647,163,3220,3,31,51,118,126,77,74,12,0,491,76,491,719,2063,1383,909,534,229,51,6463,29,102,85,485,167,97,67,38,11,1077,6,42,89,990,27,16,13,0,0,1181,17,159,199,797,412,171,42,13,0,1817,3,3,3,48,37,31,8,11,0,151,25,166,181,650,316,398,424,163,42,2358,9,91,172,655,238,124,56,8,0,1350,0,12,47,150,118,169,156,152,29,831,7,56,157,515,370,335,151,46,9,1650,86,476,708,4000,1558,1646,1674,1188,405,11749,2899,7494,7621,19453,9089,8706,7188,5044,2457,69948,54276,126998,105966,227662,114752,118238,105974,61295,21899,937057
SOS32,0,4,0,7,6,3,6,0,0,22,0,22,21,91,117,118,60,8,0,450,7,47,60,275,140,107,80,17,0,741,0,0,0,13,5,8,22,15,0,51,0,0,0,0,4,4,3,0,0,20,4,6,11,61,62,113,130,77,19,475,3,0,4,7,25,17,14,0,0,65,4,24,59,172,131,136,71,40,4,641,0,0,6,21,7,5,12,0,0,47,0,3,3,31,0,0,0,0,0,40,4,22,12,80,53,23,8,0,0,198,0,0,0,0,5,0,0,0,0,7,5,21,15,80,57,69,91,35,9,376,0,3,6,30,13,5,7,0,0,67,0,0,0,16,22,31,25,5,3,102,0,0,9,24,38,46,46,4,0,174,3,41,59,364,218,330,291,204,30,1541,521,1397,1163,2834,1677,1933,1592,1005,264,12389,7451,18428,13832,29441,18350,22201,19263,9429,2259,140652
SOS33,0,0,9,34,9,20,3,4,0,78,0,18,41,186,313,282,123,19,6,979,16,131,141,649,328,294,188,28,4,1785,0,0,0,58,33,45,63,23,4,227,0,0,7,66,20,15,17,3,0,137,0,27,33,124,200,329,346,157,37,1252,0,20,20,44,60,51,23,13,0,229,10,130,258,755,611,520,252,115,24,2670,0,5,8,44,24,31,46,18,0,167,3,9,16,169,34,36,31,13,0,305,3,61,55,301,160,75,26,3,0,679,0,0,4,11,12,11,3,3,0,39,16,82,93,290,185,279,309,99,18,1366,3,19,25,167,118,92,38,10,0,467,0,4,12,61,64,96,97,47,14,395,0,11,35,141,194,176,110,19,3,693,22,152,291,1568,778,1085,931,531,111,5471,1413,4266,4064,9813,6844,7247,5300,2529,550,42026,20997,57012,46780,93493,67583,74122,58073,25367,5145,448574
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,82,32,8,0,0,0,128,0,0,16,116,45,5,3,0,0,183
SOS39,0,4,5,3,4,4,0,0,0,14,0,10,6,15,7,3,6,0,0,41,0,3,14,20,7,11,4,0,0,61,0,0,0,4,0,0,0,0,0,9,0,0,0,3,0,0,4,0,0,7,3,4,0,11,7,16,13,5,0,64,0,0,0,4,0,0,0,0,0,3,6,0,3,30,13,17,14,3,0,89,0,0,3,7,0,0,0,0,0,9,0,0,0,41,0,0,0,0,0,45,0,0,3,7,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,3,0,7,20,12,16,3,0,0,62,0,0,0,21,0,0,0,3,0,24,0,0,0,3,0,7,0,0,0,13,0,0,0,0,3,6,7,0,0,15,6,17,50,240,31,32,32,7,0,408,67,124,317,1087,430,386,268,51,11,2744,504,932,1495,4724,1929,2468,2124,444,44,14670
SOS40,109,944,975,2712,393,149,82,31,6,5395,3,17,55,181,293,134,61,19,9,776,47,684,1509,5214,2132,1551,851,252,59,12305,5,24,61,909,548,887,1124,470,347,4365,0,9,10,29,28,11,16,3,0,105,17,148,298,955,989,2010,2016,1404,565,8384,27,219,392,884,384,273,277,85,14,2557,51,546,807,2029,1266,748,462,240,54,6208,57,431,511,2406,739,334,218,122,32,4848,14,64,134,987,136,97,61,17,0,1506,30,182,311,1545,460,197,91,14,0,2836,6,29,27,216,107,77,74,50,26,622,88,408,468,1307,512,502,420,207,41,3965,61,537,1595,4935,3229,3065,1863,487,231,15997,5,63,109,315,315,482,382,269,116,2056,8,57,136,455,238,168,81,18,8,1166,299,2699,4491,14090,5898,4879,4279,3098,1578,41300,1874,4219,4933,12759,5475,5142,4651,3722,2181,44954,67086,144379,152601,346165,155078,148698,124690,73023,33293,1245011
SOS41,7,38,28,146,26,9,3,0,0,255,0,3,6,35,79,26,22,6,4,168,24,242,321,972,430,275,165,52,9,2491,0,0,4,59,40,39,71,23,24,270,0,0,0,27,3,0,0,0,0,38,4,26,48,141,219,572,597,444,161,2208,0,20,12,46,31,26,22,5,3,164,9,157,135,422,299,192,119,64,13,1413,6,29,32,228,58,12,23,4,0,395,3,3,12,132,3,12,4,0,0,163,4,84,117,202,95,29,12,0,0,542,0,4,0,13,14,7,20,6,0,65,17,73,59,232,118,151,135,53,6,842,3,50,50,237,118,73,31,4,0,564,0,4,16,52,59,135,104,84,36,481,4,8,36,109,73,52,42,9,4,333,24,167,239,1141,462,554,663,456,210,3906,733,1923,1713,4292,2395,2495,2446,1979,1019,18994,17719,40445,35551,75615,41370,44540,43474,27229,10681,336623
SOS42,0,0,0,3,0,3,0,0,0,11,0,3,0,4,11,11,5,0,0,32,0,27,26,98,42,34,13,3,0,252,0,0,0,4,10,7,11,4,6,45,0,0,0,0,0,0,0,0,0,4,0,0,6,17,13,49,77,46,9,225,0,0,0,7,0,4,3,0,0,11,5,14,16,50,34,17,25,5,0,165,0,0,0,5,0,3,3,0,0,19,0,0,0,24,0,0,0,0,0,30,0,4,0,14,16,7,0,0,0,54,0,0,0,0,0,0,0,3,0,0,0,0,7,20,9,15,24,6,0,80,0,3,0,5,10,0,0,0,0,25,0,3,5,6,10,12,9,12,7,68,0,0,4,4,3,0,0,0,0,16,5,6,27,140,54,83,90,62,29,487,118,363,304,768,544,696,705,393,187,4084,2481,5650,4664,10146,6274,8260,7919,4099,1592,51089
SOS43,0,0,0,5,0,0,0,0,0,8,0,0,5,7,25,20,7,0,0,76,0,39,39,171,74,71,46,7,0,454,0,0,0,14,26,20,20,8,5,98,0,0,0,10,0,0,0,0,0,13,0,8,23,52,74,177,197,102,12,645,0,8,8,10,14,11,5,0,0,60,7,28,60,129,86,65,40,14,0,419,0,0,4,28,14,5,0,0,0,50,0,0,4,20,0,0,4,0,0,36,4,14,23,86,42,8,5,0,0,183,0,0,0,10,9,14,7,0,0,37,7,9,27,65,66,61,66,27,8,335,0,9,13,117,117,106,56,15,0,442,0,0,6,12,27,43,48,25,7,154,0,0,12,28,28,21,14,3,0,114,5,22,64,282,179,282,275,151,43,1299,357,1021,1049,2176,1721,1998,1663,806,231,11032,6812,18167,15122,28862,21437,25136,19900,8239,1738,145402
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
