SOS_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,11,34,59,63,49,44,42,6,0,301,7,33,60,51,50,62,43,19,6,319,9,35,78,49,35,28,18,7,0,257,0,15,72,30,29,19,9,3,0,180,4,18,57,21,23,17,7,0,0,156,0,9,44,16,17,19,5,0,0,113,0,5,28,12,6,12,9,0,0,69,0,0,30,12,5,8,5,0,0,64,0,3,19,7,3,5,0,0,0,41,0,0,21,21,6,6,0,0,0,49,0,0,0,3,0,5,0,0,0,13,0,0,10,11,3,5,0,0,0,22,81,91,297,337,180,119,59,13,8,1184,229,321,878,730,479,429,224,58,19,3373,106,45,102,107,83,80,40,7,6,577,24,20,23,24,31,27,10,5,0,156,77,88,100,98,94,50,24,8,0,544,17,60,144,152,122,113,94,16,7,727,12,50,92,96,110,114,105,42,11,626,15,54,108,86,66,52,40,14,5,442
SOS30,7059,10640,11576,10101,10821,15180,27790,17584,4544,115308,4862,10194,12929,11652,12312,15303,29764,24066,12251,133340,4718,15028,22263,18761,17408,17793,22473,13778,5553,137783,2972,16364,26812,22936,19909,17246,13597,6864,2206,128905,1702,16424,33234,26786,24969,19323,10275,4234,1355,138301,717,12200,34592,28987,26885,20484,8175,2456,811,135312,238,6827,26808,22947,20683,14480,4666,1180,412,98241,94,3141,22527,21353,18996,11949,3471,1147,407,83085,51,1052,13419,16274,15378,9204,2319,583,168,58449,32,784,15368,25524,24346,12625,2725,713,253,82366,17,123,1973,4520,4500,2248,694,260,101,14444,50,164,1760,6690,7498,3780,1463,730,264,22401,6129,8121,17719,14174,11910,9890,9459,9528,9325,96243,109435,123314,269637,261186,242960,207093,167478,96003,42120,1519229,85552,17967,24418,23203,21912,31506,22789,8534,3048,238932,48918,7780,5630,6394,6149,9024,9736,4018,1271,98909,28729,19153,14343,12021,11707,15805,19568,10498,3047,134866,12435,19452,20518,16270,17791,25094,49861,35448,9519,206401,9383,18092,20662,17239,18861,24513,48786,37765,17625,212924,10464,26609,33933,26275,24985,27485,39089,24079,8316,221230
SOS31,1479,1631,2920,2841,3369,5901,11936,7336,1591,39003,1224,1823,3621,3465,3927,5763,10654,8469,4551,43495,1488,2952,5849,5484,5226,5919,6898,4179,1606,39600,980,3606,6756,6104,5991,5278,3957,2082,588,35330,563,3744,7695,6864,6662,5507,2606,1004,355,35005,257,2466,6716,6242,6469,5142,1736,501,168,29704,76,1515,4528,4534,4362,3403,978,237,85,19722,37,745,3697,3766,3797,2625,687,327,128,15814,19,334,2209,2701,2891,1859,409,117,43,10576,17,369,2438,3574,3853,2336,457,122,39,13206,6,41,340,539,524,337,91,47,15,1932,25,48,354,600,702,480,261,135,52,2652,2249,2236,5073,4261,4260,3933,3949,3907,2885,32740,26765,24952,59061,57630,58721,60747,53847,32094,13262,387070,18905,2558,4911,4469,4788,9514,6378,2188,743,54452,11243,1056,1388,1451,1548,2838,2927,1186,346,23982,6879,3269,3859,3506,3745,6134,7099,3517,1000,39004,2681,3016,4991,4524,5748,9976,22094,15201,3576,71809,2498,3122,5256,5040,6172,9372,18715,13897,6615,70687,3290,4987,7995,7326,7444,9273,12845,7540,2417,63118
SOS32,171,275,496,461,648,1249,2154,1031,175,6655,179,244,473,519,665,1086,1732,1177,455,6520,166,346,758,818,849,1039,999,491,135,5593,109,358,825,841,939,946,631,246,51,4953,62,377,835,842,925,925,410,148,34,4565,34,260,708,814,941,902,264,72,17,4006,13,154,501,540,651,550,138,27,9,2582,3,84,364,460,504,392,140,50,5,2019,0,35,228,307,392,273,73,15,0,1324,0,29,223,379,547,358,85,28,3,1646,0,8,33,73,77,54,21,11,0,268,6,5,44,96,95,95,55,10,9,417,455,348,784,715,799,958,847,605,222,5735,3591,3028,7257,7830,9267,11218,9174,4447,1263,57085,2560,357,587,572,803,1866,1167,365,101,8374,1362,133,210,251,290,530,550,192,58,3574,941,568,788,666,891,1378,1336,570,90,7238,322,463,843,803,1153,2179,4221,2294,377,12663,344,426,702,772,1113,1937,3415,2211,711,11625,376,616,1083,1134,1267,1720,2045,1005,225,9477
SOS33,633,643,1132,1412,1886,3260,5374,2460,359,17165,525,625,1223,1541,1978,2953,4367,2476,768,16455,617,1034,1895,2282,2748,3273,2675,1166,284,15969,469,1247,2224,2514,3062,2981,1848,710,115,15171,275,1242,2345,2611,3383,3023,1365,403,60,14707,127,896,2112,2561,3309,2895,1099,288,54,13335,37,398,1440,1772,2302,1822,627,141,15,8551,18,184,1123,1718,2160,1568,516,130,40,7469,8,90,636,1142,1577,1103,331,65,21,4978,7,86,733,1695,2190,1390,380,95,11,6583,0,3,104,327,444,280,108,41,6,1315,8,20,130,457,747,513,261,95,12,2244,1349,1100,2387,2586,3185,3278,2653,1428,355,18314,12901,9058,20340,25889,33453,35907,26694,11227,2454,177913,8901,1084,1885,2262,3572,6281,4140,1299,290,29719,5618,529,687,822,1119,1999,1812,700,158,13448,2867,1262,1543,1629,2181,3862,4030,1710,334,19420,1180,1168,1856,2212,3222,5867,10799,5657,902,32883,1177,1099,1894,2364,3257,5291,8893,4947,1299,30219,1609,1811,2737,3154,4103,5460,5595,2565,561,27594
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,5,0,0,0,0,0,24,0,9,13,7,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS39,25,52,83,93,111,181,229,42,5,804,16,30,63,68,83,117,167,38,8,589,10,46,127,79,76,94,85,14,3,538,5,46,120,53,44,70,66,11,0,415,3,50,159,54,57,63,34,6,0,427,0,26,110,53,38,47,20,0,0,298,0,12,52,28,28,37,6,5,0,170,0,7,48,33,20,23,4,0,0,135,0,0,33,17,16,15,4,0,0,81,0,0,26,27,13,10,0,0,0,88,0,3,6,7,9,3,0,0,0,24,0,0,9,14,10,9,0,6,0,41,53,122,325,207,187,175,113,26,3,1213,291,493,1345,885,887,1170,870,160,25,6127,182,57,176,136,161,307,115,22,6,1149,50,27,47,32,38,80,33,8,0,309,104,104,157,168,172,203,147,28,0,1085,41,99,185,229,232,334,490,119,4,1729,29,59,118,148,183,237,416,97,16,1303,26,64,192,133,128,201,226,35,0,1013
SOS40,2007,4124,4630,3906,4371,6782,11690,7827,2466,47804,1308,3590,4728,4442,4655,6682,12675,11145,6987,56201,1093,5071,8114,6754,6116,6714,8482,5519,3010,50874,553,4459,8642,7725,6651,6268,5610,2889,1303,44097,281,4468,10694,8974,7931,6939,3999,1792,794,45874,153,3777,12159,10222,9216,7747,3161,1027,385,47849,43,2012,9084,7704,6901,5380,1774,522,189,33609,27,794,7090,6777,5984,4335,1339,467,214,27032,14,240,3924,4946,4689,3105,813,244,99,18078,16,154,3907,6846,6803,4257,1095,330,117,23530,9,39,491,1126,1158,711,247,102,45,3929,17,67,438,1565,1940,1305,589,281,142,6338,1448,1788,3903,3266,2907,2726,2937,3141,3076,25197,33732,40690,89419,84854,78507,77213,66473,40379,20793,532069,29366,7683,9305,7578,6769,11013,7786,2725,1327,83549,15398,3847,2432,2346,2235,3674,4026,1530,429,35905,9866,9070,6497,5226,5183,7136,7926,4178,1470,56558,3557,7786,8434,6794,7795,11634,20802,15214,5096,87107,2566,6783,7927,6921,7830,11151,20483,16824,9915,90401,2665,9505,12971,9735,9133,10640,14719,9425,4364,83155
SOS41,498,661,1071,1008,1223,2235,4842,3082,811,15419,409,723,1301,1179,1491,2305,4511,3994,2261,18181,439,1116,2011,1944,1963,2341,2937,1985,963,15696,267,1127,2306,2139,2241,2082,1889,1145,404,13594,139,1190,2486,2355,2411,2123,1155,539,185,12587,65,842,2374,2227,2514,2116,829,267,112,11327,11,468,1579,1544,1761,1350,450,134,52,7340,11,183,1227,1197,1412,1040,335,179,60,5658,7,82,723,875,1022,692,190,48,15,3653,3,58,622,1163,1425,860,236,65,27,4460,4,11,66,161,192,114,59,25,4,644,3,25,88,201,264,211,103,73,32,1013,601,448,1107,1003,1134,1197,1375,1459,1054,9389,8914,8286,19224,19093,21310,22924,22586,14636,6494,143460,6548,898,1425,1262,1444,3066,2168,752,288,17846,4153,427,517,511,608,1058,1211,521,146,9158,2389,1417,1558,1300,1487,2422,2768,1496,412,15246,885,1272,1827,1670,2230,3820,8814,6320,1694,28528,848,1264,2003,1841,2390,3853,7599,6363,3351,29518,1089,1944,2813,2606,2784,3606,5411,3479,1443,25174
SOS42,66,107,190,180,236,432,851,480,109,2660,43,99,193,172,226,409,754,563,302,2755,45,119,289,284,303,401,424,222,127,2216,29,121,263,323,327,391,303,136,44,1936,18,140,312,320,352,374,175,62,22,1778,11,75,272,233,324,330,132,39,11,1433,0,52,180,170,227,222,69,14,3,943,0,24,140,129,168,158,48,34,6,708,5,7,73,99,119,102,34,11,4,452,0,8,61,128,156,147,43,10,4,554,0,0,13,8,20,27,10,7,0,85,0,3,10,18,27,37,24,14,7,132,140,98,195,205,261,309,342,267,233,2060,1205,1035,2555,2624,3153,4133,3821,2067,949,21547,879,122,173,153,233,559,389,109,56,2673,505,63,83,92,108,195,204,62,26,1343,304,219,310,278,277,532,529,229,72,2744,121,176,321,294,443,781,1607,1035,250,5034,110,159,280,267,384,729,1435,968,461,4793,117,215,416,381,451,654,864,446,184,3727
SOS43,183,240,382,435,619,1009,1774,766,139,5551,160,262,403,497,686,1001,1343,792,254,5397,199,363,618,772,860,1017,912,395,100,5225,122,373,625,834,975,986,763,252,67,4996,77,343,717,918,1053,1072,524,158,26,4881,31,291,696,805,1133,1117,420,122,13,4628,19,136,429,596,829,709,255,58,8,3040,8,53,416,540,723,587,226,56,3,2607,5,22,209,349,513,368,137,30,0,1628,0,20,201,483,645,535,173,42,7,2108,0,3,33,78,127,101,56,11,0,414,0,13,39,167,251,205,105,43,7,833,387,217,510,524,782,880,773,401,136,4609,4075,2908,6110,7971,10470,11916,9060,3608,859,56981,2975,365,486,618,955,1766,1144,337,51,8689,1860,199,212,258,368,625,558,171,52,4303,939,529,592,521,685,1405,1294,504,104,6584,359,442,596,682,1071,1895,3414,1747,341,10546,374,487,639,734,1074,1851,2846,1605,420,10031,541,663,919,1063,1302,1781,1952,870,184,9264
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,5,13,33,21,25,20,43,5,0,167,6,3,27,28,19,18,34,5,0,141,7,6,43,20,15,18,9,0,0,113,0,7,19,19,8,22,14,0,0,99,3,8,23,12,11,10,0,0,0,68,0,10,16,4,7,8,3,0,0,57,0,0,11,3,3,0,0,0,0,21,0,0,5,7,4,3,0,0,0,24,0,0,4,3,5,4,0,0,0,21,0,0,11,11,6,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,5,7,4,0,0,0,0,8,19,16,61,63,44,26,17,4,0,251,112,95,305,245,178,197,141,26,10,1306,49,11,48,32,25,62,22,6,0,252,5,9,9,12,8,14,15,6,4,65,60,49,67,46,55,55,23,0,0,354,10,29,74,67,56,58,83,15,0,402,8,15,44,50,52,57,70,16,3,317,6,13,55,25,37,38,27,3,0,204
SOS50,3479,6107,6682,6743,6349,8395,15639,10252,2782,66424,2345,5580,7242,7154,6627,7982,16122,13186,6966,73209,2069,7286,11581,10927,9427,9143,11421,7000,3138,71979,1231,6757,12750,12169,10298,8787,7396,3739,1432,64557,791,7134,15486,13817,12665,9764,5578,2259,929,68419,349,6012,17964,15534,14325,11416,4547,1307,477,71936,159,3676,15018,12419,11305,8500,2745,677,236,54734,75,1803,12954,11221,10233,7317,2140,605,267,46612,24,622,8217,8250,7571,5027,1335,313,101,31455,31,638,9796,14044,13069,7893,1837,416,171,47897,11,86,1457,2680,2488,1553,443,176,65,8957,30,94,1233,4067,4450,2394,894,434,144,13737,2715,3541,8536,6915,5807,4920,4922,5004,4964,47317,57892,63540,150941,150691,133403,118041,95610,53346,24562,848032,49076,10253,17726,18081,14504,20349,15856,5582,1962,153387,25670,5651,4159,4631,3765,5558,6247,2361,793,58826,15018,12088,8831,8077,7160,9450,11826,6265,1963,80678,6174,11087,11159,9935,9856,13348,27525,20193,5892,115178,4803,9949,11029,9743,9646,12232,26152,20644,9825,114013,4891,13179,16889,14281,12810,13381,20104,12585,4714,112843
SOS51,542,556,1206,1321,1302,1896,3669,2182,525,13195,480,586,1383,1473,1383,1828,3411,2550,1211,14308,577,950,2127,2290,1998,1964,2290,1343,559,14104,445,1158,2278,2466,2381,1853,1381,717,227,12907,293,1308,2630,2715,2585,2055,961,377,162,13094,158,1059,2771,2726,2869,2211,794,217,61,12869,56,692,2060,2062,2020,1519,416,93,30,8957,40,386,1833,1726,1834,1232,294,114,59,7527,16,148,1217,1289,1300,867,224,38,17,5119,16,160,1371,1883,1992,1229,287,53,23,7013,0,25,212,290,281,192,45,25,13,1084,7,21,200,396,391,260,128,53,22,1475,1020,995,2632,2369,2098,1805,1512,1236,1032,14704,10821,9350,25862,26589,25204,23429,18788,10277,4441,154756,7362,1084,2737,2271,1970,3433,2457,788,287,22386,4704,361,723,753,578,987,1031,394,169,9702,2319,1001,1648,1585,1376,2009,2332,1149,382,13800,975,980,1877,1905,2024,3073,6687,4512,1177,23211,987,992,1877,1974,2016,2866,5745,4190,1741,22394,1308,1622,2792,2852,2642,2886,4142,2441,837,21535
SOS52,85,137,308,275,301,411,744,375,74,2704,60,97,218,221,236,366,655,470,173,2482,86,144,343,334,296,316,350,187,74,2126,52,145,328,328,278,279,246,114,39,1801,36,115,301,297,364,340,131,61,26,1680,25,94,296,303,361,331,99,43,13,1558,7,85,213,206,211,228,65,27,12,1040,0,45,166,206,186,185,43,29,5,862,0,24,105,121,141,109,25,4,0,526,0,19,127,172,225,213,53,9,3,827,0,0,20,35,39,25,11,8,0,138,0,4,17,43,46,38,21,3,3,175,217,206,419,426,419,461,392,276,138,2947,1531,1461,3567,3557,3733,4222,3469,1818,636,23984,1177,191,370,272,335,623,479,137,40,3621,386,77,132,125,116,198,191,73,17,1317,374,408,645,573,558,573,490,222,71,3909,136,262,512,449,544,747,1424,838,176,5102,116,138,306,330,410,614,1261,851,268,4306,168,194,439,436,435,507,686,362,127,3358
SOS53,198,203,424,502,564,917,1508,686,127,5133,177,180,432,521,602,832,1138,684,215,4786,200,296,552,735,886,938,883,410,77,4979,141,332,552,749,932,958,657,218,56,4587,82,357,638,823,1019,1002,542,167,37,4673,55,327,740,843,1143,1135,406,118,16,4777,24,204,539,664,822,786,251,64,11,3359,11,113,452,590,799,711,224,50,12,2958,10,57,309,392,640,468,151,43,8,2066,3,66,366,631,924,759,208,48,9,3014,0,8,60,139,183,146,63,13,5,615,0,8,50,181,304,243,107,36,10,940,473,415,932,1014,1170,1181,897,458,84,6624,4187,3081,7309,9310,11683,12660,8919,3563,805,61530,3172,362,768,930,1287,2113,1538,424,96,10688,1612,192,284,371,376,611,658,239,50,4392,799,505,692,794,811,1204,1314,528,129,6777,368,362,641,757,914,1505,2957,1559,294,9361,411,350,651,712,918,1411,2361,1328,372,8518,550,582,818,987,1271,1606,1862,867,159,8700
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,8,0,0,7,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,8,0,0,0,0,23,3,11,14,11,9,3,4,0,0,61,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,3
SOS59,17,22,63,94,68,47,65,10,0,387,6,23,37,31,47,41,53,10,3,240,5,14,49,37,29,36,24,8,0,194,4,24,59,23,15,18,13,0,0,164,0,19,57,24,16,23,12,0,0,155,3,20,58,26,22,29,7,0,0,154,0,4,29,28,15,13,3,0,0,82,0,5,17,15,15,13,0,0,0,70,0,0,18,12,4,10,3,0,0,43,0,0,21,21,9,3,0,0,0,58,0,0,0,3,0,4,0,0,0,11,0,3,6,13,0,0,0,0,0,27,25,66,158,132,119,125,81,11,10,736,147,256,692,613,468,477,316,38,16,3030,63,29,83,78,78,91,43,6,3,472,21,22,26,39,23,46,13,0,0,193,67,93,167,241,210,119,47,10,4,958,21,48,136,212,184,151,146,37,0,923,8,44,66,77,79,79,130,20,3,496,9,28,83,65,50,60,63,20,0,384
SOS60,292,641,895,556,556,935,1619,1131,312,6928,190,561,1053,755,728,1070,2045,1751,868,9035,158,740,1692,1055,894,1044,1502,917,417,8423,86,660,1769,1181,936,948,1065,586,249,7476,62,663,1961,1373,1084,1054,809,351,149,7503,26,604,2180,1543,1374,1284,616,239,80,7950,10,361,1524,1220,1111,902,339,87,30,5587,0,135,1095,1074,1118,837,240,92,40,4635,4,40,731,807,875,560,147,42,13,3216,3,24,675,1176,1241,805,167,53,21,4162,0,4,68,149,214,140,37,22,8,646,9,10,85,267,343,229,79,47,15,1089,274,320,822,548,438,478,561,613,577,4630,5121,6173,16898,12997,11958,12048,10946,6683,3084,85913,4584,1088,2094,994,748,1241,956,380,136,12226,2250,518,496,318,255,493,575,233,68,5220,1340,1324,1216,704,662,913,1182,673,251,8275,498,1234,1712,993,962,1551,2829,2145,606,12530,383,1011,1887,1213,1241,1807,3239,2549,1212,14540,401,1408,2919,1592,1326,1667,2428,1525,629,13893
SOS61,353,580,898,750,981,1587,3235,1942,442,10772,264,574,1078,1006,1145,1553,3239,2715,1469,13051,228,850,1669,1442,1390,1591,1865,1196,572,10806,134,841,1798,1437,1493,1373,1103,632,217,9024,72,916,1950,1469,1517,1377,685,274,124,8386,36,596,1734,1534,1578,1335,479,148,61,7497,6,327,1203,1004,1060,828,230,81,8,4760,0,118,893,821,895,663,202,102,36,3736,0,41,496,570,702,485,105,30,0,2445,0,26,395,657,784,556,123,38,17,2586,0,3,30,93,102,81,22,8,5,345,8,6,64,134,191,136,69,39,15,667,366,384,764,603,666,722,868,916,640,5914,5862,6268,14647,12919,13987,14969,14251,9006,3877,95790,4616,670,1122,841,968,1852,1202,464,154,11892,2520,334,380,336,405,634,649,262,77,5607,1643,1159,1149,943,975,1574,1678,862,216,10201,636,1053,1583,1252,1702,2673,5890,4073,942,19799,529,1029,1734,1500,1864,2569,5271,4191,2089,20772,610,1449,2495,1955,2009,2444,3264,2055,846,17121
SOS62,36,37,110,112,133,328,553,264,49,1626,31,58,103,107,152,287,462,328,144,1665,27,77,197,170,205,253,278,136,46,1395,19,90,180,189,207,224,214,80,18,1217,11,58,203,165,209,205,111,47,10,1022,7,54,170,190,220,234,79,31,3,993,0,31,123,115,140,128,58,3,0,605,0,11,77,111,135,95,33,10,0,475,0,5,55,76,86,87,21,9,0,335,0,0,38,103,110,89,29,7,3,371,0,0,5,13,18,12,10,0,0,55,0,0,8,14,24,21,9,4,0,82,45,34,100,103,118,166,172,166,96,1008,690,578,1570,1676,2032,2672,2381,1209,401,13209,589,80,104,124,180,391,219,70,11,1762,287,43,52,56,82,165,109,41,9,838,147,125,131,117,181,341,355,127,34,1556,61,76,176,182,244,524,1048,592,104,3018,64,96,169,181,253,476,875,555,214,2884,73,133,268,221,303,416,536,285,75,2319
