SOS_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,45805,50776,28648,17905,23116,10463,5207,181921,17810,17531,10221,6572,8184,2988,1102,64406,18865,18120,10055,6052,7520,2773,1035,64420,84707,86600,53378,35276,43814,15519,5687,324984,723,800,443,234,167,38,13,2422,167908,173831,102744,66044,82812,31771,13039,638153,4096,7247,5358,4166,5774,2563,1374,30584,3863,5588,3722,2677,3312,1002,423,20592,2173,4027,3055,2087,2684,851,398,15268,17952,26899,18513,13649,16108,4285,1874,99272,1121,1146,655,444,275,55,21,3715,29200,44906,31305,23016,28147,8765,4089,169429,197111,218740,134048,89065,110960,40537,17125,807586
SOS31,3824,4381,2802,1756,2300,525,166,15766,2445,2677,1635,1117,1269,191,67,9398,3165,3110,1733,1043,1312,205,54,10625,29983,31595,19351,12554,14049,2022,585,110141,205,205,139,83,44,3,0,678,39633,41970,25654,16558,18971,2944,879,146613,260,523,427,314,420,92,36,2070,709,1001,689,465,525,74,29,3488,442,731,566,403,466,59,26,2700,8717,12432,8323,5846,5881,665,202,42064,367,385,253,140,94,8,6,1256,10493,15076,10268,7172,7386,895,298,51579,50123,57048,35927,23722,26351,3843,1171,198188
SOS32,256,328,229,137,163,46,16,1179,257,338,234,147,157,30,7,1172,378,413,236,132,149,29,7,1344,4283,4859,3050,1908,1986,320,82,16482,48,39,30,21,12,0,0,156,5212,5988,3771,2358,2473,419,110,20333,14,34,30,36,38,8,6,167,70,141,90,51,63,6,4,429,39,80,42,45,39,8,3,259,1360,1835,1194,775,704,71,19,5948,64,73,48,32,11,3,0,226,1545,2168,1409,937,856,94,28,7030,6761,8160,5176,3290,3328,508,143,27362
SOS33,672,1029,819,621,856,243,124,4369,934,1163,812,562,694,163,66,4401,1352,1572,973,579,729,131,60,5389,13594,16570,11195,7435,8878,1495,503,59664,121,121,86,58,36,7,0,432,16678,20451,13888,9259,11186,2045,747,74261,42,120,109,77,106,41,15,512,187,277,205,140,193,32,13,1044,115,187,147,115,127,24,7,731,1964,2819,2071,1529,1546,240,71,10246,92,110,75,54,36,7,0,365,2403,3511,2596,1921,2004,344,108,12894,19083,23965,16490,11181,13194,2390,859,87151
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,17395,18522,9506,5814,7781,4731,2820,66562,3840,3963,2388,1622,2188,1181,642,15819,4548,4130,2276,1398,1804,908,521,15594,29524,29126,17214,11496,14339,6495,3414,111607,190,185,107,72,40,18,9,615,55500,55920,31486,20410,26152,13328,7400,210188,1255,2168,1618,1221,1769,1072,796,9896,859,1343,899,651,925,405,263,5331,478,847,662,485,612,293,179,3564,5770,8781,6198,4510,5334,1936,1039,33568,295,318,202,160,92,25,11,1106,8666,13451,9582,7020,8724,3725,2287,53464,64163,69370,41067,27431,34877,17051,9691,263651
SOS41,1070,1195,712,454,641,215,119,4404,708,736,516,342,456,128,49,2929,857,818,467,298,369,121,62,2989,10773,11070,6720,4385,5146,1220,423,39736,51,67,38,38,16,0,0,217,13458,13891,8453,5520,6624,1688,647,50281,71,123,106,78,139,48,29,594,196,275,188,132,193,47,10,1040,81,196,142,91,167,47,17,745,2638,3787,2612,1909,2097,446,135,13617,120,112,86,53,36,8,5,417,3104,4500,3129,2265,2627,596,194,16413,16562,18390,11578,7780,9252,2282,847,66693
SOS42,71,70,48,26,36,17,6,278,71,99,57,36,38,12,6,318,88,80,51,24,41,20,7,312,1740,1727,1055,712,736,153,71,6189,22,14,11,5,5,0,0,60,1995,1987,1231,804,857,196,92,7163,0,3,3,0,11,7,0,30,21,22,23,20,15,4,9,110,10,11,10,18,23,3,3,67,285,470,322,219,248,49,11,1606,10,23,13,10,6,3,0,63,324,533,371,264,303,60,17,1879,2317,2515,1604,1071,1156,258,117,9039
SOS43,188,238,204,151,227,93,47,1146,209,325,187,143,199,72,28,1174,382,379,188,135,158,60,33,1350,4888,6092,4001,2662,3068,671,255,21634,43,37,26,10,14,5,0,137,5709,7071,4602,3105,3671,911,370,25442,12,18,31,9,24,10,0,101,27,43,46,33,36,9,8,200,10,34,30,23,28,4,7,142,483,759,547,407,465,106,33,2799,18,31,10,11,15,0,0,86,551,891,673,491,565,121,41,3341,6261,7967,5278,3592,4238,1033,415,28779
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,39645,41531,23074,14642,19395,10409,6112,154814,11824,11042,6147,4031,5108,2136,1033,41318,12525,11671,6139,3961,4640,1860,963,41751,41513,39557,23818,15529,18579,6874,3195,149058,437,441,265,157,77,25,16,1415,105948,104240,59444,38312,47798,21308,11311,388355,2565,4551,3436,2586,3741,1909,1344,20129,1997,2965,2048,1466,1760,639,349,11224,1317,2224,1526,1197,1444,520,326,8562,7510,11194,7635,5668,6418,1785,1000,41204,488,546,327,169,124,42,21,1713,13875,21474,14976,11075,13496,4890,3044,82833,119817,125718,74414,49390,61289,26197,14355,471189
SOS51,2984,3126,1867,1210,1494,213,95,10987,1595,1575,883,527,618,58,20,5283,2023,2030,1002,613,643,61,14,6403,12064,12538,7117,4687,4903,440,117,41870,95,120,54,45,19,0,0,333,18754,19390,10930,7086,7677,778,250,64867,199,315,248,187,287,38,17,1288,279,478,333,217,246,21,12,1583,221,382,272,212,266,25,6,1380,2570,3851,2648,1919,1961,149,43,13139,135,181,89,77,38,0,0,523,3399,5206,3591,2607,2801,236,74,17917,22156,24602,14519,9695,10478,1013,329,82788
SOS52,221,247,125,78,112,10,6,798,167,173,86,65,61,15,3,573,254,212,106,61,62,6,5,704,1758,1804,1100,626,552,47,8,5899,21,34,17,8,5,0,0,90,2427,2472,1444,837,794,75,23,8066,13,17,16,7,13,3,0,66,36,59,24,30,22,3,0,178,15,38,35,22,24,4,0,140,594,771,497,333,289,23,6,2517,27,34,26,16,9,0,0,106,689,922,602,406,352,36,9,3011,3116,3391,2042,1244,1146,110,25,11077
SOS53,401,527,445,304,427,126,81,2313,402,530,381,275,335,59,35,2007,681,778,486,293,350,77,34,2698,4288,5310,3421,2058,2158,386,169,17792,29,42,28,20,9,3,0,140,5802,7188,4766,2951,3277,644,314,24949,30,52,50,35,42,0,9,227,46,99,64,59,62,12,3,345,44,72,54,33,56,10,0,270,466,702,540,361,367,51,15,2509,27,40,21,23,7,0,0,111,613,959,729,513,526,72,30,3456,6419,8151,5496,3465,3804,716,348,28403
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,1852,1302,628,339,482,194,115,4914,496,560,367,249,298,124,58,2155,541,561,337,198,224,100,38,2004,5056,5227,3286,2180,2622,957,380,19704,23,24,25,6,9,0,0,90,7971,7677,4635,2969,3645,1377,583,28855,106,161,119,89,118,44,36,676,105,173,122,89,147,54,23,718,42,102,74,45,84,32,24,404,1366,2009,1406,1053,1183,369,162,7548,66,67,45,24,19,8,0,231,1688,2511,1772,1298,1543,506,251,9575,9662,10185,6408,4274,5191,1886,834,38428
SOS61,916,817,381,209,298,112,48,2787,407,453,262,170,255,69,24,1641,450,444,271,160,213,43,12,1591,6705,6743,4142,2750,3246,849,218,24647,35,46,28,18,10,5,0,138,8500,8498,5092,3309,4018,1078,303,30798,52,80,66,56,80,37,13,393,108,172,142,103,148,42,8,725,48,105,84,84,91,27,16,460,2002,2901,1952,1392,1527,324,103,10193,87,97,69,46,27,3,0,322,2306,3343,2320,1680,1873,431,139,12092,10809,11838,7411,4988,5891,1508,441,42892
SOS62,38,52,36,25,31,7,5,200,42,83,42,32,35,11,6,242,77,90,60,36,28,5,4,306,912,942,610,426,446,89,40,3464,4,6,9,9,0,0,0,29,1070,1179,754,520,546,119,57,4248,0,5,0,3,6,6,0,20,11,16,13,10,11,0,0,72,6,10,10,4,9,4,3,44,192,310,188,143,140,35,13,1013,18,6,13,8,0,0,0,42,218,348,228,173,168,41,18,1192,1294,1519,980,696,714,155,73,5430
SOS63,151,178,120,84,125,21,18,706,214,280,172,123,155,36,23,1000,280,334,199,120,142,43,12,1134,3482,3961,2622,1789,2014,490,140,14503,22,23,27,15,7,3,0,92,4155,4772,3141,2126,2441,594,196,17434,8,13,14,14,22,8,5,85,35,51,43,42,32,9,0,211,18,48,32,18,27,5,6,152,433,666,513,381,450,79,23,2539,20,32,25,21,9,0,0,108,514,808,620,475,548,105,32,3094,4662,5582,3767,2603,2989,703,225,20526
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,2203,1956,980,608,819,310,139,7009,411,448,263,151,186,33,15,1505,751,645,328,189,233,41,11,2195,3334,2958,1626,1067,1047,171,81,10277,24,31,12,7,6,3,0,87,6721,6041,3205,2016,2290,560,246,21070,140,206,138,111,141,53,37,830,106,135,83,54,66,20,5,468,85,148,103,59,86,10,10,499,658,1084,653,498,453,60,25,3426,75,64,24,16,4,0,0,189,1064,1629,1006,744,752,143,76,5414,7792,7671,4214,2756,3042,701,320,26492
SOS71,629,553,253,115,152,25,7,1736,138,128,66,35,32,3,0,399,188,155,70,36,30,4,0,492,1650,1717,1057,579,593,69,12,5680,28,22,15,11,0,0,0,73,2636,2576,1458,769,811,103,24,8383,31,52,41,25,27,6,0,188,19,33,18,20,16,0,0,109,19,21,17,12,14,0,0,91,559,753,515,340,247,28,4,2446,28,19,13,15,5,0,0,81,658,884,608,410,306,39,7,2917,3295,3455,2071,1180,1121,142,29,11298
SOS72,41,25,14,14,5,0,0,103,24,20,10,4,6,0,0,58,37,40,11,11,8,0,0,105,1214,1207,730,419,254,22,4,3843,14,10,9,9,0,0,0,34,1322,1302,772,446,272,26,4,4148,0,7,0,5,0,0,0,19,0,13,5,4,3,0,0,18,0,8,0,5,6,0,0,12,415,576,371,231,121,15,0,1737,9,7,7,0,0,0,0,27,427,607,383,246,132,13,0,1815,1752,1904,1157,698,403,37,3,5960
SOS73,57,65,39,19,50,9,3,236,64,49,27,24,28,3,5,207,139,106,68,36,37,4,3,390,1242,1450,881,534,456,54,18,4638,16,12,14,7,3,0,0,49,1513,1687,1028,620,569,70,27,5515,5,6,10,3,0,0,4,28,7,13,6,3,5,0,0,35,0,19,15,12,5,3,0,51,248,357,244,150,107,7,0,1124,24,13,13,8,5,0,0,57,283,409,283,174,121,7,5,1290,1795,2100,1313,795,695,80,32,6807
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,7344,7458,3750,2120,2561,1422,685,25334,1807,1935,1140,761,982,418,203,7237,2216,2195,1300,763,960,396,200,8031,11539,12031,6929,4294,5489,2008,936,43215,57,57,39,13,8,11,3,186,22959,23676,13154,7947,9991,4252,2020,84002,434,759,494,325,542,283,170,2998,312,481,298,234,328,110,48,1813,140,289,232,166,232,96,59,1209,1451,2472,1716,1198,1614,511,247,9216,107,72,35,25,21,5,3,254,2440,4071,2765,1944,2732,1012,526,15484,25399,27747,15921,9891,12726,5260,2545,99486
SOS82,3,0,0,0,0,0,0,7,0,0,0,0,4,0,0,9,0,6,0,0,0,0,0,7,20,38,26,12,19,10,0,124,0,0,0,0,0,0,0,0,23,46,30,17,22,8,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,18,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,18,23,48,31,18,24,8,0,164
