SOS_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOS42,116,222,340,78,85,157,74,276,345,75,604,682,357,1734,2093,337,792,1130,1363,518,1879,1054,639,1694,1101,556,1661,1257,374,1631,787,292,1081,834,199,1034,1584,254,1833,1031,30,1060,743,40,788,376,6,387,679,77,759,1225,63,1291,250,307,563,13333,7071,20409
SOS43,442,402,846,188,175,367,189,485,672,187,938,1128,826,2334,3151,744,1273,2018,2677,1000,3680,2405,1252,3656,2650,1224,3876,3341,781,4120,2203,607,2810,2568,368,2935,4756,549,5304,3464,66,3526,2641,135,2779,1551,15,1564,4052,275,4322,3718,150,3869,607,537,1138,39222,12548,51767
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,5033,7225,12264,2006,2540,4544,2324,6550,8878,2670,13066,15738,7676,29998,37670,9200,19920,29120,25206,13167,38373,23669,16375,40044,29028,19189,48220,33507,16270,49782,26940,14372,41310,28776,11197,39977,65158,19818,84969,51607,2508,54118,45469,5259,50722,29795,1085,30872,94027,7635,101664,51281,5448,56732,4758,5453,10213,538147,217069,755215
SOS51,784,1143,1923,343,474,820,461,1371,1832,550,2778,3327,1697,6593,8289,1952,4079,6034,5887,2615,8501,4729,3166,7894,5535,3465,8997,6145,2691,8836,4590,2504,7093,5125,2093,7213,11526,3810,15339,9063,366,9427,7906,1054,8964,4702,194,4890,12181,1261,13445,11136,857,11995,1224,1526,2751,95540,42043,137580
SOS52,134,222,358,99,92,190,122,347,479,147,561,708,383,1450,1833,414,655,1066,1259,434,1698,984,575,1562,969,550,1522,1034,473,1503,645,393,1039,759,309,1066,1539,517,2052,1027,31,1059,834,103,938,457,10,475,1031,136,1171,1686,89,1778,342,378,714,13862,7332,21197
SOS53,515,493,1013,252,181,434,232,439,668,214,747,967,829,1705,2537,653,1008,1661,2126,749,2877,1875,1019,2893,2323,1071,3391,2571,741,3317,1809,657,2468,2052,497,2549,4249,775,5022,3432,54,3486,2812,187,3000,1897,32,1928,5425,320,5748,5472,199,5666,659,466,1129,39395,11339,50741
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
