SOS_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SOS71,201,697,194,362,63,1807,640,271,1441,543,728,128,3755,32,17,105,45,103,15,309,51,22,143,78,330,18,636,27,4,94,43,178,123,477,1794,756,4216,2141,5014,660,14585
SOS72,71,268,56,154,27,668,39,27,131,68,181,45,490,16,11,45,14,70,15,166,16,6,19,10,89,13,154,6,0,8,20,59,32,121,277,164,838,547,1810,246,3896
SOS73,95,295,127,258,33,909,63,77,221,164,266,34,829,6,9,46,35,107,17,224,10,9,30,39,344,15,441,5,3,35,46,222,70,385,373,357,1561,1465,5072,455,9282
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,6,6,30,0,40
SOS79,3,11,4,0,0,23,4,5,21,3,3,3,44,0,0,6,0,4,0,12,0,0,0,0,0,0,5,4,0,0,0,8,13,23,38,22,118,55,120,31,378
SOS80,1929,7792,1609,2001,213,19995,5174,1761,9976,3378,3469,515,24276,533,217,1153,376,635,55,2967,651,175,1192,830,2254,122,5224,673,80,929,387,648,539,3271,42897,12794,70167,24911,35435,4003,190200
SOS82,0,7,3,8,0,34,9,4,8,7,4,3,31,0,0,3,3,0,0,6,0,0,4,0,8,0,11,0,0,0,0,0,5,6,35,17,90,44,64,8,255
SOS83,3,4,3,4,0,23,0,0,5,0,0,0,15,0,0,5,0,6,0,16,0,0,0,0,8,0,9,0,0,0,0,0,0,0,14,12,80,44,96,8,249
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,3,0,6,0,13,3,0,8,5,0,0,22,0,0,0,0,3,0,7,0,0,0,0,3,0,7,0,0,0,0,0,0,3,24,4,49,15,42,0,138
SOS91,3,16,4,10,0,41,0,0,0,4,11,0,18,0,0,3,0,3,0,8,0,0,4,0,9,0,17,0,0,0,5,10,7,20,23,19,85,71,222,31,452
SOS92,9,34,8,17,4,79,7,8,31,14,15,8,84,0,0,5,0,13,0,21,4,0,3,0,20,0,25,0,0,3,8,23,6,39,42,31,168,123,345,67,778
SOS93,0,9,0,3,0,18,0,0,8,0,5,0,16,0,0,0,6,4,0,10,0,0,4,3,4,0,9,0,0,4,0,4,4,9,20,7,47,28,99,11,202
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,3
