SOS_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SOS30,4806,2881,2373,571,919,165,11712,1197,566,600,122,247,23,2756,2182,1143,1108,277,531,73,5322,1820,1050,961,297,511,42,4686,3280,2170,1671,706,909,122,8863,4639,3871,2435,1142,1459,183,13729,6397,6599,3214,1775,1812,252,20047,8964,10601,4252,2512,2339,354,29024,9158,13252,4244,2622,2151,323,31759,11375,17264,5298,2764,2254,328,39278,8678,15042,3870,1850,1374,235,31052,12735,22322,6920,2403,1939,372,46688,5784,11362,2735,937,681,120,21626,4120,8612,2172,595,438,79,16017,8318,16929,4695,1227,1033,206,32402,9467,20153,6148,1423,1132,193,38518,3549,7438,2570,464,354,58,14432,2720,6268,2099,371,291,51,11798,6499,8277,3929,1361,1567,260,21899,115685,175805,61302,23438,21956,3440,401630
SOS31,1183,495,360,137,192,39,2408,438,158,123,40,61,15,832,864,352,275,137,172,27,1826,802,418,279,166,196,22,1885,1544,1090,553,389,335,50,3955,2201,2043,745,591,514,64,6157,2754,2961,956,786,560,74,8096,3246,4341,1268,849,635,75,10416,2764,4407,1185,733,455,60,9616,2952,5006,1332,677,456,64,10487,1814,3567,867,389,231,24,6897,2748,4585,1361,432,295,47,9467,959,1792,465,168,96,10,3492,549,1032,282,86,57,10,2021,1359,2204,733,194,133,29,4650,1293,1748,753,150,103,19,4064,455,551,242,45,53,3,1352,282,382,156,27,29,3,879,1833,1838,774,408,348,59,5255,30042,38971,12702,6410,4928,707,93755
SOS32,219,77,57,20,25,6,400,97,30,28,13,15,3,185,194,83,55,28,30,6,391,172,112,60,31,16,0,387,357,221,104,70,62,3,823,420,301,123,99,75,9,1018,496,423,145,86,57,7,1217,465,561,198,112,87,8,1433,450,543,152,79,63,7,1299,459,537,187,82,52,8,1321,279,372,110,42,29,5,841,383,552,174,55,48,4,1215,135,221,67,17,11,0,455,74,137,33,10,4,0,262,196,305,102,33,19,0,655,219,247,101,13,14,0,595,74,89,36,10,3,0,213,48,56,23,5,3,0,139,349,227,119,72,62,17,843,5101,5099,1875,875,672,96,13710
SOS33,1138,591,403,85,114,16,2349,260,87,74,24,31,0,484,492,203,191,52,80,8,1024,462,212,167,67,82,9,991,832,452,323,118,138,15,1880,1003,738,473,164,177,21,2573,1230,1108,559,195,172,32,3289,1417,1578,670,243,210,10,4137,1248,1580,565,221,169,21,3804,1378,1840,660,205,188,15,4282,882,1443,422,114,96,5,2964,1615,2289,868,237,173,23,5202,611,1011,297,75,57,10,2068,431,780,229,62,30,3,1534,992,1688,541,116,80,11,3419,1255,1911,781,129,114,10,4198,563,784,308,50,46,4,1754,470,710,306,39,35,0,1560,1330,1164,651,194,188,32,3559,17599,20163,8491,2398,2168,254,51067
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,1864,1104,1056,207,400,74,4698,599,238,332,62,169,20,1423,1094,431,624,149,388,55,2736,947,536,551,152,369,36,2592,1594,1162,1135,401,799,82,5177,2258,2317,1514,738,1002,100,7929,3001,3985,1893,1003,1184,138,11205,3866,5967,2181,1280,1282,153,14734,3885,6615,2012,1132,1048,150,14833,4027,7113,2115,1017,879,138,15288,2627,5151,1316,537,425,83,10135,3517,6822,2153,669,599,87,13857,1390,3050,795,235,181,29,5679,962,2119,526,122,100,20,3848,1935,4145,1249,272,266,43,7909,2118,5164,1742,321,302,49,9691,817,1892,745,130,113,24,3721,673,1703,651,87,100,22,3242,1833,2519,1366,437,563,88,6801,38999,62041,23955,8944,10167,1372,145491
SOS41,451,195,171,40,62,13,929,233,66,58,36,49,3,444,551,172,156,64,140,20,1105,488,289,189,74,127,13,1183,913,676,331,279,276,30,2503,1245,1219,475,389,359,27,3720,1297,1551,549,383,338,32,4143,1364,1967,596,368,296,31,4624,1101,1844,534,271,193,26,3969,1064,1822,468,206,134,25,3717,621,1121,304,97,62,3,2214,739,1381,497,105,85,14,2826,286,531,146,44,20,0,1035,166,309,98,23,13,0,613,357,621,200,40,47,5,1275,327,605,208,35,47,4,1233,149,210,98,14,7,3,477,90,164,73,10,16,3,353,573,464,279,110,139,21,1589,12032,15218,5432,2596,2412,268,37949
SOS42,86,25,18,9,13,0,145,51,21,6,0,12,0,98,131,56,34,33,27,7,280,110,78,32,23,23,0,260,189,148,74,48,46,9,510,225,213,79,47,44,7,610,218,226,84,50,39,0,623,187,276,78,44,31,3,619,140,245,72,32,29,0,522,116,213,51,20,16,0,422,62,129,33,15,13,0,240,97,166,45,11,7,0,326,37,58,7,4,0,0,108,21,26,4,0,0,0,61,50,61,23,3,11,0,147,49,82,28,0,4,0,171,12,20,11,0,0,0,44,14,18,10,0,0,0,42,114,69,29,8,10,0,239,1928,2119,717,343,320,36,5464
SOS43,397,246,146,30,36,11,865,107,28,24,9,12,0,179,246,92,88,23,46,6,487,221,96,94,23,39,3,477,388,250,153,48,83,6,936,410,397,217,72,84,7,1180,485,515,223,59,71,6,1357,480,616,241,58,72,3,1474,383,569,213,56,39,6,1270,333,604,230,28,50,5,1246,223,424,132,34,28,3,842,382,607,237,35,36,3,1303,139,280,78,13,17,0,520,94,207,73,11,6,0,394,259,413,125,31,16,0,841,319,476,201,22,16,0,1036,111,186,75,9,4,0,382,105,161,72,11,10,0,357,343,254,159,35,38,8,835,5415,6417,2782,597,708,69,15997
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,3064,2152,1694,407,708,151,8173,718,341,369,85,158,20,1688,1262,673,708,177,381,57,3255,1084,690,650,181,338,41,2980,1838,1337,1027,370,652,82,5303,2581,2246,1473,665,889,113,7965,3788,4235,2050,930,1208,166,12384,5139,6719,2580,1399,1491,249,17569,5997,9049,2569,1537,1368,221,20750,7142,11815,3240,1714,1365,222,25502,5466,10331,2519,1191,931,188,20633,8399,16064,4904,1730,1343,272,32711,3714,7844,2012,657,485,102,14820,2671,6234,1642,505,322,63,11438,5012,10843,3343,838,666,111,20814,6204,13484,4700,880,802,124,26198,2605,5523,2025,383,310,47,10890,2178,5149,1979,248,280,41,9876,3891,5601,2828,804,1011,202,14337,72749,120333,42310,14714,14712,2475,267291
SOS51,475,218,138,66,85,18,996,151,61,42,14,27,7,301,323,159,78,48,61,12,680,246,165,87,41,89,6,638,503,404,197,126,143,17,1392,742,713,218,206,191,13,2090,999,1123,333,288,203,22,2977,1190,1627,435,370,268,28,3931,1161,1908,455,285,189,27,4026,1284,2128,499,325,175,25,4438,754,1544,343,177,101,17,2943,1203,2179,623,262,151,23,4448,418,940,215,73,40,7,1705,257,554,119,53,21,8,1011,651,1097,364,99,69,7,2285,720,1110,377,85,58,4,2360,289,350,152,32,22,8,851,190,222,106,16,13,6,548,691,733,292,137,102,27,1990,12255,17256,5078,2726,2005,296,39609
SOS52,72,20,9,3,12,0,115,36,17,10,14,11,0,84,68,34,25,12,26,0,179,81,57,20,14,19,0,191,150,100,36,26,32,0,349,136,127,51,37,32,4,385,146,175,46,38,37,3,445,154,182,63,38,26,5,467,143,148,44,36,22,0,394,117,179,67,25,13,0,405,71,108,34,14,9,0,241,107,174,54,11,14,3,360,39,70,19,5,0,0,130,31,44,13,6,0,0,100,77,87,26,15,9,0,212,84,71,39,3,3,0,209,39,30,9,0,0,0,86,27,12,5,0,0,0,55,113,60,35,21,21,3,255,1706,1703,612,314,286,35,4656
SOS53,430,226,163,36,45,10,902,80,30,18,12,5,0,144,157,62,45,11,17,3,298,124,59,43,13,23,7,261,192,119,62,31,29,4,433,252,138,91,25,34,0,546,337,255,137,47,43,4,829,363,294,169,49,58,7,947,322,365,131,43,42,6,904,387,414,176,39,36,5,1057,257,387,147,27,24,0,840,535,665,291,49,51,10,1601,210,360,91,21,21,0,703,185,274,79,26,18,3,577,424,586,224,47,36,0,1308,678,872,358,56,49,3,2013,269,314,168,25,25,0,801,244,244,142,18,22,0,669,394,299,231,56,51,8,1045,5835,5970,2784,613,617,68,15893
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,272,164,123,39,73,7,678,102,52,43,6,35,4,241,175,105,104,33,60,3,482,155,91,63,31,51,6,399,262,203,133,91,122,4,813,325,384,194,140,144,13,1209,448,606,238,213,170,17,1697,552,856,279,205,173,28,2096,505,885,274,203,138,11,2018,612,992,246,191,145,16,2203,383,670,169,89,51,11,1376,554,924,280,112,74,14,1955,189,368,86,36,20,8,707,114,257,62,13,11,0,459,300,585,152,50,39,0,1123,318,565,165,48,44,13,1148,147,229,75,23,16,5,492,107,179,62,14,14,0,376,237,277,135,70,80,15,809,5755,8388,2880,1614,1451,183,20276
SOS61,288,128,88,33,60,8,609,113,51,62,12,42,0,295,279,136,113,38,98,8,669,290,156,109,80,81,3,715,522,434,240,172,166,15,1553,761,813,345,253,202,17,2384,906,1178,395,322,224,28,3050,959,1362,362,278,246,25,3222,783,1174,300,205,135,22,2614,640,989,295,128,88,13,2147,328,573,135,50,45,12,1132,464,673,217,76,42,8,1478,120,200,63,16,11,0,406,43,90,32,9,7,0,168,182,299,85,22,8,0,601,169,257,97,22,17,0,558,67,92,33,9,0,0,204,43,61,24,5,8,0,142,330,309,166,72,97,13,987,7284,8962,3153,1804,1562,180,22940
