SOS_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS41,282,594,1308,1116,1146,900,362,50,0,5768,279,414,900,889,970,829,304,151,22,4752,9262,12414,28761,28588,31344,26769,7479,1008,82,145710
SOS42,42,82,165,135,164,164,63,5,3,823,42,45,137,133,166,170,63,21,3,787,1129,1479,3590,3778,4557,4825,1532,217,28,21143
SOS43,192,231,400,442,559,520,162,20,0,2526,189,191,318,360,560,561,298,114,16,2609,4311,4807,9585,12683,16730,16410,6201,1285,122,72129
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SOS49,0,0,9,0,3,4,0,0,0,22,0,5,3,9,8,8,0,4,0,42,32,61,211,156,128,106,26,4,0,724
SOS50,2002,4345,9896,8626,7402,5480,1771,241,15,39786,2189,4708,11490,11297,9435,6460,2044,447,95,48169,55204,94947,230057,236108,208557,152624,42173,4679,336,1024680
SOS51,503,801,1685,1499,1417,994,297,31,0,7228,491,664,1501,1516,1404,1087,370,103,27,7170,11348,13471,36346,39263,37955,29778,8100,912,69,177243
SOS52,46,77,159,140,148,147,48,3,0,778,76,82,191,178,218,210,105,31,9,1102,1051,1553,4147,4315,4856,4876,1583,242,26,22648
SOS53,230,242,417,522,578,534,166,12,0,2699,227,252,421,535,742,707,320,117,16,3337,4212,5141,11122,14540,18726,17795,6706,1400,147,79789
SOS57,0,0,0,0,0,0,0,0,0,4,0,8,6,16,5,4,3,0,0,35,5,17,62,95,59,33,5,0,0,277
SOS59,6,9,16,12,3,10,0,0,0,52,3,7,22,25,10,11,3,0,0,78,53,185,501,355,248,216,45,0,0,1614
SOS60,108,309,995,719,594,488,155,36,0,3405,91,217,736,432,408,299,107,32,8,2331,4176,8301,25942,19936,18066,13991,3925,449,32,94821
SOS61,187,444,1001,754,723,608,185,18,0,3919,132,274,612,505,499,438,173,51,18,2697,5476,8795,21757,18670,19430,16760,4264,455,45,95653
SOS62,21,39,116,73,99,91,32,0,0,472,19,27,66,95,83,84,35,16,4,423,627,881,2360,2533,2946,2928,879,118,8,13276
SOS63,114,174,314,378,414,322,105,9,0,1836,91,112,226,286,365,336,156,70,19,1671,2695,3310,7720,9770,11818,11234,3434,599,65,50648
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12
SOS69,0,4,0,0,12,0,0,0,0,10,0,0,8,5,3,0,0,0,0,18,12,33,79,69,63,42,9,0,0,309
SOS70,123,208,690,591,414,309,99,5,0,2443,124,306,759,593,414,282,95,22,8,2598,2939,5931,18475,15382,11984,8119,2280,213,20,65347
SOS71,37,64,226,213,149,146,42,3,0,878,59,65,260,176,140,96,37,7,0,856,908,1413,5676,4710,3748,3045,890,80,0,20477
SOS72,15,19,44,65,47,32,17,0,0,232,17,35,44,58,54,44,11,0,0,264,245,529,1468,1456,1303,1061,299,33,0,6382
SOS73,43,53,125,107,134,97,31,3,0,604,55,66,126,134,160,106,44,9,0,694,861,1184,2756,2877,3360,2459,694,86,8,14269
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,7,0,5,16,10,10,9,0,0,0,56
SOS79,0,0,0,0,0,0,0,0,0,11,0,0,13,12,5,7,0,0,0,39,13,34,175,126,84,53,22,0,0,500
SOS80,466,948,1773,1497,1265,802,293,36,0,7080,207,568,1574,1126,749,412,128,30,14,4812,12793,26200,64804,59610,47494,28482,7381,863,80,247706
SOS82,0,6,3,3,3,4,0,0,0,15,0,0,0,0,0,0,0,0,0,10,25,23,45,84,92,45,12,5,0,335
SOS83,0,0,0,0,3,0,0,0,0,9,0,4,0,0,0,0,0,0,0,4,27,56,94,50,50,51,23,3,0,352
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,3,3,4,0,0,0,0,11,0,0,3,0,0,0,0,0,0,6,22,36,59,38,32,23,3,0,0,216
SOS91,0,0,3,9,5,4,3,0,0,17,0,4,7,3,6,10,10,0,0,40,26,25,133,144,150,120,71,0,0,686
SOS92,0,0,8,3,5,12,5,0,0,29,4,5,8,10,8,15,3,0,0,60,63,87,152,229,231,323,114,28,0,1234
SOS93,0,0,0,0,0,3,0,0,0,16,0,0,3,3,4,6,5,0,0,24,15,19,44,50,81,64,35,11,3,329
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
