SOS_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
SOS29,7,6,8,8,6,3,3,3,0,46,13,16,15,20,6,0,13,19,3,110,20,27,132,53,19,21,37,74,5,393,0,0,6,0,0,0,0,4,0,22,3,0,3,6,0,0,0,7,0,22,0,5,0,0,3,0,0,0,0,10,5,0,9,0,4,3,0,13,13,44,133,313,192,156,89,64,81,181,28,1239
SOS30,11013,14038,6640,9298,9362,3793,2138,2857,761,59899,22474,21874,15813,36112,26826,11516,5409,7911,1990,149924,37969,19163,122955,56284,44905,24915,26127,33549,5965,371831,2018,1279,2489,3757,4276,4192,1983,4169,277,24441,3637,2804,2908,5749,6427,3911,2281,3467,443,31627,1369,2541,1069,1295,1364,798,590,972,258,10262,2677,3693,2558,3560,3126,2190,1751,2865,4401,26819,171444,396309,177253,161147,151904,73191,49359,71544,20554,1272706
SOS31,1830,2533,1213,2087,1478,550,400,536,161,10791,3986,3754,2829,7986,4882,1591,1079,1615,390,28114,9932,4686,41920,17224,12288,6755,12231,11203,2117,118351,558,317,909,1216,1300,1514,790,1717,87,8405,738,427,730,1474,1199,815,752,1102,85,7319,193,351,251,253,191,129,164,292,45,1878,618,647,751,1102,665,627,799,1462,1013,7682,26546,57089,51510,38047,27284,13617,17183,20781,4524,256573
SOS32,311,420,148,342,243,72,62,104,19,1723,563,503,352,1019,654,201,142,234,60,3730,1648,686,5510,2317,1638,858,1746,1739,297,16432,92,60,128,185,173,176,102,223,18,1155,96,78,85,215,161,105,88,165,18,1014,25,39,25,31,35,14,30,35,7,239,131,131,123,196,139,108,171,252,225,1471,4194,7162,6727,5164,3723,1740,2427,3024,738,34899
SOS33,1946,1591,643,984,1049,287,235,367,107,7214,2891,1774,1282,2775,2475,679,482,854,192,13412,9253,2138,19657,6279,5363,2550,5799,6243,1137,58416,487,156,387,397,601,450,292,713,55,3533,928,247,347,609,627,331,404,526,70,4090,225,184,89,120,106,54,63,119,23,983,853,343,389,476,392,332,454,815,555,4618,24238,26457,24068,14118,13857,5515,8144,10926,2542,129867
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,12,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,11,0,24
SOS39,16,16,3,12,11,5,6,10,3,96,20,37,16,44,33,26,11,41,4,242,53,34,208,112,56,46,102,146,19,777,9,4,4,11,13,17,3,21,0,65,0,3,7,8,0,0,8,15,0,51,0,0,0,0,0,0,3,4,0,19,3,7,8,8,3,9,3,23,14,90,210,448,278,310,181,120,161,430,60,2209
SOS40,3691,5601,2270,4215,3514,1170,668,1003,248,22378,6157,6534,4684,9909,6499,2384,1615,2120,585,40485,11539,6484,37945,19300,15000,7433,7184,9471,1952,116310,674,498,950,1253,1531,1147,600,1273,98,8023,1204,868,954,2005,2115,1072,538,891,164,9805,393,872,380,531,452,220,184,341,79,3454,795,1144,748,1196,979,644,577,935,1095,8117,53745,134394,57055,58444,50426,21428,15320,23361,6455,420626
SOS41,876,1183,387,1073,680,234,106,240,46,4832,1486,1478,833,2684,1408,569,278,466,104,9303,4091,1869,12911,6681,4265,2548,3096,3849,619,39935,273,121,300,469,459,412,238,579,41,2889,319,207,242,632,509,270,220,358,38,2787,88,139,79,90,77,46,34,99,11,671,247,198,251,393,215,243,223,462,277,2513,11511,22301,16052,14591,9659,5096,4482,6937,1369,91991
SOS42,133,176,55,161,88,28,18,41,8,711,201,171,103,358,192,72,39,77,21,1232,759,248,1994,853,567,318,515,714,100,6064,53,15,41,62,81,50,30,93,11,441,59,20,48,90,78,34,25,68,4,426,25,13,5,12,13,5,10,16,4,93,69,50,52,80,55,37,60,120,57,567,1832,2567,2435,1906,1326,645,717,1265,232,12924
SOS43,894,686,184,431,390,111,42,154,32,2917,1128,562,327,836,603,198,93,236,62,4043,3898,684,5490,2093,1715,867,1341,2108,321,18525,315,46,127,131,213,112,96,226,15,1280,504,77,122,199,213,96,78,166,25,1486,84,64,38,32,47,13,29,44,13,366,419,133,132,146,137,122,127,234,156,1616,10388,9340,6863,4771,4322,1821,1928,3672,763,43869
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS49,6,3,7,5,3,4,0,0,0,21,0,12,5,8,4,8,0,5,0,47,13,10,55,22,17,13,19,25,9,176,0,0,0,0,4,9,0,3,0,11,0,0,0,0,0,0,0,3,0,15,0,0,0,4,0,0,0,0,0,4,5,0,0,0,0,0,5,7,5,24,47,114,76,58,42,28,33,71,15,489
SOS50,6814,10318,5806,6065,6409,2351,1860,2013,494,42118,10398,10807,10538,15698,11508,4901,3599,3992,859,72296,18147,10683,76831,30215,21197,10851,16610,15822,3132,203493,1105,719,1841,2803,2866,2639,1460,2756,174,16357,1836,1385,1882,3431,3823,1740,1278,1623,220,17222,1037,1963,1035,1033,1117,520,536,711,148,8104,1482,2284,1874,2348,2067,1229,1235,1701,2309,16524,94576,231161,116004,88521,82305,36456,33836,38792,10866,732509
SOS51,985,1453,728,979,773,326,293,350,67,5960,1638,1609,1518,2689,1712,645,546,714,139,11210,4142,2256,20871,6680,4841,2481,5496,4475,878,52121,294,186,574,710,808,721,479,811,54,4636,328,225,336,659,624,345,348,420,33,3323,130,191,149,122,130,71,90,157,30,1066,282,332,385,468,333,306,401,550,449,3499,12357,25511,26265,15125,11664,5759,8261,8807,1913,115660
SOS52,126,161,77,125,85,37,46,44,12,710,202,163,131,291,175,55,73,81,18,1192,614,240,2152,765,532,244,749,596,123,6013,45,37,50,100,83,56,48,102,15,530,59,37,32,78,70,25,36,61,12,415,27,12,12,9,15,8,9,19,4,116,60,51,79,85,49,42,92,98,68,625,1787,2568,2675,1794,1267,571,1124,1164,280,13235
SOS53,1024,675,371,394,464,166,170,180,47,3493,1087,560,543,722,676,197,248,321,47,4397,3527,815,7720,1918,1650,672,2312,1971,361,20957,242,65,193,203,269,162,194,321,19,1659,400,95,145,200,273,113,139,209,24,1610,137,95,60,49,55,28,44,71,6,539,451,126,188,210,167,112,205,285,190,1941,10616,9541,9822,4533,4755,1771,3597,4040,840,49508
SOS57,0,4,7,0,0,0,0,0,0,11,0,0,5,0,0,0,0,4,0,17,4,6,50,0,0,0,15,15,3,100,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,3,4,33,67,9,3,0,18,60,6,199
SOS59,10,12,4,12,3,0,3,13,0,52,10,17,20,27,17,4,7,21,0,121,13,26,164,51,33,19,49,63,5,421,0,0,4,7,0,5,6,17,0,43,0,0,0,3,4,0,5,5,0,21,0,0,0,0,4,0,0,0,0,13,6,0,3,0,4,0,3,6,3,32,80,233,220,161,97,42,89,176,23,1126
SOS60,501,649,317,519,488,138,51,114,40,2812,929,918,686,1296,1037,352,132,276,95,5720,1921,1024,5752,3117,2322,988,784,1254,290,17447,97,66,141,287,255,221,70,198,22,1348,140,113,106,319,289,115,58,130,18,1287,54,116,47,104,53,48,21,57,18,514,128,202,133,228,141,119,80,172,160,1366,9094,22587,9164,10032,7899,3630,2002,4068,1089,69574
SOS61,437,610,258,521,360,113,67,117,26,2513,865,913,557,1612,1026,355,165,295,73,5869,2848,1138,8144,4527,2863,1545,1905,2291,383,25649,141,65,189,417,353,334,165,409,20,2095,148,106,142,398,322,174,108,192,21,1610,45,100,53,107,83,40,22,75,11,527,131,174,160,272,172,141,174,312,232,1772,7212,15482,10471,10142,6611,3357,3067,4776,989,62115
SOS62,93,112,37,57,81,17,3,17,5,420,130,115,90,186,134,49,12,55,3,768,440,146,1216,490,350,174,346,365,67,3594,20,10,29,41,49,38,27,53,0,269,30,20,20,50,46,22,16,40,0,243,13,10,3,15,3,5,4,9,5,77,50,24,27,43,24,32,26,71,31,329,1198,2087,1558,1127,905,401,447,724,146,8604
SOS63,523,467,186,246,264,75,42,92,28,1915,694,496,337,624,458,165,67,156,56,3058,2386,572,4740,1787,1288,636,1185,1369,257,14212,114,36,81,154,165,121,92,174,10,945,150,62,90,189,145,65,54,111,8,876,41,54,31,38,30,13,9,33,9,253,211,104,114,136,105,83,101,171,87,1112,6255,7665,6071,3987,3224,1355,1639,2591,571,33352
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
SOS69,0,5,0,0,0,0,0,0,0,8,0,3,0,0,6,0,0,0,0,12,3,3,30,8,10,5,7,11,0,79,0,0,0,0,0,0,0,3,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,7,12,45,34,22,20,10,7,28,5,181
SOS70,370,416,236,378,296,81,57,93,21,1951,871,777,595,1260,859,258,145,226,93,5078,1431,877,4623,2142,1898,612,784,782,231,13371,92,65,93,193,222,133,64,134,11,1007,114,95,124,165,210,95,61,84,16,965,44,120,50,90,52,24,29,39,8,452,108,145,109,189,130,85,59,115,162,1099,6499,13907,6953,7154,5971,2201,1635,2252,809,47375
SOS71,91,148,50,144,81,33,7,24,16,583,262,249,145,482,229,65,34,47,17,1536,442,328,1412,795,565,177,231,262,89,4300,19,43,27,91,70,30,13,39,3,343,40,53,24,120,50,26,23,39,13,376,11,30,15,19,7,7,4,16,4,115,40,89,44,117,46,23,31,52,107,545,1884,4562,1960,2635,1608,527,407,645,354,14585
SOS72,32,49,22,47,19,7,0,7,0,186,57,57,42,106,51,5,13,22,3,348,213,142,360,276,128,44,87,141,29,1418,15,48,14,74,33,7,4,29,8,233,17,33,16,49,25,7,5,14,3,165,0,0,0,0,0,0,0,0,0,5,14,36,17,67,16,14,21,32,20,246,609,1028,510,777,372,115,139,273,65,3896
SOS73,119,112,43,71,71,4,15,23,12,467,217,149,99,205,182,35,21,56,10,976,620,251,1588,455,520,152,333,432,80,4426,31,36,44,64,60,32,31,76,7,376,35,24,45,48,49,14,21,36,0,276,10,16,0,4,14,0,3,6,0,68,42,45,56,51,40,17,33,67,44,388,1559,1759,1976,1083,1147,305,483,792,173,9282
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,6,6,0,0,0,15,0,40
SOS79,0,3,0,0,0,0,3,4,0,18,8,9,3,6,7,0,0,9,0,31,10,11,20,7,13,0,13,20,0,96,0,3,4,3,3,0,0,0,0,11,0,0,0,6,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,3,0,4,5,5,0,0,0,11,8,29,44,104,33,42,35,18,16,73,13,378
SOS80,1801,2088,800,1074,1595,392,180,258,140,8333,3286,3073,1682,3041,3350,779,302,590,332,16440,3804,2812,9749,4256,4692,1370,1154,1722,564,30130,265,256,218,408,504,301,80,192,27,2255,434,403,287,512,790,233,123,210,65,3045,182,418,136,157,185,68,45,70,31,1307,290,521,255,316,399,144,114,184,468,2701,37680,72061,17327,17953,25505,6727,3247,5794,3911,190200
SOS82,6,8,0,0,3,0,0,0,0,19,3,8,3,4,4,0,0,0,0,25,8,3,25,3,3,0,3,8,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,8,51,94,32,19,30,5,4,11,5,255
SOS83,4,8,0,0,3,3,0,0,0,19,6,0,4,0,5,0,0,0,0,18,20,3,38,8,7,0,0,3,0,84,8,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,87,49,46,13,25,5,0,8,4,249
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,3,0,0,0,0,0,0,0,5,0,3,3,6,0,0,0,0,0,11,3,0,10,8,6,0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,46,19,19,20,11,0,7,0,138
SOS91,9,4,0,0,0,0,0,5,0,27,8,6,0,8,11,0,0,7,0,45,22,13,74,19,17,3,11,23,3,183,0,0,3,10,5,6,0,4,0,31,0,0,0,6,4,0,0,0,0,10,0,0,0,0,6,0,0,0,0,3,4,0,3,5,3,0,4,0,6,28,74,90,95,69,54,4,24,37,7,452
SOS92,11,4,8,8,10,5,0,0,0,52,12,3,3,19,18,3,0,3,0,70,47,14,131,34,18,14,9,27,3,286,4,0,3,9,0,7,0,6,0,30,3,3,3,5,8,3,0,3,0,28,5,0,4,0,5,0,0,3,0,17,3,3,8,12,9,5,0,12,4,51,149,137,163,122,90,47,16,58,12,778
SOS93,6,3,0,0,0,0,0,0,0,12,4,0,0,0,4,0,0,0,0,12,19,6,27,4,10,3,3,9,0,79,0,0,0,0,4,0,3,0,0,10,0,0,0,0,3,0,0,5,0,8,0,0,0,0,5,0,0,0,0,5,4,0,4,0,0,0,0,0,4,16,44,37,37,23,29,10,7,14,5,202
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
