SOS_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOS29,538,340,876,170,99,264,102,82,184,1346,1306,2654,96,103,199,42,26,62,34,37,70,21,13,34,14,15,30,6,8,17,0,0,0,1660,1586,3243,283,285,568,58,39,95,2171,2008,4180,2241,1381,3624,4945,3734,8678
SOS30,780530,816859,1597391,86782,93423,180210,50115,54064,104180,24766,26495,51260,480697,518812,999509,6110,6608,12725,7177,7471,14647,3072,3320,6392,4776,4822,9602,4176,4296,8472,51,45,99,580940,625940,1206880,87956,97327,185284,19686,17739,37422,775360,834430,1609794,102799,95784,198588,1658688,1747078,3405769
SOS31,210595,215579,426170,41781,46180,87964,10134,11044,21177,5211,5633,10844,102914,113774,216691,1364,1452,2826,1990,2013,4001,855,994,1849,1490,1533,3026,531,547,1078,14,12,23,124500,137004,261501,10381,11389,21774,4955,4532,9489,181621,199108,380729,41488,34395,75883,433702,449077,882785
SOS32,36802,35629,72428,5365,5723,11089,1371,1424,2801,648,663,1313,13285,14080,27360,172,194,367,265,266,529,143,112,261,291,292,578,67,73,145,0,0,0,16242,17111,33350,808,909,1718,547,466,1014,22954,24213,47165,7483,6120,13605,67239,65962,133198
SOS33,130235,120195,250438,12394,12202,24600,4118,4081,8193,1693,1713,3405,41216,42077,83292,465,479,944,660,643,1300,260,231,491,698,668,1367,158,158,318,4,4,12,49263,50053,99309,2828,2828,5658,1473,1293,2761,65951,66373,132326,26128,18687,44812,222320,205257,427575
SOS37,17,3,20,0,0,0,4,0,4,0,0,0,8,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,18,4,17,0,0,0,26,3,30,111,24,135,149,28,183
SOS39,948,648,1590,339,239,577,521,521,1039,320,345,666,2315,2263,4581,97,84,184,146,147,288,52,58,111,58,59,121,30,19,48,0,0,0,3532,3503,7033,482,644,1125,75,58,135,4429,4444,8873,2215,1492,3704,7588,6582,14167
SOS40,329285,345483,674768,26389,28192,54577,6479,6160,12637,6119,6006,12125,3738,3838,7584,134433,144189,278620,1918,1812,3726,593,663,1249,1663,1713,3377,797,753,1547,22,19,32,155759,165141,320899,34199,35273,69470,3799,3300,7096,220132,231908,452045,26218,24901,51118,575643,602284,1177928
SOS41,87928,91577,179511,18703,20649,39359,1388,1457,2845,1927,1991,3913,1332,1402,2730,27547,30542,58089,682,755,1436,192,214,407,719,736,1454,136,144,275,10,0,7,33931,37237,71170,2720,2900,5619,999,953,1951,56345,61743,118092,11284,10027,21306,155554,163350,318905
SOS42,14963,14780,29746,2217,2229,4440,181,190,372,258,287,549,177,202,377,3678,3924,7605,86,93,179,33,34,66,154,135,286,10,6,22,0,0,0,4580,4876,9456,278,294,564,89,85,174,7154,7482,14640,2191,2044,4231,24313,24302,48613
SOS43,48000,43174,91171,4440,4096,8533,551,516,1068,709,730,1438,443,419,865,10399,10301,20704,271,286,557,85,82,167,262,266,529,26,21,51,0,0,0,12756,12621,25381,709,732,1446,244,191,434,18151,17641,35787,6780,4850,11632,72929,65662,138592
SOS47,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,0,12
SOS49,262,144,404,85,54,134,34,37,67,50,34,86,74,77,153,599,572,1180,35,39,77,11,4,15,20,18,36,4,0,3,0,0,0,827,790,1622,78,101,184,15,22,35,1008,965,1975,524,341,866,1793,1446,3241
SOS50,519265,538723,1057992,50910,54002,104909,7400,7705,15104,6543,7123,13664,5850,6071,11926,2043,2133,4173,234249,248748,482992,930,1062,1997,1808,1803,3611,778,794,1574,113,128,242,259710,275575,535286,49315,54937,104252,7485,6721,14204,367420,391229,758655,55659,45614,101271,942351,975567,1917922
SOS51,87240,88031,175272,20684,22003,42696,1409,1463,2870,1378,1448,2831,1976,1875,3850,578,573,1148,37791,41428,79222,297,332,631,705,715,1418,94,97,182,23,20,45,44251,47952,92200,4936,5502,10435,1558,1379,2940,71429,76837,148264,19850,16377,36235,178523,181249,359771
SOS52,15602,15200,30804,2690,2791,5485,148,151,296,126,135,252,206,187,398,104,98,197,4864,5077,9937,46,43,91,105,89,193,14,12,24,0,0,0,5598,5782,11388,479,611,1093,166,139,305,8942,9321,18264,3621,3198,6817,28154,27723,55876
SOS53,47928,42673,90602,4257,3945,8206,431,355,779,427,344,772,600,431,1029,215,162,378,15210,14165,29375,94,73,164,201,148,351,33,18,45,10,11,21,17211,15695,32912,1449,1388,2833,371,277,651,23289,21308,44601,14406,6826,21232,85628,70804,156428
SOS57,123,16,139,0,0,0,11,0,8,0,0,0,12,0,15,0,0,0,78,9,88,0,0,0,5,0,4,0,0,0,0,0,0,102,13,116,34,10,38,0,0,0,137,24,163,199,19,222,455,58,514
SOS59,365,234,595,139,96,234,161,141,302,131,129,257,206,200,407,42,44,91,889,802,1698,27,27,53,34,30,60,7,14,21,0,0,0,1499,1391,2889,228,255,488,32,21,50,1901,1766,3664,2225,1267,3492,4491,3264,7755
SOS60,48889,53047,101941,3906,4390,8293,3159,2849,6004,3174,3047,6220,1374,1477,2849,233,303,539,498,501,1003,17717,19305,37017,164,162,329,196,219,417,0,0,0,26509,27865,54376,5377,5805,11178,790,649,1436,36580,38708,75281,5118,4897,10017,90584,96656,187237
SOS61,55621,59339,114959,7199,8260,15462,2268,2311,4574,2178,2089,4262,1941,2110,4049,305,295,599,645,721,1362,19586,22711,42296,184,187,372,126,140,270,0,6,8,27235,30564,57797,3043,3018,6062,681,615,1291,38158,42454,80616,6433,6610,13042,100213,108405,208615
SOS62,8704,8595,17304,1242,1338,2583,410,441,850,321,309,626,376,400,775,53,52,105,113,132,241,2153,2208,4362,38,44,82,27,35,65,4,3,3,3487,3623,7111,235,237,471,64,50,115,5041,5247,10281,1136,1063,2205,14880,14902,29788
SOS63,33296,30516,63809,3205,3098,6301,1335,1240,2566,1067,1028,2093,1080,1125,2205,200,203,399,373,411,777,7139,7356,14495,117,115,236,90,75,167,3,3,3,11396,11551,22943,819,782,1598,205,169,378,15624,15604,31225,3892,3370,7264,52809,49490,102294
SOS67,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,6,0,5,4,0,4,13,0,19
SOS69,102,76,176,27,26,49,15,22,36,26,34,55,33,46,77,11,8,16,12,7,16,258,214,474,0,0,0,0,0,0,0,0,0,362,321,685,21,29,51,12,4,15,416,383,801,227,137,359,746,593,1338
SOS70,22666,22404,45065,1977,1965,3940,2122,1999,4125,1981,2058,4041,2204,2141,4344,851,946,1796,1190,1222,2412,157,162,318,12300,12860,25159,277,291,569,10,10,17,21088,21695,42785,4222,4859,9080,722,583,1307,28011,29107,57112,6536,4952,11490,57204,56458,113664
SOS71,11302,11476,22778,1601,1693,3290,507,628,1135,685,827,1513,666,682,1344,350,440,791,325,357,681,60,53,110,2807,2908,5715,64,89,149,4,0,4,5459,5981,11442,1180,1362,2540,211,189,410,8452,9231,17685,2236,2143,4378,21991,22845,44837
SOS72,7412,7738,15150,932,983,1915,148,176,325,163,205,366,273,279,553,85,70,155,65,112,169,25,19,49,699,725,1423,7,9,20,0,0,0,1469,1588,3061,152,157,312,52,51,105,2603,2782,5383,881,855,1729,10891,11374,22267
SOS73,9341,8606,17952,788,745,1533,427,389,814,262,268,528,535,531,1067,192,173,365,243,243,486,27,22,53,1791,1709,3502,19,21,39,0,0,0,3488,3350,6842,248,283,531,109,115,222,4641,4490,9132,3185,1911,5096,17165,15005,32174
SOS77,21,3,29,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,16,0,18,0,0,0,4,0,4,0,0,0,0,0,0,29,3,35,5,0,5,0,0,0,35,5,37,25,0,26,83,11,94
SOS79,289,235,525,65,51,117,115,113,226,114,111,223,145,141,283,42,41,86,72,59,128,7,13,16,112,103,215,7,5,14,0,0,0,608,587,1198,100,138,239,6,9,11,779,786,1563,666,577,1245,1733,1603,3337
SOS80,103163,108374,211534,5404,5553,10952,17104,17832,34936,4490,4576,9056,4208,4339,8543,1277,1251,2528,1419,1359,2776,377,395,771,651,612,1268,46062,47115,93175,18,17,35,75601,77492,153096,14512,15303,29814,1551,1162,2712,97067,99508,196573,9428,8543,17970,209658,216420,426079
SOS82,201,197,402,4,3,7,12,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,63,127,0,0,0,69,74,145,0,0,0,0,0,3,82,80,160,13,16,29,294,289,589
SOS83,112,106,224,3,3,9,42,23,59,13,4,14,19,11,27,5,0,5,8,4,7,0,0,0,0,0,0,50,47,102,0,0,0,129,92,221,21,9,31,0,0,0,154,107,262,48,36,83,313,250,566
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,46,23,68,6,8,19,35,36,70,13,19,25,11,7,17,0,5,5,7,5,12,0,0,0,0,0,0,72,100,170,0,0,0,143,164,302,28,33,56,4,3,5,182,207,383,99,37,133,320,267,587
SOS91,349,309,658,57,55,111,13,8,21,7,5,15,11,8,16,0,3,3,75,77,148,0,0,0,10,0,11,9,3,14,0,0,0,122,106,229,13,14,26,0,0,0,194,170,365,144,104,243,687,580,1271
SOS92,587,623,1207,88,117,203,86,87,176,11,23,29,79,93,165,7,0,4,43,46,88,3,4,5,8,5,18,15,18,34,4,0,0,243,277,528,38,42,78,0,3,9,371,436,813,156,159,312,1114,1212,2328
SOS93,195,206,402,27,25,53,24,26,49,3,0,9,14,12,28,3,3,9,9,7,13,0,3,3,0,0,0,0,0,0,0,0,0,54,51,109,19,8,25,0,3,3,104,91,189,289,57,347,585,360,938
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,0,0,0,0,0,5,6,4,5,0,8,6,4,11
