SOS_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,4,6,0,0,0,0,8,0,0,3,27,6,4,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,4,7,0,9,0,0,9,36,17,11,5,0,0,87,0,0,0,4,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,12,5,0,0,0,0,21,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,4,3,5,3,0,0,18
SOS30,49,554,451,804,420,229,109,33,11,2660,28,332,297,2325,870,645,568,403,127,5588,13,117,169,1364,478,607,1106,1032,623,5495,58,404,585,1123,732,334,237,82,19,3573,61,606,857,4595,1319,547,209,93,20,8298,3,22,35,224,157,182,116,77,14,833,51,329,747,2405,1056,983,671,314,67,6631,0,5,10,28,30,139,275,241,58,794,0,8,52,238,92,129,137,67,12,729,0,63,251,961,293,171,123,61,18,1945,17,172,1084,3420,183,59,31,6,0,4972,11,98,115,523,511,589,1387,1082,364,4689,624,5341,9848,26879,15209,12532,8586,3641,760,83424,0,3,14,125,77,108,114,54,16,507,34,370,424,1816,351,183,83,17,7,3276,16,292,796,1375,1481,1056,507,151,53,5733,102,1066,2008,5542,2368,1191,518,129,45,12978,3,40,49,608,305,322,474,194,92,2080,8,186,335,1278,830,867,510,147,24,4188,24,264,433,1527,1466,1842,1759,1191,351,8861
SOS31,0,4,10,20,22,3,8,0,0,68,4,49,42,219,98,96,104,104,25,737,0,10,21,168,50,87,267,273,199,1078,9,24,39,92,21,12,15,3,0,215,4,21,43,315,22,10,7,0,0,437,0,0,0,5,7,6,6,3,0,30,0,17,49,269,87,104,45,11,0,581,0,0,8,5,12,44,95,85,28,272,0,5,4,28,14,30,25,11,4,111,0,9,6,147,23,21,9,8,3,222,3,8,52,369,29,11,0,0,0,477,0,9,29,78,81,167,447,355,126,1293,77,545,964,3129,2397,2347,2268,949,160,12837,0,0,0,4,0,8,3,0,0,19,4,36,16,144,24,20,10,0,0,251,3,57,97,261,272,154,96,11,3,947,43,482,597,1455,613,186,53,6,9,3446,0,7,8,48,18,33,52,28,3,197,0,10,25,136,31,23,14,11,0,251,0,22,51,168,174,340,435,330,79,1598
SOS32,0,0,0,3,0,0,0,0,0,5,0,5,0,20,8,13,20,10,3,82,3,0,4,15,9,12,45,32,27,142,0,5,0,13,0,3,0,0,0,18,0,4,3,18,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,6,11,11,15,9,0,0,46,0,0,0,3,6,8,21,20,8,55,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,25,0,3,4,14,20,29,88,60,10,222,5,37,56,322,309,385,427,155,17,1705,0,0,0,0,0,0,0,0,0,4,0,0,0,8,3,0,6,0,0,15,0,12,13,41,48,60,28,6,0,203,4,30,28,72,25,6,6,0,0,180,0,0,0,3,0,6,12,7,0,28,0,0,0,3,0,4,0,0,0,11,0,8,3,28,31,64,78,40,11,261
SOS33,0,0,4,4,3,7,0,0,0,17,0,13,15,91,71,47,46,41,13,328,0,0,6,33,17,56,169,128,74,484,0,3,6,22,13,7,9,7,3,70,0,12,13,39,10,10,9,0,0,81,0,0,0,0,4,0,6,0,0,18,0,4,10,53,32,46,21,11,0,178,0,4,0,4,10,26,73,39,8,156,0,0,4,0,0,13,11,3,0,35,0,0,0,10,0,4,3,0,0,22,0,0,0,16,0,0,0,0,0,23,0,9,11,38,85,125,292,196,30,785,11,95,209,949,1128,1310,1102,347,43,5197,0,0,0,4,0,0,0,0,0,13,0,0,0,15,0,11,3,0,0,37,0,10,17,97,124,122,54,10,0,432,16,68,62,166,59,29,13,4,0,408,0,0,0,19,5,18,31,12,3,99,0,0,3,49,8,7,7,4,0,81,0,17,19,53,89,143,189,86,17,606
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,7,3,0,0,25,0,0,4,18,0,0,3,3,0,32,0,0,6,9,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,17,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,14,3,0,35,0,6,13,80,46,61,87,3,0,304,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,0,0,0,10,0,9,3,3,6,0,0,0,0,22,0,0,5,10,10,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,0,9,6,3,0,34
SOS40,0,46,98,339,184,114,48,18,0,849,0,86,65,360,210,207,204,160,79,1373,3,44,62,440,305,899,2135,2060,1251,7217,5,57,70,133,78,18,29,10,0,404,20,122,308,799,273,101,19,6,4,1651,3,48,50,195,158,172,142,75,28,868,30,291,574,1391,481,319,375,188,35,3687,0,0,0,21,24,82,222,146,54,546,0,3,11,39,26,9,6,7,5,113,10,59,208,558,149,59,26,7,3,1080,9,218,775,2429,107,24,23,3,0,3583,0,18,50,123,139,221,694,526,145,1926,26,205,357,1332,901,823,660,250,43,4596,0,0,5,25,17,28,43,24,14,153,50,497,539,1576,234,88,37,17,4,3041,3,10,31,85,145,66,30,9,3,389,19,339,766,1970,786,415,150,33,9,4496,5,16,26,402,244,376,530,185,101,1889,0,3,6,18,17,7,7,0,0,54,7,70,148,483,517,1049,962,614,207,4052
SOS41,0,8,0,13,4,0,0,0,0,22,0,9,13,38,21,36,43,33,12,205,0,3,3,29,24,55,181,185,92,567,0,6,3,13,6,0,0,0,0,32,0,7,15,33,7,0,0,0,0,69,0,0,0,9,3,4,3,3,0,33,0,14,31,146,47,25,17,6,6,297,0,0,0,0,3,16,26,17,9,73,0,0,0,9,3,0,3,0,0,18,0,3,14,62,27,7,4,0,0,122,0,0,10,61,5,4,0,0,0,83,0,9,5,23,25,70,298,181,53,661,12,53,93,299,286,296,223,90,12,1375,0,0,0,0,0,0,7,6,0,11,4,18,22,93,18,11,0,0,0,160,0,0,0,16,36,14,12,6,0,74,15,132,155,339,143,36,11,3,4,840,0,0,5,20,24,20,33,9,7,127,0,0,0,27,3,0,0,0,0,37,0,16,23,67,103,292,276,192,62,1020
SOS42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,0,26,0,0,0,0,0,6,13,12,9,37,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,3,9,0,0,0,0,0,12,0,0,0,0,3,13,66,27,3,117,0,0,8,45,48,42,37,23,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,5,0,0,0,0,11,0,9,19,34,9,3,0,0,0,78,0,0,0,3,4,5,7,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,24,47,29,0,111
SOS43,0,0,0,3,0,0,0,0,0,3,0,4,4,17,10,20,17,15,5,86,0,0,3,12,7,47,106,95,36,300,3,0,0,5,0,0,0,0,0,14,0,0,7,10,0,0,0,0,0,19,0,0,0,4,0,3,0,0,0,12,0,0,16,57,10,11,8,0,0,104,0,0,0,0,0,9,8,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,3,11,0,0,0,0,0,19,0,0,0,15,15,39,138,75,8,288,0,27,29,140,129,154,117,33,4,627,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,5,0,3,8,14,0,0,0,37,5,18,20,50,26,5,10,0,0,125,0,0,0,11,10,11,11,0,0,39,0,0,0,4,0,0,0,0,0,11,0,4,11,24,40,88,103,48,10,324
