SOS_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29,0,6,16,3,15,4,0,0,40
SOS29,77,37,26,13,0,0,239,4,20,25,17,21,9,0,0,98,44,280,153,107,71,37,8,0,701,25,95,66,56,79,42,7,0,372,100,227,210,170,141,83,20,0,949,29,26,20,17,13,7,0,0,112,3,13,17,25,11,11,0,0,90,131,270,243,211,161,104,20,0,1148,9,8,8,8,8,0,0,0,37,397,694,879,659,422,207,45,15,3316,608,1458,1448,1099,779,411,85,18,5907
SOS30,50421,35189,23487,14084,4945,819,171038,1734,14658,17178,16919,12259,7860,2317,396,73319,39298,139261,127603,92587,56561,37839,15289,3560,511996,22940,53287,61837,62686,48849,30969,13108,3231,296918,61393,106536,98654,93033,78311,49326,22320,5758,515339,14080,7415,5421,4472,3745,2736,907,160,38952,5027,6374,8641,10145,9625,8232,3948,1129,53121,80508,120328,112716,107648,91681,60306,27177,7053,607413,1396,2590,3050,2911,2717,2854,2029,701,18251,29409,39484,33009,28815,24736,23521,21080,14262,214317,177618,409365,405812,346766,260293,177432,85951,30025,1893251
SOS31,3489,3245,2711,1971,653,116,15228,255,1910,2343,2586,2215,1637,457,81,11493,4028,16809,16343,12632,9598,7340,2907,627,70284,2347,8526,11035,12451,12025,8331,3382,752,58847,15757,34135,32240,29993,28004,19162,8012,1694,168999,4699,2635,2012,1451,1271,940,286,34,13321,1222,1582,2001,2374,2347,2185,1019,236,12971,21673,38357,36254,33812,31621,22284,9322,1970,195294,223,491,461,552,638,717,557,170,3804,9807,12202,10972,10838,10510,10004,8764,4821,77923,38491,81186,80907,76112,69312,52284,26044,8532,432873
SOS32,397,443,520,385,120,9,2101,21,199,279,353,394,291,74,3,1613,431,1569,1826,1819,1631,1345,454,66,9142,274,925,1423,1914,2170,1482,514,78,8780,1935,4097,4406,4642,5126,3565,1264,176,25220,612,361,324,278,277,160,54,3,2072,150,171,256,352,464,396,146,17,1951,2691,4628,4987,5277,5862,4122,1461,198,29239,21,42,60,89,110,111,80,22,531,1651,1735,1673,2003,2312,2129,1508,450,13463,5108,9307,10644,11892,13000,9862,4210,837,64861
SOS33,1556,2063,2019,1390,430,44,8197,78,558,1011,1402,1392,964,221,21,5645,1501,5760,8051,8326,6582,4657,1466,225,36557,1140,2937,5038,7422,7370,4547,1461,197,30107,6752,12687,14722,16613,16532,10226,3212,453,81184,1678,850,719,821,775,504,126,12,5486,453,592,915,1425,1584,1165,442,56,6636,8879,14133,16354,18853,18897,11896,3779,520,93310,106,143,203,304,397,444,203,37,1838,5172,5130,5808,7576,8004,6504,3631,893,42714,16905,29309,38020,45952,44653,30398,11198,1929,218368
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,10,0,6,0,0,0,0,14,0,0,6,0,0,0,0,0,7,0,0,0,4,0,0,0,0,4,0,10,8,9,0,0,0,0,25,0,0,0,0,0,0,0,0,0,14,34,52,29,8,0,0,0,136,16,45,64,42,5,3,0,0,170
SOS39,85,57,57,46,5,0,369,0,35,21,29,44,33,0,0,168,91,514,200,142,202,146,33,0,1322,45,152,136,156,246,194,29,0,959,161,379,378,331,509,408,59,4,2225,51,34,26,13,30,26,0,0,183,10,29,34,32,59,46,9,0,208,221,439,436,377,593,475,68,8,2617,5,8,6,17,14,10,7,0,72,425,801,750,645,528,371,97,18,3642,799,2066,1632,1417,1684,1277,239,26,9143
SOS40,19155,11208,7924,5520,2102,453,66474,439,4407,5712,5189,4736,3639,1115,174,25420,14280,50473,43533,29197,20171,15470,6321,1695,181133,4198,14468,18056,18681,17263,12859,5319,1485,92327,16647,33988,30766,29830,27064,17975,8696,2860,167834,2810,3286,2462,1851,1496,1020,330,92,13349,1158,1846,2567,3474,3493,3144,1617,577,17871,20616,39122,35794,35148,32056,22133,10651,3536,199049,503,1009,1043,925,917,967,717,268,6356,6839,9092,8023,7525,7263,7656,7167,4805,58366,48029,137503,131319,107878,90336,68250,33383,12419,629121
SOS41,1503,1355,1109,908,343,53,6680,72,658,886,999,1010,981,282,38,4927,1433,5989,6009,5095,3788,3553,1519,367,27753,513,2610,3623,4573,4728,4055,1747,382,22217,5095,11492,10186,10133,9582,7020,3165,857,57542,846,1146,879,643,559,416,122,27,4643,318,530,717,953,926,994,510,132,5069,6262,13164,11779,11733,11065,8433,3795,1023,67257,91,156,191,195,243,262,240,82,1458,2350,2578,2532,2792,3098,3602,3472,1940,22361,10822,26463,26529,26734,25034,21790,11398,3884,152653
SOS42,125,110,149,104,47,8,702,9,67,91,112,150,129,30,0,593,152,711,677,571,513,563,193,42,3422,63,276,438,610,817,603,205,48,3068,639,1491,1494,1575,1858,1285,424,89,8855,117,168,130,91,102,60,14,3,686,34,84,94,141,180,153,70,18,780,790,1743,1718,1813,2139,1501,505,114,10327,7,21,25,38,31,54,36,13,221,473,425,502,634,793,890,646,336,4703,1504,3397,3577,3879,4605,3850,1659,555,23037
SOS43,538,663,626,495,160,14,2848,23,195,364,459,541,396,81,4,2060,628,2159,2797,2620,2245,1791,560,71,12868,187,863,1506,2322,2537,1924,513,64,9928,2134,3894,4445,5027,5204,3034,1001,146,24890,319,324,354,324,286,170,40,5,1812,111,157,315,519,552,419,128,18,2222,2567,4376,5111,5870,6036,3629,1175,170,28924,29,81,105,104,136,129,89,17,696,1434,1196,1296,1822,2210,1910,1110,320,11298,4881,9203,11712,13866,14326,10278,3691,656,68611
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,3,6,0,0,0,0,9
SOS49,17,13,4,3,0,0,76,0,4,6,3,9,9,0,0,29,12,78,44,30,42,21,3,0,234,5,23,28,26,42,22,4,0,154,50,101,79,84,85,69,9,0,472,19,22,6,0,5,5,0,0,60,0,6,10,8,8,8,0,0,45,69,127,95,94,103,83,9,0,577,3,0,4,8,4,0,0,0,12,77,172,183,149,143,75,13,8,820,173,443,376,325,345,212,26,9,1909
SOS50,30144,19671,12823,7710,2758,546,99944,808,8165,10370,9471,7385,4360,1352,224,42135,20931,79996,79026,54444,35003,23486,9201,2316,304398,9715,28323,34456,32394,27333,19179,8440,2291,162134,30050,59289,54098,48571,42603,27385,12145,3304,277435,10137,4585,3303,2645,2191,1486,561,113,25025,2126,3119,4529,5948,5744,4615,2377,774,29230,42311,66992,61925,57166,50540,33480,15089,4190,331686,922,1962,2462,2260,2045,2223,1520,549,13948,12830,20785,19050,16300,14195,12918,11587,8134,115792,89201,230803,237432,191705,149336,103359,49960,18246,1070039
SOS51,1741,1296,952,688,217,39,6409,91,921,1295,1205,946,608,166,26,5256,1270,7296,7769,5967,4118,2872,1180,284,30749,791,3721,5157,5037,4635,3186,1344,310,24184,6471,14837,14346,12616,10427,6203,2358,559,67814,2593,1386,921,706,575,335,103,19,6641,383,599,869,1102,1107,843,347,91,5337,9445,16820,16134,14435,12106,7375,2813,666,79800,99,252,297,307,304,336,231,70,1905,4418,5986,5758,5422,4869,3965,3021,1749,35194,16209,36374,38152,33673,27930,19040,8973,3154,183493
SOS52,139,125,134,91,35,0,674,5,95,96,125,131,83,18,0,552,138,761,764,626,554,404,174,40,3452,62,385,516,559,661,546,189,42,2958,683,1665,1577,1542,1694,1103,375,79,8715,274,187,118,107,108,61,19,0,878,50,90,111,139,159,137,47,10,744,1007,1945,1810,1788,1966,1296,436,94,10338,10,18,36,36,43,61,35,13,254,813,932,967,1114,1198,1044,702,267,7016,2043,4256,4331,4372,4683,3525,1592,448,25255
SOS53,540,564,633,436,158,21,2729,14,246,389,530,525,344,57,11,2121,565,2464,3082,3205,2603,1843,549,79,14392,324,1100,1717,2438,2773,1912,642,109,11018,2426,4476,5213,5668,5487,3198,941,118,27519,795,345,361,321,280,158,37,4,2305,139,170,340,545,608,469,172,32,2465,3360,4989,5903,6536,6371,3827,1151,148,32289,46,80,125,157,200,197,91,16,918,2257,3026,3131,3427,3252,2404,1240,246,18989,6605,12260,14884,16860,16365,10962,3884,637,82455
SOS57,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,4,14,13,8,10,0,0,0,39,0,7,11,4,0,4,0,0,35,8,26,39,15,7,0,0,0,100,4,4,0,0,0,0,0,0,4,0,6,4,0,3,0,0,0,7,10,29,36,21,9,0,0,0,117,0,0,3,4,0,0,0,0,11,22,49,74,49,21,3,0,0,224,38,97,145,92,48,15,0,0,428
SOS59,32,11,25,15,0,0,148,0,15,17,14,15,12,0,0,77,54,221,131,58,60,35,8,0,563,18,79,71,50,77,35,8,0,335,81,191,203,162,158,129,13,0,946,33,22,15,10,7,4,0,0,85,3,11,6,14,23,14,0,0,66,115,224,224,185,195,147,13,0,1105,6,10,0,8,10,6,0,0,32,339,659,809,752,507,257,72,22,3407,529,1270,1293,1073,876,505,105,20,5668
SOS60,3500,2111,1621,1183,427,109,16236,79,929,1074,1028,969,700,215,34,5037,2108,9274,6430,4591,3637,3041,1224,369,30673,519,2177,2216,2542,2378,2017,1035,333,13216,2185,5364,4606,4268,3867,2547,1283,392,24510,550,554,372,266,268,158,59,20,2250,180,290,304,369,495,515,241,117,2513,2915,6202,5275,4907,4625,3224,1581,532,29274,71,204,157,130,148,162,128,44,1039,1215,1891,1343,1183,1239,1503,1462,791,10625,7117,27752,19996,16491,14618,11829,6080,2207,106100
SOS61,1373,973,869,673,279,46,6736,46,501,620,587,581,508,173,24,3042,1049,5224,4219,3272,2884,2345,914,215,20119,389,1778,2215,2768,2734,2233,1107,300,13526,3248,7772,6515,6373,6211,4012,1875,487,36497,829,909,540,433,393,239,77,25,3453,231,342,377,503,647,668,316,103,3189,4316,9029,7430,7309,7254,4915,2266,618,43137,87,177,129,139,145,189,165,42,1079,1663,1851,1562,1671,1924,2432,2327,1127,14557,7613,21014,17542,16737,16390,13293,7225,2374,102189
SOS62,175,180,206,165,69,8,979,0,48,84,113,123,105,17,7,490,70,438,547,532,556,530,184,29,2894,38,185,301,419,492,454,183,46,2119,324,967,906,946,1152,763,300,53,5408,79,84,75,57,77,38,16,6,429,22,35,48,88,105,144,42,12,503,424,1082,1033,1095,1327,944,362,71,6334,7,8,20,21,31,44,25,4,159,252,240,227,314,422,508,389,165,2512,795,2180,2393,2663,3154,2743,1227,327,15475
SOS63,644,632,723,535,193,12,3227,12,172,260,382,456,362,72,10,1719,288,1590,2202,2097,2137,1702,485,65,10565,132,658,1195,1703,2090,1469,455,70,7771,1350,3347,3655,3998,4082,2358,698,106,19594,306,289,259,214,249,136,35,3,1490,84,146,191,284,448,308,103,10,1568,1734,3780,4108,4493,4777,2797,842,125,22660,27,33,57,80,96,100,58,16,473,874,845,962,1167,1542,1507,786,210,7895,3081,7568,9425,10560,11817,8470,2880,507,54307
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3,0,0,0,0,14
SOS69,5,5,5,5,0,0,31,0,4,5,0,7,0,0,0,20,0,25,15,13,16,8,0,0,84,4,8,3,12,13,12,3,0,52,17,41,38,35,37,16,6,0,180,10,9,4,0,4,0,0,0,34,0,0,0,4,4,0,0,0,7,23,49,43,45,42,16,6,0,221,0,0,0,0,4,5,0,0,8,44,57,54,45,60,73,8,3,342,70,148,130,130,137,108,14,3,760
SOS70,2062,1145,831,423,112,15,7467,55,662,719,627,468,217,46,3,2799,1071,6016,4389,2525,1623,973,305,52,16953,391,1889,2070,1952,1343,690,240,34,8610,1832,4232,3721,2899,2233,1120,366,62,16477,522,349,250,144,95,71,17,4,1455,126,204,253,300,220,184,80,14,1384,2483,4793,4224,3349,2551,1378,456,81,19307,48,159,133,104,67,68,29,12,615,1484,2457,1967,1636,1225,830,427,165,10189,5610,18774,15566,11336,8111,4574,1614,359,65938
SOS71,586,291,265,118,24,0,1951,14,197,232,185,149,63,13,0,855,217,1747,1175,761,552,256,55,9,4783,106,539,574,562,473,184,48,11,2496,504,1351,1202,1007,786,350,79,18,5301,137,134,127,81,60,18,10,0,556,55,114,127,109,98,54,17,3,586,697,1600,1460,1195,946,422,104,17,6444,14,38,29,31,21,13,6,5,146,746,1088,837,696,603,343,111,45,4465,1812,5867,4889,3714,3002,1392,369,90,21140
SOS72,64,60,68,26,0,0,309,3,33,46,39,42,20,3,0,186,49,291,213,162,180,73,12,0,984,31,125,135,150,152,59,12,0,665,165,396,424,426,344,142,24,4,1913,72,112,97,86,53,11,0,0,425,34,73,56,77,41,17,3,0,299,266,574,572,589,430,161,38,4,2638,0,0,0,0,0,0,5,0,8,469,486,381,310,322,195,41,9,2203,818,1602,1421,1311,1197,536,108,8,7000
SOS73,111,97,93,54,17,0,450,8,67,88,119,85,33,7,0,406,56,447,437,392,283,205,58,5,1883,62,277,346,499,396,214,48,0,1836,532,1128,1101,1217,970,453,122,15,5548,214,126,76,77,54,34,5,0,591,39,53,80,100,77,42,10,0,409,791,1312,1261,1404,1102,528,143,17,6546,3,16,19,10,15,17,14,0,90,784,837,762,843,734,453,171,31,4631,1716,3026,3029,3356,2706,1507,455,53,15841
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,7,0,0,4,0,0,0,0,0,6,7,3,0,5,3,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,4,7,4,8,4,0,0,0,32,0,0,3,0,0,0,0,0,3,6,6,4,6,7,0,0,0,26,9,19,16,10,12,0,0,0,71
SOS79,18,18,10,9,0,0,84,0,14,11,10,13,9,0,0,60,15,112,53,27,29,18,3,0,259,3,31,38,30,35,21,0,0,157,15,62,52,49,78,58,6,0,324,5,15,4,3,3,0,0,0,30,0,4,5,5,9,13,0,0,39,17,81,68,59,92,71,6,0,389,0,0,3,0,5,0,0,0,11,144,269,262,333,262,102,22,0,1400,183,547,451,471,441,228,30,0,2351
SOS80,14797,9899,6673,4197,1736,398,52679,299,3268,3853,3451,2869,2216,730,87,16768,7669,25745,20601,14078,9719,7416,3501,961,89686,1941,6121,7629,7045,5499,3707,1776,553,34268,4380,9436,8001,6867,5384,3229,1723,561,39587,1024,705,522,425,362,299,108,41,3493,364,499,722,973,1131,1141,586,200,5613,5768,10643,9248,8259,6882,4670,2419,803,48693,184,396,412,285,283,285,230,94,2175,3348,4245,3209,2374,2017,2019,1657,1035,19914,19760,64847,59754,45396,33940,24509,12047,3935,264186
SOS82,7,7,15,5,0,0,41,0,0,7,7,3,3,0,0,22,9,15,30,27,15,6,4,0,95,0,9,19,14,9,9,8,0,54,6,12,18,16,11,9,5,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,18,23,11,12,5,0,87,0,0,0,0,0,0,0,0,0,4,0,3,7,9,5,0,0,30,15,37,80,84,62,43,15,4,338
SOS83,3,4,4,0,0,0,12,0,0,4,5,3,0,0,0,21,14,29,18,9,10,10,3,0,92,3,13,8,11,11,5,0,0,45,10,30,18,16,12,12,0,0,100,3,3,0,0,0,0,0,0,11,0,0,0,0,3,5,0,0,6,13,33,13,16,14,12,0,0,112,0,0,0,0,0,0,0,0,0,27,15,6,18,14,7,0,0,92,59,100,52,59,60,36,4,0,375
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
