SOS_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOS27,0,5,6,9,0,0,0,0,0,0,0,0,0,5,6,9,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,6,0,6,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,38
SOS29,145,56,43,92,56,42,98,59,46,104,82,41,120,353,212,563,75,49,126,51,47,100,61,46,105,56,39,98,48,41,87,288,217,511,71,33,102,52,35,80,46,36,84,64,21,88,37,20,58,271,141,418,35,16,51,17,19,42,25,9,37,16,13,26,25,14,34,116,74,194,31,14,44,15,15,24,8,8,20,12,8,18,12,0,15,70,42,120,20,14,34,7,14,26,5,0,3,0,3,3,0,0,0,5170,3915,9089
SOS30,41142,20006,21108,41114,20496,21737,42237,20253,21979,42234,19797,21502,41298,100527,107499,208024,19725,21373,41100,18638,20211,38850,18027,19922,37953,17248,19458,36705,16999,18632,35634,90637,99601,190234,16670,18335,35005,16056,17783,33843,15303,17450,32750,15304,17244,32551,15163,16760,31931,78501,87581,166079,14762,16482,31241,14483,16167,30647,14219,15757,29974,13959,15235,29199,14611,16261,30879,72040,79900,151942,11886,13133,25018,11149,12717,23867,10347,11567,21917,8777,10120,18888,8626,9855,18480,50790,57388,108175,31674,38611,70283,16684,24037,40725,7267,13393,20661,1566,4123,5687,154,566,719,1766530,1848472,3614998
SOS31,11035,5512,5912,11422,5827,6165,11990,5946,6311,12257,6027,6414,12439,28658,30491,59152,5986,6390,12377,5759,6125,11887,5840,5964,11805,5677,5992,11666,5578,5784,11356,28837,30252,59089,5469,5886,11353,5434,5827,11262,5334,5696,11028,5489,5305,10796,5389,5420,10812,27122,28135,55253,5121,5288,10407,5078,5282,10357,4901,5101,9998,4885,4922,9804,5027,5119,10150,25010,25710,50726,4136,4215,8348,4029,4131,8156,3644,3912,7553,3140,3478,6616,3017,3315,6329,17957,19043,37004,11247,13047,24297,5882,7879,13754,2246,4068,6314,474,1154,1631,32,167,196,461686,475374,937057
SOS32,1914,955,1074,2030,1036,1133,2168,1154,1117,2272,1157,1153,2306,5220,5467,10689,1141,1222,2360,1163,1191,2351,1171,1112,2281,1150,1138,2287,1141,1086,2222,5763,5749,11515,1042,1040,2076,1079,1043,2126,1148,957,2105,1003,1020,2024,1030,876,1906,5301,4940,10242,1065,893,1965,992,873,1864,910,825,1736,884,779,1668,940,858,1803,4797,4230,9027,771,673,1445,760,623,1394,685,577,1258,546,516,1060,512,482,991,3271,2871,6150,1704,1576,3285,681,818,1494,260,333,595,50,96,149,5,15,16,71072,69579,140652
SOS33,7096,3624,3608,7230,3931,3683,7611,3865,3777,7641,4008,3822,7825,19005,18400,37409,4092,3683,7775,3945,3647,7591,3860,3479,7342,3722,3395,7110,3589,3305,6895,19211,17504,36720,3663,3082,6743,3475,3085,6557,3297,2933,6234,3358,2883,6237,3161,2730,5888,16958,14715,31668,3130,2555,5681,2953,2638,5591,2816,2340,5159,2715,2238,4953,2816,2208,5027,14431,11978,26405,2226,1788,4024,2125,1735,3861,1830,1491,3319,1585,1226,2810,1512,1188,2705,9276,7432,16714,4866,3789,8654,1937,1638,3577,650,663,1317,101,137,235,0,16,12,233099,215473,448574
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,28,183
SOS39,195,108,74,181,103,93,200,135,113,247,145,132,279,582,521,1101,143,138,281,158,122,278,130,133,257,145,131,272,139,137,277,715,652,1367,143,151,297,147,88,238,139,129,272,139,99,244,149,71,223,730,535,1269,134,85,225,120,88,208,101,52,154,92,59,149,73,53,131,525,330,854,63,30,98,53,25,81,45,23,65,33,24,65,30,12,41,220,124,348,63,37,101,17,18,35,0,4,7,0,4,4,0,0,0,7861,6807,14670
SOS40,14960,7353,7824,15181,7456,7789,15244,7411,7881,15288,7321,7864,15184,36800,39061,75864,7394,7946,15337,7093,7755,14849,6981,7672,14652,6746,7374,14127,6470,7396,13866,34684,38152,72837,6284,7212,13494,6292,6949,13241,5973,6882,12853,5947,6815,12764,5870,6619,12484,30370,34468,64833,5621,6668,12297,5687,6412,12102,5347,6249,11596,5359,6174,11531,5827,6504,12328,27842,32005,59853,4604,5287,9892,4159,5000,9157,3917,4604,8521,3506,4284,7793,3389,3988,7376,19567,23169,42744,13070,17211,30285,7817,11474,19291,3686,6751,10435,889,2266,3159,107,302,412,610146,634871,1245011
SOS41,4090,2079,2145,4220,2090,2276,4365,2237,2288,4521,2232,2371,4603,10650,11154,21800,2284,2429,4712,2192,2355,4552,2150,2410,4556,2227,2267,4495,2113,2311,4428,10965,11775,22741,2150,2309,4457,2120,2205,4322,2119,2336,4463,2191,2308,4497,2060,2256,4316,10643,11416,22059,2103,2260,4359,2047,2217,4264,2040,2186,4224,1927,2136,4057,2135,2373,4516,10251,11168,21418,1723,1955,3674,1698,1888,3588,1505,1704,3215,1377,1544,2920,1284,1536,2820,7583,8632,16218,5012,6005,11017,2720,3687,6411,1173,2031,3204,269,665,927,27,113,137,164653,171968,336623
SOS42,730,386,351,732,364,408,769,415,447,858,418,428,840,1915,2013,3933,466,422,888,422,400,820,422,457,881,422,417,838,473,426,900,2207,2116,4326,440,425,867,413,393,808,420,401,821,432,403,831,404,394,798,2112,2010,4121,408,375,784,429,396,826,401,347,747,356,363,721,386,333,721,1986,1811,3795,281,266,555,297,271,569,289,245,536,211,248,460,189,215,408,1269,1255,2526,763,818,1575,417,503,922,172,337,510,50,96,145,4,12,18,25555,25533,51089
SOS43,2293,1257,1145,2402,1351,1218,2570,1366,1280,2647,1337,1209,2551,6528,5932,12461,1406,1281,2686,1377,1244,2623,1325,1207,2526,1282,1111,2393,1301,1140,2446,6690,5982,12678,1267,1128,2388,1253,1061,2318,1204,953,2156,1211,983,2194,1086,933,2016,6017,5064,11079,1062,883,1944,1011,830,1843,1000,807,1798,868,698,1573,884,779,1664,4823,3999,8824,754,616,1372,684,556,1231,631,451,1086,521,399,923,491,363,855,3081,2383,5461,1550,1227,2777,628,553,1183,205,228,428,42,73,115,0,9,8,76352,69044,145402
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
SOS49,58,29,18,50,35,17,46,18,19,39,19,24,46,152,97,241,42,23,69,36,26,57,35,20,53,29,14,46,26,15,46,161,106,265,32,17,48,19,27,48,27,15,37,16,15,35,26,7,35,121,83,205,14,12,23,28,9,38,25,9,35,14,5,16,10,20,34,94,58,150,5,3,6,7,5,10,9,3,11,4,4,7,11,0,12,31,15,44,7,17,18,4,5,4,0,6,3,0,0,4,0,0,0,1873,1506,3377
SOS50,23962,11652,12279,23933,11932,12373,24307,11926,12379,24300,11608,12090,23702,58880,61322,120199,11342,11871,23215,10939,11723,22663,10458,11386,21845,10222,10955,21174,9800,10782,20580,52759,56717,109480,10014,10777,20794,9357,10575,19934,8958,10265,19226,8876,9933,18803,8679,9584,18267,45889,51141,97023,8531,9192,17723,8250,9012,17263,7887,8915,16803,7904,8467,16373,8243,8884,17132,40821,44473,85295,6372,6851,13226,5960,6486,12454,5738,6326,12063,4880,5565,10444,4923,5477,10399,27877,30707,58584,18319,22639,40960,10012,14341,24348,4280,7578,11858,1008,2295,3299,84,343,433,1007026,1036733,2043762
SOS51,4702,2369,2288,4655,2439,2350,4784,2470,2381,4850,2366,2435,4805,11990,11806,23795,2481,2499,4980,2265,2345,4610,2279,2331,4609,2161,2327,4486,2208,2123,4328,11394,11624,23018,2085,2172,4254,1903,2100,4006,1939,1896,3841,1807,1939,3745,1789,1914,3699,9528,10028,19555,1829,1871,3698,1710,1768,3478,1753,1703,3464,1660,1657,3322,1728,1755,3489,8680,8761,17444,1299,1342,2645,1232,1292,2524,1181,1227,2408,953,1089,2045,1009,1088,2097,5680,6041,11719,3710,4236,7949,1931,2698,4631,797,1308,2107,166,375,541,19,55,71,191322,193209,384526
SOS52,802,453,393,846,453,431,885,440,433,872,413,462,874,2151,2125,4279,498,424,921,422,414,835,451,457,908,421,400,822,462,401,863,2253,2092,4345,466,404,869,413,368,781,374,362,735,399,407,806,402,349,746,2048,1889,3940,399,351,750,388,336,722,335,311,642,338,290,627,353,302,646,1804,1577,3388,245,248,494,251,232,485,226,233,455,198,175,371,230,196,430,1154,1077,2233,717,732,1455,339,400,743,123,185,304,29,44,76,0,3,9,30040,29473,59508
SOS53,2759,1422,1289,2712,1462,1315,2774,1560,1325,2883,1487,1306,2790,7438,6486,13924,1463,1334,2798,1468,1235,2705,1415,1267,2683,1322,1186,2509,1355,1153,2511,7027,6176,13210,1373,1191,2567,1276,1043,2313,1195,991,2189,1185,940,2125,1096,903,2001,6124,5063,11188,1103,856,1961,1004,778,1781,947,711,1662,931,752,1677,943,762,1701,4925,3860,8785,723,586,1316,693,516,1210,583,454,1038,530,412,939,477,387,863,3010,2350,5359,1502,1210,2712,615,537,1160,189,209,395,34,53,90,0,4,5,89366,74281,163652
SOS57,4,10,0,10,0,0,0,11,0,11,4,0,4,26,0,26,11,0,12,10,0,10,6,3,7,5,0,8,0,0,0,27,3,34,4,0,4,0,0,4,5,0,3,0,0,0,5,0,3,9,3,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,58,514
SOS59,133,55,47,105,41,49,89,63,45,110,69,46,114,330,226,552,99,64,172,47,37,84,65,49,117,64,45,107,66,48,116,339,250,588,69,64,128,61,47,111,40,27,67,51,37,91,49,32,83,268,204,478,50,39,86,37,29,71,31,14,45,28,17,48,24,7,37,176,112,281,25,14,41,27,10,36,20,4,17,10,4,13,6,0,7,88,26,114,29,15,42,7,12,17,3,9,13,4,0,4,0,0,0,4639,3416,8055
SOS60,1952,993,1178,2169,1154,1234,2391,1084,1244,2328,1144,1244,2392,5305,5926,11229,1125,1276,2403,1077,1237,2314,1039,1234,2275,1070,1167,2233,1050,1209,2256,5357,6122,11479,1053,1169,2219,965,1144,2112,897,1125,2020,1032,1101,2134,944,1146,2087,4887,5684,10570,916,1106,2020,936,1063,1997,819,983,1803,841,998,1845,961,1110,2068,4471,5265,9734,683,891,1575,658,803,1470,615,801,1420,556,728,1287,560,660,1220,3077,3884,6961,2201,2798,5002,1158,1774,2935,525,977,1500,109,289,395,15,43,53,95846,101610,197451
SOS61,2637,1320,1375,2698,1357,1513,2870,1351,1475,2831,1424,1587,3019,6687,7361,14050,1436,1627,3061,1352,1502,2861,1387,1519,2905,1366,1464,2832,1202,1504,2704,6753,7611,14366,1348,1506,2852,1271,1447,2720,1231,1524,2753,1195,1433,2628,1299,1372,2672,6350,7276,13626,1242,1435,2676,1195,1410,2604,1211,1366,2576,1192,1339,2522,1348,1428,2778,6186,6971,13157,999,1182,2185,893,1145,2036,975,1087,2058,804,886,1691,770,931,1701,4444,5234,9682,2981,3772,6751,1581,2302,3885,647,1184,1829,127,347,474,12,40,46,106104,114062,220162
SOS62,446,200,227,428,236,271,503,240,260,501,260,276,535,1137,1277,2410,289,283,568,278,303,578,297,267,565,268,254,532,266,285,549,1393,1396,2787,287,245,532,279,254,538,234,251,486,243,274,522,275,246,517,1327,1267,2597,279,216,492,236,235,475,236,236,472,207,224,437,247,205,455,1204,1115,2319,199,189,392,175,158,333,165,153,315,128,133,264,140,98,243,809,734,1546,461,471,934,212,263,477,82,122,202,13,14,30,0,0,0,15622,15575,31196
SOS63,1615,876,852,1732,922,911,1829,1019,959,1972,1079,955,2039,4702,4494,9190,993,999,1992,1006,1007,2015,973,931,1901,980,895,1874,979,905,1890,4937,4738,9675,945,798,1743,931,771,1703,849,777,1625,919,698,1622,851,710,1564,4494,3754,8249,766,624,1389,788,641,1434,679,571,1253,727,549,1276,669,551,1220,3632,2937,6571,533,398,932,496,376,875,436,336,773,380,263,641,338,254,596,2186,1637,3818,1064,865,1926,445,399,845,133,141,269,25,33,56,0,0,0,55419,51943,107361
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,19
SOS69,19,0,15,22,18,4,24,9,8,17,17,9,24,57,57,111,16,10,28,12,8,24,13,3,14,3,14,19,5,11,17,54,42,91,14,0,14,10,4,14,11,14,23,10,7,18,10,8,22,61,34,91,3,12,13,12,10,21,6,6,10,8,4,9,6,6,13,31,36,68,0,4,8,5,0,5,0,0,0,0,3,0,4,3,9,13,8,24,0,7,6,0,4,3,0,0,0,0,0,0,0,0,0,758,616,1377
SOS70,1379,679,623,1303,622,628,1249,677,627,1302,658,629,1287,3340,3183,6523,596,652,1252,587,569,1159,564,547,1109,529,496,1019,488,490,983,2760,2758,5520,495,438,935,448,465,915,457,451,911,417,400,822,399,352,755,2230,2109,4336,380,394,774,392,346,740,360,310,668,312,314,625,325,315,636,1757,1687,3445,251,238,488,211,195,408,205,182,380,171,155,325,165,169,329,998,938,1934,532,622,1151,227,268,490,81,123,205,15,28,47,0,0,4,61583,60623,122207
SOS71,560,246,266,514,231,291,522,266,262,533,259,258,516,1304,1344,2642,263,279,540,210,216,425,203,235,434,225,218,445,215,213,435,1118,1163,2278,190,200,391,173,167,335,171,163,337,146,128,274,126,138,264,805,794,1598,121,118,243,106,101,206,95,77,173,83,73,161,86,69,150,498,440,942,51,72,121,52,52,110,38,56,94,55,49,98,45,44,89,246,264,514,161,177,339,55,101,157,19,49,66,4,9,16,0,4,5,23900,24553,48456
SOS72,275,124,124,248,119,108,227,123,131,259,102,136,240,598,650,1250,131,121,253,76,112,188,72,115,191,90,102,185,76,100,174,446,545,993,94,89,178,66,78,143,61,84,143,59,66,125,58,57,110,335,365,699,55,73,128,56,46,102,46,40,82,34,39,72,31,35,62,225,231,455,32,23,58,27,29,52,20,17,36,13,15,29,17,14,30,110,97,207,50,53,107,17,19,38,8,0,12,4,5,3,0,0,0,11918,12253,24165
SOS73,489,243,219,464,297,211,506,229,231,466,265,180,445,1272,1092,2361,267,205,470,204,193,395,264,173,435,195,184,378,204,177,380,1135,926,2061,220,156,374,184,160,342,163,127,290,165,141,304,157,116,278,884,705,1584,135,117,255,147,111,256,113,93,205,116,83,196,117,86,201,632,487,1118,97,56,153,81,47,127,62,55,123,72,41,110,53,33,90,363,233,595,149,113,263,40,29,73,19,23,44,0,6,4,0,0,0,18220,15958,34172
SOS77,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,4,0,4,3,0,3,9,0,9,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,15,99
SOS79,46,35,30,64,21,27,51,36,38,72,32,27,57,154,138,296,30,28,54,32,32,61,26,25,54,24,29,50,39,25,57,146,139,289,29,27,51,26,10,40,33,18,45,14,20,35,24,10,38,124,89,215,21,5,27,19,11,23,16,4,18,17,3,19,11,4,14,78,25,103,6,5,8,6,6,12,4,5,6,0,0,0,4,0,5,20,9,32,15,7,13,6,4,7,0,0,0,0,0,0,0,0,0,1826,1675,3500
SOS80,4852,2367,2413,4784,2282,2458,4737,2318,2346,4665,2302,2469,4777,11600,12217,23813,2215,2370,4588,2150,2255,4408,1997,2237,4237,1950,2173,4124,1887,2137,4019,10201,11170,21368,1817,2086,3900,1674,1955,3635,1739,1910,3651,1739,1949,3693,1616,1941,3553,8596,9837,18430,1609,1913,3517,1615,1858,3473,1551,1733,3284,1566,1757,3329,1616,1874,3494,7961,9137,17096,1364,1466,2832,1152,1327,2477,1064,1284,2341,920,1106,2030,944,1092,2039,5445,6277,11725,3313,4261,7578,1852,2574,4424,801,1261,2069,190,426,617,11,53,59,223365,229301,452670
SOS82,5,6,6,7,4,8,10,3,4,7,3,3,5,22,19,34,4,0,4,4,8,14,5,7,9,5,4,8,0,5,3,14,22,32,0,4,8,0,0,3,8,6,10,6,3,10,0,3,7,9,21,29,3,0,4,4,0,8,0,5,5,4,3,3,4,0,6,18,14,30,7,0,0,0,0,4,0,0,4,0,4,4,0,3,3,8,8,16,8,5,10,0,3,6,0,0,0,0,0,0,0,0,0,307,304,615
