SOS_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14
SOS29,0,0,0,6,7,10,5,3,0,32,0,6,3,10,12,18,15,3,3,69,21,145,182,162,145,84,25,5,0,772,0,0,0,6,9,9,5,0,0,30,26,37,64,77,69,64,37,10,3,386,243,199,318,153,95,122,52,15,3,1197,235,183,312,354,183,122,67,9,6,1475,549,556,878,730,479,429,224,58,19,3915,0,15,38,51,107,123,109,37,12,490,76,93,133,123,117,85,44,20,3,684,0,0,6,17,26,42,40,15,0,148,0,0,0,4,7,0,4,7,0,23,0,0,8,27,70,56,54,17,0,229,0,4,6,19,39,58,66,27,9,234,0,4,3,12,22,15,14,6,5,70,0,4,10,13,42,38,34,7,0,154,44,240,305,321,317,167,60,17,6,1470,0,0,0,5,19,13,12,10,0,68,71,64,124,139,152,126,71,15,5,769,483,423,679,408,297,283,150,36,9,2768
SOS30,220,347,702,1075,1528,2195,3085,3690,2515,15357,559,338,581,1158,3112,7024,10478,8507,3354,35105,8005,37103,42733,35974,33495,26069,15741,8166,5045,212330,100,123,277,620,1386,2387,3619,3975,2592,15079,12246,14731,21074,24056,27168,28007,23848,14615,8788,174537,268195,152531,172056,163125,136071,95590,57689,22358,5781,1073398,26055,18886,21137,18888,16923,13868,10467,7075,5004,138295,329242,232752,269637,261186,242960,207093,167478,96003,42120,1848472,586,2509,7887,16637,36434,62573,81456,59008,24306,291393,41147,39670,48214,47441,42026,34817,29944,16449,5218,304919,628,1012,2469,5730,12515,21787,31150,23358,8282,106927,59,53,116,153,354,1026,3828,9759,10824,26168,1066,2530,5014,10661,22001,34281,41192,26682,7684,151103,1249,1386,2135,4035,10870,24524,40591,36647,17716,139155,573,658,1228,1938,3082,4677,6923,7468,4306,30848,1264,729,1184,2312,5658,12753,19512,16350,5878,65638,17662,56460,66820,59317,56116,43937,27894,13966,7127,349299,222,255,514,1160,2780,5382,8504,8873,4562,32255,31315,26521,33911,39894,46630,49257,42421,25265,13043,308256,540690,322549,351755,327040,272778,188202,109817,42188,10109,2165121
SOS31,69,100,162,266,436,798,1317,1506,861,5516,146,81,154,397,1205,3049,4281,3047,961,13325,2531,8155,9702,9336,9532,9016,5637,2709,1541,58161,19,25,82,202,476,913,1386,1427,793,5337,3437,2938,4395,5425,6741,8203,6926,4253,2425,44749,68619,32502,35528,32685,29582,25117,16567,6928,1814,249336,9247,5466,5870,5404,5446,4845,3913,2773,1650,44610,88298,51719,59061,57630,58721,60747,53847,32094,13262,475374,182,610,2037,4891,11071,22228,30915,22004,8290,102233,12668,9340,11314,11584,11105,11462,10559,5674,1534,85247,163,225,600,1333,2971,6475,10503,7691,2490,32452,21,20,22,47,120,473,1375,3152,3374,8611,358,695,1378,2985,6629,11855,15233,9875,2704,51716,390,397,657,1182,3460,8637,14859,12919,5856,48361,162,181,307,487,887,1681,2869,3036,1491,11102,362,168,307,778,2240,5796,8599,6388,1928,26567,5477,12939,14934,14949,15775,15219,10543,4966,2257,97067,53,72,161,358,901,1929,3248,3161,1430,11313,8820,5734,7051,8911,11655,14641,12812,7607,3648,80877,137591,69435,72630,65673,59945,49855,32744,13601,3291,504765
SOS32,8,8,24,27,59,138,206,219,97,789,20,3,18,44,148,549,604,410,104,1900,314,865,1020,1079,1319,1530,832,283,103,7349,0,0,18,28,76,159,220,184,104,783,438,341,441,671,935,1415,1068,479,187,5977,9540,4261,4488,4539,4712,4687,2973,1059,208,36467,1640,804,828,818,936,1027,813,454,144,7462,12491,6630,7257,7830,9267,11218,9174,4447,1263,69579,27,94,216,623,1733,4169,5300,3052,839,16052,1571,1091,1206,1418,1676,2000,1740,834,150,11700,32,25,67,169,530,1175,1791,1081,240,5099,4,0,3,3,13,66,174,335,312,912,34,83,191,456,1118,2102,2714,1469,285,8456,69,78,114,182,567,1614,2606,1857,588,7675,20,16,40,52,131,316,512,457,192,1728,47,17,41,91,324,1049,1385,984,202,4141,642,1376,1566,1769,2329,2678,1673,567,160,12776,10,4,22,49,124,373,547,436,182,1741,1067,670,719,1141,1723,2664,2141,978,313,11413,19381,9264,8996,8987,9515,9406,6315,2272,394,74533
SOS33,28,25,50,88,182,332,448,385,161,1703,53,33,48,138,457,1271,1572,863,174,4608,814,2499,2710,3304,4068,4008,2094,617,152,20274,15,10,26,77,166,380,507,427,147,1757,1112,1044,1381,2096,3061,3992,2869,1224,326,17100,29777,14677,12529,15374,18510,16626,9567,3062,488,120625,4168,2676,2568,2982,3598,3578,2597,1216,256,23639,37565,21960,20340,25889,33453,35907,26694,11227,2454,215473,72,250,670,1953,5611,12364,14712,7754,1731,45116,4545,3353,3417,4642,5608,6198,5000,2091,391,35241,88,92,190,540,1721,3675,5168,2974,571,15014,8,7,8,16,61,172,420,734,510,1950,133,243,400,862,2442,5322,6436,3394,553,19779,149,164,175,422,1513,4359,6995,4843,1279,19898,58,58,98,184,392,741,1117,955,352,3949,119,87,89,289,916,2650,3562,2153,407,10264,1742,4011,4240,5341,6968,7341,4341,1337,292,35614,21,28,56,146,351,871,1382,1133,334,4318,2864,2167,2260,3528,5507,7750,5941,2471,626,33132,60504,31951,25994,31185,37933,34591,20710,6862,1025,250753
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,4,13,5,0,0,0,0,0,24,0,9,13,7,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,13,10,0,0,0,0,42
SOS39,0,0,3,0,8,14,16,0,7,52,0,0,7,6,23,63,61,8,5,173,25,165,216,170,181,179,104,6,6,1047,0,0,0,5,10,17,14,8,3,61,21,59,86,87,109,176,115,11,0,670,490,364,652,343,312,422,304,47,0,2934,124,199,380,267,232,217,127,28,5,1578,680,777,1345,885,887,1170,870,160,25,6807,3,7,33,80,160,444,484,117,13,1341,87,109,187,160,137,194,172,25,5,1078,0,6,4,19,45,106,163,45,3,390,0,0,0,0,0,8,11,8,6,44,0,0,20,32,74,163,204,70,6,579,0,5,9,24,49,165,249,80,13,591,0,0,7,7,13,21,40,10,3,115,0,3,11,17,45,116,139,31,3,376,68,248,363,339,327,333,202,25,6,1912,0,0,0,10,18,38,44,18,8,143,65,107,137,162,204,318,253,33,3,1281,990,705,1300,787,642,893,711,136,10,6171
SOS40,119,133,226,323,448,718,1129,1199,972,5267,138,90,154,375,1032,2410,3569,2951,1474,12177,2041,11281,14187,11796,11291,10306,6711,3711,2887,74207,31,37,87,165,437,831,1298,1628,1352,5866,3840,4623,7159,7985,9312,10905,9620,5863,4261,63563,85778,50714,59318,54076,43894,35454,22631,9311,2841,364019,6458,4671,4913,4755,4645,4226,3389,2448,1573,37083,102799,74421,89419,84854,78507,77213,66473,40379,20793,634871,183,753,2607,5477,12467,24162,32887,25444,13315,117295,13237,13001,16317,15883,13972,13482,12171,6899,2716,107685,210,281,684,1636,3645,7462,11596,8639,3826,37988,10,25,34,62,133,434,1530,4106,5947,12277,356,864,1961,4539,8884,15106,18866,12742,4985,68308,360,388,649,1191,3712,9162,15530,14473,9016,54475,277,283,421,614,951,1617,2489,2557,1724,10938,351,213,356,701,1837,4467,6732,5626,2668,22944,4146,17143,22450,19763,19479,17503,11544,5977,3978,121988,71,65,161,329,949,1976,3256,3479,2383,12666,9852,8389,11269,13242,16082,19253,16991,9941,6258,111284,172469,109151,124258,110645,89928,69837,42552,17320,4982,741145
SOS41,23,34,51,78,144,247,401,439,291,1709,31,29,37,133,408,939,1365,1178,462,4583,647,3034,3808,3329,3613,3456,2353,1301,773,22314,0,15,29,64,148,272,428,572,364,1896,1057,1099,1726,1970,2539,3044,2797,1750,1120,17096,22668,10768,11223,10832,11035,9777,7618,3452,936,88309,2437,1303,1391,1337,1471,1513,1433,1080,627,12595,28506,17202,19224,19093,21310,22924,22586,14636,6494,171968,55,234,776,1699,4083,8295,11959,9639,4225,40963,4532,3798,4481,4345,4411,4670,4431,2725,892,34283,71,77,162,432,995,2270,3873,3331,1185,12399,7,7,7,12,48,142,542,1498,1728,3992,127,252,497,1029,2437,4741,6646,4854,1705,22293,118,110,186,368,1088,2961,5499,5480,2804,18612,60,66,92,170,291,575,887,933,513,3579,90,67,100,227,744,1750,2687,2348,888,8905,1337,4740,5918,5369,5942,5798,4210,2185,1078,36578,11,21,49,91,292,654,1078,1275,686,4154,2761,2089,2750,3223,4351,5508,5121,3071,1679,30558,45160,23382,23746,22118,22248,19485,14633,6451,1665,178887
SOS42,5,3,10,14,22,43,59,56,36,244,11,5,7,12,68,142,234,132,58,664,95,323,410,414,490,599,347,138,108,2916,0,0,0,6,18,40,78,63,54,269,137,108,175,247,353,474,413,196,153,2262,3161,1452,1582,1495,1638,1708,1370,551,150,13111,389,228,208,242,287,372,318,203,120,2363,3989,2239,2555,2624,3153,4133,3821,2067,949,25533,12,23,85,236,613,1587,2057,1372,596,6587,546,404,505,561,571,793,771,376,130,4659,9,7,17,47,158,376,682,452,172,1926,0,0,0,3,3,17,99,180,260,567,11,30,71,141,356,842,1140,721,223,3539,19,23,35,53,193,539,948,774,394,2970,6,6,19,27,42,83,156,145,67,554,16,5,17,22,102,286,499,320,113,1381,165,511,665,701,854,1057,687,262,160,5070,0,0,3,13,34,124,198,158,102,637,334,210,272,395,647,934,807,371,219,4194,6376,3186,3234,3077,3334,3522,2724,1067,266,26789
SOS43,14,14,3,33,55,80,126,78,37,448,21,16,13,30,128,334,390,210,52,1187,191,778,899,1042,1221,1257,665,201,56,6311,4,0,10,24,54,108,129,122,40,499,354,355,429,685,964,1274,917,359,83,5420,9859,4796,3853,4928,6010,5741,3467,1064,211,39929,1046,628,557,619,908,1016,777,355,108,6012,12066,6984,6110,7971,10470,11916,9060,3608,859,69044,31,88,210,596,1730,4069,4742,2457,563,14498,1653,1310,1201,1591,1848,2144,1723,717,127,12319,13,24,62,162,496,1169,1651,892,169,4630,0,0,0,0,12,42,98,226,113,493,57,94,134,283,866,1936,2486,1205,260,7317,34,34,45,110,443,1438,2214,1418,414,6151,25,25,21,56,105,219,319,207,78,1061,33,24,31,74,235,738,961,532,127,2741,386,1224,1344,1688,2135,2344,1383,404,91,10988,5,6,16,35,110,274,411,326,92,1276,838,670,703,1098,1780,2479,1857,694,169,10277,20031,10650,8343,10068,12594,12210,7487,2373,417,84159
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
SOS49,0,0,0,0,0,0,4,0,0,11,0,7,3,5,7,13,14,0,0,41,17,65,77,59,39,34,20,6,0,317,0,0,0,3,8,3,0,0,0,17,5,23,34,17,20,33,21,4,0,161,125,83,123,75,60,79,39,6,5,593,42,37,73,79,46,37,22,3,0,345,197,214,305,245,178,197,141,26,10,1506,0,5,17,21,40,74,81,19,5,263,41,69,65,51,48,31,31,9,0,345,0,0,0,4,7,19,29,4,3,70,0,0,0,0,0,0,0,4,0,8,0,0,8,4,31,37,49,8,0,149,5,0,6,0,9,28,36,9,4,100,0,0,0,0,5,7,8,0,0,22,0,7,3,7,7,24,24,6,0,74,28,104,132,103,92,75,38,6,0,580,0,0,3,4,9,7,11,0,0,35,15,43,48,31,63,76,42,8,0,328,248,170,265,197,167,172,97,21,4,1338
SOS50,138,165,274,459,670,1028,1546,1688,1194,7165,205,146,259,483,1336,3170,4937,4122,1779,16426,3590,18120,22169,18649,15979,13003,7749,3901,2452,105616,52,47,113,301,631,1080,1725,2035,1520,7505,6261,7273,10325,12172,13133,14560,12498,7441,4522,88174,158292,82594,101306,99937,79213,58335,35825,13057,3612,632172,12841,8811,10698,9610,8854,7374,5711,4057,2854,70807,188701,121434,150941,150691,133403,118041,95610,53346,24562,1036733,352,1274,3802,8155,17467,31680,42474,31525,14053,150792,21343,19036,23320,23415,20191,17302,14498,7806,2709,149625,370,486,1207,2926,6165,11223,16436,12011,4454,55273,15,39,37,69,152,545,1810,5039,6084,13782,593,1284,2588,6282,12284,19682,24769,15773,5302,88559,472,476,792,1813,5391,12853,21377,18919,9498,71588,340,323,526,948,1377,2251,3435,3753,2229,15191,467,305,514,952,2465,5806,9428,7999,3222,31153,7601,27282,34331,30412,26625,21504,13357,6506,3424,171025,90,109,215,602,1275,2479,4181,4662,2699,16314,15675,13174,16400,19762,22654,25406,22339,12790,6888,155098,319602,175883,205558,202562,160692,116058,68140,25129,6350,1279967
SOS51,28,23,52,116,195,266,369,354,226,1624,46,29,34,102,308,790,1093,770,311,3479,757,2951,3937,3703,3469,2828,1661,780,476,20565,6,9,32,61,144,233,398,424,314,1627,1211,1031,1642,2027,2398,2636,2120,1311,785,15164,30149,12808,15849,15904,13467,10599,6495,2474,647,108394,4570,2478,3053,2945,2648,2267,1650,990,566,21169,38455,20172,25862,26589,25204,23429,18788,10277,4441,193209,91,227,746,1751,4036,7300,9231,6330,2641,32364,4915,3411,4241,4448,3993,3756,3073,1587,524,29941,60,58,215,526,1169,2260,3284,2374,814,10762,4,0,11,18,38,138,406,1058,1195,2861,142,253,588,1176,2546,4432,5081,3084,974,18273,123,100,180,362,1120,2647,4211,3516,1777,14039,79,44,127,189,369,559,801,780,418,3373,116,71,88,173,555,1492,2189,1609,575,6864,1583,4519,5899,5736,5602,4888,3001,1360,687,33279,17,13,53,106,280,527,953,929,530,3397,3036,1998,2566,3197,3986,4629,3892,2346,1187,26826,60728,27485,32244,32207,27860,21548,12956,4784,1167,220983
SOS52,7,0,12,19,33,54,79,67,30,303,5,4,3,22,73,163,236,126,38,666,70,317,442,468,480,517,301,119,39,2759,0,0,3,12,35,49,83,69,31,284,148,124,188,281,375,463,310,194,92,2167,4164,2000,2271,2056,1858,1770,1114,435,104,15779,868,389,461,438,449,505,380,252,101,3855,5480,2990,3567,3557,3733,4222,3469,1818,636,29473,16,33,100,254,608,1390,1940,1110,368,5812,576,413,524,575,645,736,685,304,76,4527,10,9,29,65,156,443,587,425,124,1840,0,4,7,5,12,27,75,128,118,375,27,49,105,254,559,882,1109,580,148,3697,29,35,41,106,230,588,888,641,247,2798,11,7,20,32,71,116,172,140,62,625,14,4,8,40,123,325,549,321,87,1479,195,498,683,776,821,894,614,224,75,4774,3,0,12,21,60,124,208,172,61,657,376,246,288,452,645,864,686,353,143,4048,8443,4187,4521,4111,3963,3693,2341,877,207,32330
SOS53,6,5,12,32,64,93,123,102,38,470,22,8,8,35,89,258,376,215,45,1063,207,829,904,1096,1228,1187,593,176,52,6269,3,4,7,22,43,85,143,116,38,453,361,327,431,633,968,1235,858,347,112,5275,10243,4858,4590,5734,6672,6215,3470,1011,153,42952,1422,937,1002,1135,1351,1340,952,404,74,8615,12755,7272,7309,9310,11683,12660,8919,3563,805,74281,16,90,231,596,1686,3729,4364,2211,545,13471,1399,1100,1106,1492,1804,1838,1417,563,102,10828,26,23,46,172,547,1243,1661,947,173,4841,0,5,3,5,12,43,104,250,161,582,42,70,148,301,921,1633,2070,1036,212,6443,36,35,56,105,475,1329,2080,1408,377,5901,20,12,33,61,130,230,294,260,84,1122,34,26,22,49,187,587,908,560,109,2486,501,1307,1393,1733,2083,2106,1209,383,76,10806,9,5,11,35,106,212,381,319,88,1168,881,665,702,1092,1699,2282,1792,718,193,10018,20982,11212,10280,12298,14358,13415,7709,2329,349,92926
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,4,5,5,4,0,0,30,0,8,3,3,8,0,0,0,0,20,0,13,14,11,9,3,4,0,0,58,0,0,0,0,0,0,0,0,0,14,0,0,0,8,4,4,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,22,60,84,56,24,8,0,0,248
SOS59,0,0,0,0,0,3,7,0,3,11,0,0,4,3,10,7,12,3,0,46,4,62,79,88,61,35,20,0,0,348,0,0,0,0,3,0,8,0,0,18,9,25,32,40,33,40,27,3,0,210,269,136,307,193,131,168,91,13,0,1296,93,172,267,281,223,162,87,14,12,1315,380,410,692,613,468,477,316,38,16,3416,0,10,6,35,61,122,136,24,3,399,28,50,72,68,56,40,35,10,0,371,0,0,4,9,16,33,53,10,0,130,0,0,0,0,0,0,0,0,3,11,0,4,9,14,31,54,65,8,3,198,0,0,6,12,22,44,68,24,4,185,0,0,0,7,7,7,13,3,3,33,3,4,3,9,17,20,35,10,0,103,14,104,149,157,133,86,36,9,6,688,0,0,0,0,10,8,19,0,0,40,21,49,59,72,71,89,70,6,0,430,528,305,612,469,315,334,212,26,4,2794
SOS60,8,23,33,50,86,155,237,276,147,1005,30,15,27,60,179,416,646,542,179,2082,458,2464,2813,2385,2206,1808,1165,606,371,14279,5,3,15,48,75,151,270,323,222,1105,586,857,1242,1328,1474,1620,1498,925,575,10109,12701,6756,11341,7643,6118,5192,3562,1454,431,55203,1183,850,1009,820,758,697,633,464,243,6659,15696,11300,16898,12997,11958,12048,10946,6683,3084,101610,33,172,542,1133,2370,4471,6217,4510,2096,21555,2218,2258,2561,2446,2264,2142,1965,1087,387,17335,29,59,113,293,587,1210,2000,1471,609,6365,0,4,3,7,19,69,300,656,772,1837,73,159,321,569,1076,1913,2500,1713,588,8913,55,56,105,184,500,1288,2313,2246,1227,7977,23,32,56,98,160,306,510,515,247,1951,49,34,57,129,330,760,1143,970,347,3806,926,3758,4420,3898,3670,3016,1959,976,535,23156,5,8,25,66,158,305,581,650,380,2179,1539,1529,1918,2152,2515,2823,2590,1553,890,17517,25556,14790,24079,15645,12291,10068,6720,2713,740,112598
SOS61,22,32,45,76,134,233,388,435,253,1614,20,14,43,116,369,792,1156,900,295,3710,592,2402,3089,2641,2696,2271,1601,700,429,16413,4,3,17,61,153,222,381,383,276,1510,708,806,1188,1375,1802,2074,1889,1130,709,11688,14172,7319,8740,6911,6733,6168,4387,1922,580,56934,1643,997,986,931,980,970,961,725,356,8551,18269,12129,14647,12919,13987,14969,14251,9006,3877,114062,65,172,586,1300,3255,6096,8574,6373,2595,29019,3349,2657,3116,2993,2853,2810,2907,1705,480,22867,24,49,117,272,716,1493,2473,1895,692,7719,9,7,9,15,49,91,268,734,790,1957,66,160,403,694,1558,2728,3759,2611,779,12769,87,83,115,230,725,1751,3231,3144,1482,10843,44,54,83,120,263,414,765,848,424,3017,41,26,91,214,676,1386,2182,1694,514,6817,1280,3758,4769,4179,4408,3788,2693,1184,597,26645,14,8,33,92,272,486,903,865,476,3144,1848,1506,1933,2189,2996,3630,3289,1905,1038,20317,28237,15811,18653,14285,13463,12135,8317,3606,975,115491
SOS62,0,0,0,7,18,33,51,63,29,207,3,0,4,12,40,118,175,110,28,479,65,191,296,316,364,404,261,83,45,2031,0,0,6,4,21,32,41,57,31,186,91,71,109,164,267,328,295,147,65,1537,1893,811,957,952,980,1132,787,277,60,7849,195,104,126,132,160,219,178,118,63,1291,2370,1270,1570,1676,2032,2672,2381,1209,401,15575,5,24,68,161,477,1078,1474,865,287,4428,337,266,296,324,402,496,463,225,45,2854,3,11,14,42,108,280,452,322,64,1294,0,3,0,4,7,10,33,92,102,248,7,22,37,73,207,443,617,379,84,1869,12,7,11,28,127,333,548,462,158,1705,4,3,6,22,31,76,96,112,44,382,3,4,5,17,71,205,344,232,51,941,145,331,452,514,639,679,480,163,66,3472,0,0,4,17,31,69,131,117,56,423,215,143,176,278,437,628,559,268,102,2797,3756,1785,2018,1975,2066,2274,1644,597,110,16226
SOS63,5,11,12,29,55,94,116,83,30,439,4,0,12,25,126,300,410,150,34,1060,196,756,894,1063,1171,1182,554,143,40,5997,0,0,6,16,57,104,119,87,50,437,241,268,373,601,874,1117,759,253,78,4572,7087,3210,3072,3670,4175,4132,2415,683,103,28551,735,476,439,507,591,740,515,214,53,4272,8724,4966,5084,6364,7815,9227,6690,2497,571,51943,16,66,222,599,1692,3701,4255,1983,412,12951,1200,919,981,1198,1350,1545,1292,416,94,8997,23,18,47,149,406,937,1266,693,143,3695,0,0,0,0,5,34,78,134,98,359,34,59,95,246,605,1279,1568,760,151,4791,40,33,26,89,361,1088,1676,1023,287,4613,15,19,26,52,88,197,279,214,71,958,14,14,26,69,244,664,871,426,104,2424,416,1195,1338,1698,1989,2127,1162,313,67,10310,0,5,11,32,113,236,335,254,94,1079,645,518,634,954,1533,2150,1603,534,140,8702,14284,7220,6714,7547,8703,8649,5324,1572,227,60245
