SOS_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOS27,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS29,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,159,170,305,253,223,140,108,22,0,1385,159,170,305,253,223,140,108,22,0,1385,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS30,..,2222,61162,129764,127777,110290,93137,51963,11350,587664,..,17506,63385,36488,25536,16295,8028,2581,377,170187,..,440,2526,7320,10544,6154,2858,1522,915,32272,328409,..,..,..,..,..,..,..,..,328409,..,82977,..,..,..,..,..,..,..,82977,..,62373,32858,12145,7705,3446,583,23,0,119131,..,10988,9376,3962,3434,4056,3644,2015,942,38434,..,8087,10609,3999,2993,1951,1032,328,78,29081,..,20216,28405,8825,6994,6864,4764,1866,355,78277,..,6773,21470,21241,23697,25146,22126,13279,5546,139273,3706,5523,5513,3572,2964,2511,2018,798,225,26830,332115,217096,235305,227315,211637,176718,138186,74374,19787,1632534,..,4373,83929,143418,130921,108047,85053,37513,5175,598427,..,25404,67176,34972,24311,14358,5977,1615,183,173990,..,3833,19562,34648,38261,18447,8556,5814,3775,132893,310550,..,..,..,..,..,..,..,..,310550,..,85653,..,..,..,..,..,..,..,85653,..,42201,20147,5960,4501,3094,774,34,0,76714,..,9896,6695,2357,3440,7710,9033,6145,3260,48536,..,7888,7356,2226,1558,1297,656,227,55,21263
SOS31,..,663,13807,24464,26240,28645,29931,17446,3725,144913,..,5071,13339,7990,6632,5110,2907,1058,154,42255,..,162,892,2130,2512,1536,778,454,312,8773,85522,..,..,..,..,..,..,..,..,85522,..,15416,..,..,..,..,..,..,..,15416,..,16783,6801,3180,2354,1162,173,0,0,30455,..,2750,1751,871,980,1226,1057,591,257,9495,..,1707,1831,934,775,544,304,98,30,6223,..,2420,3501,1459,1726,1998,1709,668,100,13573,..,1963,4961,4707,6598,9224,9065,5323,1957,43793,1352,1642,1529,1060,1025,1024,929,423,95,9080,86870,48572,48408,46799,48827,50474,46844,26051,6631,409481,..,1287,19008,28587,28525,30687,27960,12903,1670,150623,..,7510,14365,8345,6760,4805,2357,720,78,44935,..,1686,7270,9838,8718,4044,2229,1727,1073,36592,81296,..,..,..,..,..,..,..,..,81296,..,15953,..,..,..,..,..,..,..,15953,..,10573,3415,1336,1190,874,208,9,0,17608,..,2224,907,434,964,2066,2081,1476,785,10936,..,1760,1162,394,373,349,183,59,22,4303
SOS32,..,35,1389,2962,3878,5191,5438,2771,429,22091,..,570,1737,1345,1341,1139,671,204,25,7026,..,31,113,272,339,262,143,99,43,1300,12095,..,..,..,..,..,..,..,..,12095,..,1996,..,..,..,..,..,..,..,1996,..,2421,1061,538,430,191,19,0,0,4658,..,449,255,126,209,255,213,124,49,1684,..,191,182,102,133,92,85,18,10,822,..,167,230,146,230,382,345,119,14,1634,..,224,492,605,1110,1884,1966,1027,240,7550,217,288,252,193,201,263,218,98,17,1740,12309,6381,5718,6280,7876,9660,9098,4463,830,62611,..,116,1994,3592,4509,5734,4884,1873,191,22891,..,853,1958,1442,1349,1084,553,117,12,7371,..,231,978,1220,1119,569,326,292,151,4878,11297,..,..,..,..,..,..,..,..,11297,..,1982,..,..,..,..,..,..,..,1982,..,1514,569,205,184,132,34,4,0,2633,..,325,125,69,166,319,360,263,142,1769,..,221,130,46,58,68,38,15,0,580
SOS33,..,233,5206,12410,17450,20592,18303,8512,1285,83983,..,1233,3909,3339,3921,3546,1879,533,46,18408,..,54,245,620,1043,765,425,268,153,3577,36654,..,..,..,..,..,..,..,..,36654,..,7944,..,..,..,..,..,..,..,7944,..,8568,3777,1788,1339,565,85,0,0,16117,..,785,439,312,449,747,813,525,243,4307,..,707,651,382,457,451,323,137,22,3141,..,390,652,434,692,1040,945,347,34,4547,..,467,1113,1399,2766,4663,4554,2333,573,17861,519,844,665,501,646,737,629,226,40,4811,37168,21223,16653,21180,28773,33095,27955,12892,2407,201341,..,438,7442,14982,19997,21613,16059,5637,538,86698,..,1859,4476,3779,4137,3349,1363,293,18,19283,..,286,1491,2262,2451,1318,847,699,398,9751,34064,..,..,..,..,..,..,..,..,34064,..,8496,..,..,..,..,..,..,..,8496,..,5146,2097,710,574,364,66,3,0,8965,..,585,212,113,339,785,1123,974,451,4590,..,826,516,257,274,267,206,72,25,2450
SOS37,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,5,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS39,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,302,284,461,357,268,293,277,82,5,2333,302,284,461,357,268,293,277,82,5,2333,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS40,..,659,22667,44872,41622,40280,36466,21218,5703,213484,..,3903,18165,10485,7911,5894,3042,915,143,50456,..,131,745,2412,3804,2659,1119,568,426,11858,103838,..,..,..,..,..,..,..,..,103838,..,30372,..,..,..,..,..,..,..,30372,..,21878,15265,5103,3427,1712,228,3,0,47608,..,3742,3483,1307,1118,1340,1086,500,308,12890,..,2447,3204,1078,660,508,248,46,13,8208,..,6642,9937,2996,2238,2107,1391,446,79,25839,..,2157,8116,8437,10476,11988,10116,5765,3015,60065,1313,1784,2054,1339,1073,835,582,258,92,9328,105153,73710,83631,78036,72328,67321,54267,29713,9782,573948,..,1580,31283,48140,42114,40073,34236,16270,2598,216296,..,5832,19361,10315,7652,5396,2532,604,66,51770,..,991,5785,11244,13128,7815,3490,2380,1667,46497,98186,..,..,..,..,..,..,..,..,98186,..,31250,..,..,..,..,..,..,..,31250,..,14793,9344,2224,1565,1163,264,16,0,29365,..,3318,2327,655,978,2499,2547,1606,994,14933,..,2294,2316,550,317,218,113,22,16,5845
SOS41,..,162,4640,8445,9746,11200,12609,8049,1874,56729,..,1419,4809,2838,2485,2011,1135,366,60,15125,..,52,309,692,1050,620,274,162,91,3247,27733,..,..,..,..,..,..,..,..,27733,..,6064,..,..,..,..,..,..,..,6064,..,6207,2754,1059,802,348,40,0,0,11205,..,772,523,248,239,321,296,126,65,2602,..,401,430,210,181,143,64,9,7,1449,..,730,1049,483,472,542,396,151,41,3857,..,700,2038,1943,2909,4129,3659,2197,1091,18656,473,624,553,427,369,375,390,175,49,3422,28205,17120,17102,16336,18256,19681,18866,11240,3272,150078,..,353,6220,9737,10589,11750,12179,6267,884,57981,..,2236,5107,2868,2526,1876,928,249,39,15839,..,441,2145,3237,3411,1617,716,531,341,12444,26586,..,..,..,..,..,..,..,..,26586,..,6315,..,..,..,..,..,..,..,6315,..,3828,1408,432,335,248,81,6,0,6341,..,582,275,106,231,476,527,373,214,2780,..,381,273,95,66,65,36,12,3,936
SOS42,..,59,643,1164,1377,2008,2223,1175,262,8923,..,169,588,378,395,394,237,71,3,2236,..,3,33,94,140,109,47,26,21,468,3829,..,..,..,..,..,..,..,..,3829,..,729,..,..,..,..,..,..,..,729,..,797,377,139,107,51,17,0,0,1488,..,159,91,29,54,80,51,30,10,495,..,42,34,23,27,26,6,0,0,157,..,73,85,56,75,98,84,30,13,512,..,115,272,271,508,782,853,422,175,3399,66,85,91,84,87,90,86,28,5,634,3897,2235,2218,2244,2763,3643,3596,1782,488,22869,..,82,874,1353,1542,2199,2046,888,114,9094,..,238,661,429,410,388,197,41,5,2369,..,44,247,346,383,181,80,65,46,1387,3677,..,..,..,..,..,..,..,..,3677,..,800,..,..,..,..,..,..,..,800,..,491,195,63,42,38,6,0,0,832,..,102,47,26,35,72,69,49,32,438,..,47,19,11,6,6,5,0,4,105
SOS43,..,65,1748,4156,5906,7119,6386,2878,456,28720,..,323,1318,1105,1291,1304,666,163,16,6181,..,17,50,187,405,266,131,61,50,1162,11937,..,..,..,..,..,..,..,..,11937,..,2764,..,..,..,..,..,..,..,2764,..,2964,1275,476,324,157,25,0,0,5217,..,242,125,61,104,178,137,100,53,1002,..,160,157,70,70,83,41,11,6,595,..,126,226,139,180,288,200,55,14,1227,..,212,458,552,1161,2050,1816,829,204,7292,170,298,214,152,202,262,228,80,12,1628,12106,7157,5582,6905,9647,11710,9632,4190,806,67741,..,142,2374,4991,6489,7358,5724,1926,206,29218,..,517,1430,1203,1404,1205,501,95,9,6370,..,65,349,536,680,398,211,171,99,2513,11157,..,..,..,..,..,..,..,..,11157,..,2923,..,..,..,..,..,..,..,2923,..,1700,708,202,152,95,10,0,0,2868,..,171,91,39,69,158,209,197,100,1029,..,178,122,47,39,39,21,8,0,460
SOS47,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS49,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,82,85,131,109,100,83,53,11,3,669,82,85,131,109,100,83,53,11,3,669,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS50,..,991,35610,79413,74330,65437,55211,29840,7320,348143,..,6556,31339,18712,12468,8545,4190,1282,223,83304,..,172,1097,3417,5331,3503,1586,735,459,16309,189663,..,..,..,..,..,..,..,..,189663,..,50210,..,..,..,..,..,..,..,50210,..,35926,20992,6873,4151,1809,328,3,0,70075,..,5966,5398,2009,1611,1881,1514,847,438,19663,..,3018,4554,1819,1118,689,340,124,13,11683,..,8034,13862,4565,3152,2791,1874,683,145,35108,..,3645,13953,13973,13832,15292,13517,7823,3439,85477,2121,2569,2775,2029,1507,1195,958,481,146,13775,191783,117075,129581,132807,117494,101137,79518,41823,12187,923410,..,2361,53421,89261,77572,65301,50258,21779,3477,363434,..,10582,35683,18656,12473,7687,3196,833,107,89216,..,1563,9424,17142,19050,10604,4599,2925,1968,67281,179680,..,..,..,..,..,..,..,..,179680,..,51636,..,..,..,..,..,..,..,51636,..,25208,12741,3112,2004,1445,369,13,0,44889,..,5453,3528,1194,1597,3735,4436,2702,1628,24273,..,2815,2886,857,512,408,180,52,22,7744
SOS51,..,216,5475,11059,11186,11121,9733,5426,1261,55469,..,1911,6113,4054,3026,2276,1066,282,47,18786,..,64,283,834,1094,563,261,139,93,3322,36530,..,..,..,..,..,..,..,..,36530,..,5812,..,..,..,..,..,..,..,5812,..,6560,2321,975,623,280,44,0,0,10802,..,1090,703,371,306,371,313,137,63,3361,..,571,648,313,218,147,66,13,5,1980,..,913,1533,676,643,640,380,122,26,4923,..,933,2461,2408,3142,3734,3179,1666,689,18211,668,687,683,563,534,548,473,185,44,4385,37192,18755,20219,21241,20776,19680,15514,7975,2232,163581,..,439,7997,13048,12145,11263,9003,3981,612,58492,..,2912,6934,4248,3163,2049,793,208,20,20319,..,489,2372,3744,3293,1425,693,455,279,12745,34444,..,..,..,..,..,..,..,..,34444,..,6005,..,..,..,..,..,..,..,6005,..,4203,1180,417,338,223,67,3,0,6421,..,848,359,173,339,629,598,374,186,3509,..,582,454,154,109,88,41,17,3,1444
SOS52,..,86,686,1203,1374,1689,1771,942,219,7973,..,279,784,526,473,468,239,81,7,2852,..,11,44,107,155,109,65,30,10,527,5044,..,..,..,..,..,..,..,..,5044,..,605,..,..,..,..,..,..,..,605,..,965,418,221,163,53,4,0,0,1832,..,308,164,110,96,111,71,30,15,894,..,49,59,26,30,31,18,5,0,225,..,71,107,76,85,132,96,34,8,602,..,143,302,332,610,887,869,420,124,3677,132,124,116,90,107,116,105,42,7,835,5172,2638,2677,2698,3089,3594,3235,1573,384,25061,..,125,965,1462,1512,1814,1635,670,94,8285,..,401,875,596,530,415,176,45,4,3050,..,110,431,563,466,259,144,109,36,2117,4749,..,..,..,..,..,..,..,..,4749,..,685,..,..,..,..,..,..,..,685,..,679,186,90,65,37,5,0,0,1067,..,241,101,71,100,146,127,61,34,893,..,48,36,18,8,20,6,3,0,135
SOS53,..,70,1546,4094,5974,7123,6135,2691,437,28078,..,336,1294,1209,1357,1269,684,159,15,6322,..,15,60,203,315,262,133,76,36,1107,12251,..,..,..,..,..,..,..,..,12251,..,2373,..,..,..,..,..,..,..,2373,..,2867,1132,493,342,142,14,0,0,4992,..,316,158,103,118,180,223,113,59,1270,..,150,184,87,102,90,73,24,3,715,..,108,238,138,170,234,204,72,8,1172,..,261,506,559,1057,1623,1569,687,157,6419,206,297,240,226,259,291,291,103,33,1947,12455,6800,5359,7108,9699,11216,9323,3927,753,66643,..,124,2313,5243,6767,7488,5386,1802,182,29292,..,508,1574,1358,1552,1221,442,102,3,6770,..,68,348,647,702,365,216,174,105,2628,11277,..,..,..,..,..,..,..,..,11277,..,2504,..,..,..,..,..,..,..,2504,..,1737,665,209,136,99,21,0,0,2868,..,224,85,47,89,206,269,255,177,1358,..,188,160,71,68,64,35,22,7,611
SOS57,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS59,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,96,148,195,182,126,107,64,21,8,953,96,148,195,182,126,107,64,21,8,953,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS60,..,118,3983,5919,5547,5591,5565,3204,798,30723,..,728,3519,2073,1513,1084,583,214,30,9738,..,29,163,449,619,428,168,77,44,1980,15722,..,..,..,..,..,..,..,..,15722,..,3953,..,..,..,..,..,..,..,3953,..,3159,1816,684,496,219,37,0,0,6410,..,533,548,166,148,201,186,90,48,1919,..,534,1574,292,102,52,41,19,7,2633,..,1056,2693,540,290,292,205,68,20,5168,..,266,1197,1143,1390,1877,1622,965,470,8936,207,308,431,228,174,147,155,56,20,1719,15925,10683,15919,11482,10287,9904,8565,4692,1435,88896,..,287,5048,6207,5768,5749,5141,2468,388,31056,..,1073,3823,2051,1463,988,483,121,13,10017,..,255,1225,2001,2052,1121,528,365,226,7759,14802,..,..,..,..,..,..,..,..,14802,..,3958,..,..,..,..,..,..,..,3958,..,2101,1047,309,225,162,35,0,0,3876,..,436,316,103,158,348,380,246,125,2117,..,503,1131,199,50,40,24,6,3,1963
SOS61,..,170,3577,5467,5878,7024,7303,4556,1012,34983,..,1092,3487,2048,1647,1342,684,212,27,10550,..,42,231,494,680,409,177,126,71,2226,17914,..,..,..,..,..,..,..,..,17914,..,3832,..,..,..,..,..,..,..,3832,..,4064,1884,729,599,244,46,0,0,7569,..,542,419,169,184,229,184,104,36,1871,..,383,657,150,102,76,48,14,3,1429,..,614,1306,323,329,391,302,135,34,3438,..,428,1364,1298,1914,2478,2411,1414,621,11925,282,415,399,253,228,213,195,115,13,2114,18194,11597,13322,10926,11559,12409,11344,6674,1811,97838,..,334,4614,5997,6450,7260,6924,3409,491,35484,..,1607,3703,1959,1693,1168,540,140,15,10817,..,389,1755,2500,2449,1112,550,438,248,9442,17131,..,..,..,..,..,..,..,..,17131,..,4007,..,..,..,..,..,..,..,4007,..,2619,911,322,292,209,42,0,0,4406,..,411,216,92,154,409,344,261,119,2011,..,377,356,79,42,48,23,14,6,951
SOS62,..,12,364,705,932,1269,1413,742,114,5553,..,90,406,322,292,277,182,47,3,1622,..,3,24,69,83,61,31,19,12,302,2290,..,..,..,..,..,..,..,..,2290,..,460,..,..,..,..,..,..,..,460,..,514,260,108,93,39,4,0,0,1022,..,45,42,23,29,27,22,7,7,198,..,37,42,19,16,17,9,7,0,140,..,37,52,32,38,60,55,23,4,312,..,40,143,159,287,469,481,269,79,1927,28,51,52,43,42,69,65,18,4,369,2313,1289,1388,1487,1807,2285,2260,1145,221,14185,..,28,479,800,1060,1416,1257,503,53,5602,..,138,456,335,294,267,121,30,0,1643,..,34,158,225,215,125,64,45,22,904,2204,..,..,..,..,..,..,..,..,2204,..,483,..,..,..,..,..,..,..,483,..,303,134,38,37,26,3,0,0,536,..,27,20,14,16,35,61,44,17,227,..,39,31,9,8,8,0,0,0,99
SOS63,..,39,1224,2912,3969,5194,4726,2003,291,20362,..,282,1232,1169,1261,1153,623,136,15,5872,..,11,67,209,310,235,102,67,21,1021,8564,..,..,..,..,..,..,..,..,8564,..,1922,..,..,..,..,..,..,..,1922,..,2164,1024,368,261,103,17,0,0,3929,..,158,90,54,80,143,126,61,42,760,..,147,145,74,63,60,34,7,5,541,..,100,254,98,128,178,168,69,10,1011,..,106,351,434,786,1438,1365,590,150,5225,142,234,192,135,153,213,162,58,7,1287,8700,5172,4572,5464,7022,8713,7314,2996,540,50492,..,92,1674,3471,4502,5417,4060,1301,118,20629,..,412,1429,1244,1249,1037,412,68,3,5860,..,71,347,565,613,382,182,141,60,2358,8050,..,..,..,..,..,..,..,..,8050,..,1996,..,..,..,..,..,..,..,1996,..,1300,542,183,124,73,13,0,0,2229,..,133,47,28,50,158,155,118,92,788,..,167,132,45,32,34,23,4,0,428
SOS67,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
