SOS_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,249125,357605,114171,10476,731379,147765,32700,911840,14939,6544,8478,775,30731,34800,2671,68201,27915,22017,19844,1999,71768,37065,8228,117059,42848,28553,28323,2769,102503,71863,10893,185258,10680,4885,5934,906,22411,31302,4304,58007,14812,4957,4638,1066,25471,26113,5716,57299,15814,4385,3254,814,24275,19503,4820,48594,17309,4082,2646,660,24699,20528,4544,49771,547,272,175,26,1021,826,150,1994,59159,18580,16644,3481,97864,98264,19534,215661,557,68,110,16,750,1625,62,2440,440,89,117,14,659,1479,62,2204,9,12,10,4,25,64,4,99,149,92,53,3,295,198,56,553,1154,261,283,39,1738,3367,195,5301,671,367,253,40,1321,1520,182,3027,352957,405367,159669,16803,934801,322777,63501,1321081
SOS31,91339,86611,38317,3132,219394,64494,9368,293252,4215,1502,2201,244,8163,12257,797,21218,2013,931,1223,99,4262,4827,541,9632,6229,2432,3429,335,12422,17083,1340,30847,2208,877,1425,166,4680,8067,619,13362,276,70,109,9,475,611,77,1154,444,86,66,6,597,498,43,1141,125,35,17,6,183,191,22,393,85,30,20,5,138,119,6,262,3142,1096,1636,192,6069,9486,766,16319,742,104,86,11,940,1404,83,2428,310,46,49,10,417,742,38,1197,66,27,14,3,114,244,12,362,116,61,48,0,220,152,25,391,1235,237,198,25,1692,2536,153,4378,396,173,86,4,661,755,68,1479,102341,90551,43664,3688,240244,94355,11691,346289
SOS32,16236,12316,5487,532,34571,12201,1420,48182,193,121,128,13,449,537,28,1016,59,27,25,0,111,114,12,235,247,154,148,11,564,654,40,1255,124,64,79,14,277,484,30,787,0,5,4,0,10,3,0,9,3,0,0,0,3,5,0,6,0,0,0,0,0,0,0,5,19,10,4,0,30,15,0,51,152,77,88,9,323,513,32,859,224,28,21,4,271,343,12,632,64,7,20,4,98,153,3,254,39,18,7,0,65,65,3,134,39,16,11,3,68,52,3,124,362,76,53,9,502,619,29,1144,85,41,19,3,148,128,14,290,17083,12652,5793,572,36106,14098,1525,51735
SOS33,52513,47764,12200,1118,113597,27389,3660,144641,325,286,82,6,703,240,34,979,67,51,19,5,137,58,6,203,387,345,101,10,844,300,41,1186,123,35,34,3,195,166,8,364,0,5,0,0,4,6,0,8,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,6,91,60,24,0,176,111,9,299,217,100,58,5,381,287,17,681,440,100,54,9,605,756,49,1414,145,55,44,3,252,387,27,669,104,59,44,3,209,190,14,415,64,46,21,5,140,53,10,200,756,266,159,22,1205,1384,109,2692,379,250,66,12,699,420,24,1146,54251,48716,12585,1165,116723,29779,3853,150350
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,95228,123518,44472,4177,267394,75047,11472,353909,12684,8166,6857,843,28558,29944,2580,61080,6108,4615,2807,406,13937,7821,1781,23541,18795,12782,9668,1252,42493,37771,4360,84626,5841,3123,2154,425,11540,16431,1551,29531,1003,297,221,78,1602,2389,339,4326,1600,394,263,104,2353,2770,478,5604,1047,203,116,69,1436,1746,500,3677,69,54,25,4,154,97,15,267,9556,4067,2786,675,17084,23434,2888,43409,97,18,18,0,134,225,5,375,47,4,6,0,63,188,4,256,0,0,0,0,3,0,0,0,98,79,46,5,220,169,44,431,239,103,73,9,418,585,61,1066,204,171,97,13,489,533,84,1103,124027,140636,57089,6126,327875,137372,18857,484112
SOS41,37396,31115,13211,974,82704,30131,2611,115443,2658,1072,1821,148,5709,8329,404,14444,197,87,78,7,367,241,29,644,2857,1161,1900,155,6075,8575,437,15084,365,129,201,37,729,2378,101,3207,23,0,0,0,25,54,5,84,13,0,0,0,18,16,0,35,0,0,0,0,0,0,0,0,11,11,6,0,27,18,0,44,408,145,212,39,798,2466,103,3367,111,12,8,3,138,228,20,383,44,7,12,0,72,116,15,202,7,4,0,0,9,12,0,21,26,27,7,0,63,47,3,113,190,52,26,3,275,401,43,722,117,61,23,0,213,192,4,413,40970,32538,15381,1178,90067,41768,3197,135028
SOS42,6597,4466,1722,166,12950,5931,413,19298,97,37,36,0,167,353,17,541,10,0,0,0,12,10,0,17,111,37,36,0,184,363,17,560,21,0,10,0,30,111,3,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,5,10,0,33,111,5,150,48,10,0,0,59,96,26,185,14,0,0,0,21,26,4,46,4,5,0,0,6,9,0,15,23,14,6,0,44,33,0,77,91,29,11,0,130,157,27,316,21,11,0,0,42,39,9,90,6844,4546,1774,170,13333,6605,463,20409
SOS43,18333,16371,3491,334,38529,10844,983,50354,85,98,19,3,202,109,7,321,23,6,3,0,39,13,0,50,109,107,21,3,245,124,8,373,3,3,3,0,9,19,0,29,6,0,0,0,7,39,0,46,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,7,0,0,16,8,0,20,17,12,4,0,36,66,0,104,63,21,5,0,102,168,10,275,71,7,14,6,99,142,8,251,8,9,3,0,20,19,0,41,29,25,4,0,61,29,0,94,177,69,33,6,277,361,20,664,88,35,5,0,134,133,14,286,18721,16591,3555,353,39222,11530,1023,51767
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,155978,227894,66818,6595,457290,108218,17371,582882,17323,11597,8236,1061,38215,37207,3607,79026,8458,5333,2960,520,17267,11466,2225,30958,25778,16931,11192,1576,55482,48674,5829,109986,3918,1674,1229,262,7085,10779,1024,18883,3403,1047,765,201,5406,7990,969,14370,4726,1219,749,187,6881,8219,1023,16121,3116,877,396,133,4515,4097,692,9300,177,138,65,13,392,323,21,735,15331,4954,3204,791,24282,31403,3725,59408,185,27,33,4,245,589,19,851,248,17,38,7,303,614,12,927,18,8,0,0,25,34,0,66,108,47,18,8,179,132,39,355,558,97,96,17,761,1372,65,2198,158,113,56,10,333,384,23,744,197803,249984,81371,8993,538147,190056,27014,755215
SOS51,34948,37743,14039,1094,87822,27312,3395,118529,2278,1143,1130,127,4679,7008,385,12079,628,365,181,14,1193,890,121,2199,2907,1511,1311,142,5864,7902,515,14278,358,144,130,15,646,1173,82,1897,67,20,20,3,110,166,14,288,48,18,4,0,71,71,4,155,47,9,5,0,60,98,6,165,17,8,10,0,35,35,3,77,541,199,158,23,919,1553,107,2581,314,49,31,5,403,513,17,933,161,10,12,3,189,344,23,554,16,13,0,0,34,43,0,78,49,43,12,0,103,55,13,170,540,123,51,13,727,950,53,1736,101,73,26,0,199,241,21,462,39039,39646,15587,1268,95540,37956,4087,137580
SOS52,5908,4780,2291,269,13255,5803,473,19532,133,45,79,19,274,465,25,761,16,4,6,0,24,36,4,64,148,52,87,19,300,503,30,825,23,18,7,5,54,137,3,192,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,8,29,18,7,5,55,146,7,212,97,15,11,0,122,178,7,300,12,3,3,0,15,19,0,37,5,0,0,0,9,13,0,20,26,12,5,0,44,31,4,80,138,30,22,0,190,237,11,441,39,9,11,5,57,114,9,181,6256,4896,2415,294,13862,6810,525,21197
SOS53,18027,16237,3399,345,38005,9207,877,48095,105,90,33,0,231,82,7,323,15,10,3,0,26,5,0,36,121,99,31,0,261,90,12,357,8,7,7,0,30,33,4,65,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,35,18,8,0,55,34,4,92,44,32,8,5,89,68,6,163,267,59,32,5,365,443,30,838,112,18,8,5,139,201,6,347,47,34,13,3,90,74,8,169,43,29,14,6,89,36,9,132,470,135,63,13,680,748,55,1485,198,124,32,10,363,261,16,635,18858,16632,3533,376,39395,10371,964,50741
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
