SOS_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,29,25,3,29
SOS29,45,31,78,137,129,266,10,10,20,9,11,18,155,154,303,63,78,137,6,4,17,3,14,14,73,97,172,12,26,36,6,29,37,13,4,20,24,27,52,4,0,3,54,92,146,39,50,90,23,41,69,5,20,21,22,42,64,0,0,0,91,152,244,148,246,391,13,11,25,17,25,39,0,0,0,27,40,71,2220,1366,3584,2670,1932,4600
SOS30,33408,30531,63936,104243,99006,203245,28609,27746,56357,20222,19817,40038,153328,146856,300191,74129,70122,144250,26548,25557,52100,26653,26627,53282,127522,122514,250035,6340,6422,12762,7118,11334,18453,8538,6933,15468,14023,24583,38612,129,152,280,36143,49429,85573,37522,51326,88848,16692,23359,40046,6207,8674,14883,17158,30100,47253,137,157,293,77707,113618,191323,114010,163246,277254,6060,6247,12308,9266,14156,23420,155,165,317,15481,20563,36046,100645,92660,193305,544396,576370,1120767
SOS31,7024,6688,13715,28494,27057,55548,7829,7725,15551,4082,4129,8210,40469,38966,79435,21178,20141,41327,6687,6720,13405,4312,4527,8835,32222,31426,63652,1015,905,1915,784,1353,2140,2029,1833,3865,2598,5577,8169,50,35,82,6476,9699,16176,1817,3763,5576,1256,2909,4165,731,1542,2269,2526,6165,8695,15,28,45,6346,14412,20756,12831,24143,36974,1073,1147,2222,2126,3204,5334,37,46,90,3247,4403,7644,39679,32552,72232,135472,138178,273655
SOS32,886,810,1696,4634,4406,9040,795,715,1513,457,446,901,5885,5582,11459,3032,2760,5792,667,705,1374,596,597,1193,4295,4063,8365,148,102,251,105,196,303,226,210,437,329,683,1013,9,15,23,818,1202,2017,213,439,653,152,311,455,52,145,199,237,713,946,0,9,11,652,1615,2268,1468,2820,4290,119,124,244,196,360,557,9,11,18,325,493,819,7143,5792,12937,20003,19564,39565
SOS33,2718,2402,5119,12380,11433,23811,3119,2947,6067,2324,2281,4602,17837,16667,34500,9252,8640,17896,3027,3077,6098,3129,3116,6247,15430,14840,30267,450,341,790,237,417,648,1057,717,1775,870,2092,2963,21,24,50,2632,3590,6220,1144,2294,3440,429,1100,1531,306,628,932,821,2423,3242,19,21,39,2720,6467,9189,5358,10058,15421,420,396,819,695,1208,1900,9,19,29,1131,1620,2754,25491,18378,43870,67965,63966,131929
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,24,137,115,25,136
SOS39,39,35,76,196,200,400,12,6,26,43,53,97,257,265,518,94,100,197,14,16,32,31,32,60,142,144,293,13,14,28,24,38,65,9,20,26,37,74,113,0,9,9,77,154,238,28,47,79,29,34,63,5,19,28,31,50,74,0,0,0,92,148,239,177,303,483,34,28,66,19,29,55,0,0,0,54,66,114,2143,1446,3582,2806,2251,5060
SOS40,10582,9709,20292,35507,32721,68228,10468,10046,20515,7834,7780,15616,53877,50629,104506,19263,17957,37217,8877,9102,17981,8407,8492,16895,36581,35593,72178,2273,1753,4033,2695,3927,6625,2902,1945,4844,5293,7908,13204,66,53,118,13227,15597,28824,15934,20002,35940,7289,9047,16332,1980,2528,4506,5621,9290,14910,71,66,135,30884,40935,71823,44178,56605,100782,1923,1985,3907,2983,4373,7352,66,59,121,4968,6416,11388,24455,22906,47367,174648,181866,356513
SOS41,2551,2428,4979,10098,9425,19519,2115,2178,4296,2404,2402,4799,14636,14021,28660,6045,5767,11815,1556,1677,3233,2009,2132,4146,9615,9587,19208,296,344,631,249,546,793,909,666,1577,1145,1950,3093,20,20,39,2618,3524,6136,1002,1792,2794,447,1022,1464,229,385,615,741,1895,2640,3,14,18,2426,5110,7539,5053,8629,13687,237,306,540,492,906,1396,24,21,39,746,1235,1980,10356,9096,19452,42960,45007,87961
SOS42,340,353,694,1662,1597,3262,125,113,241,205,175,375,1989,1889,3880,1022,970,1991,99,115,216,163,179,345,1282,1269,2554,40,39,80,18,56,74,145,89,228,107,244,354,0,3,8,305,435,747,97,206,302,40,124,162,19,39,53,64,244,308,0,0,4,218,612,831,528,1048,1578,30,18,52,44,112,155,0,0,8,78,135,211,2032,1913,3943,6251,6608,12860
SOS43,944,898,1844,4600,4192,8797,768,721,1491,1160,1141,2301,6539,6056,12594,2877,2661,5533,500,434,933,1113,1120,2233,4497,4213,8706,101,94,191,64,146,217,451,217,671,351,678,1030,15,8,21,985,1137,2130,482,969,1450,130,309,441,69,173,239,202,668,867,0,4,5,884,2120,3005,1870,3263,5133,104,95,199,145,288,437,7,10,19,258,394,648,6572,4663,11239,20676,19486,40162
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,4
SOS49,13,13,31,60,64,122,11,8,17,9,8,17,77,80,156,26,61,87,3,3,4,8,15,21,38,70,111,8,3,6,5,8,14,3,4,10,12,12,20,0,0,0,22,25,50,13,7,16,7,10,16,0,8,8,11,13,19,0,0,0,26,40,71,49,66,117,6,7,16,13,11,20,0,0,0,19,15,35,496,314,814,694,564,1263
SOS50,18672,17173,35838,62096,58310,120412,14183,14097,28273,11790,11658,23452,88207,84225,172436,40209,37362,77573,14793,14574,29367,15414,15118,30535,70500,67148,137652,4769,4474,9247,3880,6507,10382,5942,3479,9419,6813,11730,18544,92,89,181,21494,26286,47776,22077,28276,50358,8885,11691,20578,3674,4604,8280,8700,14243,22936,103,126,223,43437,58933,102367,65054,85345,150395,3100,3369,6473,5204,8065,13265,100,92,196,8407,11530,19938,55039,45146,100184,305871,310569,616442
SOS51,3414,3280,6695,12477,11541,24014,2901,2817,5722,1786,1818,3605,17194,16203,33395,8834,8322,17157,2360,2525,4891,1588,1741,3330,12799,12606,25400,586,574,1160,350,740,1089,1395,909,2297,1313,2738,4052,34,17,42,3671,4976,8648,421,887,1304,366,947,1319,150,366,518,872,2203,3077,9,12,19,1821,4421,6241,5497,9408,14909,362,387,748,725,1216,1941,16,14,30,1104,1612,2720,19405,16041,35449,59418,59147,118563
SOS52,444,404,847,1891,1753,3648,335,317,651,195,204,398,2425,2279,4707,1131,1120,2250,180,199,378,183,227,408,1490,1546,3038,58,85,139,22,54,79,140,75,211,127,278,403,3,6,4,344,494,841,39,92,133,40,91,130,18,23,43,73,242,312,0,0,0,163,447,617,517,943,1455,53,49,102,57,122,172,10,9,15,116,176,296,3595,3190,6780,8589,8539,17126
SOS53,1033,999,2029,4128,3678,7802,1025,1002,2026,1028,916,1943,6187,5598,11780,2742,2565,5305,882,901,1789,1275,1267,2543,4897,4738,9640,224,186,414,72,162,235,549,253,794,305,762,1066,6,9,16,1159,1361,2522,402,658,1067,109,297,405,90,170,268,261,722,978,5,0,4,864,1850,2714,2023,3219,5244,136,138,275,202,369,570,6,4,6,342,509,851,14257,6812,21075,28735,21876,50614
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,0,8,13,0,17,0,0,0,0,0,3,0,0,0,0,0,3,193,20,219,209,28,237
SOS59,22,18,41,94,92,181,13,7,22,23,17,35,121,114,243,39,47,83,4,3,6,9,4,19,51,55,109,13,11,16,9,18,33,11,6,15,7,25,34,0,0,0,44,59,99,14,25,42,13,17,31,0,3,9,15,25,46,3,0,3,52,68,122,96,130,224,16,16,32,7,16,23,0,0,4,23,34,55,2227,1260,3489,2535,1623,4160
SOS60,1340,1250,2593,5623,4965,10585,1620,1772,3390,862,868,1733,8124,7608,15725,3172,2909,6081,1423,1561,2981,1178,1144,2321,5781,5623,11397,445,433,884,1194,1210,2400,618,362,978,1163,1188,2356,14,14,25,3435,3211,6645,1809,2146,3956,1471,1700,3169,265,363,629,1082,1882,2964,10,9,21,4645,6096,10741,8088,9321,17413,467,485,947,435,671,1113,10,8,23,915,1168,2085,4814,4452,9269,29058,29423,58478
SOS61,1283,1245,2526,6786,6543,13330,1610,1515,3123,872,898,1769,9276,8966,18239,4341,4183,8525,1214,1266,2487,900,817,1712,6468,6272,12740,381,416,802,503,646,1150,752,480,1230,915,1200,2115,15,9,28,2567,2758,5332,835,1242,2082,634,943,1576,170,285,456,726,1369,2098,8,9,14,2375,3843,6221,4951,6618,11568,367,396,766,400,647,1042,8,10,17,774,1055,1830,6019,6032,12053,28770,30184,58957
SOS62,152,151,306,930,939,1871,151,137,289,98,108,205,1181,1189,2373,563,505,1068,125,170,294,125,127,251,807,801,1603,39,40,83,33,50,88,85,46,125,129,153,282,6,0,8,293,286,579,83,113,200,49,77,123,14,27,40,76,196,276,0,3,6,221,423,639,520,703,1221,42,32,72,29,74,105,0,0,0,67,108,176,1079,1037,2113,3801,3990,7791
SOS63,536,517,1060,3196,2967,6167,805,778,1584,545,520,1065,4553,4268,8820,1960,1905,3869,680,667,1347,592,570,1161,3243,3152,6387,157,163,320,110,141,251,453,212,664,406,508,915,14,13,19,1128,1038,2166,243,444,688,148,255,401,46,90,134,256,687,945,0,9,6,691,1490,2179,1821,2528,4349,142,162,304,130,261,388,13,7,20,284,430,713,3816,3300,7118,14248,14190,28445
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
SOS69,9,5,9,27,15,41,3,0,4,0,3,3,28,18,53,8,19,30,4,0,7,0,0,3,13,19,33,6,0,9,0,4,4,8,9,9,3,8,9,0,0,0,21,23,35,0,4,3,8,3,9,0,4,0,4,16,14,0,0,0,13,22,32,30,39,68,0,0,0,0,9,8,0,0,5,0,10,13,210,130,337,296,223,519
SOS70,1191,1147,2340,4039,3830,7865,630,624,1251,662,713,1377,5336,5175,10510,2409,2411,4813,668,621,1289,649,635,1284,3728,3671,7395,160,131,293,319,343,657,233,201,434,557,887,1443,3,10,11,1270,1567,2840,647,898,1546,785,1202,1990,194,312,513,923,1840,2763,8,11,18,2557,4260,6814,3834,5831,9667,337,352,690,333,614,940,5,9,16,674,967,1642,6461,4863,11329,21224,21661,42887
SOS71,500,404,902,1870,1651,3524,427,408,835,272,284,553,2569,2347,4919,886,837,1726,272,295,565,338,314,649,1494,1447,2945,26,17,48,50,45,97,70,52,124,184,297,480,3,5,6,339,417,753,45,89,135,95,191,282,25,60,87,309,602,913,4,0,9,478,946,1426,816,1361,2178,69,66,140,98,165,263,3,8,13,175,238,418,2298,2192,4491,7843,7999,15841
SOS72,254,247,501,1312,1176,2486,112,118,233,40,37,76,1461,1326,2786,520,516,1038,62,72,139,87,84,172,675,669,1341,4,12,20,13,19,31,12,10,20,59,84,137,0,0,0,87,122,209,7,16,20,14,33,45,3,15,22,51,125,176,0,0,0,77,189,266,160,312,475,18,24,36,24,34,56,0,0,0,38,55,96,1017,1001,2025,3609,3618,7228
SOS73,264,241,501,1202,1165,2366,118,126,248,164,176,337,1490,1470,2953,601,622,1227,120,123,243,229,207,433,954,949,1902,19,16,29,12,18,33,99,47,150,93,139,229,5,0,3,228,226,453,36,64,104,19,70,92,25,74,98,80,291,368,0,0,0,163,501,662,389,726,1119,23,23,45,31,76,109,4,3,8,59,103,161,3207,2005,5206,6350,5495,11843
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,23,22,0,22
SOS79,5,8,14,56,38,101,0,0,3,13,7,27,77,57,132,12,16,26,3,0,3,10,11,17,26,24,48,0,0,0,0,0,0,0,3,4,4,8,15,0,0,0,9,11,21,0,0,4,13,4,16,0,0,0,4,15,25,0,0,0,20,24,46,20,39,68,11,8,22,0,6,6,0,0,0,12,10,26,643,579,1224,793,709,1503
SOS80,4588,4220,8808,12957,12026,24983,4500,4195,8699,2175,2252,4425,19653,18499,38154,8447,7681,16130,3630,3449,7079,2213,2392,4606,14301,13537,27840,720,655,1380,1064,1137,2198,1553,955,2506,2463,3209,5674,19,14,30,5821,5971,11796,7616,9083,16699,3178,3509,6690,1135,1477,2611,4243,5883,10124,28,25,61,16200,19979,36185,22055,25972,48030,1012,931,1938,1628,2102,3729,11,22,28,2647,3053,5698,9470,8515,17986,72716,73804,146523
SOS82,6,10,17,21,6,35,10,11,20,9,7,12,36,26,62,9,7,13,14,13,24,7,7,15,33,26,56,0,5,5,0,0,0,3,0,6,5,8,9,0,0,0,7,9,20,5,5,9,5,0,3,0,0,0,0,4,10,0,0,0,5,13,19,17,20,39,0,4,0,0,0,0,0,0,0,0,3,0,13,14,28,104,98,204
SOS83,12,3,13,3,11,15,6,3,11,0,0,5,11,16,27,10,3,10,3,9,11,0,9,10,17,17,31,0,0,0,0,0,0,0,5,7,6,4,4,0,0,0,4,8,15,3,5,7,5,4,6,0,0,0,3,7,11,0,0,0,11,13,25,17,23,40,41,10,49,0,0,3,0,0,0,42,9,52,59,37,96,156,107,262
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,3,0,8,6,5,9,0,0,0,0,0,0,6,5,9,9,23,36,0,0,5,0,0,0,11,25,37,0,4,8,0,0,3,0,0,0,3,4,7,0,0,0,9,14,21,11,6,21,4,4,9,3,5,5,0,0,8,0,0,0,14,18,35,23,31,54,0,0,0,3,6,5,0,0,0,3,6,4,97,36,131,148,104,248
SOS91,14,10,23,64,56,119,0,0,0,0,0,0,64,56,119,36,49,78,0,0,0,0,0,0,34,44,83,0,0,0,5,0,7,5,3,6,10,6,17,0,0,0,14,9,26,0,3,5,0,3,3,0,0,0,0,3,3,0,0,0,4,12,12,20,20,38,3,0,3,0,3,7,0,0,0,4,3,12,139,106,243,275,243,514
SOS92,23,21,44,95,91,184,0,0,0,0,0,0,91,91,189,63,52,116,0,4,3,0,0,0,66,54,121,0,0,3,0,0,0,9,4,16,5,14,19,0,0,0,15,20,38,0,3,7,0,5,3,0,3,3,6,12,22,0,0,0,10,26,34,28,48,71,0,0,0,5,3,10,0,0,0,4,7,12,159,160,319,373,377,753
SOS93,13,4,11,30,20,49,0,0,0,0,0,0,30,20,49,16,20,30,0,0,0,0,0,0,16,22,30,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,3,9,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,7,12,8,12,17,0,0,0,0,0,0,0,0,0,0,0,0,282,60,344,344,114,456
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
