SOS_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOS60,69,85,453,850,222,1482,114,821,78,4176,376,1175,1343,1801,907,1435,257,880,128,8301,2206,6605,3703,4297,2849,2043,1173,2582,488,25942,3046,6037,2344,2473,2479,996,749,1456,356,19936,3083,5083,1879,2130,2792,976,689,1152,286,18066,2009,3659,1469,1594,2347,803,770,1133,213,13991,560,1163,395,371,543,246,198,381,73,3925,103,94,37,21,65,37,22,30,38,449,6,8,0,4,0,4,0,0,7,32,11452,23906,11618,13539,12205,8022,3979,8428,1668,94821
SOS61,107,58,768,870,212,1982,194,1189,92,5476,403,797,1780,1809,762,1320,504,1267,153,8795,1893,4248,3818,3352,2033,1689,1554,2786,378,21757,2389,4134,2533,2525,2128,1291,1396,1938,341,18670,2572,3579,2308,2728,2705,1461,1560,2184,325,19430,2020,2805,2037,2217,2397,1257,1661,2114,256,16760,574,810,497,472,558,318,409,520,109,4264,86,76,41,31,58,29,38,45,48,455,8,5,0,0,4,4,0,0,16,45,10061,16513,13779,14011,10863,9344,7318,12040,1720,95653
SOS62,15,7,110,105,26,214,13,134,5,627,50,54,198,157,78,112,59,153,14,881,226,381,479,323,212,156,204,348,38,2360,353,533,406,271,302,120,174,318,65,2533,441,601,391,325,331,199,226,367,62,2946,430,468,395,344,370,183,279,408,55,2928,147,167,106,73,124,55,89,93,32,879,26,20,4,4,13,10,6,17,15,118,0,4,0,0,0,0,0,0,4,8,1682,2230,2087,1603,1450,1045,1051,1827,293,13276
SOS63,101,29,526,418,93,711,106,664,53,2695,223,212,805,505,273,395,211,618,65,3310,1044,1228,1595,951,686,444,523,1123,127,7720,1789,1989,1585,1020,1009,492,701,997,199,9770,2271,2205,1583,1271,1433,642,931,1257,224,11818,2268,1915,1475,1115,1344,554,1076,1267,214,11234,1127,575,349,179,350,144,262,346,103,3434,335,65,24,10,41,22,19,46,42,599,35,6,0,0,4,0,0,0,12,65,9188,8211,7948,5479,5224,3406,3850,6313,1033,50648
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12
SOS69,0,0,0,0,0,0,0,3,0,12,0,0,4,8,0,3,0,8,0,33,9,18,11,6,7,5,10,12,5,79,4,10,11,7,3,9,9,11,4,69,0,8,9,13,6,0,16,11,3,63,7,5,3,3,9,3,5,5,3,42,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,50,48,39,27,21,37,50,11,309
SOS70,49,68,307,610,230,947,112,549,74,2939,295,694,977,1529,813,672,299,513,140,5931,1672,4779,2684,3276,2458,1152,849,1254,358,18475,2253,4025,2193,2148,2127,719,677,971,267,15382,2115,2760,1548,1463,1807,568,642,875,217,11984,1483,1900,937,792,1278,428,553,624,126,8119,369,593,250,196,359,149,142,180,45,2280,46,53,12,9,42,18,16,14,6,213,7,0,0,0,7,0,0,0,7,20,8280,14866,8906,10020,9119,4654,3284,4979,1228,65347
SOS71,11,33,107,200,81,266,18,151,43,908,59,265,228,352,169,131,38,125,43,1413,492,1601,761,1136,641,314,169,376,182,5676,613,1291,605,875,559,174,199,273,126,4710,605,896,402,655,507,130,167,274,110,3748,467,760,334,446,425,127,170,243,81,3045,160,226,100,90,110,55,51,78,20,890,12,13,5,13,15,5,6,8,4,80,0,0,0,0,0,0,0,0,0,0,2410,5084,2554,3774,2500,1204,808,1528,614,20477
SOS72,8,17,31,68,12,32,13,52,11,245,16,99,62,139,56,45,10,70,31,529,144,320,152,358,132,92,66,169,28,1468,180,333,156,316,135,71,75,145,37,1456,202,264,161,264,129,41,76,137,32,1303,199,272,101,156,113,38,63,92,19,1061,63,78,33,41,27,11,14,23,11,299,6,5,0,0,5,0,3,7,4,33,0,0,0,0,0,0,0,0,0,0,804,1397,700,1349,599,330,331,691,181,6382
SOS73,18,25,164,113,48,193,33,242,24,861,52,108,255,183,113,88,72,282,36,1184,341,445,577,343,348,103,189,348,53,2756,544,511,503,329,358,98,192,266,74,2877,669,535,537,360,507,117,289,307,42,3360,482,361,402,222,362,96,239,245,58,2459,157,113,89,47,91,34,71,64,22,694,33,7,12,3,10,0,6,12,3,86,0,0,0,0,0,0,0,0,0,8,2286,2104,2543,1602,1829,729,1093,1764,317,14269
