SOS_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,6,12,9,4,17,28,11,18,4,108,6,10,14,8,34,63,7,15,3,159,15,20,17,12,48,52,19,26,8,207,10,10,7,11,6,15,5,5,0,68,0,6,3,0,11,9,0,3,0,36,5,14,10,0,13,5,0,5,3,56,11,26,7,11,27,32,7,27,3,147,14,34,29,24,39,39,3,19,8,207,4,0,0,0,4,3,0,0,14,33,74,114,105,63,202,240,60,114,44,1022,10,9,5,0,14,14,8,8,0,63,15,27,25,18,38,36,10,12,3,176,11,11,5,6,5,9,4,4,0,44,21,53,34,18,11,3,7,7,6,155,0,17,18,8,31,19,4,5,0,109,8,25,10,3,7,4,3,4,5,74,4,11,3,0,4,3,0,0,0,32,11,32,17,9,15,14,0,4,0,104,0,5,0,0,6,0,0,0,0,16,85,190,111,71,129,98,29,43,16,771
SOS30,4322,5104,4628,3973,22173,34782,13574,40216,986,129757,6356,11796,10093,9777,43740,55437,13808,31758,1222,183989,10064,11266,10139,8789,43660,55508,16431,30926,2812,189593,9254,10634,8040,5382,10654,10977,3747,5873,1112,65675,2469,4083,3715,2562,18302,13946,4088,7044,416,56625,4518,14702,7506,4140,11385,10404,3099,6143,701,62596,5064,8129,8071,5487,19327,18384,6968,18100,1722,91246,7339,21466,12844,7678,20193,16598,4582,8809,1834,101336,961,1384,1037,782,3180,3327,798,2139,4710,18317,50344,88548,66078,48567,192617,219369,67097,151007,15516,899137,6273,6303,7103,6163,21468,20435,6949,14426,618,89732,16857,26394,32251,27812,52925,48310,12431,22777,1474,241227,5965,5415,5313,3489,8523,5304,1195,1965,506,37677,22959,36134,31037,19694,24803,11153,2721,5248,2287,156040,10299,23005,25703,16871,55966,30379,6203,7467,1369,177270,12572,30895,16586,7756,14255,7372,1667,2587,1099,94782,1090,2176,1903,1189,2950,1744,455,1015,201,12720,5984,18389,11118,5729,9147,4093,919,1558,941,57884,1006,1473,1212,793,2676,1806,339,730,3739,13770,83005,150187,132213,89502,192703,130606,32885,57766,12242,881114
SOS31,664,785,731,649,3263,5018,2395,8334,264,22098,808,1281,1343,1292,4715,5824,2026,4397,184,21867,2516,2417,2113,1916,11734,13970,6090,14428,916,56095,933,1740,1487,1187,2434,2209,836,1506,211,12538,372,533,488,375,2126,1865,635,1338,72,7802,476,3129,1450,895,2260,1892,668,1326,175,12271,2075,1669,1650,1131,4777,5703,3313,12402,754,33468,1501,5412,3086,2421,6853,5490,1869,4098,762,31493,301,316,201,173,688,723,267,891,1253,4813,9642,17285,12549,10041,38845,42676,18109,48718,4586,202456,828,1032,1240,1103,3797,3498,1263,3298,151,16196,2640,4186,5222,4851,7850,7543,2454,4390,299,39440,806,1433,1412,1055,2240,1499,493,900,134,9957,3164,8205,8302,5869,7225,3439,919,1910,739,39775,1921,4998,5769,3997,11221,6320,1456,1934,328,37951,1437,7676,4782,2468,4049,1683,468,690,330,23579,391,489,488,295,645,584,395,1464,92,4848,1191,6145,3784,2343,3358,1838,497,1287,429,20870,221,324,241,176,489,335,61,210,1071,3125,12595,34477,31245,22156,40877,26732,8005,16087,3575,195748
SOS32,126,164,155,135,465,754,313,1374,62,3541,145,249,211,192,571,653,209,543,35,2803,406,415,354,325,1450,1928,602,1773,135,7391,151,242,197,151,296,311,98,209,34,1689,51,96,71,56,267,242,79,153,11,1019,68,328,143,96,228,217,75,171,25,1355,327,276,283,182,671,843,411,1960,152,5101,278,715,401,328,957,904,279,680,159,4702,57,55,27,27,86,120,35,134,250,797,1610,2549,1849,1485,4988,5982,2096,6987,862,28409,145,190,213,168,507,502,177,660,33,2605,359,546,732,629,915,903,256,594,43,4979,147,207,199,152,283,232,50,120,22,1416,504,1133,1092,791,885,469,122,289,107,5390,282,793,853,503,1342,848,156,302,61,5140,219,928,553,352,524,206,70,116,66,3032,52,80,75,46,95,86,35,158,13,635,195,983,543,307,415,279,65,192,77,3057,46,66,50,30,48,44,16,49,216,566,1948,4929,4316,2980,5007,3565,948,2467,645,26810
SOS33,640,1088,953,894,1972,4420,1830,14191,580,26560,540,813,712,625,1663,2418,766,2166,102,9800,1372,1614,1187,1069,4767,6536,2307,6902,536,26286,514,660,453,321,667,716,281,511,75,4203,164,334,231,169,753,727,237,569,43,3236,243,1158,461,256,627,720,254,608,79,4405,991,934,794,651,1952,2787,1233,6543,437,16325,820,2477,1327,1030,2767,3127,973,3407,452,16378,193,188,120,112,291,380,103,541,807,2733,5482,9265,6232,5120,15460,21839,7976,35444,3112,109937,597,1392,1444,1094,1845,2660,875,4739,323,14968,1452,2530,2956,2329,3033,3172,979,2163,171,18783,499,836,743,509,939,730,198,562,89,5103,1571,3632,3257,2141,2207,1195,302,693,293,15295,954,3562,3428,2134,4559,3204,685,1287,244,20051,737,3125,1717,890,1326,718,208,335,147,9209,182,266,242,157,276,264,116,511,45,2068,691,2785,1657,948,1266,1037,252,1059,228,9922,147,211,147,108,189,184,32,154,646,1827,6839,18339,15593,10316,15648,13160,3639,11499,2187,97228
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,26,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,16,14,14,8,27,38,6,36,3,164,18,31,13,13,36,53,9,20,5,189,34,29,25,15,59,72,26,56,11,334,25,24,16,12,21,17,8,10,0,120,6,3,9,0,18,12,8,7,0,64,13,16,15,5,20,10,3,3,5,85,29,16,22,12,32,42,21,98,12,284,23,49,46,40,67,66,19,67,15,395,5,5,4,4,12,11,0,4,22,67,167,184,170,102,292,303,97,309,74,1705,19,13,12,7,18,22,5,20,0,126,36,42,43,27,48,68,5,20,6,297,8,11,12,5,11,5,0,3,4,51,52,61,70,38,36,20,0,12,10,306,29,43,35,14,43,22,3,8,0,208,23,32,22,13,9,5,3,6,4,126,4,3,5,0,6,3,0,7,0,37,22,65,32,36,55,47,19,56,10,334,3,8,3,4,0,0,0,3,10,29,205,277,235,144,243,190,39,129,44,1512
SOS40,887,1571,1771,1566,8675,11426,5033,11396,259,42593,1492,4353,3607,3646,18002,16991,4986,9221,332,62633,1962,3640,4133,3486,17377,18106,5036,7945,769,62452,1374,4952,3778,2439,4333,3931,1634,1868,342,24665,668,1491,1473,1202,8108,5048,1554,2126,134,21812,595,5344,2931,1416,4361,3297,1052,1583,196,20774,1203,2526,3068,2092,7814,6098,2230,4569,524,30131,1321,8729,5281,2972,7925,5304,1574,2452,598,36166,269,584,392,315,1338,1071,287,630,1260,6152,9767,33195,26434,19133,77938,71279,23410,41796,4417,307367,1101,1828,2649,2524,7420,5977,2374,3999,138,28007,4652,9070,12122,10986,19349,13502,4249,6389,461,80783,644,2364,2606,1585,3517,1584,450,607,116,13485,3325,15032,13187,7694,8777,3646,1012,1834,654,55154,2345,7747,9776,6820,19368,7789,1754,1724,315,57636,1479,12564,6532,2682,4064,1719,482,534,296,30340,168,502,437,314,734,381,87,248,40,2905,883,6981,4561,1927,3206,1131,311,534,293,19827,254,581,443,306,913,436,123,192,939,4193,14847,56670,52313,34834,67354,36159,10843,16052,3265,292332
SOS41,275,429,462,399,1653,2635,1239,3134,111,10333,278,603,490,516,2055,2420,872,1569,51,8866,657,1016,969,897,4445,5101,1612,3125,246,18076,298,806,604,478,900,905,321,460,87,4856,129,269,218,186,900,768,281,400,21,3176,147,1217,638,332,874,836,298,423,79,4846,625,621,625,449,1836,1907,1097,2757,200,10129,603,2457,1275,896,2623,2336,622,1020,270,12093,85,139,108,64,304,263,91,204,360,1627,3099,7571,5387,4224,15593,17174,6436,13090,1427,73997,275,561,680,601,1576,1326,596,1093,55,6757,940,1677,2305,1996,3108,2572,959,1471,98,15118,187,679,668,448,780,466,136,217,42,3623,990,3785,3705,2294,2278,1136,301,578,215,15278,574,1988,2221,1670,3774,1689,361,451,71,12794,446,3135,1973,976,1293,536,160,180,131,8829,74,127,125,71,160,121,69,233,17,992,452,2772,1472,673,930,509,125,236,168,7343,86,140,96,62,147,94,23,40,290,983,4026,14858,13243,8802,14040,8439,2728,4497,1083,71715
