SOS_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,0,0,0,16,0,0,3,0,0,3,3,5,3,0,0,10,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,13,6,0,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,0,0,0,16,0,0,3,0,0,3,7,5,3,0,0,14,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,13,6,0,8,38
SOS29,0,0,0,0,234,234,9,0,0,0,337,345,92,35,27,0,783,939,241,98,84,0,575,1008,195,137,156,4,417,912,215,82,166,14,164,644,169,51,115,20,38,392,39,7,28,14,8,90,9,0,4,4,0,15,963,416,581,56,2551,4576,0,0,0,0,231,229,13,0,0,0,304,321,119,58,20,7,682,878,166,60,79,16,412,730,103,65,116,14,185,479,157,39,119,32,79,429,96,13,66,13,28,224,19,6,11,17,6,58,5,4,0,10,0,19,676,246,425,103,1924,3373,0,0,0,0,461,459,18,0,0,3,641,671,207,93,52,7,1467,1819,409,162,165,11,992,1736,300,203,272,18,600,1393,371,123,283,49,243,1074,269,66,180,36,62,613,59,8,45,33,12,152,9,4,7,13,0,29,1642,658,1005,165,4474,7946
SOS30,120,38,20,26,113257,113461,2701,202,70,61,119906,122950,69597,3884,3984,210,179959,257639,141266,9734,14839,493,79318,245647,138384,12321,27094,1300,49423,228516,120555,9415,30626,2921,27649,191162,102360,6287,23917,6150,11831,150538,57440,2464,9592,9038,3928,82459,14441,469,1724,7978,1063,25668,646862,44804,111868,28179,586336,1418042,163,32,13,18,109207,109435,5202,441,125,70,117480,123314,92071,6785,6559,415,163812,269637,152367,13913,21769,1466,71676,261186,139808,15576,39348,4200,44024,242960,118019,11271,44657,10405,22740,207093,93153,6510,35126,23171,9514,167478,42087,2058,14520,33919,3425,96003,7330,291,3160,29879,1462,42120,650197,56875,165284,103535,543337,1519229,278,66,39,49,222464,222896,7905,642,201,130,237391,246265,161668,10664,10544,625,343772,527278,293633,23641,36606,1955,150999,506832,278192,27899,66447,5500,93442,471471,238577,20689,75276,13328,50391,398262,195513,12799,59048,29318,21345,318021,99527,4517,24110,42949,7353,178459,21773,751,4884,37849,2522,67791,1297058,101676,277147,131709,1129677,2937275
SOS31,30,9,4,3,28668,28714,774,82,25,13,24637,25532,16475,1077,945,65,38228,56784,28744,2666,3525,141,19106,54183,30615,3559,7105,440,14311,56029,33568,3283,9930,1105,9616,57495,33758,2573,9107,2562,4133,52129,19554,946,3763,3475,1471,29203,4723,178,609,2754,373,8636,168237,14376,35009,10561,140533,368711,29,21,5,5,26702,26765,1432,123,33,23,23343,24952,20957,1945,1467,136,34551,59061,30897,3990,4981,426,17340,57630,31458,4182,9813,1214,12045,58721,34505,3702,12481,3392,6657,60747,31173,2079,9954,8048,2589,53847,14576,643,4005,11955,912,32094,2352,82,747,9722,362,13262,167374,16772,43497,34931,124497,387070,60,33,11,10,55371,55482,2208,204,59,38,47979,50485,37432,3025,2409,202,72777,115851,59634,6656,8507,567,36447,111813,62071,7749,16920,1655,26358,114752,68077,6989,22410,4502,16273,118238,64929,4652,19062,10610,6726,105974,34129,1591,7767,15428,2382,61295,7068,258,1354,12483,733,21899,335614,31150,78502,45492,265029,755788
SOS32,11,0,6,0,3944,3955,69,5,0,0,3174,3252,1753,146,89,3,4902,6901,3547,310,401,20,3169,7451,4579,523,1135,82,2771,9082,6064,683,1902,244,2086,10979,6235,557,1893,531,884,10098,3137,195,756,572,330,4975,531,21,75,289,81,999,25917,2442,6246,1740,21335,57694,10,0,0,0,3586,3591,128,11,0,3,2883,3028,2266,188,153,12,4633,7257,3968,422,561,59,2829,7830,5058,496,1322,161,2225,9267,6583,572,2072,607,1381,11218,5531,359,1493,1245,546,9174,2166,85,506,1573,128,4447,230,7,78,918,28,1263,25930,2148,6188,4581,18240,57085,18,0,6,0,7530,7551,200,22,0,4,6058,6285,4021,336,237,15,9543,14159,7519,725,956,81,5998,15279,9638,1019,2457,239,4997,18350,12644,1257,3982,853,3465,22201,11763,918,3387,1776,1426,19263,5294,280,1259,2143,450,9429,759,33,155,1205,106,2259,51851,4586,12439,6319,39582,114777
SOS33,23,4,6,7,14077,14115,328,44,9,5,10321,10707,6654,468,359,24,13914,21406,15007,1056,1412,63,8318,25861,20889,1651,3853,198,7533,34129,24302,1787,5913,632,5580,38217,21065,1478,5158,1362,2319,31383,9565,514,1815,1549,698,14142,1500,48,234,783,131,2696,99324,7065,18752,4624,62887,192653,22,6,0,0,12862,12901,477,22,9,0,8540,9058,8401,507,437,34,10969,20340,16612,1071,1630,190,6389,25889,22267,1609,3909,503,5167,33453,24670,1412,5288,1502,3046,35907,18157,819,3616,3054,1040,26694,6318,191,1027,3451,236,11227,622,19,158,1619,38,2454,97545,5650,16076,10354,48283,177913,47,8,9,8,26945,27016,808,65,20,7,18859,19762,15046,974,794,59,24878,41750,31621,2126,3040,257,14698,51750,43150,3263,7767,703,12703,67583,48973,3202,11195,2132,8625,74122,39221,2302,8774,4417,3358,58073,15879,709,2837,5003,935,25367,2122,73,395,2396,165,5145,196877,12715,34830,14978,111168,370559
SOS37,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,31,37,42,9,0,0,11,55,27,0,5,0,8,42,0,0,0,0,4,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,71,8,9,0,55,149,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,13,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,26,28,0,0,0,0,0,0,0,0,0,0,16,16,4,0,0,0,39,49,43,9,0,0,22,64,31,0,5,0,8,45,0,0,0,0,4,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,76,8,16,0,83,183
SOS39,0,0,0,0,271,272,11,4,0,0,426,444,135,54,26,6,1083,1301,230,118,83,6,753,1194,242,131,195,4,472,1042,578,124,305,17,274,1297,641,130,313,63,107,1253,156,26,60,34,12,283,5,3,3,6,0,23,2006,593,977,134,3398,7108,0,0,0,5,288,291,15,9,0,0,466,493,174,60,25,0,1086,1345,248,82,99,14,439,885,281,87,195,16,306,887,641,71,299,43,124,1170,504,45,221,69,33,870,79,11,38,35,6,160,4,0,5,13,4,25,1943,363,881,194,2749,6127,3,0,0,5,556,566,22,9,0,0,894,934,314,112,46,6,2169,2649,479,204,180,16,1192,2077,522,224,395,23,776,1929,1217,195,598,62,394,2468,1146,184,528,132,140,2124,229,28,95,72,19,444,9,9,4,25,6,44,3948,959,1855,326,6142,13234
SOS40,19,13,10,7,35595,35644,821,61,28,14,41617,42541,25819,1075,1212,39,60976,89123,48577,2943,4534,145,26562,82765,44408,3793,8716,470,19185,76573,43265,3266,11300,1128,12522,71483,39403,2229,9015,2504,5067,58214,23319,806,3547,3595,1380,32643,7088,186,681,4199,351,12507,232726,14366,39031,12100,203257,501480,49,13,9,6,33657,33732,1959,160,57,13,38501,40690,34065,1873,1998,121,51357,89419,50669,4057,6635,512,22984,84854,44431,4642,12439,1419,15579,78507,43092,3835,16265,3891,10139,77213,37074,2213,13576,9236,4377,66473,18167,697,5398,14740,1387,40379,3605,114,1400,15137,543,20793,233114,17604,57777,45059,178514,532069,71,23,20,9,69249,69374,2775,220,84,27,80117,83229,59889,2949,3212,163,112327,178542,99247,6997,11174,655,49549,167621,88838,8433,21150,1886,34769,155078,86358,7101,27562,5015,22659,148698,76474,4442,22591,11745,9443,124690,41486,1505,8939,18329,2767,73023,10701,296,2077,19330,892,33293,465843,31968,96811,57162,381766,1033551
SOS41,4,0,0,0,9535,9544,210,13,4,6,8569,8804,5385,336,246,13,13130,19118,9562,803,1077,48,6692,18184,10930,1101,2476,139,5420,20062,12687,1039,3704,378,3810,21617,14308,874,3209,998,1499,20893,9094,304,1245,1448,506,12598,2361,46,231,1434,119,4188,64544,4519,12194,4469,49276,134997,15,0,0,3,8900,8914,371,38,10,7,7863,8286,6719,602,449,39,11409,19224,10338,1146,1660,107,5840,19093,11427,1442,3502,434,4497,21310,13172,1189,4714,1213,2635,22924,13774,770,3871,3171,1000,22586,7174,246,1500,5355,359,14636,1193,37,336,4789,142,6494,64183,5467,16047,15121,42638,143460,23,4,0,3,18432,18465,581,50,16,11,16434,17089,12104,941,700,54,24541,38345,19900,1944,2739,151,12531,37268,22360,2542,5977,578,9918,41370,25855,2224,8422,1594,6440,44540,28084,1649,7076,4167,2501,43474,16264,548,2748,6807,863,27229,3549,85,569,6220,260,10681,128726,9989,28239,19582,91916,278457
