SOS_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SOS37,0,0,0,0,12,6,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,28,11,31,6,77,0,0,5,5,36,0,48,3,0,9,3,42,0,63,0,0,6,0,13,0,23,0,0,9,13,142,6,176,0,0,3,0,3,0,5,8,0,15,9,25,0,54,4,6,33,13,44,4,103,7,4,3,14,47,3,77,0,4,4,5,0,0,17,0,0,5,3,0,0,16,0,0,0,4,7,0,16,11,4,36,16,22,3,84,7,0,19,8,26,0,61,7,3,8,7,21,4,46,5,4,10,12,12,0,35,12,0,21,10,17,4,64,0,0,5,0,4,0,10,4,0,0,4,33,0,38,7,0,17,6,32,16,72,78,23,237,133,572,57,1092,7,3,60,19,23,5,119,4,0,4,0,6,0,13,0,0,3,6,3,0,21,0,0,3,3,3,0,5,3,0,4,4,8,0,21,0,0,8,3,4,0,17,4,0,13,19,34,5,69,11,3,62,34
SOS40,180,53,512,234,639,103,1724,409,93,944,297,1569,54,3361,1530,341,4230,2632,9602,484,18813,454,158,1272,618,1823,95,4417,803,197,3497,2403,20447,643,27986,413,129,1299,858,2828,157,5687,1120,196,3683,1873,5707,414,12995,786,106,2450,1782,3626,306,9047,1135,199,2589,2274,5000,480,11688,408,100,1267,606,927,78,3394,1010,417,2715,1566,1137,134,6973,235,73,936,643,1083,87,3049,4138,1110,10940,2593,2479,409,21666,645,123,1729,1071,2904,214,6688,2515,959,5813,3487,5517,391,18680,4262,1053,5877,1235,1682,167,14272,4360,1100,9055,2612,4174,556,21853,264,68,963,458,937,81,2771,480,172,1277,1064,5888,204,9087,695,110,1593,864,2966,930,7151,25819,6754,62632,29171,80946,5984,211306,115,27,338,148,211,40,871,101,43,375,109,179,16,831,660,186,2208,1140,2026,205,6428,237,76,506,245,384,36,1490,348,92,1243,828,1519,137,4169,250,79,806,466,824,73,2516,784,273,4033,2161,5792,516,13559,729,117,2748,1524
SOS41,49,32,330,294,1383,167,2251,67,20,208,176,1576,52,2100,200,75,732,597,4170,184,5957,25,16,94,135,766,25,1061,60,34,308,391,5921,213,6928,29,12,133,166,874,52,1270,78,26,367,340,1899,109,2820,45,7,181,227,1094,74,1631,44,10,165,254,1445,122,2030,14,13,107,68,183,12,396,65,40,194,236,176,13,726,11,12,70,120,238,17,462,307,107,969,378,539,48,2348,36,14,146,172,840,52,1254,232,142,683,864,1617,75,3611,420,204,1293,261,539,44,2754,436,141,1097,493,971,71,3205,19,6,111,75,221,17,452,53,43,183,181,1849,50,2356,48,27,153,162,920,236,1541,2236,983,7516,5585,27220,1627,45161,45,20,232,175,335,55,854,26,9,79,67,193,17,387,74,49,466,343,857,73,1860,7,13,34,38,76,9,175,19,19,158,191,480,29,901,19,8,77,81,226,21,434,64,45,583,500,2072,188,3462,54,30,313,354
SOS42,9,6,83,81,539,73,788,3,0,11,21,216,10,254,9,11,71,67,496,30,676,0,0,11,12,114,3,137,3,0,39,56,957,36,1094,3,3,19,22,164,5,228,11,3,47,26,220,19,323,5,3,16,25,153,16,223,0,5,11,34,228,28,311,0,0,4,6,18,3,30,0,5,11,20,21,0,52,0,0,6,13,29,0,45,15,10,63,43,69,8,210,7,0,18,21,123,15,180,32,18,71,119,232,16,491,51,33,153,34,97,9,373,26,11,83,44,108,13,287,0,0,17,12,37,4,64,9,0,26,20,321,17,390,5,3,20,23,146,44,242,189,122,781,693,4274,348,6403,9,5,53,59,109,25,266,0,0,4,3,11,3,25,4,7,61,39,116,3,238,4,0,3,0,17,0,25,0,3,39,32,88,6,170,0,0,18,16,38,7,81,8,4,78,71,296,25,494,10,6,49,49
SOS43,107,60,791,838,3426,335,5548,15,12,114,57,561,32,789,64,36,356,236,1483,63,2236,18,0,43,54,351,16,477,21,4,150,178,2724,113,3184,9,11,78,86,406,30,623,15,12,102,73,608,43,854,14,3,76,76,318,37,521,15,6,84,103,672,46,920,4,0,28,21,45,4,107,20,6,70,71,67,6,241,7,3,40,47,86,9,190,160,40,476,152,193,28,1046,10,3,59,61,297,19,456,80,42,244,317,547,43,1277,154,72,376,95,198,16,915,143,61,311,117,259,23,922,10,4,52,38,92,14,212,10,10,52,58,911,24,1067,22,13,103,64,451,128,786,885,385,3599,2738,13715,1039,22364,93,110,728,616,897,141,2572,10,3,37,14,46,0,114,52,25,280,212,420,43,1023,8,4,17,20,38,0,90,16,9,84,115,254,28,501,8,6,61,68,120,10,272,21,18,244,195,696,82,1250,25,21,140,144
SOS47,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,3,0,5,0,7,0,0,0,3,4,0,13,0,0,4,5,7,0,14,0,0,0,0,5,0,3,0,0,4,3,22,0,31,0,0,0,0,0,0,4,0,0,0,3,14,6,15,4,0,3,0,13,0,20,0,0,0,0,23,8,26,0,0,0,0,3,0,5,0,0,0,0,5,0,3,0,0,4,3,0,0,9,4,0,12,0,4,0,21,0,0,10,0,9,3,26,3,0,0,0,3,0,8,0,0,5,3,0,0,10,4,0,9,0,5,3,21,0,0,3,0,0,0,3,0,0,0,0,5,0,5,0,0,0,0,8,0,14,19,3,59,20,142,18,264,0,0,0,0,0,0,7,0,0,4,0,0,0,7,0,0,5,0,3,0,3,0,0,3,0,0,0,6,0,0,3,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,3
SOS50,195,51,554,313,800,88,2007,4778,1031,11018,4516,18857,969,41170,1686,389,5114,3615,15243,748,26793,732,182,1680,802,2484,131,6005,1815,454,7180,6267,34933,1485,52125,902,178,2718,1610,5605,307,11320,1558,306,5561,3047,8335,728,19528,848,151,3766,3511,6221,596,15088,1803,429,5094,4535,8523,917,21296,436,117,1538,794,1152,109,4132,1370,582,4412,2043,1143,229,9772,414,128,1822,1160,1778,177,5476,8120,1749,20754,5272,4773,931,41588,790,213,2484,1582,3942,366,9373,3012,1430,7486,5153,7720,692,25495,5182,2358,8152,1750,2620,374,20429,5197,1352,11236,3195,4407,718,26107,479,147,1849,957,1818,192,5450,766,223,2046,1652,9616,373,14666,1792,311,4536,2445,8201,2162,19443,41872,11763,108984,54219,148170,12261,377274,116,47,447,226,345,72,1255,1703,596,4684,1574,2656,269,11482,748,279,2798,1733,2634,370,8569,369,131,956,391,574,61,2494,643,303,3025,2049,3157,380,9565,388,175,1648,928,1539,208,4897,1626,465,7123,4695,9850,1117,24880,927,250,4901,3464
SOS51,48,15,270,208,1035,124,1704,314,107,1013,1037,8504,288,11268,126,47,650,486,3269,172,4751,42,17,106,181,1162,45,1551,55,35,400,790,7697,270,9250,22,11,135,174,1224,40,1603,62,20,357,330,1921,120,2806,88,19,352,414,1383,107,2365,85,44,379,527,2299,142,3470,17,13,79,56,156,11,335,38,23,124,152,109,10,465,12,5,98,147,389,30,678,198,79,834,407,724,57,2300,19,11,148,160,879,47,1264,231,161,809,867,1690,113,3880,336,396,1214,290,619,44,2900,496,143,1218,438,942,113,3352,20,4,77,67,213,15,396,87,31,176,177,2287,66,2822,57,20,231,216,1626,373,2522,2349,1205,8670,7119,38144,2187,59685,24,20,188,152,304,58,747,120,61,530,413,1205,92,2426,43,48,382,270,666,77,1485,18,12,77,64,184,9,365,31,22,220,308,777,59,1422,3,13,97,102,329,27,578,104,62,680,741,2636,271,4496,81,38,759,655
SOS52,4,3,84,52,363,63,574,33,11,110,132,892,40,1225,9,4,33,47,381,21,497,0,0,3,10,127,9,152,4,3,41,62,730,37,873,4,0,29,17,172,9,226,11,0,48,36,162,17,266,10,0,30,54,173,19,287,6,3,16,47,231,20,324,3,0,0,5,17,0,27,4,4,6,11,7,0,25,0,0,4,9,33,0,45,16,7,62,38,47,10,173,3,4,21,30,102,17,176,26,22,93,155,329,29,659,39,41,142,22,85,12,335,33,12,95,50,100,7,295,0,0,13,13,30,4,63,4,3,21,19,273,7,323,6,0,21,30,212,67,337,211,120,884,819,4464,389,6887,3,5,84,44,102,25,256,14,7,60,62,109,15,262,3,0,40,31,89,10,181,0,0,0,0,14,3,18,3,9,19,40,75,4,142,0,0,24,13,53,5,86,11,4,78,62,224,33,419,18,9,97,80
SOS53,100,44,983,760,2693,304,4895,149,67,599,531,3365,153,4870,40,24,220,212,1197,55,1763,0,5,42,59,291,12,413,42,19,210,375,2965,137,3745,14,9,83,82,465,20,671,15,6,113,110,491,39,771,20,9,149,108,415,64,769,15,11,93,158,738,44,1050,0,3,31,28,59,4,121,13,6,75,58,42,11,207,6,5,38,66,139,9,265,135,37,462,180,251,40,1098,7,6,71,73,375,28,562,56,42,227,286,690,42,1349,102,99,328,110,221,15,874,74,36,267,99,179,25,683,4,11,53,29,136,13,250,18,6,46,61,988,29,1152,38,8,119,127,636,167,1091,861,438,4219,3521,16340,1219,26595,94,129,984,593,954,210,2966,57,23,214,168,383,49,894,35,22,184,146,306,37,731,8,6,27,21,42,9,113,17,17,126,185,336,32,710,11,9,70,75,180,18,358,30,24,253,251,656,89,1311,27,18,275,226
SOS57,0,0,5,0,12,5,23,4,0,8,9,30,3,54,0,0,0,0,3,0,4,0,0,0,0,4,0,9,0,0,0,0,19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,15,4,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,4,22,5,3,33,18,106,13,179,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,7,7,15,0,35,3,0,13,9,68,8,104,0,0,3,6,17,0,27,0,0,0,0,3,0,3,0,0,8,3,70,0,80,0,0,0,0,0,0,6,4,0,6,4,11,0,23,4,0,15,15,26,0,62,0,0,3,8,20,0,37,0,0,0,0,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,3,25,5,8,0,40,0,0,5,0,14,0,23,5,0,7,5,9,0,25,5,0,3,5,4,0,18,0,4,7,4,6,0,32,0,0,9,0,3,0,7,0,0,5,0,21,0,27,4,0,0,0,14,8,32,34,12,123,81,324,19,595,5,0,16,7,5,0,32,0,0,3,6,9,0,29,0,0,8,5,6,0,14,0,0,3,0,0,0,5,0,0,0,0,5,0,13,0,0,0,0,0,0,7,4,0,9,7,11,0,32,10,0,24,16
SOS60,183,19,244,98,231,28,806,24,0,44,16,51,6,134,255,21,448,241,1192,72,2226,181,33,443,174,373,9,1213,161,35,434,307,3390,75,4397,62,6,116,77,317,15,600,413,35,669,239,797,76,2232,543,46,784,367,713,63,2516,279,35,378,211,534,70,1512,69,13,225,89,137,19,547,116,53,332,180,116,19,820,42,19,128,76,123,14,405,724,217,1567,318,375,53,3247,153,31,223,103,297,33,834,551,286,1218,557,872,69,3549,978,205,1076,175,377,38,2864,804,203,1478,382,732,85,3684,101,31,275,113,217,13,743,126,21,223,122,702,31,1219,127,14,181,75,328,147,872,5890,1318,10486,3910,11872,940,34411,77,16,114,42,36,11,288,4,0,11,4,6,0,25,131,25,225,101,207,26,712,81,32,183,86,119,4,504,57,17,119,102,213,11,511,30,7,71,50,78,8,245,380,52,692,268,817,87,2294,480,43,684,300
SOS61,118,13,252,143,642,84,1248,31,10,63,73,588,27,785,192,29,371,267,2195,129,3183,30,16,106,101,458,12,722,57,19,226,292,4491,116,5200,73,21,131,137,711,34,1103,166,30,350,227,1183,68,2018,182,14,297,191,657,52,1398,127,19,236,233,1126,106,1849,14,9,102,61,136,7,325,48,23,135,135,130,15,489,11,4,46,72,135,9,274,211,97,683,241,319,34,1585,45,8,86,97,402,17,654,148,114,476,352,756,51,1892,408,117,930,179,405,32,2076,526,165,1066,385,857,90,3088,19,11,88,55,196,12,383,78,17,139,118,1076,26,1450,47,4,104,60,517,164,905,2520,731,5898,3406,16983,1110,30643,62,6,194,89,175,37,571,3,3,13,9,42,0,73,60,18,203,133,402,48,862,15,9,57,53,111,5,248,8,6,80,97,290,24,516,13,3,65,46,164,10,312,84,33,343,297,1470,126,2358,130,24,306,223
SOS62,18,4,41,43,267,49,427,5,0,25,20,151,8,200,9,0,42,32,290,19,404,8,4,15,14,79,4,118,6,0,32,52,639,28,758,6,0,4,18,96,5,131,9,0,17,25,134,12,198,25,10,41,44,103,19,238,8,0,10,23,141,15,200,0,0,9,7,12,0,31,0,0,6,10,13,0,34,4,0,0,4,12,0,28,62,17,107,44,42,4,273,8,4,18,14,61,7,106,30,19,78,50,131,9,313,57,19,131,18,55,7,284,49,16,103,40,73,9,281,7,0,34,14,24,5,84,9,0,20,10,160,7,195,0,7,19,20,64,21,130,329,102,759,507,2554,208,4449,9,0,29,16,44,15,123,0,0,4,4,20,0,35,3,0,27,26,60,10,127,3,0,14,12,8,0,41,5,0,12,13,45,3,75,0,0,8,7,23,0,37,8,13,44,45,166,22,291,20,6,59,51
SOS63,138,33,472,448,1492,163,2742,7,6,36,33,333,19,429,54,18,178,161,1223,65,1711,23,11,63,75,312,10,492,21,17,124,170,2665,74,3075,12,0,45,75,369,19,520,24,7,95,61,413,28,632,53,10,116,90,292,18,572,15,12,58,110,597,42,839,7,6,32,31,63,0,140,14,14,52,30,34,9,152,5,6,25,34,80,3,159,160,42,425,151,170,18,972,17,4,55,50,253,6,382,87,46,237,207,447,43,1067,167,62,345,79,179,20,846,119,64,340,187,283,39,1025,31,8,68,50,106,6,272,15,8,36,34,650,8,758,23,4,65,54,331,91,564,994,368,2860,2132,10285,683,17333,65,39,346,238,417,65,1180,5,5,15,9,27,5,69,15,12,129,101,265,35,559,11,6,37,34,41,0,129,10,8,54,76,184,13,350,7,3,40,36,100,13,195,20,14,167,152,537,66,955,57,15,201,150
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,4,5,0,0,0,0,0,0,7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,6,0,9,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,3,6,6,14,11,55,7,93,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,4,0
SOS70,29,0,50,37,102,0,222,49,10,111,76,493,18,754,32,7,95,114,499,20,767,77,18,147,98,260,9,611,77,10,317,247,2149,70,2862,24,5,82,63,274,20,472,228,12,336,124,519,34,1253,232,18,454,312,440,61,1521,117,28,302,304,600,48,1402,27,11,82,42,74,7,240,19,17,72,57,29,7,214,22,11,66,49,122,8,276,378,88,736,181,283,30,1681,58,5,144,103,236,21,571,592,258,1262,1055,1819,129,5108,354,122,422,112,238,28,1269,539,118,872,238,345,60,2171,65,11,112,54,142,19,401,74,10,162,84,599,21,947,92,15,176,116,500,154,1052,3082,771,5989,3464,9724,775,23810,13,0,41,11,38,0,110,18,9,54,31,56,6,163,17,8,57,40,102,13,225,26,12,72,39,75,6,232,33,9,136,95,236,20,527,4,3,32,41,60,4,145,178,19,407,202,425,71,1305,174,16,545,261
SOS71,0,0,10,10,31,3,62,11,3,26,32,190,9,276,21,0,31,23,137,3,210,7,0,17,27,94,4,152,14,3,57,57,660,29,820,5,0,21,7,51,3,82,43,3,83,53,177,23,380,33,4,89,67,111,18,320,17,8,58,68,159,13,321,5,3,18,3,23,4,59,3,0,11,10,7,3,28,5,0,7,3,19,0,32,46,10,111,45,109,22,338,10,7,34,20,64,9,141,173,49,305,322,554,53,1461,95,50,173,51,131,24,518,227,57,392,171,251,42,1142,16,0,46,17,49,13,138,28,6,61,33,209,9,345,17,0,45,18,120,58,256,756,210,1596,1030,3149,336,7084,7,0,10,7,6,0,25,7,0,19,3,24,4,52,8,0,16,7,18,3,45,0,0,3,6,6,0,17,3,3,29,28,68,11,140,5,0,5,11,18,0,48,35,12,111,47,118,19,341,29,3,96,51
SOS72,0,0,3,0,42,8,55,5,5,18,21,105,8,164,0,0,0,8,27,0,29,0,0,3,8,32,0,47,0,0,3,14,153,6,177,0,0,0,0,6,0,8,5,6,11,8,56,3,88,13,0,49,37,118,13,228,0,3,16,13,43,0,78,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,5,0,4,9,0,9,4,18,0,36,6,0,14,11,40,0,67,16,14,36,90,210,22,376,27,14,66,11,37,3,162,11,3,38,16,66,15,149,3,3,27,7,43,11,89,3,0,5,7,63,5,92,3,0,3,10,48,13,73,104,41,310,251,1104,110,1925,0,0,7,8,13,0,34,0,4,13,10,13,5,45,0,0,4,6,3,0,15,0,0,0,0,8,0,3,0,0,4,7,11,0,34,0,0,0,0,7,0,11,9,0,15,14,55,9,98,10,4,42,21
SOS73,9,3,57,78,319,28,486,3,0,23,31,298,18,378,6,0,10,18,158,10,198,4,5,9,26,106,0,149,0,5,26,59,823,29,937,0,0,11,12,82,4,111,0,0,15,14,119,11,164,8,0,30,15,94,13,156,0,0,10,41,168,5,223,0,0,4,4,17,0,22,0,0,3,15,0,0,28,0,0,3,3,20,0,36,12,0,52,17,73,4,153,3,3,8,18,91,4,129,27,29,109,176,426,23,790,26,7,46,28,65,4,175,12,13,33,25,67,12,156,0,0,21,14,66,8,109,0,3,11,13,273,3,307,0,0,18,19,164,43,244,124,72,488,614,3422,232,4950,14,3,72,55,172,11,332,3,3,9,6,29,0,51,0,0,13,12,29,5,57,9,3,11,17,14,0,48,5,0,39,41,98,11,192,0,0,9,9,25,12,57,3,0,38,35,119,20,213,3,5,37,48
SOS77,0,0,5,0,8,3,12,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,6,6,22,0,40,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,11,0,18,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,13,4,22,0,0,0,0,0,0,6,0,0,0,0,6,0,8,6,0,0,3,12,0,25,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,3,0,13,0,0,0,0,4,0,10,0,0,6,0,4,0,16,3,0,0,0,0,0,10,5,0,4,0,0,0,12,0,0,3,0,5,0,7,0,0,0,0,0,0,3,0,0,0,0,5,3,12,19,9,36,18,87,15,182,0,0,3,5,3,0,8,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,9,0,0,0,0,0,0,0,0,0,5,0,4,0,11,5,0,14,4
