SOS_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOS27,36,6,38,7,0,8,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,28.6,25,28.2,28.6,25,28.2,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,5,0,5,7,0,9
SOS29,4576,3373,7946,621,302,919,281,367,646,125,103,231,298,191,485,1324,961,2281,1218,1228,2447,22.6,19.6,21.3,28.9,28.4,28.7,22.4,22.9,22.6,114,129,239,35,69,98,337,365,701,161,208,372,614,336,949,54,54,112,50,41,90,715,435,1148,847,576,1426,2008,1884,3889,538,340,876,2171,2008,4180
SOS30,1418042,1519229,2937275,630089,413958,1044048,203192,371902,575096,65862,95252,161115,54832,46831,101655,953971,927939,1881915,382198,512339,894531,5.7,5,5.4,67.3,61.1,64.1,63.4,58,60.6,83215,87825,171038,24841,48482,73319,216857,295140,511996,124121,172791,296918,326564,188771,515339,16479,22471,38952,21153,31966,53121,364193,243216,607413,1341606,1408685,2750292,305996,329263,635257,780530,816859,1597391,775360,834430,1609794
SOS31,368711,387070,755788,148355,91699,240047,39875,87878,127752,14228,16170,30397,13147,10763,23908,215598,206503,422106,120577,153216,273790,6.1,5.2,5.7,58.5,53.4,55.8,54.9,50.6,52.7,6853,8378,15228,3538,7955,11493,24509,45775,70284,22447,36396,58847,108565,60438,168999,5312,8010,13321,5306,7665,12971,119181,76110,195294,342508,356837,699347,74146,80770,154913,210595,215579,426170,181621,199108,380729
SOS32,57694,57085,114777,20054,11993,32050,5886,12218,18106,2471,2589,5064,2081,1658,3744,30497,28469,58963,21884,23851,45739,6.8,5.8,6.4,52.9,49.9,51.4,49.2,47,48.1,878,1224,2101,454,1160,1613,3100,6038,9142,3295,5487,8780,16598,8627,25220,856,1213,2072,828,1123,1951,18279,10963,29239,54015,53374,107384,9184,9745,18931,36802,35629,72428,22954,24213,47165
SOS33,192653,177913,370559,80721,43947,124669,20619,44254,64873,8600,9028,17620,4801,3751,8553,114738,100979,215714,58551,61814,120365,4.2,3.7,4,59.6,56.8,58.2,57.1,54.6,55.9,3582,4617,8197,1600,4044,5645,12656,23904,36557,11705,18396,30107,55560,25627,81184,2149,3344,5486,2865,3772,6636,60568,32741,93310,180169,169440,349605,25252,25625,50875,130235,120195,250438,65951,66373,132326
SOS37,149,28,183,25,0,26,0,0,0,6,0,8,0,0,3,31,3,35,6,0,11,3.1,33.3,5.7,21.2,9.7,19.2,20.5,6.5,18.1,0,0,0,0,0,0,3,0,4,0,5,4,18,0,14,7,0,7,4,0,4,25,0,25,39,5,47,3,0,4,17,3,20,26,3,30
SOS39,7108,6127,13234,1003,602,1610,462,658,1119,244,247,492,466,384,851,2172,1892,4069,2898,2883,5780,21.5,20.1,20.9,30.6,30.9,30.7,24,24.7,24.3,171,197,369,66,101,168,494,831,1322,384,577,959,1449,778,2225,71,114,183,96,112,208,1616,1003,2617,1455,1091,2545,4166,4209,8378,948,648,1590,4429,4444,8873
SOS40,501480,532069,1033551,214421,130402,344825,78758,143818,222573,14191,18111,32297,20122,16018,36143,327488,308350,635843,153976,204510,358488,6.1,5.2,5.7,65.3,58,61.5,61.3,54.9,58,32240,34233,66474,9039,16379,25420,79411,101724,181133,41019,51306,92327,105576,62257,167834,5712,7638,13349,7263,10607,17871,118553,80504,199049,499551,522848,1022394,79345,82060,161409,329285,345483,674768,220132,231908,452045
SOS41,134997,143460,278457,52296,29705,81996,17179,36896,54082,4522,5110,9636,4417,3359,7778,78415,75072,153485,48975,61015,109988,5.6,4.5,5.1,58.1,52.3,55.1,54.8,50,52.3,3048,3627,6680,1514,3412,4927,10204,17554,27753,8648,13570,22217,36042,21498,57542,1819,2824,4643,2102,2965,5069,39963,27287,67257,131085,138114,269200,20852,22567,43422,87928,91577,179511,56345,61743,118092
SOS42,21414,21547,42961,7598,3897,11490,2552,5490,8046,776,825,1604,681,483,1167,11612,10694,22306,8109,9242,17356,5.9,4.5,5.2,54.2,49.6,51.9,51,47.4,49.2,278,429,702,184,404,593,1127,2298,3422,1108,1962,3068,5770,3087,8855,264,419,686,340,443,780,6376,3949,10327,20520,20469,40989,2707,2847,5554,14963,14780,29746,7154,7482,14640
SOS43,63446,56981,120427,28360,13076,41434,8096,17600,25701,2430,2569,4995,1419,1016,2433,40301,34257,74563,18473,18886,37357,3.5,3,3.3,63.5,60.1,61.9,61.3,58.3,59.9,1233,1611,2848,582,1475,2060,4748,8121,12868,3847,6078,9928,16669,8218,24890,745,1072,1812,1067,1150,2222,18481,10442,28924,62765,57419,120189,6316,6178,12488,48000,43174,91171,18151,17641,35787
SOS47,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,6,0,6,0,0,0,6,0,6,0,0,0
SOS49,1668,1306,2975,233,117,351,124,141,264,64,48,106,150,113,266,562,423,989,651,613,1266,26.3,27,26.6,34,32.3,33.3,25,23.6,24.4,36,44,76,6,22,29,108,125,234,65,96,154,308,166,472,33,30,60,23,21,45,363,214,577,369,226,596,947,917,1865,262,144,404,1008,965,1975
SOS50,807849,848032,1655875,388718,225993,614708,115132,236707,351838,27866,30266,58128,29739,27543,57284,561453,520512,1081965,200560,289677,490236,5.3,5.3,5.3,69.5,61.4,65.3,65.8,58.1,61.9,50468,49477,99944,14441,27697,42135,132548,171851,304398,71879,90255,162134,180026,97407,277435,10343,14680,25025,10259,18969,29230,200628,131058,331686,805807,837814,1643619,135465,143754,279222,519265,538723,1057992,367420,391229,758655
SOS51,150537,154756,305293,68717,39648,108365,16456,39326,55783,6879,6213,13100,4399,3755,8153,96453,88947,185394,39097,52915,92013,4.6,4.2,4.4,64.1,57.5,60.7,61.1,55,58.1,2903,3510,6409,1496,3765,5256,10788,19965,30749,9425,14763,24184,44532,23280,67814,2521,4123,6641,1980,3360,5337,49035,30761,79800,139665,143365,283034,29673,31505,61184,87240,88031,175272,71429,76837,148264
SOS52,24224,23984,48211,8690,4904,13598,2192,4759,6947,1142,958,2099,853,666,1523,12882,11287,24167,8381,10148,18528,6.6,5.9,6.3,53.2,47.1,50.1,49.6,44.3,47,289,387,674,150,407,552,1126,2329,3452,1180,1776,2958,5788,2927,8715,338,544,878,278,465,744,6409,3935,10338,22234,21963,44202,3919,4040,7955,15602,15200,30804,8942,9321,18264
SOS53,75535,61530,137066,33138,15383,48517,7933,16981,24913,3526,2834,6357,1505,1144,2649,46098,36343,82437,19531,19560,39083,3.3,3.2,3.2,61,59.1,60.1,59,57.2,58.2,1230,1502,2729,557,1555,2121,5448,8944,14392,4658,6358,11018,19452,8066,27519,918,1386,2305,984,1488,2465,21348,10939,32289,64829,58259,123084,9603,8670,18275,47928,42673,90602,23289,21308,44601
SOS57,455,61,516,221,27,243,14,4,18,17,4,14,3,0,3,252,29,277,12,9,18,1.2,0,1.1,54.6,50.8,54.2,53.9,50.8,53.6,5,0,3,3,0,3,36,9,39,24,7,35,100,3,100,3,3,4,8,0,7,110,7,117,200,24,229,55,10,71,123,16,139,137,24,163
SOS59,4247,3030,7285,572,341,915,210,274,484,116,96,212,227,160,392,1125,875,2000,990,967,1955,20.3,18.4,19.5,26.5,28.8,27.5,21.1,23.5,22.1,64,90,148,29,49,77,227,340,563,143,190,335,662,286,946,39,49,85,26,42,66,726,376,1105,650,443,1089,1743,1662,3403,365,234,595,1901,1766,3664
SOS60,79218,85913,165131,31502,20435,51942,13744,23768,37508,2246,3123,5369,3581,3093,6673,51073,50424,101497,24703,31861,56557,7,6.1,6.6,64.5,58.7,61.5,59.9,55.1,57.4,7592,8642,16236,1758,3279,5037,13782,16892,30673,5841,7373,13216,15324,9181,24510,868,1381,2250,959,1549,2513,17159,12116,29274,75073,80626,155700,14892,15382,30274,48889,53047,101941,36580,38708,75281
SOS61,87006,95790,182793,33627,19371,52999,11761,24798,36558,2785,3307,6093,3478,2765,6239,51646,50243,101895,30563,40737,71297,6.7,5.5,6.1,59.4,52.5,55.7,55.4,49.6,52.3,3293,3437,6736,1035,2005,3042,7852,12267,20119,5323,8199,13526,22470,14025,36497,1187,2263,3453,1111,2075,3189,24768,18371,43137,84630,91124,175754,14229,15650,29881,55621,59339,114959,38158,42454,80616
SOS62,13160,13209,26369,4659,2361,7018,1732,3484,5210,495,558,1048,374,314,696,7262,6711,13974,5011,5666,10681,5.2,4.7,5,55.2,50.8,53,52.3,48.4,50.4,477,504,979,154,335,490,1142,1749,2894,877,1242,2119,3584,1822,5408,146,277,429,219,287,503,3949,2385,6334,12550,12537,25085,1825,1877,3701,8704,8595,17304,5041,5247,10281
SOS63,46159,43220,89376,18448,9283,27731,6578,12616,19193,1871,1852,3725,1300,1010,2304,28197,24764,52957,14973,15865,30840,4.6,4.1,4.4,61.1,57.3,59.3,58.3,55,56.7,1445,1781,3227,558,1163,1719,4097,6469,10565,3259,4514,7771,13254,6341,19594,491,999,1490,601,969,1568,14345,8312,22660,45829,42864,88696,5296,5284,10587,33296,30516,63809,15624,15604,31225
SOS67,13,0,19,10,0,12,0,0,0,0,0,0,0,0,0,10,0,12,0,0,4,0,0,0,73.3,50,70.6,73.3,50,70.6,0,0,0,0,0,0,0,0,3,6,0,6,5,0,5,0,0,0,0,0,0,5,0,5,8,0,9,3,0,3,3,0,8,6,0,5
SOS69,689,561,1248,101,53,149,53,69,126,22,12,33,81,60,139,249,194,445,242,244,485,31.2,31.3,31.2,36.3,35,35.7,25,24.1,24.6,12,19,31,3,10,20,24,61,84,27,28,52,109,69,180,9,26,34,10,4,7,135,94,221,178,106,280,362,374,736,102,76,176,416,383,801
SOS70,48931,48524,97454,25288,19487,44780,6090,10234,16323,1951,2289,4240,1468,1328,2797,34793,33348,68141,9606,11242,20845,4.2,4,4.1,71.1,68.7,69.9,68.1,66,67.1,3468,3998,7467,875,1925,2799,6854,10096,16953,4049,4562,8610,10819,5656,16477,622,833,1455,634,747,1384,12072,7235,19307,42251,42556,84809,12021,12317,24340,22666,22404,45065,28011,29107,57112
SOS71,18171,19285,37454,7817,6719,14537,1635,2776,4413,687,841,1531,830,697,1532,10967,11036,22006,5515,6631,12146,7.6,6.3,6.9,60.4,57.2,58.8,55.8,53.6,54.7,819,1133,1951,234,618,855,1777,2998,4783,1149,1350,2496,3432,1865,5301,231,329,556,268,319,586,3932,2506,6444,17537,17878,35413,3969,4446,8416,11302,11476,22778,8452,9231,17685
SOS72,8767,9419,18192,2169,1865,4033,703,1059,1759,285,307,590,559,482,1045,3717,3710,7422,4318,4988,9306,15.2,13,14.1,42.4,39.4,40.8,36,34.3,35.1,118,187,309,48,140,186,359,623,984,288,380,665,1250,661,1913,177,246,425,135,167,299,1566,1073,2638,9566,9836,19399,1428,1553,2981,7412,7738,15150,2603,2782,5383
SOS73,14777,12684,27458,5809,4076,9884,1178,2048,3226,624,539,1166,465,396,860,8071,7057,15130,4483,4006,8491,5.7,5.6,5.7,54.6,55.6,55.1,51.5,52.5,52,152,297,450,88,317,406,605,1277,1883,761,1074,1836,3918,1623,5548,270,325,591,189,221,409,4381,2169,6546,12781,11756,24540,2152,2139,4292,9341,8606,17952,4641,4490,9132
SOS77,83,11,94,40,6,46,0,0,6,12,0,12,4,0,4,58,3,63,6,4,8,3.6,0,3.3,65.9,45.5,63.5,63.5,45.5,61.5,0,0,0,0,0,0,6,0,7,6,0,6,16,6,23,6,0,3,6,0,6,25,4,32,42,10,53,15,0,18,21,3,29,35,5,37
SOS79,1567,1486,3052,132,121,252,60,73,132,50,63,115,70,58,127,312,320,633,645,605,1251,22.5,18.6,20.5,19.8,21.5,20.6,15.4,17.5,16.4,32,50,84,20,34,60,91,166,259,63,85,157,231,92,324,16,14,30,19,23,39,261,125,389,541,431,972,721,747,1469,289,235,525,779,786,1563
SOS80,180737,189264,370000,92690,70331,163017,26829,44286,71113,5656,7920,13580,5396,4502,9893,130564,127033,257601,42257,54898,97159,4.1,3.5,3.8,72.2,67.1,69.6,69.3,64.7,66.9,27424,25256,52679,6454,10314,16768,40467,49220,89686,15216,19054,34268,25038,14548,39587,1466,2030,3493,2004,3614,5613,28506,20192,48693,171418,177844,349258,40117,40699,80821,103163,108374,211534,97067,99508,196573
SOS82,242,240,481,123,83,203,38,71,105,10,8,20,9,0,9,173,167,343,57,65,121,3.4,1.2,2.3,72.5,69.7,71.1,70,68.9,69.4,18,21,41,7,19,22,36,61,95,30,34,54,57,27,82,0,0,0,3,3,4,57,27,87,266,272,546,22,14,38,201,197,402,82,80,160
SOS83,292,221,519,172,78,249,31,52,83,8,11,17,0,3,5,211,144,355,31,44,81,0.9,2.1,1.4,73.1,63.6,68.9,72.4,62.2,68,7,8,12,8,14,21,48,45,92,9,33,45,78,25,100,5,4,11,6,7,6,83,32,112,189,179,366,99,43,145,112,106,224,154,107,262
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,315,249,560,61,49,108,25,54,83,9,6,19,29,21,48,135,129,264,89,88,169,22.6,14.7,18.7,42.5,51.8,46.6,32.9,44.2,37.9,10,21,36,0,7,10,21,50,69,16,22,36,46,18,68,8,3,10,0,4,6,57,26,78,78,45,120,153,189,348,46,23,68,182,207,383
SOS91,577,494,1074,303,171,473,49,109,156,30,22,52,0,5,12,387,307,695,81,99,179,1,1.9,1.4,66.3,62.7,64.6,65.6,61.5,63.7,10,23,29,9,19,24,33,58,92,40,46,79,150,50,198,14,19,35,3,5,10,167,74,243,486,421,908,97,94,191,349,309,658,194,170,365
SOS92,949,1070,2017,401,295,696,158,290,443,38,56,93,16,11,27,608,649,1261,213,294,504,2.3,2,2.1,64.2,60.7,62.3,62.7,59.5,61,18,35,48,4,36,34,81,126,203,57,112,166,269,98,373,13,32,41,18,21,36,297,152,449,827,902,1732,181,191,376,587,623,1207,371,436,813
SOS93,536,330,859,109,72,183,39,76,111,14,17,33,4,11,18,171,176,340,307,95,401,4.2,5.2,4.7,31.5,53.4,39.8,30.2,50.6,38,10,20,24,0,4,3,23,34,57,23,24,47,80,32,112,3,5,13,0,8,11,95,42,138,278,266,541,44,42,86,195,206,402,104,91,189
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,6,4,11,3,6,5,4,0,4,0,0,0,0,0,4,5,4,8,0,0,0,16.7,33.3,22.2,66.7,100,75,55.6,66.7,58.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,6,4,0,0,0,5,6,4
