SOS_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,3,7,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,6,9,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,8,0,10,133,94,234,12,7,0,20,199,128,345,99,15,7,118,433,385,939,132,16,4,158,324,523,1008,64,11,0,77,374,463,912,11,12,0,23,327,294,644,0,26,0,27,231,135,392,0,0,0,0,61,29,90,0,0,0,0,4,11,15,319,104,16,432,2082,2059,4576,3,14,0,19,125,84,229,28,17,5,46,187,91,321,157,34,10,202,372,306,878,135,25,3,166,219,345,730,52,18,0,74,227,181,479,6,45,0,51,262,117,429,0,23,0,24,128,62,224,0,3,0,3,42,7,58,0,0,0,0,12,10,19,376,181,25,583,1582,1205,3373,9,28,0,33,251,174,459,38,25,5,63,389,216,671,252,49,16,315,806,691,1819,261,43,12,321,545,870,1736,115,31,9,152,600,644,1393,15,58,0,74,591,403,1074,3,48,0,49,364,196,613,0,10,0,10,107,40,152,0,0,0,0
SOS30,407,4573,29,5010,102168,6282,113461,3650,3274,122,7039,106790,9115,122950,55147,5327,1379,61854,175293,20493,257639,124576,4257,3017,131854,97525,16268,245647,76454,5608,1578,83640,131229,13641,228516,13279,12758,265,26306,154667,10195,191162,2208,17403,101,19708,122877,7956,150538,349,4172,21,4545,72316,5602,82459,25,178,3,201,22299,3170,25668,276097,57542,6522,340161,985159,92723,1418042,706,7925,72,8702,94892,5848,109435,7547,6229,424,14200,101344,7772,123314,87255,9534,3702,100503,151900,17239,269637,155196,6960,6167,168319,79389,13481,261186,74622,13256,2489,90369,141700,10886,242960,5830,33436,431,39692,158524,8879,207093,1397,30275,220,31892,127842,7745,167478,321,5131,35,5496,83265,7240,96003,59,262,7,327,35389,6406,42120,332948,113004,13548,459496,974243,85498,1519229,1120,12496,103,13712,197060,12129,222896,11199,9501,545,21241,208132,16884,246265,142408,14860,5089,162351,327191,37732,527278,279771,11217,9189,300173,176911,29744,506832,151081,18867,4068,174006,272928,24537,471471,19111,46196,693,65998,313188,19074,398262,3605,47674,320,51597,250715,15704,318021,677,9297,59,10034,155582,12837,178459,82,437,8,525
SOS31,157,1323,22,1500,24694,2519,28714,1591,821,64,2475,20215,2837,25532,16642,1407,587,18631,31157,6997,56784,26067,1198,908,28172,20020,5988,54183,14076,1891,463,16433,34092,5509,56029,2573,3881,88,6540,46117,4842,57495,533,3802,20,4357,44151,3619,52129,81,847,6,930,25794,2481,29203,10,46,0,56,7420,1158,8636,61732,15209,2162,79105,253664,35946,368711,351,2332,39,2717,21842,2204,26765,3475,1601,192,5270,17557,2129,24952,25747,2361,1692,29798,24356,4904,59061,33474,1907,1964,37353,16198,4077,57630,13790,4681,688,19155,35624,3938,58721,1218,9883,107,11212,46017,3518,60747,284,6410,33,6726,43885,3234,53847,90,1130,9,1229,27908,2952,32094,17,84,0,93,11118,2050,13262,78450,30384,4721,113553,244509,29005,387070,508,3652,58,4218,46538,4726,55482,5069,2421,256,7745,37772,4968,50485,42383,3771,2285,48431,55514,11902,115851,59548,3106,2877,65527,36222,10063,111813,27868,6568,1152,35584,69716,9447,114752,3794,13767,194,17754,92129,8358,118238,819,10214,54,11082,88038,6854,105974,168,1977,17,2158,53700,5435,61295,23,122,0,149
SOS32,34,170,0,205,3249,506,3955,229,120,3,357,2475,426,3252,2040,192,78,2316,3549,1036,6901,3317,173,121,3611,2836,1003,7451,2053,354,63,2475,5612,999,9082,428,686,22,1141,8839,1001,10979,86,610,6,699,8592,802,10098,27,119,0,141,4334,503,4975,0,6,0,6,835,146,999,8214,2438,308,10957,40323,6413,57694,73,337,3,409,2764,421,3591,482,230,39,750,1963,318,3028,3232,346,228,3801,2737,718,7257,4319,321,255,4892,2258,678,7830,2027,755,127,2908,5633,722,9267,197,1578,22,1797,8587,839,11218,55,1004,9,1074,7428,672,9174,17,143,0,157,3813,478,4447,0,17,0,17,1083,170,1263,10410,4721,679,15808,36261,5017,57085,106,506,3,618,6015,925,7551,716,349,40,1103,4439,741,6285,5272,539,308,6115,6287,1751,14159,7636,491,377,8506,5098,1684,15279,4081,1107,192,5381,11246,1727,18350,629,2259,46,2940,17425,1837,22201,144,1617,12,1773,16026,1469,19263,37,263,0,300,8145,981,9429,0,22,0,22
SOS33,53,533,5,593,11902,1617,14115,426,303,9,729,8390,1582,10707,6017,481,179,6687,10934,3793,21406,12742,466,365,13569,8504,3783,25861,8797,1013,212,10027,19861,4244,34129,1783,2477,51,4308,30008,3895,38217,325,2376,14,2717,25883,2784,31383,61,467,4,533,12266,1344,14142,7,27,0,35,2320,341,2696,30206,8139,842,39192,130067,23392,192653,93,948,10,1051,10489,1365,12901,840,596,45,1482,6585,989,9058,9091,766,501,10365,7749,2227,20340,15549,801,814,17167,6326,2389,25889,8129,2485,342,10958,19635,2865,33453,761,5960,50,6775,26302,2832,35907,167,3686,17,3869,20650,2175,26694,47,527,6,578,9549,1102,11227,6,28,0,33,2149,265,2454,34683,15803,1791,52268,109439,16200,177913,150,1478,16,1642,22388,2983,27016,1266,894,55,2209,14976,2573,19762,15110,1252,684,17048,18683,6018,41750,28290,1269,1177,30735,14835,6174,51750,16930,3496,556,20979,39494,7108,67583,2542,8438,107,11084,56309,6731,74122,485,6070,35,6586,46532,4958,58073,108,989,10,1106,21820,2442,25367,15,51,4,67
SOS37,0,0,0,0,0,0,0,0,0,0,0,4,9,4,0,0,0,0,11,30,37,0,0,0,0,14,45,55,0,0,0,0,15,31,42,0,0,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,108,149,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,3,13,13,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,28,0,0,0,0,0,0,0,0,0,0,0,3,14,16,0,0,0,0,13,34,49,0,0,0,0,12,52,64,0,0,0,0,15,32,45,0,0,0,0,0,8,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,10,0,11,187,72,272,23,10,0,41,253,151,444,163,37,3,209,688,407,1301,253,31,13,291,447,462,1194,94,18,6,113,529,395,1042,16,35,0,52,934,306,1297,5,43,0,50,997,216,1253,0,9,0,9,222,50,283,0,0,0,0,15,8,23,559,193,26,775,4266,2065,7108,4,23,0,21,207,60,291,45,28,0,75,284,123,493,225,37,14,279,701,365,1345,283,11,20,310,307,264,885,97,50,9,153,519,220,887,4,91,0,97,884,188,1170,0,67,0,65,687,113,870,0,0,0,5,140,22,160,0,0,0,0,16,5,25,660,306,43,1013,3745,1372,6127,4,31,0,36,396,129,566,74,37,3,115,538,279,934,391,76,16,486,1389,772,2649,529,36,30,599,748,728,2077,192,65,12,271,1046,619,1929,21,130,0,147,1815,499,2468,5,110,0,118,1679,328,2124,0,13,0,16,363,69,444,0,0,0,0
SOS40,109,1433,9,1555,32602,1485,35644,738,1231,24,1993,38582,1964,42541,17351,1979,419,19754,64729,4643,89123,41984,1414,1138,44537,34302,3924,82765,24928,1693,659,27282,45978,3316,76573,4558,5406,110,10075,58656,2753,71483,791,9538,39,10363,45634,2211,58214,141,2485,4,2632,28406,1605,32643,9,142,0,151,11405,944,12507,90617,25325,2401,118342,360298,22839,501480,165,2387,17,2574,29833,1329,33732,1761,2222,97,4081,34956,1656,40690,27784,3355,1264,32404,53234,3782,89419,50875,2329,2410,55613,26203,3043,84854,23165,4187,913,28262,47664,2581,78507,2137,14507,165,16814,58059,2336,77213,574,15654,82,16316,47794,2368,66473,143,2772,15,2931,35164,2292,40379,23,150,0,176,18901,1721,20793,106628,47558,4977,159158,351804,21104,532069,276,3824,30,4123,62431,2821,69374,2502,3451,120,6074,73538,3611,83229,45140,5338,1682,52157,117965,8424,178542,92860,3744,3546,100154,60506,6966,167621,48090,5876,1573,55539,93645,5894,155078,6696,19920,278,26887,116717,5092,148698,1368,25190,123,26679,93429,4578,124690,285,5253,20,5560,63574,3890,73023,36,290,5,326
SOS41,55,444,4,501,8361,679,9544,366,310,9,681,7476,646,8804,5576,519,175,6270,11244,1598,19118,9318,388,360,10063,6666,1460,18184,5552,654,163,6372,12317,1372,20062,1010,1837,33,2874,17519,1224,21617,194,2308,6,2514,17295,1089,20893,34,481,0,515,11197,873,12598,4,18,0,23,3738,430,4188,22105,6956,753,29812,95811,9372,134997,70,752,6,827,7507,590,8914,849,619,40,1504,6355,423,8286,8320,845,531,9702,8473,1056,19224,11500,606,761,12870,5259,961,19093,5242,1691,255,7184,13098,1025,21310,428,4331,48,4806,17094,1023,22924,130,3587,12,3732,17723,1129,22586,29,595,3,636,12925,1073,14636,6,36,0,43,5754,695,6494,26573,13066,1654,41300,94190,7972,143460,122,1188,11,1323,15874,1266,18465,1212,925,50,2184,13831,1069,17089,13897,1364,705,15968,19712,2657,38345,20817,997,1126,22932,11917,2418,37268,10796,2341,416,13559,25416,2396,41370,1432,6165,76,7677,34612,2250,44540,321,5898,27,6242,35023,2213,43474,73,1078,9,1159,24126,1946,27229,6,51,0,65
SOS42,6,78,5,91,1070,138,1300,52,66,6,126,919,84,1126,791,108,44,941,1305,197,2443,1302,80,60,1440,860,226,2523,727,134,30,887,1980,263,3124,152,344,5,497,3306,322,4123,36,337,8,375,3384,335,4097,6,52,0,53,1769,200,2028,0,0,0,3,562,80,644,3064,1208,148,4418,15149,1845,21414,16,127,4,149,912,142,1205,103,112,19,240,723,70,1035,1149,152,106,1406,978,180,2555,1529,134,132,1795,643,186,2624,638,285,40,964,1954,242,3153,70,790,5,864,2987,279,4133,16,486,0,508,3024,291,3821,4,73,0,74,1798,196,2067,0,3,0,3,797,144,949,3523,2162,318,5997,13820,1729,21547,26,205,8,240,1982,284,2509,155,180,29,364,1639,158,2161,1940,261,149,2349,2282,375,4998,2831,215,188,3236,1501,413,5150,1355,418,69,1847,3925,504,6274,216,1137,12,1364,6296,594,8260,45,827,8,878,6410,624,7919,12,124,0,133,3571,399,4099,0,9,0,9
SOS43,16,199,0,216,3873,467,4556,95,117,0,213,3005,361,3577,1967,177,58,2196,3658,810,6667,4401,132,168,4702,2473,943,8119,3136,340,86,3563,6379,1019,10966,581,1074,13,1669,10508,1044,13220,105,1142,8,1256,8737,843,10839,22,213,0,234,3951,441,4625,3,5,0,10,769,102,878,10319,3403,330,14056,43366,6020,63446,30,337,3,367,3298,411,4075,198,199,11,406,2294,207,2908,2776,284,168,3223,2438,447,6110,5122,260,329,5706,1798,464,7971,2642,828,108,3585,6186,702,10470,213,2420,21,2655,8503,757,11916,60,1733,12,1798,6631,632,9060,16,208,0,225,3060,326,3608,0,12,0,12,724,124,859,11054,6274,647,17983,34925,4074,56981,43,537,4,581,7174,874,8627,297,313,10,622,5304,567,6493,4741,459,227,5423,6098,1258,12777,9526,390,490,10409,4269,1408,16088,5775,1177,194,7142,12560,1724,21437,803,3496,28,4324,19012,1804,25136,161,2880,17,3054,15374,1473,19900,31,420,0,458,7009,769,8239,3,18,0,22
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,54,14,74,7,0,0,10,71,24,108,45,4,0,53,180,93,320,55,6,4,64,129,94,289,29,6,5,34,170,94,299,4,13,0,19,192,97,311,0,3,0,3,165,46,214,0,0,0,0,31,5,40,0,0,0,0,6,0,7,144,45,11,198,1006,471,1668,7,10,0,19,78,17,112,7,6,0,10,68,16,95,67,12,3,87,147,72,305,64,8,5,72,85,82,245,25,10,0,34,95,43,178,3,22,0,29,144,27,197,0,10,0,10,110,17,141,0,5,0,6,23,4,26,0,0,0,0,10,0,10,177,83,9,263,759,288,1306,7,16,0,21,134,35,186,12,7,0,23,147,40,206,112,23,4,139,321,166,627,119,9,9,143,214,176,534,54,19,5,76,265,138,478,9,33,0,46,339,129,513,0,18,0,18,276,60,359,0,7,0,3,51,11,64,0,0,0,0
SOS50,196,2844,17,3061,54902,2686,60648,1353,2024,46,3424,57291,4100,64814,30131,3427,801,34367,99095,11496,144955,73646,2594,2094,78336,58594,10310,147237,43696,3049,1139,47883,74112,8289,130284,7850,8614,207,16682,88790,6170,111637,1379,13590,59,15030,67717,3960,86701,253,3510,22,3782,39397,3019,46197,36,183,0,219,13276,1884,15377,158531,39844,4390,202763,553177,51907,807849,302,4625,46,4981,50305,2613,57892,3349,3967,198,7511,52741,3283,63540,51081,6449,2508,60042,82637,8263,150941,89963,4649,5106,99719,44370,6604,150691,41298,8127,1867,51297,76865,5247,133403,3477,24132,284,27893,85778,4377,118041,955,23479,133,24569,67009,4037,95610,224,4260,26,4509,44870,3961,53346,35,249,0,281,20873,3408,24562,190695,79940,10170,280803,525435,41792,848032,498,7474,72,8041,105206,5293,118535,4706,5987,244,10933,110033,7380,128352,81215,9880,3313,94404,181729,19760,295897,163610,7246,7198,178051,102964,16914,297929,84991,11177,3004,99177,150972,13534,263686,11329,32748,494,44569,174564,10540,229678,2339,37074,191,39597,134722,7999,182320,477,7762,51,8293,84268,6984,99540,69,424,0,497
SOS51,55,589,9,651,9718,1199,11569,531,328,30,889,7833,1169,9891,6875,630,250,7756,13605,3338,24698,12157,517,481,13152,9189,3218,25562,6610,712,226,7542,14489,2897,24926,1167,1667,34,2865,18185,2339,23384,173,1641,9,1815,14916,1477,18206,42,319,0,363,8176,859,9393,3,16,0,21,2449,438,2912,27605,6426,1024,35055,98550,16929,150537,93,1004,22,1114,8669,1035,10821,1172,638,75,1890,6478,978,9350,10628,1080,858,12566,10705,2587,25862,14971,909,1187,17068,7191,2327,26589,6081,1926,378,8379,14827,2002,25204,471,4258,53,4784,16991,1647,23429,99,2786,18,2906,14563,1324,18788,41,432,4,476,8801,1003,10277,10,31,0,41,3692,706,4441,33565,13073,2591,49224,91922,13608,154756,140,1594,31,1764,18390,2233,22391,1706,972,104,2781,14310,2151,19240,17508,1717,1104,20320,24307,5925,50560,27125,1430,1667,30222,16379,5541,52149,12694,2639,594,15923,29310,4898,50132,1637,5921,82,7646,35179,3981,46811,276,4423,24,4719,29476,2802,36993,85,749,4,839,16973,1862,19669,9,52,0,65
SOS52,22,146,4,169,1222,211,1607,125,122,8,250,1018,180,1449,969,154,77,1200,1690,449,3338,1383,141,103,1623,1272,445,3343,734,166,38,935,2368,553,3862,172,300,11,480,3373,549,4401,35,245,3,287,3164,408,3853,4,52,0,57,1570,246,1868,0,6,0,6,403,89,498,3441,1334,242,5012,16089,3125,24224,38,215,9,261,1060,205,1531,258,156,37,449,828,181,1461,1466,186,181,1846,1340,383,3567,1715,232,222,2169,1007,389,3557,670,409,62,1137,2198,391,3733,75,632,16,725,3068,429,4222,21,451,10,476,2660,341,3469,3,68,5,79,1476,257,1818,0,3,3,9,516,114,636,4258,2356,541,7148,14154,2689,23984,59,361,10,438,2286,421,3135,383,278,43,707,1849,359,2915,2435,344,259,3043,3031,829,6906,3093,372,329,3791,2276,830,6899,1400,574,98,2078,4565,949,7596,250,935,23,1207,6449,972,8621,58,692,12,755,5820,742,7322,8,124,3,136,3045,503,3685,0,15,3,14
SOS53,26,211,0,234,3948,558,4741,102,151,16,267,3335,1046,4644,2040,206,74,2325,4828,2906,10059,4734,214,194,5142,3529,2820,11495,3345,378,112,3836,7429,2473,13733,665,986,30,1682,10859,1925,14468,110,1036,9,1153,8776,1116,11045,15,175,3,189,3814,499,4509,3,0,0,7,740,95,841,11040,3359,436,14835,47264,13438,75535,24,384,6,413,3322,453,4187,196,223,23,447,2250,381,3081,2795,327,210,3345,3091,881,7309,5412,312,427,6150,2209,948,9310,2853,877,144,3867,6755,1059,11683,271,2430,22,2726,8898,1040,12660,55,1545,14,1613,6558,749,8919,20,204,3,224,2991,354,3563,5,13,4,13,718,73,805,11630,6317,853,18793,36793,5939,61530,47,594,6,645,7268,1011,8927,296,372,38,710,5582,1428,7726,4842,538,290,5665,7917,3783,17368,10144,531,622,11296,5741,3766,20805,6196,1252,253,7707,14182,3530,25420,931,3414,57,4403,19760,2968,27127,167,2585,19,2765,15339,1864,19970,34,373,3,415,6805,856,8074,4,13,0,24
SOS57,0,0,0,0,3,7,7,0,0,0,0,9,13,25,10,0,0,13,48,44,99,18,0,0,22,67,68,157,4,0,0,4,50,45,103,0,3,0,4,27,20,55,0,0,0,0,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,3,45,211,197,455,0,0,0,0,0,0,3,0,0,0,0,5,5,11,0,0,0,0,10,3,14,0,0,0,0,9,3,11,0,0,0,0,5,8,9,0,0,0,0,5,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,19,61,0,0,0,0,5,3,6,0,0,0,0,15,15,31,11,0,0,14,56,46,116,18,0,0,22,75,76,170,9,0,0,9,56,47,109,0,3,0,4,35,21,62,0,0,0,0,12,3,18,0,0,0,0,0,0,0,0,0,0,0
SOS59,6,11,0,6,67,40,118,10,6,0,16,151,133,295,83,16,4,105,326,390,822,144,11,5,164,232,531,926,52,6,0,61,267,512,842,9,15,0,23,306,336,667,5,10,0,15,283,146,444,0,0,0,3,69,46,118,0,0,0,0,7,9,14,311,72,13,393,1708,2148,4247,4,14,0,18,66,59,147,17,8,0,27,123,105,256,101,24,6,130,299,265,692,163,11,17,189,141,281,613,29,19,8,49,199,227,468,0,33,3,38,279,161,477,0,15,0,15,210,90,316,0,0,0,0,27,14,38,0,0,0,0,5,12,16,310,126,30,469,1353,1213,3030,7,23,0,30,133,105,261,27,17,4,46,278,238,562,179,40,9,231,627,661,1512,308,23,23,352,379,805,1543,76,26,7,114,466,740,1313,9,51,3,64,586,495,1144,5,27,0,29,489,242,758,0,0,0,3,92,65,155,0,0,0,0
SOS60,12,228,3,244,4829,285,5357,183,190,4,375,5537,338,6254,3023,421,91,3537,12532,1072,17136,5996,241,216,6458,5132,734,12326,3572,333,127,4031,6473,546,11047,693,840,18,1548,8640,473,10655,123,1520,3,1644,7283,433,9363,20,419,4,442,4484,347,5279,0,19,0,21,1614,162,1795,13619,4212,475,18303,56525,4386,79218,34,436,9,471,4394,263,5121,370,407,25,798,5086,289,6173,4518,724,252,5489,10569,842,16898,7200,463,515,8179,4270,547,12997,3623,786,174,4576,6968,413,11958,321,2286,17,2629,9000,417,12048,84,2598,8,2687,7772,478,10946,20,512,0,529,5686,470,6683,0,21,0,24,2751,305,3084,16168,8228,998,25388,56499,4032,85913,43,663,6,719,9222,540,10486,553,595,30,1181,10624,631,12423,7540,1139,344,9023,23100,1913,34039,13199,704,737,14637,9403,1284,25323,7194,1115,301,8609,13441,958,23007,1009,3127,41,4174,17643,889,22706,204,4119,7,4332,15058,918,20305,39,927,4,971,10171,822,11961,3,41,0,44
SOS61,33,270,0,306,5461,413,6177,319,237,8,571,5401,409,6380,3884,393,146,4420,9094,871,14379,6026,279,235,6544,4620,696,11855,3226,405,102,3730,8075,646,12457,652,1038,18,1714,11055,674,13438,92,1224,8,1329,10485,724,12536,20,265,0,290,6560,572,7423,0,8,0,8,2065,286,2359,14265,4108,528,18903,62824,5280,87006,60,527,7,591,4915,355,5862,684,433,39,1154,4759,355,6268,5774,688,433,6890,7030,727,14647,7373,463,517,8355,3985,578,12919,3158,1202,176,4531,8859,600,13987,270,2811,32,3108,11227,637,14969,66,2056,12,2132,11345,774,14251,16,346,3,364,7887,751,9006,5,17,0,23,3413,440,3877,17409,8527,1210,27151,63425,5212,95790,90,800,7,898,10378,762,12036,1010,671,43,1723,10168,759,12648,9655,1075,580,11313,16119,1593,29031,13407,739,750,14893,8608,1270,24774,6380,1597,282,8261,16937,1249,26444,922,3844,53,4822,22285,1306,28412,165,3274,21,3459,21830,1498,26785,39,603,3,654,14452,1322,16431,7,27,0,33
