SOS_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOS53,0,175,222,109,112,4,631,5,117,86,50,61,4,315,22,93,102,361,165,5,745,63,34,54,369,145,6,667,79,12,6,340,115,0,560,124,20,19,420,125,5,713,238,18,9,447,92,8,803,381,4,0,397,54,6,843,205,0,0,214,13,4,437,114,0,0,81,10,0,209,59,0,0,33,4,0,102,24,0,0,24,8,0,55,10,0,0,9,3,0,22,9,0,0,13,18,0,46,47,27,37,357,477,22,969,1389,505,535,3237,1394,59,7116
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,11,119,16,23,3,0,174,10,197,26,19,0,3,254,60,1434,143,161,32,18,1852,169,857,387,372,64,11,1866,198,415,140,341,32,9,1135,622,481,183,660,72,20,2030,1985,310,133,1321,139,21,3904,4320,157,54,1757,202,25,6508,2561,18,20,859,107,6,3564,1089,3,3,320,23,5,1444,352,3,7,134,11,0,504,134,3,0,55,5,0,194,56,0,0,23,5,0,89,50,0,0,44,3,0,100,167,202,48,205,54,58,739,11770,4197,1155,6288,760,177,24347
SOS61,14,111,39,43,40,4,254,16,248,66,47,19,0,386,163,1457,247,349,98,33,2340,784,966,439,757,146,37,3123,870,515,272,937,100,20,2712,2532,632,312,1583,187,36,5276,4081,212,73,1900,194,29,6487,2903,46,21,970,115,15,4079,753,8,7,208,20,4,994,151,7,0,46,7,0,204,29,4,0,7,0,0,48,9,3,0,9,4,0,26,6,0,3,3,0,0,9,4,0,0,9,0,0,13,174,216,67,257,68,76,859,12484,4430,1540,7124,997,247,26826
SOS62,5,6,0,17,42,0,72,3,13,17,12,5,0,44,21,51,34,45,29,5,186,107,24,29,132,26,9,325,61,8,3,131,11,5,222,158,16,3,188,23,0,391,232,4,3,205,14,4,465,145,0,0,123,3,0,275,49,0,0,32,0,0,91,14,0,0,12,0,0,23,3,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,18,3,3,38,20,8,89,820,130,92,935,191,24,2194
SOS63,7,7,6,75,81,4,170,3,0,3,44,13,0,68,17,23,13,243,83,4,385,82,14,13,326,94,10,536,85,4,0,312,73,6,479,200,0,0,377,66,4,653,340,0,7,404,55,3,801,334,0,0,291,28,0,656,124,0,0,64,7,0,196,41,0,0,13,4,0,64,8,0,0,11,0,0,15,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,10,24,3,4,165,148,14,355,1252,61,46,2345,646,46,4402
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,6,133,17,7,9,0,174,9,353,7,9,0,3,383,33,682,45,51,29,3,845,104,388,26,125,26,7,670,160,152,41,162,38,5,553,651,213,44,241,707,14,1862,1864,163,36,644,311,9,3020,3297,93,15,1016,204,10,4631,2644,64,3,625,108,9,3465,1592,12,0,278,40,3,1928,694,3,0,105,8,3,819,266,0,0,53,9,0,330,129,5,0,20,3,0,154,111,4,0,31,8,0,153,210,327,25,156,128,41,890,11759,2583,261,3523,1639,117,19883
