SOS_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,963,6429,47728,347096,393865,87471,18192,10089,911840,442,6328,33045,24250,2387,157,80,1509,68201,315,5254,30238,70302,8512,501,189,1743,117059,756,11587,63288,94555,10903,653,267,3257,185258,1062,13499,30154,10496,1135,181,135,1350,58007,546,7973,38717,8541,451,55,68,944,57299,585,8992,27924,9762,565,43,28,687,48594,699,13552,26036,8307,482,33,18,650,49771,52,492,809,272,162,102,55,46,1994,2945,44511,123635,37383,2800,425,297,3675,215661,636,2417,1300,340,132,31,25,410,5301,144,702,822,660,303,56,46,298,3027,5446,65638,236769,480037,407998,88626,18828,17723,1321081
SOS31,534,3423,27139,129955,108409,15796,3381,4625,293252,162,2432,11720,5571,566,57,25,683,21218,93,1274,4250,3341,351,31,17,282,9632,255,3710,15969,8907,914,83,41,968,30847,131,2378,7646,2510,210,30,23,432,13362,24,115,715,267,11,0,0,24,1154,7,74,644,381,12,4,6,17,1141,9,40,179,150,16,0,0,5,393,11,55,89,64,18,9,6,9,262,174,2666,9280,3373,266,43,37,483,16319,624,1792,746,384,189,19,26,604,4378,121,383,300,266,146,29,29,215,1479,1707,11975,53434,142882,109916,15966,3505,6890,346289
SOS32,277,1637,7512,21619,12941,2474,696,1036,48182,6,134,560,192,72,14,0,34,1016,4,20,135,59,10,3,0,14,235,8,155,697,248,82,19,8,42,1255,20,202,426,88,23,3,0,29,787,0,0,4,3,3,0,0,0,9,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,5,0,9,19,6,4,9,0,4,51,20,217,453,93,29,9,0,35,859,196,502,175,121,63,10,11,68,1144,19,81,57,77,22,14,7,15,290,517,2585,8891,22161,13132,2520,720,1212,51735
SOS33,1364,5745,17495,54445,45760,12226,4804,2799,144641,10,58,201,364,247,60,27,25,979,0,6,63,58,45,16,9,6,203,6,67,255,421,290,75,36,30,1186,6,49,188,65,31,10,6,14,364,0,3,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,6,13,53,110,55,36,20,10,9,299,14,100,299,123,71,30,16,26,681,431,1006,419,315,201,53,41,233,2692,64,200,168,287,195,68,70,91,1146,1891,7112,18641,55592,46521,12450,4965,3182,150350
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,228,2225,28939,209955,91661,15016,2622,3261,353909,157,4942,29218,23050,2324,239,81,1073,61080,28,895,7187,12966,1952,235,36,241,23541,183,5845,36410,36016,4271,471,117,1309,84626,159,5288,20143,3260,171,31,21,450,29531,52,604,3079,512,22,0,5,55,4326,74,1096,3596,732,38,0,0,63,5604,65,1149,1940,471,10,4,0,37,3677,5,71,77,66,26,13,5,7,267,366,8202,28839,5037,269,50,35,611,43409,96,342,316,193,64,13,7,42,1066,46,199,279,346,122,13,20,79,1103,919,16807,94773,251551,96387,15566,2796,5303,484112
SOS41,142,1214,12484,63145,32041,4230,683,1504,115443,56,1322,5728,6416,376,74,62,416,14444,0,22,131,375,92,9,0,4,644,52,1348,5861,6793,466,84,65,419,15084,34,667,1895,475,34,4,3,97,3207,0,11,53,12,0,0,0,0,84,0,0,20,10,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,4,7,17,9,5,0,3,44,33,689,1977,507,49,7,3,102,3367,90,279,136,108,38,11,5,62,722,21,60,82,124,65,9,11,43,413,332,3593,20533,70687,32656,4341,764,2120,135028
SOS42,50,454,2947,10213,4576,635,124,304,19298,6,149,235,99,34,8,0,16,541,0,0,4,7,0,0,0,0,17,6,152,239,105,36,8,0,16,560,3,55,66,13,4,0,0,11,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,3,55,68,13,4,0,0,11,150,27,127,57,62,19,3,5,21,316,3,15,30,23,7,4,0,8,90,87,806,3329,10418,4639,646,130,354,20409
SOS43,207,1323,5876,22709,15641,3096,792,712,50354,0,21,53,144,79,18,0,5,321,0,0,14,19,10,10,4,4,50,0,21,66,163,89,23,5,9,373,4,13,3,6,0,0,0,0,29,0,22,21,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,10,0,4,0,0,20,6,39,31,20,6,7,0,0,104,75,247,125,116,43,16,0,46,664,18,68,44,75,38,8,9,19,286,308,1690,6141,23083,15816,3146,809,786,51767
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,378,3378,27696,213225,286019,39693,6514,5976,582882,116,5553,26250,41298,3906,337,141,1410,79026,79,2165,9097,15563,3246,335,108,377,30958,199,7719,35348,56854,7157,669,253,1787,109986,120,4090,10881,3124,239,24,35,370,18883,194,4028,8062,1794,74,6,8,211,14370,222,4971,8220,2403,92,4,10,194,16121,128,2201,5201,1595,60,3,6,97,9300,18,188,236,105,101,41,31,21,735,681,15477,32599,9026,568,79,86,895,59408,180,796,807,192,79,15,10,115,2198,19,103,144,183,123,21,13,133,744,1455,27478,96596,279484,293943,40479,6882,8903,755215
SOS51,149,1259,8509,50167,50448,5374,906,1722,118529,58,1743,5282,4079,452,34,24,412,12079,13,195,604,970,324,49,3,42,2199,69,1936,5882,5053,776,80,21,457,14278,14,558,866,363,28,0,11,59,1897,0,64,171,49,0,0,0,0,288,0,38,83,35,0,0,0,3,155,0,62,71,24,0,0,0,0,165,3,19,24,12,7,0,4,0,77,19,739,1217,480,42,6,9,71,2581,204,699,402,174,101,20,5,124,1736,22,102,103,90,59,6,20,60,462,466,4737,16108,55956,51422,5488,975,2430,137580
SOS52,56,486,2802,9345,5415,742,187,496,19532,0,156,352,166,42,0,6,31,761,0,7,24,21,12,0,0,5,64,3,162,371,189,55,3,6,39,825,0,57,65,40,8,0,0,22,192,0,7,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,61,73,38,8,0,0,22,212,44,194,61,46,41,4,4,40,441,9,48,40,37,14,8,8,34,181,107,955,3345,9660,5530,756,204,635,21197
SOS53,271,1426,4904,15753,19009,4469,1528,741,48095,0,24,78,101,97,12,3,5,323,0,0,6,15,17,0,0,0,36,0,24,80,111,111,17,4,7,357,7,11,16,8,8,4,3,3,65,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,27,16,11,5,3,4,92,8,38,45,23,20,10,11,7,163,214,487,284,201,124,24,21,129,1485,32,91,94,135,130,43,46,70,635,530,2068,5407,16221,19391,4565,1611,953,50741
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,68,870,10092,34275,13429,3059,636,680,63101,26,809,1677,362,62,12,4,73,3026,10,291,1330,663,116,19,5,27,2464,37,1095,3003,1029,179,37,12,103,5489,90,1642,3109,729,129,28,14,137,5882,49,325,510,113,22,7,3,16,1035,16,124,372,68,3,0,0,14,593,0,0,22,6,0,0,0,0,31,0,55,39,20,10,4,0,0,128,152,2147,4049,937,156,37,13,169,7664,24,80,77,59,18,4,0,7,263,6,32,56,26,18,0,8,15,163,285,4217,17276,36320,13800,3142,668,971,76686
SOS61,99,1112,12733,45310,14373,2416,507,1045,77602,32,1476,3528,630,66,12,3,341,6088,11,110,621,440,144,44,10,19,1394,44,1587,4151,1068,203,61,11,360,7483,27,823,2003,358,49,13,5,82,3360,17,47,80,6,4,0,0,5,154,7,26,29,12,4,0,0,0,80,0,0,6,9,0,0,0,0,9,3,50,43,26,12,6,0,0,131,50,944,2156,405,63,20,7,86,3727,64,236,153,108,32,12,4,77,674,11,30,33,30,20,8,6,17,157,264,3910,19226,46922,14694,2504,546,1574,89650
SOS62,56,367,2206,6415,2285,417,84,177,11999,6,93,101,28,5,3,0,10,231,0,3,3,21,10,0,0,0,40,6,90,105,48,9,6,0,10,271,0,31,53,5,0,0,0,5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,34,56,11,0,0,0,5,104,23,47,28,18,4,0,0,22,150,3,13,10,21,4,0,4,5,57,87,548,2403,6510,2306,423,92,217,12580
SOS63,301,1510,5693,18490,9595,2084,625,560,38858,0,11,19,61,23,9,3,0,121,0,0,9,11,6,9,0,0,37,0,11,20,76,27,10,3,0,160,9,16,9,12,0,0,5,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,3,0,0,0,24,9,24,17,9,8,3,5,0,78,51,115,54,48,11,4,3,20,297,6,22,20,28,19,0,4,7,109,370,1680,5802,18656,9655,2104,644,586,39495
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
