SOS_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,4,0,10,4,0,4,8,7,0,43,5,4,25,13,10,10,15,22,3,104,21,70,68,25,12,19,33,66,8,316,34,44,44,9,9,9,21,38,9,210,22,19,32,11,0,9,34,53,6,182,23,15,26,9,4,5,29,21,0,131,4,3,10,0,3,0,5,8,4,36,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,108,159,207,68,36,56,147,207,33,1022,0,0,5,9,0,16,4,0,0,37,4,16,4,37,11,16,5,13,0,109,19,74,15,52,38,20,15,51,8,287,18,47,8,20,18,5,3,9,5,131,13,24,3,25,14,11,3,9,0,99,8,25,4,19,22,9,6,10,3,96,0,0,0,0,5,4,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,63,176,44,155,109,74,32,104,16,771
SOS30,728,1097,8699,5496,1401,11823,3585,15705,840,49378,3680,10598,21592,11090,5746,10240,8211,14458,1931,87543,20515,46052,50463,16899,12765,11998,19706,21924,4497,204814,36140,50071,42926,12066,12863,9390,19000,16650,4196,203314,37463,40801,35332,11065,11935,9017,19097,15599,3532,183844,23647,25473,24502,7182,9139,7051,16623,12750,2283,128645,6423,8658,5629,1698,2424,2594,4617,3755,718,36515,1068,1170,435,170,332,457,387,475,245,4744,85,68,21,8,28,28,16,23,68,345,129757,183989,189593,65675,56625,62596,91246,101336,18317,899137,874,1531,1779,14941,3820,24077,889,7253,850,56013,4328,16193,4685,24478,15195,15421,1807,5593,1401,89105,18971,68034,10607,34948,35265,15735,2874,10492,3415,200351,26097,66813,8353,29462,39353,12088,2261,9993,3291,197715,24240,51709,7173,28563,42688,13399,2505,11459,2594,184331,12323,29943,4148,19705,32201,10740,1927,10289,1534,122807,2599,6502,864,3741,8006,3000,435,2535,466,28154,280,484,72,195,704,301,23,257,162,2466,17,20,0,4,33,12,0,7,63,161,89732,241227,37677,156040,177270,94782,12720,57884,13770,881114
SOS31,226,128,3373,944,191,3191,793,4470,292,13601,645,1059,6245,1346,490,1590,2019,4094,389,17870,3345,4692,14167,2814,1386,1920,6080,7158,968,42534,5282,5206,12162,2440,1562,1629,7064,5109,1032,41494,5933,5072,10364,2556,1919,1669,7895,4869,1016,41301,4732,4078,7858,1935,1700,1598,7499,4452,735,34596,1553,1449,1783,470,484,577,1952,1182,243,9682,339,180,142,32,72,97,158,155,87,1255,38,4,10,4,3,8,10,7,38,123,22098,21867,56095,12538,7802,12271,33468,31493,4813,202456,198,204,664,3551,951,5954,223,2025,260,14032,707,2540,1308,4609,2725,2735,523,1643,276,17067,3114,10063,2558,7858,7471,3618,1186,4025,667,40564,4129,10281,2064,7801,8442,3410,963,3668,669,41422,4290,8777,1849,8279,9067,3808,1089,4305,588,42037,2864,6097,1231,6451,7371,3199,727,4105,398,32444,761,1368,258,1156,1753,791,137,1013,149,7388,125,97,27,71,159,72,5,90,82,720,13,5,0,5,10,3,0,0,31,71,16196,39440,9957,39775,37951,23579,4848,20870,3125,195748
SOS32,28,25,451,120,19,316,91,539,58,1639,78,137,709,154,48,140,250,502,43,2055,387,458,1537,303,129,180,754,817,144,4716,748,551,1546,300,176,165,929,695,144,5261,933,711,1422,420,240,210,1274,908,174,6296,927,623,1348,306,294,231,1403,936,159,6227,357,262,338,77,93,99,378,260,60,1922,79,32,33,13,20,18,30,43,21,289,7,0,0,0,0,0,0,3,0,10,3541,2803,7391,1689,1019,1355,5101,4702,797,28409,21,22,87,437,103,626,26,270,32,1631,68,271,141,489,292,277,47,197,44,1822,356,1024,311,914,847,390,125,411,99,4480,597,1186,290,1058,1067,425,115,518,117,5369,759,1170,283,1238,1338,600,163,694,103,6354,592,1032,259,1072,1164,563,130,760,97,5667,180,254,37,173,291,140,26,180,39,1333,31,18,3,7,34,9,6,15,15,143,4,0,0,0,0,0,0,0,10,13,2605,4979,1416,5390,5140,3032,635,3057,566,26810
SOS33,173,69,2194,415,108,1107,423,2268,172,6937,437,379,2617,403,188,435,837,2021,167,7475,2328,1148,4826,644,372,504,2214,2849,346,15236,4563,2046,5298,673,571,479,2894,2363,467,19346,6785,2768,5458,989,832,768,4237,2839,628,25306,6693,2364,4663,854,830,723,4366,2882,543,23921,3907,889,1134,208,283,320,1226,970,242,9174,1488,137,90,18,46,65,123,174,126,2276,180,4,6,0,7,10,9,17,30,268,26560,9800,26286,4203,3236,4405,16325,16378,2733,109937,102,155,395,1611,497,2483,94,1191,165,6694,331,793,523,1524,955,879,188,902,117,6223,1486,3199,1028,2225,2772,1021,342,1424,237,13743,2905,4761,995,2695,4206,1155,371,1461,321,18862,4191,5167,1115,3616,5525,1766,562,2097,380,24421,3493,3729,850,3006,4668,1497,416,2173,307,20142,1849,912,178,589,1246,365,84,575,164,5969,565,71,17,34,172,41,4,88,102,1092,52,3,0,0,10,0,0,13,19,93,14968,18783,5103,15295,20051,9209,2068,9922,1827,97228
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,3,0,13,0,4,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,17,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,9,8,0,13,8,22,0,58,6,6,21,12,9,18,13,53,14,155,41,52,93,51,15,16,60,161,15,510,48,51,89,13,13,9,60,76,18,369,28,33,69,17,13,7,53,44,15,266,28,36,39,12,19,9,72,40,5,259,11,9,14,4,3,8,16,16,0,77,0,0,5,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,164,189,334,120,64,85,284,395,67,1705,0,0,9,23,6,21,5,11,0,69,15,24,0,51,17,22,4,41,3,169,28,101,19,107,45,22,10,172,6,518,38,72,3,47,39,16,10,34,10,272,20,40,10,42,47,18,10,39,10,232,23,44,3,23,47,22,5,32,4,210,0,9,4,5,14,0,0,3,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,126,297,51,306,208,126,37,334,29,1512
SOS40,185,263,2179,1762,374,3500,739,5018,257,14270,1141,3511,6986,3882,1962,3659,2440,5253,615,29451,6759,16277,16697,6440,4984,4216,7021,8503,1390,72285,11491,16666,13651,4834,5091,3083,6384,6020,1366,68590,11869,12702,11674,3954,4541,2914,6272,5543,1235,60700,8389,9213,8937,3013,3716,2380,5895,4552,890,46967,2333,3454,2102,723,1015,850,1285,1134,265,13158,390,513,214,48,130,161,87,134,113,1793,36,28,15,3,6,12,5,13,30,140,42593,62633,62452,24665,21812,20774,30131,36166,6152,307367,173,372,451,4058,879,7622,127,2115,213,16010,1248,5039,1589,8567,4355,5689,319,2016,441,29270,5494,23079,3816,13326,10843,4804,616,3698,983,66658,7897,21734,3007,10732,12361,3533,510,3421,950,64146,7529,16311,2496,9554,13898,4055,662,3951,807,59258,4594,11281,1702,7440,12039,3710,542,3672,504,45476,975,2767,387,1400,3003,835,127,878,169,10540,87,204,42,75,246,77,14,72,87,899,5,7,6,5,11,11,0,6,32,81,28007,80783,13485,55154,57636,30340,2905,19827,4193,292332
SOS41,67,49,972,339,62,1013,205,1663,86,4462,275,358,2123,491,208,626,638,1518,128,6369,1403,1805,4615,1057,511,828,1862,2528,294,14907,2347,2015,3524,894,635,661,1967,1919,301,14251,2744,2159,3295,967,793,731,2267,1985,347,15297,2312,1683,2752,854,710,694,2474,1866,312,13657,927,706,727,244,221,258,641,531,95,4352,232,94,74,11,26,25,61,67,59,654,21,5,7,4,3,0,0,5,8,52,10333,8866,18076,4856,3176,4846,10129,12093,1627,73997,50,59,161,1294,226,2036,50,850,75,4805,286,870,399,1816,771,1077,97,645,83,6049,1088,3741,891,2934,2174,1457,254,1151,173,13851,1604,3829,721,2695,2745,1175,173,1202,180,14333,1871,3473,768,3148,3373,1527,208,1499,183,16048,1370,2487,542,2852,2689,1283,164,1573,149,13113,416,613,130,501,725,250,42,373,75,3126,71,38,9,33,88,20,5,36,58,356,0,0,0,0,4,0,0,3,8,28,6757,15118,3623,15278,12794,8829,992,7343,983,71715
SOS42,10,0,169,39,8,101,25,185,12,553,38,30,288,55,19,45,87,207,10,788,235,181,578,103,53,70,240,360,37,1851,358,175,534,87,80,79,258,292,45,1916,448,228,515,97,87,79,402,347,57,2275,472,218,534,115,104,104,466,392,53,2459,259,91,141,19,38,36,178,131,24,923,58,12,13,0,3,6,12,30,10,150,7,0,4,0,0,0,4,0,6,18,1884,944,2777,525,393,522,1672,1960,263,10929,12,7,27,189,17,191,4,122,7,576,31,97,49,215,82,113,19,75,5,691,125,464,120,364,298,147,20,178,24,1741,212,397,111,388,363,161,25,194,16,1864,280,380,135,441,478,216,32,298,32,2288,303,417,97,490,468,202,47,301,33,2369,100,108,26,92,125,60,8,74,23,609,21,10,4,0,12,4,0,10,7,67,6,0,0,0,3,0,0,0,4,8,1076,1889,558,2171,1838,1099,158,1251,166,10214
SOS43,90,21,610,147,33,331,101,815,54,2200,287,132,848,161,63,184,268,668,54,2662,1232,429,1423,195,102,148,535,978,110,5160,2186,707,1347,213,163,173,724,833,130,6466,3143,865,1563,317,226,252,1061,1060,174,8663,3284,883,1467,288,288,282,1118,1191,173,8984,1924,380,403,73,86,111,327,393,104,3802,583,58,31,3,19,19,24,76,51,873,63,0,0,0,0,0,0,7,9,81,12791,3481,7701,1395,975,1499,4161,6016,862,38884,41,43,94,590,125,746,24,410,45,2108,94,252,161,593,273,334,66,333,39,2142,496,1178,322,789,724,335,97,426,63,4429,1099,1659,320,882,1272,373,60,461,94,6222,1558,1698,388,1198,1740,588,100,682,118,8070,1506,1358,335,1139,1615,549,92,738,97,7427,861,392,64,206,474,85,34,212,70,2397,225,34,10,8,48,15,0,39,37,413,22,0,0,0,3,0,0,3,4,44,5902,6631,1694,5399,6270,3021,469,3296,568,33245
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,4,6,0,13,0,0,7,0,0,8,5,12,0,33,8,14,22,12,3,8,15,30,3,116,11,17,15,4,3,0,12,22,3,93,8,12,16,3,6,0,17,16,4,83,8,6,15,6,6,0,6,15,5,63,0,4,3,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,38,55,82,24,19,25,56,96,21,419,0,0,0,7,0,5,0,5,0,18,0,0,0,7,5,8,0,4,4,31,5,27,10,16,7,5,0,22,0,97,14,14,3,9,12,12,0,3,0,63,7,14,4,7,6,0,6,7,0,45,0,8,8,7,8,5,0,5,0,47,0,0,0,3,6,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,72,20,55,40,38,8,42,8,311
SOS50,323,576,4505,3121,637,6139,2092,8783,424,26585,1666,5505,12020,5979,2528,5751,4886,8194,937,47456,10672,27529,31615,8468,6773,5601,13257,11973,2454,118342,20930,30851,29410,6544,7254,4213,13717,9139,2323,124376,21231,23398,23988,5383,6447,3888,12760,7908,1968,106970,14810,16209,17112,3972,5413,3190,11372,6862,1310,80244,4261,5939,4086,1052,1693,1411,3067,2399,456,24362,634,921,313,85,227,218,224,354,145,3132,37,52,10,4,28,21,4,20,48,235,74556,110981,123062,34610,30998,30429,61386,55633,10055,531710,347,672,962,7867,1685,12540,417,3745,389,28619,2053,7555,2959,13876,7221,9011,983,3164,665,47486,9971,38151,7319,19427,19129,8070,2117,5850,1688,111712,13021,37575,5970,17399,21747,6580,1807,6087,1549,111734,12133,28444,4805,16203,22857,7176,1896,6801,1261,101583,7202,17901,3171,11427,18772,6051,1398,5620,835,72375,1532,4492,701,2423,5064,1583,301,1451,266,17809,153,347,48,140,434,137,23,156,114,1540,6,13,6,0,24,9,0,10,40,99,46414,135147,25932,88759,96928,51142,8945,32881,6813,492968
SOS51,55,58,1430,424,82,1285,329,1823,126,5607,202,377,2816,411,175,548,893,1534,123,7075,1368,2074,7186,1049,534,747,2822,2808,396,18979,2552,2497,6629,1034,707,578,3343,2226,469,20025,2787,2410,5346,1039,718,654,3841,1908,447,19151,2199,1939,3796,879,717,594,3623,1813,312,15873,815,665,857,248,247,229,977,555,107,4697,179,73,62,15,38,48,56,87,41,597,16,5,0,3,0,0,4,6,12,54,10167,10089,28113,5097,3209,4688,15893,12757,2032,92053,54,93,308,1536,391,2291,114,853,108,5746,277,872,560,1645,1059,939,269,686,90,6393,1374,4392,1393,3168,3128,1504,656,1532,220,17368,1957,4675,1161,3499,3763,1554,603,1754,275,19243,1995,3914,1036,3450,3909,1694,652,1913,231,18800,1381,2633,658,2503,3086,1440,418,1608,182,13904,413,664,135,505,811,333,83,400,60,3403,63,49,13,29,49,25,5,53,30,313,5,0,0,0,0,5,0,0,3,14,7516,17289,5258,16333,16196,9783,2800,8797,1206,85191
SOS52,8,14,166,35,8,75,44,166,21,529,41,52,286,57,16,51,119,199,17,840,232,206,697,175,47,63,362,341,57,2180,327,223,646,144,54,56,436,258,51,2194,401,229,632,154,74,56,546,330,70,2501,445,225,528,132,111,76,738,331,68,2646,233,89,147,30,38,38,222,135,34,967,65,15,3,0,3,0,18,22,15,154,8,4,0,0,0,0,0,7,6,22,1751,1058,3105,730,357,415,2481,1782,343,12026,14,8,43,142,32,136,9,131,15,521,33,91,42,183,130,89,39,95,16,719,138,416,140,419,366,132,76,247,34,1967,265,431,143,391,413,155,82,206,37,2121,297,411,134,447,431,206,103,293,34,2355,293,380,119,393,428,195,82,311,32,2232,105,102,25,85,111,54,29,89,21,619,26,5,0,11,15,4,6,16,7,88,0,0,0,0,0,0,0,0,6,4,1169,1837,656,2068,1930,969,426,1387,204,10624
SOS53,78,23,643,142,23,318,174,718,55,2186,244,141,1031,188,63,170,434,683,51,3006,1140,569,2000,241,102,137,990,1036,122,6351,2137,746,2228,200,159,156,1247,841,133,7854,3103,926,2324,327,254,206,1764,925,208,10045,3178,957,1971,279,276,231,1814,1018,190,9908,1931,382,537,73,108,116,541,398,76,4154,636,54,46,13,25,22,43,87,53,968,94,0,0,0,0,0,0,9,14,125,12547,3806,10771,1469,1011,1360,7003,5722,905,44592,30,22,116,550,118,654,48,441,50,2027,93,265,207,502,290,279,127,318,71,2139,561,1124,371,691,870,284,210,581,72,4769,1181,1563,465,865,1395,364,222,544,96,6690,1745,1729,478,1158,1853,579,289,709,142,8680,1693,1403,385,1045,1771,514,261,718,98,7890,888,388,91,216,486,135,46,246,54,2551,229,26,15,11,58,7,9,49,24,433,22,0,0,0,0,0,0,0,0,27,6447,6518,2127,5038,6830,2810,1212,3600,606,35194
SOS57,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,6,0,12,0,3,15,0,0,0,5,21,0,60,0,12,27,0,4,0,8,30,4,92,4,8,12,0,0,0,5,15,6,55,0,9,13,0,0,0,3,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,77,0,10,0,25,86,12,246,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,8,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,15,0,29
SOS59,0,0,3,0,0,0,5,9,5,19,0,0,20,15,3,11,17,34,8,101,11,37,76,15,12,7,38,65,6,268,28,36,64,13,9,5,39,30,5,211,6,23,53,8,0,0,53,17,4,156,8,8,17,10,6,3,32,20,4,115,0,3,4,0,0,0,9,4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,115,232,51,36,29,182,169,19,899,0,0,0,13,7,6,0,11,0,33,4,15,4,22,12,5,7,12,5,84,14,47,9,57,22,10,8,57,7,234,17,35,7,31,23,12,7,13,3,138,7,9,7,17,28,5,7,9,0,91,5,17,6,29,23,3,3,18,0,102,0,5,3,0,11,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,139,34,172,112,47,31,120,11,715
SOS60,37,38,384,269,72,480,88,519,40,1926,202,433,1107,599,273,587,224,606,72,4101,1203,2677,3066,1500,920,980,1075,1769,282,13469,1706,2518,1938,856,693,440,678,933,205,9972,1836,2158,1503,727,708,426,611,639,166,8781,1269,1578,1204,477,530,322,688,612,104,6780,404,630,315,133,135,120,180,194,42,2154,73,66,29,16,26,26,24,13,19,293,3,4,0,0,0,4,0,0,8,15,6732,10095,9548,4574,3352,3384,3568,5286,947,47489,32,40,65,585,149,1006,36,298,38,2250,171,742,236,1200,633,848,33,270,56,4201,1004,3929,638,2797,1925,1066,96,819,204,12470,1340,3522,402,1620,1788,551,72,530,149,9969,1246,2927,370,1403,2088,552,78,512,121,9285,738,2088,262,1118,1818,483,78,518,101,7211,159,531,80,236,410,122,24,185,29,1773,33,33,4,4,39,18,0,14,18,162,0,3,0,0,0,0,0,0,4,14,4717,13812,2065,8967,8850,4642,409,3150,718,47332
SOS61,68,28,639,207,44,627,138,759,45,2554,232,259,1451,428,170,452,442,875,91,4406,1170,1500,3153,938,486,660,1419,1805,234,11380,1491,1539,2081,667,483,454,1285,1120,214,9328,1575,1398,1874,644,570,485,1442,1131,199,9315,1299,1167,1698,546,538,448,1553,1036,173,8467,389,410,414,149,135,149,379,294,70,2383,68,50,33,15,22,17,38,35,25,306,8,6,0,0,0,4,0,0,6,29,6304,6356,11352,3595,2451,3293,6696,7057,1059,48170,45,31,128,658,170,1355,56,425,49,2919,165,533,329,1386,597,870,60,386,62,4389,725,2750,666,2418,1547,1024,132,981,140,10376,902,2594,447,1861,1644,840,114,816,127,9338,995,2180,435,2090,2135,978,121,1055,133,10115,718,1638,336,1672,1858,807,112,1072,80,8291,182,399,86,323,422,167,26,230,43,1885,19,24,4,18,42,12,3,12,21,153,0,0,0,0,0,0,0,0,9,15,3750,10157,2425,10418,8414,6049,622,4984,654,47477
SOS62,9,5,92,19,4,49,13,93,3,283,28,18,162,46,20,36,54,106,9,488,133,111,402,79,46,46,181,210,30,1236,200,197,336,87,59,38,159,195,38,1309,274,240,315,81,60,54,216,180,36,1464,258,198,319,76,68,55,262,216,29,1485,107,95,85,26,20,26,80,61,21,526,20,16,4,0,7,13,8,10,10,89,0,4,0,0,0,0,0,0,0,7,1035,883,1718,415,278,313,976,1082,179,6881,0,0,19,91,25,163,5,41,0,343,20,32,39,106,64,77,9,51,7,394,88,272,75,245,162,111,19,128,15,1126,150,341,71,187,249,82,17,116,24,1225,165,354,76,249,273,139,13,186,27,1480,177,264,75,266,304,124,18,190,21,1446,43,67,20,47,105,31,3,30,13,349,4,7,0,0,6,3,4,0,5,32,0,0,0,0,0,0,0,0,4,4,644,1351,369,1188,1170,740,78,746,106,6395
SOS63,77,8,428,83,15,226,93,431,34,1399,149,68,673,88,49,125,177,413,41,1782,692,360,1312,221,94,110,466,772,85,4099,1102,651,1304,229,146,146,637,610,116,4937,1438,856,1248,320,239,206,837,715,142,6002,1449,757,1212,271,251,203,1014,727,143,6034,784,319,309,60,96,82,256,217,61,2172,237,49,19,4,11,15,18,28,30,412,31,6,0,0,0,0,0,0,12,50,5962,3071,6502,1285,906,1114,3489,3909,649,26894,26,19,92,332,72,484,14,237,22,1298,68,142,138,418,227,269,37,206,19,1522,355,872,286,728,595,331,65,350,44,3623,688,1335,277,790,866,347,65,389,78,4836,835,1350,335,956,1196,442,93,535,81,5815,820,1156,261,845,1088,353,63,540,69,5201,340,258,45,122,252,62,15,128,43,1262,89,16,5,5,29,4,3,17,13,187,4,0,0,0,0,0,0,0,4,10,3234,5143,1444,4193,4316,2286,351,2407,385,23755
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
