SOS_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,6,6,0,0,0,0,8,0,0,3,15,8,0,3,0,0,34,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,3,3,0,3,22,6,12,8,9,0,75,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,10,0,0,0,5,0,4,0,6,0,16,0,0,0,5,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,3,3,20,4,0,0,0,0,29,0,0,0,4,3,0,0,0,0,14,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,4,9,0,0,0,0,0,7,0,0,0,0,0,0,5,3,0,9,0,0,0,3,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,6,25,5,0,0,0,0,34
SOS30,17,42,77,677,237,203,167,104,21,1546,125,1236,3479,14639,4312,3539,2039,734,336,30432,0,6,12,250,212,366,352,273,119,1582,15,110,152,315,87,115,192,134,65,1177,279,2976,5171,13227,11674,13293,11569,8917,3444,70552,5,109,398,2456,1385,1234,827,336,87,6840,24,138,197,1194,383,343,241,173,73,2763,36,126,323,1959,998,1030,1720,1256,512,7954,0,22,39,132,89,151,346,429,238,1452,62,416,840,2375,758,1049,704,134,55,6387,251,1883,2847,18953,2759,1619,1125,529,217,30179,31,188,442,1830,911,435,416,203,80,4534,9,228,363,2097,428,272,189,70,26,3685,47,469,502,907,302,159,107,40,13,2536,18,304,254,1742,755,536,563,399,193,4764,9,88,150,919,329,495,973,921,641,4525,61,333,604,3771,2381,836,351,140,70,8528,62,542,952,5803,1781,640,254,99,17,10142,7,26,30,168,159,157,108,56,25,725,28,330,822,2956,1314,1313,938,349,88,8148
SOS31,0,0,3,115,22,13,16,5,0,175,10,47,85,718,223,168,76,29,10,1368,0,5,0,14,16,26,35,42,13,156,3,17,3,45,11,13,13,5,10,114,27,289,555,1800,1861,3119,3257,2532,836,14271,0,33,43,261,140,130,70,28,3,709,4,8,34,149,49,66,55,53,19,426,5,10,43,299,159,280,485,382,133,1791,0,0,4,5,0,12,22,20,17,83,0,9,28,122,20,51,21,3,5,256,42,153,181,1596,193,111,74,72,12,2440,7,25,33,260,123,58,74,28,15,628,0,5,8,55,12,16,5,9,0,112,0,6,0,17,9,0,5,0,0,35,0,24,39,231,90,79,90,75,34,670,0,12,8,128,32,83,201,261,234,961,5,21,35,250,121,46,33,4,0,519,3,10,39,411,44,21,7,0,0,529,0,0,0,4,8,10,0,4,0,26,6,22,52,251,119,136,81,17,9,683
SOS32,0,0,0,13,0,3,0,0,0,16,0,0,6,28,15,21,12,0,0,87,0,4,0,3,7,10,0,3,0,21,0,0,0,0,0,0,0,5,0,6,4,25,58,256,317,647,550,357,81,2299,0,0,9,22,15,15,15,5,0,83,0,0,0,25,6,12,5,6,0,65,0,0,9,52,32,66,83,48,16,316,0,0,0,0,0,4,0,4,0,8,0,0,0,5,0,0,0,0,0,9,0,5,5,60,10,11,9,5,0,115,0,0,6,16,19,11,15,4,0,68,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,6,28,4,19,15,11,0,96,0,5,0,13,5,3,26,34,29,106,0,3,0,33,11,9,4,0,0,61,0,0,0,21,3,4,0,0,0,30,0,0,0,0,5,0,0,0,0,7,0,4,0,16,16,12,10,5,4,72
SOS33,0,0,0,28,10,8,5,0,0,49,0,12,17,105,66,55,20,6,4,274,0,0,0,12,7,19,26,10,8,77,0,3,0,3,0,0,9,8,0,15,6,110,271,838,1236,2042,1637,904,158,7208,0,3,7,52,47,43,28,5,9,204,0,0,8,89,22,40,33,16,5,212,0,6,32,222,147,226,245,119,24,1018,0,0,0,3,4,4,15,6,4,34,4,8,15,21,9,24,11,9,0,94,6,13,23,137,49,39,40,24,0,325,0,6,16,70,39,26,31,17,0,210,0,0,0,3,3,3,3,0,0,12,0,0,0,0,0,4,0,0,0,9,0,20,18,87,53,39,31,35,3,286,0,0,3,40,11,44,119,94,50,366,0,4,12,107,49,34,18,4,3,233,0,4,9,52,8,10,6,0,0,85,0,0,0,0,0,9,3,0,0,12,0,4,6,54,56,79,52,13,0,261
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,26,0,0,0,0,0,28,0,0,7,33,4,5,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,89,35,86,78,14,0,333,0,0,0,0,4,5,0,0,0,7,0,0,11,28,0,6,4,0,0,43,0,0,6,26,6,0,6,0,0,52,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,3,0,0,9,0,0,0,16,0,0,3,0,0,21,0,0,0,13,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,19,0,0,5,3,0,26,0,0,0,12,0,3,0,0,0,21,0,0,4,6,0,0,0,0,0,14,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,23
SOS40,0,10,16,130,65,82,52,33,9,401,57,529,1839,7191,1758,1330,856,276,117,13955,0,4,6,167,125,263,315,256,137,1277,12,80,61,234,58,62,104,92,44,746,75,786,1742,3639,4572,8531,7013,5416,2697,34465,0,17,33,197,107,118,81,32,11,595,9,46,22,238,93,108,67,47,37,669,17,30,68,429,287,423,1079,848,531,3709,3,21,58,120,106,413,1036,1412,751,3930,24,103,379,851,178,214,202,32,8,1991,195,1465,2362,12257,1568,743,559,253,110,19513,3,61,134,602,185,100,88,33,17,1223,18,172,348,1211,298,207,126,56,26,2462,0,45,83,319,130,87,34,14,5,725,0,62,62,263,173,207,206,163,132,1264,0,43,80,316,231,835,2230,2398,1685,7822,6,39,78,457,265,79,47,26,20,1020,6,101,271,1070,390,99,27,5,6,1971,6,26,43,218,131,171,152,89,33,873,34,291,650,1813,584,479,474,196,41,4562
SOS41,0,3,0,4,6,8,0,0,0,23,5,31,25,249,80,67,22,5,0,482,0,0,0,0,5,19,25,47,12,110,0,6,0,13,3,0,5,3,0,36,4,123,229,629,1115,2457,2413,1953,792,9719,0,0,3,26,12,14,0,4,5,68,0,0,4,21,22,23,15,11,6,102,0,3,9,92,54,151,304,232,117,969,0,0,3,9,0,14,46,90,40,205,3,10,4,33,11,4,6,0,0,72,12,48,90,489,76,51,34,17,8,826,0,6,14,65,32,5,17,3,3,148,0,4,0,23,11,3,0,0,0,45,4,0,6,3,0,5,0,0,0,25,0,7,13,36,27,32,39,49,14,219,0,4,0,20,14,50,110,147,106,466,6,8,8,44,29,11,10,6,0,109,0,4,19,61,10,4,3,0,0,101,0,0,0,7,3,4,0,0,4,24,0,21,26,142,55,30,37,10,0,321
SOS42,0,0,0,0,0,0,0,0,0,7,0,0,0,26,4,10,0,0,0,41,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,23,64,147,400,349,214,81,1292,0,0,0,0,0,3,3,0,0,11,0,5,0,4,0,0,4,0,0,15,0,0,0,12,0,19,47,27,14,114,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,5,0,0,5,23,4,4,3,3,3,50,0,0,0,4,4,0,4,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,0,5,10,0,28,0,0,0,3,0,0,6,4,5,20,0,0,0,0,0,0,3,0,0,8,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,3,7,0,0,16
SOS43,0,0,4,8,0,0,0,0,0,12,0,0,5,43,20,16,6,0,0,95,0,0,0,0,0,0,15,3,0,32,0,0,0,0,0,0,0,3,0,4,3,31,77,247,461,1196,858,422,98,3395,0,0,0,13,0,6,3,0,0,26,0,0,0,22,10,12,5,5,0,57,0,0,4,56,43,76,84,46,16,331,0,0,0,0,7,21,51,59,18,152,0,3,3,13,10,3,0,0,0,30,0,7,11,79,21,33,20,7,5,178,0,0,3,23,14,10,4,0,0,57,0,0,0,3,8,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,4,26,13,19,15,10,0,89,0,0,0,3,12,32,71,54,35,213,0,0,6,17,14,5,0,0,0,36,0,0,0,15,0,0,0,0,0,14,0,0,0,4,4,5,4,0,0,11,0,6,14,44,18,24,8,5,0,103
