SOS_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,63,22,19,42,6,73,13,57,41,1081,29,1453,18,11,8,17,0,32,0,43,7,243,9,392,15,15,8,9,0,36,7,119,32,363,0,603,6,10,0,16,0,38,6,128,27,263,0,497,19,45,12,31,3,83,6,273,60,811,10,1347,35,81,10,64,18,221,20,618,126,949,15,2149,79,218,26,185,28,704,62,1144,252,2015,23,4745,136,479,67,388,101,1875,118,1700,364,2173,54,7449,315,973,129,1193,246,4282,297,2245,616,3086,80,13471,887,1904,298,3836,788,6365,607,2653,794,3250,95,21471,1326,1616,264,5342,1093,6258,605,1931,648,2393,63,21530,2630,1677,319,7122,1457,5891,594,1577,527,1973,82,23849,11735,3314,731,18504,3871,11663,1443,2528,934,3126,120,57975,14171,2579,635,18942,4022,5035,1087,1378,487,1773,101,50214,14543,1839,502,16090,3444,4883,826,990,322,1140,45,44624,13282,1118,378,10459,2403,1997,507,546,147,582,36,31456,39979,2679,831,27269,5613,10767,1110,1452
SOS31,10,8,3,12,3,14,0,10,9,162,3,254,3,6,4,6,0,4,0,11,6,44,4,77,4,0,0,0,0,7,3,27,9,80,4,142,7,0,0,8,0,4,0,14,4,56,4,104,14,9,0,9,0,18,0,71,4,209,4,330,10,16,6,17,11,38,6,114,23,263,0,498,21,43,0,54,6,146,10,240,56,719,8,1295,56,91,11,118,17,411,20,373,68,814,9,2000,84,241,22,352,64,1036,56,596,138,1059,22,3658,270,401,64,1182,174,1613,104,623,157,993,25,5606,420,293,56,1622,194,1572,114,406,145,600,23,5445,826,331,52,1945,279,1515,123,312,134,471,16,6006,3154,602,159,4948,764,2769,254,472,250,646,39,14061,3448,448,142,4770,722,1046,269,257,99,306,20,11529,3468,305,124,3460,572,1063,189,153,103,163,13,9616,2670,143,86,2075,373,325,113,65,33,61,9,5956,5965,272,162,3537,731,1265,195,162
SOS32,3,0,0,0,0,0,0,0,0,29,0,41,5,0,0,0,0,0,0,7,0,3,0,15,4,3,0,0,0,0,0,3,0,20,0,32,0,3,0,0,0,0,0,6,0,23,0,31,6,4,3,0,0,4,0,13,4,71,0,115,3,3,0,9,0,9,0,17,3,67,4,114,11,10,3,9,0,28,7,50,9,176,0,301,3,21,3,15,7,77,4,63,18,178,7,392,25,29,12,74,9,173,11,102,27,207,7,676,74,77,14,174,25,224,15,79,22,191,4,897,74,52,15,243,28,187,24,66,16,106,3,810,105,54,5,287,38,186,16,45,13,84,4,830,430,102,35,644,100,324,49,74,38,104,6,1907,427,76,29,586,98,138,37,39,19,43,9,1495,430,46,20,402,69,126,26,19,12,29,4,1188,312,27,12,228,45,48,12,10,5,5,0,702,611,54,18,417,71,124,23,20
SOS33,66,0,5,17,3,22,0,0,11,94,5,226,17,0,3,10,4,11,0,6,0,27,0,74,22,3,3,12,3,13,0,13,7,58,0,131,8,0,0,11,0,6,0,9,0,18,0,70,40,16,0,29,0,21,0,36,7,118,3,273,31,22,3,29,10,31,9,61,10,107,7,317,69,48,6,75,12,84,15,119,39,305,9,780,118,69,13,141,8,205,16,179,37,348,6,1144,209,139,21,318,35,458,34,227,48,496,20,2013,326,209,41,682,77,699,54,264,81,501,21,2958,299,176,41,907,109,659,67,187,87,325,16,2886,506,171,40,1052,142,561,80,165,52,272,18,3061,1528,358,112,2411,358,1143,158,227,129,409,21,6857,1693,234,73,2215,338,549,151,152,53,190,17,5673,1570,198,69,1654,272,453,92,94,55,103,9,4574,1280,119,40,1030,198,185,64,57,21,50,5,3049,3520,228,106,2282,426,771,122,122
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,12,3,9,22,4,18,0,26,6,387,4,483,4,4,0,7,0,5,4,25,3,89,3,144,4,8,3,5,0,8,4,53,12,142,3,244,0,8,0,7,0,18,3,54,8,138,0,242,9,17,6,13,0,32,0,138,20,418,6,661,13,45,0,22,3,94,10,284,35,459,7,978,20,100,7,71,4,283,12,542,56,952,21,2081,61,271,11,174,19,906,29,725,96,1043,17,3364,122,504,20,511,73,1838,90,1018,149,1516,29,5870,324,876,44,1831,195,2453,165,1097,176,1397,36,8591,433,743,52,2498,221,2268,151,731,138,986,29,8251,879,757,67,3138,317,2040,153,595,99,853,21,8938,4041,1454,177,8116,946,3630,363,923,191,1369,50,21262,4724,986,159,7879,982,1693,298,540,110,748,35,18143,4496,635,124,6485,869,1387,207,374,73,398,19,15064,3992,343,93,3888,579,626,133,184,39,209,10,10087,10987,815,174,9112,1183,2752,269,472
SOS41,6,0,4,3,0,0,0,0,4,46,6,62,0,3,0,4,0,0,0,4,0,23,0,34,0,0,0,3,0,3,0,8,0,16,0,39,0,0,0,0,0,4,5,5,0,13,0,24,0,3,0,6,0,7,0,22,3,93,0,149,0,9,4,12,0,15,0,47,5,71,0,176,7,23,0,12,6,48,12,112,27,255,3,502,18,37,9,36,5,148,9,138,22,246,3,672,38,95,9,162,19,387,21,228,41,344,11,1366,93,186,16,558,67,551,51,252,49,333,5,2166,131,163,21,760,88,532,32,186,48,188,5,2148,242,169,24,951,87,443,45,98,44,171,9,2284,1062,354,63,2167,303,871,110,172,62,229,14,5402,1131,208,52,2004,236,375,108,99,29,110,7,4349,1064,125,43,1372,194,265,59,53,23,58,6,3260,930,72,23,773,119,113,50,25,13,20,5,2137,1930,109,39,1405,197,403,56,75
SOS42,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,0,0,0,7,0,3,3,3,0,4,0,0,0,3,5,29,0,45,0,3,0,0,0,4,0,4,4,14,0,36,0,6,0,3,0,8,0,28,0,51,4,105,9,13,0,13,0,13,0,30,8,42,0,129,5,15,0,29,0,70,0,31,11,59,3,228,15,33,3,88,19,91,10,45,3,63,0,367,21,21,6,131,11,72,8,27,11,31,0,338,38,27,8,151,16,63,10,18,5,18,0,347,135,49,3,332,49,98,12,23,5,16,0,732,143,30,5,248,32,47,12,15,9,8,0,546,131,17,3,182,15,32,10,4,5,12,0,408,88,8,5,90,15,14,3,8,0,0,0,231,176,12,5,134,23,37,7,0
SOS43,17,5,3,18,0,4,0,0,9,28,0,78,8,7,0,6,0,0,0,3,3,11,0,34,3,0,0,5,0,0,0,7,7,9,0,28,3,0,0,7,4,0,0,3,0,13,0,30,13,6,0,17,0,8,0,13,6,31,0,81,13,9,0,24,0,14,0,17,4,22,0,103,28,16,0,49,4,40,8,35,0,76,0,264,45,26,0,93,8,94,5,63,9,88,4,431,64,57,7,148,11,183,12,86,13,141,3,731,107,74,15,381,39,263,24,85,25,143,7,1160,108,84,14,391,44,204,23,69,11,71,4,1018,154,63,12,511,46,168,19,31,22,76,3,1111,504,128,38,1035,92,305,42,84,21,86,11,2348,490,108,31,902,101,149,34,47,9,43,6,1919,517,74,24,656,70,120,26,22,12,26,3,1554,397,38,7,359,47,51,14,12,0,18,3,952,944,93,29,896,105,202,36,51
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,38,14,8,34,0,47,3,22,19,592,11,787,5,11,0,6,0,13,0,23,6,130,3,203,3,12,3,7,0,20,7,86,6,208,5,358,3,6,0,12,0,33,0,92,11,190,0,345,9,21,0,18,8,68,11,200,18,477,4,823,18,53,3,36,4,137,17,366,43,534,16,1235,38,154,15,110,9,434,17,672,87,1065,18,2623,69,295,12,263,26,1190,40,892,112,1078,30,3995,151,599,27,707,76,2550,91,1272,196,1547,40,7249,434,962,60,2293,175,3773,146,1241,240,1426,52,10796,568,799,69,3264,287,3984,160,1004,268,1151,38,11581,1042,804,75,4265,402,3978,178,768,256,991,52,12814,5087,1617,236,11348,1213,8490,484,1452,554,1659,80,32211,6518,1315,273,13138,1453,3099,548,773,275,937,41,28371,7130,984,232,11041,1452,3924,446,623,274,664,29,26807,6789,615,185,7188,1147,1326,322,330,105,329,31,18367,22575,1740,509,21731,2942,9218,775,1093
SOS51,3,0,0,9,0,13,0,9,3,51,0,80,3,0,0,0,0,0,0,0,0,16,0,29,0,0,0,0,0,3,0,9,0,26,0,42,4,0,0,4,0,0,0,11,0,15,0,35,0,3,0,10,0,5,0,15,0,85,0,117,3,4,0,7,0,17,0,51,11,82,0,165,3,13,3,19,0,49,5,77,9,195,8,395,20,34,0,33,7,128,4,129,22,201,8,584,32,80,12,131,12,350,11,168,38,241,5,1077,73,156,15,379,39,564,20,230,35,242,7,1755,83,119,17,607,45,627,36,121,65,136,5,1874,186,121,19,810,70,627,45,121,54,116,4,2172,826,259,60,2046,241,1460,115,190,127,170,14,5513,1170,219,55,2388,235,499,143,107,53,83,6,4961,1316,140,50,1817,243,612,115,72,67,63,11,4502,1109,68,31,1054,168,186,78,26,19,16,4,2755,2997,190,120,2201,423,893,179,80
SOS52,0,0,0,0,0,0,0,3,0,7,0,14,0,0,0,4,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,10,0,22,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,6,0,9,0,83,0,104,0,0,0,0,0,3,0,12,0,72,0,97,4,4,4,5,0,18,0,25,3,145,3,211,9,13,0,10,0,28,0,22,7,93,0,180,6,8,0,23,9,55,0,28,5,82,3,226,7,9,0,53,0,90,6,28,9,72,5,282,23,20,0,74,10,73,4,24,12,26,7,269,31,7,6,103,10,76,8,19,13,31,8,310,112,25,9,231,38,166,12,34,9,34,6,670,108,23,11,199,32,50,8,0,13,17,0,465,143,11,6,146,16,57,8,11,11,10,4,428,80,8,3,96,16,28,6,0,0,3,0,250,182,12,8,160,30,90,19,12
SOS53,22,4,0,12,3,4,0,3,7,31,0,88,8,0,0,6,0,0,0,5,0,7,0,32,0,4,0,4,0,11,0,0,0,19,0,37,0,0,0,5,0,3,0,4,0,15,0,28,10,4,0,11,0,12,0,14,4,70,0,125,8,10,0,13,5,19,6,24,5,46,0,130,15,7,0,31,4,26,5,42,8,77,0,214,33,28,8,59,11,53,0,47,7,93,5,337,60,57,4,118,11,129,5,54,3,124,5,574,70,76,7,245,15,194,14,62,20,82,4,779,62,50,7,243,26,206,17,63,16,64,5,764,108,51,13,338,29,186,14,35,17,50,3,842,336,97,32,767,71,380,24,69,45,88,7,1917,428,85,32,787,79,196,50,33,17,49,4,1764,402,65,27,622,72,176,41,32,21,38,0,1504,397,30,21,429,42,90,17,17,19,12,0,1073,1140,88,52,1017,144,388,72,62
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,4,0,0,4,0,0,0,0,0,59,0,66,0,0,0,0,0,3,0,5,0,13,0,18,0,0,0,0,0,0,0,10,0,17,0,32,0,0,0,0,0,0,0,11,0,3,0,19,0,0,0,0,0,5,0,27,0,60,0,96,0,4,0,0,0,17,5,45,5,49,0,134,3,24,4,3,0,57,4,74,8,108,0,282,9,46,5,18,4,125,5,131,13,120,0,474,18,80,4,82,9,211,16,143,22,144,3,736,41,146,8,339,27,330,26,132,24,198,0,1267,67,123,8,350,32,292,24,94,15,136,7,1143,132,112,11,419,50,241,17,73,16,108,6,1180,544,235,27,1170,141,420,48,117,20,178,4,2916,553,230,29,1083,165,196,39,67,14,102,4,2492,603,156,18,979,115,138,39,50,11,55,4,2161,534,79,23,592,80,67,23,23,6,33,0,1474,1568,162,30,1280,173,287,40,78
SOS61,0,0,0,6,0,0,0,0,0,32,0,42,0,4,0,0,0,0,0,0,0,10,0,17,0,0,0,0,0,0,0,3,0,17,0,22,0,0,0,0,0,3,0,6,0,13,0,21,0,3,0,0,0,0,0,26,5,62,0,95,0,3,0,9,0,12,3,45,5,82,0,159,7,21,0,12,0,39,0,99,9,209,0,403,10,43,4,34,11,139,0,148,20,222,5,629,20,86,9,99,18,323,12,184,27,291,8,1070,67,134,12,464,43,458,38,183,51,229,7,1679,67,118,13,556,71,439,21,122,20,170,10,1609,144,111,19,646,73,300,38,92,28,135,6,1581,661,218,47,1465,190,534,63,132,37,153,3,3509,685,126,39,1252,149,203,50,59,12,64,3,2637,577,68,15,894,123,137,34,35,9,30,6,1929,475,46,14,477,58,43,17,7,10,9,0,1157,865,75,18,740,88,199,39,26
SOS62,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,5,0,5,0,0,0,0,0,0,0,11,0,16,0,0,0,4,0,0,0,3,0,8,0,19,4,0,0,0,0,3,0,11,3,31,0,55,7,9,0,3,0,19,0,16,3,27,0,82,0,12,0,22,0,35,0,31,0,48,0,157,5,17,0,59,4,58,4,35,9,32,0,227,7,13,3,81,14,52,5,20,8,25,0,222,27,24,3,87,13,40,7,14,3,17,0,229,69,38,4,182,30,59,15,15,3,28,0,444,117,23,8,181,17,29,11,13,3,10,0,406,80,17,4,118,12,28,7,6,4,4,0,280,51,15,3,67,7,0,5,0,0,3,0,157,116,13,7,119,10,30,4,8
SOS63,3,0,3,3,0,5,0,4,0,23,0,40,3,0,0,0,0,0,0,4,0,9,0,18,0,0,0,0,0,0,0,4,0,7,0,13,3,0,0,0,0,0,0,8,0,6,4,18,8,5,0,7,0,6,0,12,6,25,0,65,4,6,0,4,0,10,4,15,6,18,4,74,11,16,4,14,8,18,7,50,16,94,0,227,17,38,0,39,4,60,5,68,4,99,0,343,30,63,3,84,9,147,7,102,22,140,3,612,66,67,10,241,22,208,15,92,22,118,0,863,48,65,10,279,16,190,14,62,25,72,9,799,102,81,17,336,27,148,14,45,14,55,6,839,331,122,22,770,88,242,48,65,23,98,0,1821,373,100,12,702,95,130,27,51,4,43,3,1542,312,63,17,472,55,74,21,18,8,13,0,1062,258,37,13,268,38,34,8,12,0,9,0,679,603,46,15,459,63,130,35,23
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
