SOS_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOS42,3,0,7,119,64,188,5,0,0,0,0,0,4,0,4,7586,6309,13897,405,448,847,186,7,196,43,7,49,61,22,80,141,39,177,592,781,1378,9147,7680,16828,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,8,5,7,0,0,0,0,0,0,28,27,57,3,8,9,0,0,3,33,38,69,83,32,121,118,75,194,0,0,0,4,0,4,3,5,7,13,5,10,568,896,1461,966,1449,2420,123,111,235,10929,10214,21143
SOS43,17,14,37,325,134,459,15,3,17,3,3,4,9,13,28,23613,19817,43425,1160,1234,2395,813,33,849,205,25,234,84,17,102,605,148,757,2224,1259,3482,29079,22706,51784,0,0,9,0,0,0,0,0,0,25,25,52,0,0,0,0,0,0,22,31,56,0,0,0,0,0,0,49,59,110,12,14,30,8,4,12,72,83,151,297,149,446,390,259,650,11,6,17,6,3,11,31,11,38,40,22,59,6319,5790,12108,2629,4141,6773,422,329,753,38884,33245,72129
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
SOS49,0,5,6,16,11,30,0,0,0,0,0,0,0,3,4,221,115,333,29,30,53,6,0,6,0,0,0,0,0,0,13,3,18,23,21,43,308,184,492,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,7,5,5,0,5,3,4,8,0,4,0,0,0,0,0,0,0,0,4,0,29,38,70,63,80,134,10,3,11,419,311,724
SOS50,11340,11329,22665,17658,13760,31416,137,76,213,31,15,48,2014,1684,3698,339125,297081,636206,19826,25500,45325,4879,159,5040,2480,252,2729,5259,1498,6758,11423,2800,14229,8091,7748,15845,422255,361907,784160,6730,6523,13255,12,7,24,0,4,5,4524,4122,8641,653,910,1563,494,188,688,12419,11751,24171,23,6,32,8,8,15,763,769,1535,483,880,1364,689,397,1084,1962,2068,4025,4342,2174,6517,18727,15991,34718,2125,2513,4636,518,260,776,254,101,356,2900,2873,5769,33855,43357,77216,51613,67213,118823,2365,1625,3993,531710,492968,1024680
SOS51,75,71,141,2414,680,3090,30,10,41,0,4,4,186,203,389,61471,57370,118841,5340,5257,10601,1120,50,1168,561,129,686,1047,539,1585,1633,499,2126,2409,2765,5170,76284,67571,143852,52,34,83,0,0,0,0,0,0,85,71,153,6,10,21,0,3,5,145,114,265,0,0,0,0,0,0,337,118,452,51,45,96,93,26,113,474,190,663,923,451,1374,1545,758,2302,34,28,61,89,18,108,52,15,65,173,67,240,2588,5051,7638,10857,11334,22192,607,417,1024,92053,85191,177243
SOS52,10,6,18,454,144,599,4,0,3,0,0,0,5,6,7,7138,6113,13253,592,583,1173,258,10,265,36,5,37,126,96,219,315,81,397,914,1266,2174,9852,8301,18154,0,5,9,0,0,0,0,0,0,16,17,29,0,0,0,0,0,0,17,23,41,0,0,0,0,0,0,22,6,31,5,0,6,8,0,6,40,12,47,120,47,173,176,79,257,4,0,13,11,0,10,9,0,8,28,3,32,443,726,1165,1337,1361,2700,193,147,345,12026,10624,22648
SOS53,121,114,230,1854,403,2257,8,3,15,0,3,6,59,16,74,22818,19300,42118,1714,1389,3103,1163,66,1226,184,32,214,113,46,157,2018,548,2560,2793,1900,4692,32840,23814,56655,16,22,37,0,0,0,0,0,0,124,131,250,10,12,18,3,0,3,152,165,310,0,0,0,0,0,0,46,20,69,14,15,31,118,19,135,182,47,233,497,175,674,828,386,1212,29,37,69,70,15,81,48,9,54,149,58,209,5988,6173,12164,4295,4439,8740,485,323,806,44592,35194,79789
SOS57,0,0,0,39,0,38,0,3,3,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,0,0,0,0,0,0,138,20,155,32,8,34,228,26,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,9,5,11,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,246,29,277
SOS59,12,6,22,65,25,86,0,0,0,0,0,0,11,3,11,302,239,536,76,56,134,10,3,13,3,0,3,14,11,23,54,13,72,91,111,201,629,470,1098,4,6,10,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,8,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,4,11,7,15,19,20,44,4,0,7,0,0,5,0,0,0,8,3,10,54,52,108,176,158,334,7,8,17,899,715,1614
SOS60,15,7,19,1831,2917,4749,38,47,85,0,3,3,212,215,425,30371,24747,55123,1935,3803,5739,393,11,402,475,54,533,866,385,1249,271,134,401,2427,2821,5254,38838,35147,73982,0,7,5,0,0,0,0,0,0,10,11,14,0,0,7,5,0,0,12,15,35,3,8,11,0,0,0,137,237,374,89,220,303,51,63,116,284,521,810,407,371,779,707,914,1620,5,5,6,44,65,108,7,8,26,58,81,141,3518,3959,7478,4166,7019,11185,205,214,415,47489,47332,94821
SOS61,7,3,11,489,587,1076,5,8,11,3,3,4,114,182,300,35302,31164,66467,2209,2911,5122,462,3,471,283,31,310,304,84,389,278,133,409,1561,1789,3347,41019,36899,77923,0,0,0,0,0,0,0,0,0,10,12,16,0,0,0,6,0,6,10,14,26,0,0,0,0,0,0,33,55,85,38,78,116,9,23,35,85,153,236,312,224,531,410,381,791,7,3,3,14,30,43,21,10,34,43,42,84,2268,3094,5367,4133,6810,10942,300,239,550,48170,47477,95653
SOS62,0,0,0,48,62,117,0,0,3,0,0,0,5,3,6,4785,3966,8745,286,283,569,130,6,137,31,0,29,25,24,47,51,22,75,260,333,590,5623,4703,10331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,18,8,9,16,0,0,0,14,19,35,60,27,88,70,44,122,0,0,0,5,5,7,0,0,0,5,5,7,501,626,1128,612,952,1561,64,68,130,6881,6395,13276
SOS63,3,0,5,183,145,326,3,5,6,0,0,4,12,6,18,17730,14961,32688,851,1090,1942,697,27,725,219,37,258,58,25,81,248,74,324,957,607,1566,20964,16983,37944,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,5,5,4,6,7,0,0,0,0,0,0,29,53,87,22,27,52,4,0,4,63,76,138,190,101,289,254,181,437,4,0,4,0,7,11,11,0,12,15,8,21,3161,3170,6329,2233,3209,5446,268,195,468,26894,23755,50648
