SOS_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SOS27,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,43,104,316,210,182,131,36,7,0,1022,0,0,11,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,13,5,9,0,0,0,0,32,0,0,0,5,0,0,0,0,0,5,0,0,6,3,0,3,0,0,0,17,4,0,5,4,6,0,0,0,0,12,9,9,20,14,9,10,3,0,0,68,16,32,50,3,7,8,0,0,0,114,0,0,12,3,9,6,0,0,0,29,0,0,5,6,0,0,0,0,0,13,0,0,12,5,0,0,0,0,0,21,0,4,3,0,0,0,0,0,0,10,0,3,13,5,6,12,0,0,0,39,0,0,15,6,4,6,0,0,0,30,4,6,8,9,5,9,0,0,0,46,0,7,18,18,16,8,0,0,0,65,0,18,54,26,23,33,3,0,0,156,3,0,11,8,0,0,0,0,0,25,0,6,4,5,7,0,0,0,0,22
SOS30,49378,87543,204814,203314,183844,128645,36515,4744,345,899137,164,334,1130,842,814,600,244,56,7,4196,19,225,1104,1320,924,443,67,9,0,4099,1425,2120,5634,6543,6691,4565,944,84,6,28014,51,210,992,1580,1356,602,114,6,0,4905,478,1641,5617,6385,5387,3485,921,92,3,24015,354,1031,2982,3462,3520,2321,555,50,6,14284,14943,15452,18956,14455,14832,11177,2761,223,13,92808,23712,12899,13968,8511,6783,4293,1032,75,4,71274,316,1467,4426,5156,5025,3558,811,75,3,20827,359,1028,2053,1854,1514,823,193,16,0,7843,234,1975,7309,8512,6716,3426,604,67,9,28847,351,1479,3940,4053,3845,2750,1051,182,17,17671,883,6249,17837,16969,12609,6863,1989,209,4,63619,726,2975,7928,7500,7169,4938,1243,96,6,32578,362,2905,10844,14080,13968,8065,1373,91,0,51687,2561,7342,21869,28540,30924,19929,4015,285,9,115474,3980,20162,53382,50046,47098,35663,7583,383,10,218313,1721,2467,3671,3005,2450,1550,475,70,4,15408,1724,3889,8972,7811,6938,4124,1094,128,0,34695
SOS31,13601,17870,42534,41494,41301,34596,9682,1255,123,202456,155,388,1365,769,685,590,251,76,8,4288,109,493,1326,1057,860,410,36,5,0,4300,399,573,1422,1506,1382,1018,209,15,0,6524,32,80,303,342,332,199,27,7,0,1316,136,358,1177,1255,1190,912,223,26,5,5281,94,277,571,610,638,476,95,10,0,2776,4234,2602,4239,4084,4468,3606,839,81,5,24159,5337,2391,3293,2584,2337,1858,439,41,0,18286,104,275,919,970,1125,912,258,35,0,4597,53,118,210,177,166,117,35,6,0,881,66,268,884,882,787,483,76,4,0,3457,92,289,616,662,669,558,201,26,4,3124,223,712,1842,1872,1518,1130,324,34,0,7658,173,546,1507,1531,1695,1292,317,23,0,7085,106,554,2093,2553,2673,1764,314,19,0,10079,460,1508,4906,6921,7229,4963,1062,67,4,27126,1022,3954,10095,10268,11100,9919,2010,93,7,48468,249,214,410,400,334,251,76,14,0,1943,462,824,1942,1655,1525,1059,273,17,0,7759
SOS32,1639,2055,4716,5261,6296,6227,1922,289,10,28409,44,71,155,179,165,152,58,18,4,843,3,41,106,105,85,46,19,3,0,399,54,76,134,179,200,191,47,12,0,899,4,7,15,29,36,36,8,0,0,137,20,33,145,162,184,166,30,0,0,740,9,19,73,78,98,69,18,0,0,364,477,272,440,502,667,612,155,12,0,3140,563,242,365,328,437,379,98,14,0,2423,20,28,85,150,195,176,64,6,0,724,6,13,15,26,28,29,17,0,0,129,6,25,81,119,117,63,9,5,0,412,6,26,59,62,87,76,35,5,0,365,22,71,219,251,240,172,59,14,0,1039,27,44,149,185,268,213,48,3,0,947,25,88,355,474,511,383,71,3,3,1907,56,237,642,953,1016,876,146,6,0,3938,130,353,988,1161,1529,1587,319,14,0,6074,26,36,53,53,75,44,26,5,0,317,49,68,205,169,193,166,39,6,0,888
SOS33,6937,7475,15236,19346,25306,23921,9174,2276,268,109937,460,650,1490,1897,2529,2617,1774,629,51,12096,23,95,310,303,280,184,23,6,0,1219,223,242,474,655,936,717,191,17,4,3463,20,40,101,154,162,109,20,0,0,608,98,140,586,923,1000,693,169,15,0,3622,68,87,223,324,477,308,77,14,0,1585,1839,900,1162,1395,2060,1721,375,42,0,9486,2060,686,826,772,986,877,232,23,0,6458,67,100,288,461,710,633,180,17,0,2452,26,37,58,97,118,79,34,3,0,450,25,86,328,395,437,306,61,3,0,1642,36,83,208,259,368,300,115,18,0,1386,142,347,879,1217,1213,852,226,28,0,4912,106,181,406,567,743,676,158,19,0,2851,61,184,670,1005,1373,947,158,11,0,4410,273,522,1516,3130,3983,2980,642,44,0,13088,447,1200,2815,3610,5025,4531,984,56,0,18676,136,121,204,226,257,193,69,6,0,1208,253,257,619,730,800,635,162,12,0,3465
SOS37,0,4,9,13,15,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,58,155,510,369,266,259,77,4,0,1705,0,30,103,9,8,13,0,0,0,160,0,0,4,3,5,3,0,0,0,15,3,3,12,9,7,6,0,0,0,38,0,0,7,5,0,0,0,0,0,5,0,0,10,5,9,3,4,0,0,29,0,0,13,3,7,0,0,0,0,27,10,24,24,26,14,18,0,0,0,116,33,42,113,19,29,19,4,0,0,260,0,0,10,4,13,6,0,0,0,32,0,0,4,7,8,0,0,0,0,17,0,0,8,3,6,0,0,0,0,14,0,4,3,3,6,5,5,0,0,26,0,5,20,18,12,12,8,0,0,70,7,6,38,19,19,14,6,0,0,103,3,9,17,17,7,13,0,0,0,54,0,6,32,24,20,19,5,0,0,110,0,28,72,50,48,57,12,0,0,265,0,6,8,9,9,7,0,0,0,33,10,6,18,13,12,0,0,0,0,50
SOS40,14270,29451,72285,68590,60700,46967,13158,1793,140,307367,31,110,378,413,430,306,105,18,3,1794,8,88,355,282,225,122,17,0,0,1096,581,827,2182,2556,2643,1943,450,35,0,11221,14,95,493,631,461,238,46,0,0,1966,156,503,1520,1532,1504,1062,341,24,3,6641,77,257,844,933,1148,804,192,23,0,4266,5281,5637,6090,4531,4810,3982,892,76,8,31295,6187,4644,4163,2500,1948,1364,289,33,0,21137,67,300,952,1130,1141,880,172,19,0,4662,91,260,706,694,486,266,83,15,0,2606,66,665,2673,2999,2637,1577,271,24,3,10905,57,269,817,809,810,698,248,58,4,3772,155,1563,5111,5031,3695,2397,750,60,3,18763,195,1150,2941,2589,2700,2187,552,33,0,12351,101,958,4019,5500,5001,3467,610,16,0,19669,726,2578,7798,9121,8821,6838,1559,103,0,37538,917,6537,19839,18000,16432,14207,3001,152,3,79091,517,762,1071,816,669,485,167,23,3,4514,466,1227,2956,2501,2344,1688,456,60,3,11702
SOS41,4462,6369,14907,14251,15297,13657,4352,654,52,73997,60,137,322,315,321,296,202,64,6,1740,15,69,229,142,126,70,12,6,0,666,229,292,691,789,825,634,120,17,0,3593,5,18,75,72,82,46,9,0,0,302,43,95,350,375,378,274,99,9,0,1628,28,60,154,167,248,192,46,8,0,908,1571,1081,1625,1421,1737,1469,306,24,3,9236,1842,917,1062,858,872,695,136,17,0,6391,18,70,162,201,286,268,81,10,0,1101,27,33,91,99,92,68,18,0,0,427,21,85,313,398,400,206,39,8,0,1471,8,77,198,197,233,166,52,6,0,953,42,199,610,726,701,445,144,19,3,2884,48,204,518,596,753,726,183,13,0,3034,27,209,755,993,1175,723,138,3,0,4012,162,607,1904,2302,2431,1758,416,30,0,9613,332,1408,3686,3615,4358,4264,852,35,0,18551,88,104,166,178,168,126,34,4,0,858,117,244,608,545,520,384,124,20,0,2559
SOS42,553,788,1851,1916,2275,2459,923,150,18,10929,17,33,98,73,87,115,67,18,6,518,0,8,12,10,13,10,0,0,0,58,27,32,83,80,98,113,22,0,0,447,0,0,7,11,10,11,6,0,0,47,0,13,52,51,66,71,15,0,0,267,3,3,28,37,38,46,8,0,0,165,182,110,173,178,254,244,66,0,0,1210,214,112,137,116,169,166,38,5,0,951,0,18,29,46,64,88,16,7,0,268,3,3,13,12,4,7,3,0,0,46,0,9,35,38,53,33,3,0,0,184,3,4,13,21,29,19,5,0,0,86,5,14,74,66,75,73,29,4,0,333,10,23,65,84,145,136,28,5,0,493,3,18,84,141,132,100,13,4,0,494,22,101,300,359,331,295,76,3,0,1491,38,120,401,409,566,706,146,0,0,2390,12,21,28,22,23,21,11,4,0,135,8,38,68,57,63,53,23,0,0,315
SOS43,2200,2662,5160,6466,8663,8984,3802,873,81,38884,146,204,480,819,1049,1213,849,242,28,5037,4,20,49,36,30,25,0,0,0,166,132,113,242,355,481,383,109,12,0,1838,0,11,21,30,49,21,9,0,0,140,19,45,117,197,231,203,52,3,0,867,20,29,86,99,128,111,33,5,0,507,589,315,384,481,662,572,118,11,0,3123,677,265,266,260,326,360,82,11,0,2247,11,46,82,113,206,210,43,5,3,713,14,10,20,49,28,29,12,0,0,154,11,26,82,152,170,94,20,3,0,556,6,7,49,66,87,79,22,3,0,331,34,91,268,358,357,269,75,12,0,1466,15,58,150,190,310,288,76,6,0,1100,23,63,234,401,475,316,49,6,0,1565,91,216,585,1004,1193,926,256,21,0,4278,114,433,967,1167,1716,1803,359,18,0,6581,43,35,56,81,89,88,27,7,0,425,74,87,179,195,260,219,60,5,0,1080
SOS47,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,13,33,116,93,83,63,16,5,0,419,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,3,0,0,0,10,0,0,3,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,6,7,5,0,6,0,0,0,26,10,4,10,5,3,0,3,0,0,33,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,24,4,0,7,0,3,6,3,0,0,27,0,0,5,7,0,3,0,0,0,19,0,0,8,10,3,4,0,0,0,20,0,6,23,15,15,17,3,0,0,81,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8
SOS50,26585,47456,118342,124376,106970,80244,24362,3132,235,531710,73,152,513,524,547,398,164,34,4,2411,93,1030,4552,4576,3113,1451,199,17,0,15024,782,1018,2945,3483,3410,2323,542,62,5,14567,36,163,808,1072,798,420,78,4,0,3386,192,944,3770,3803,3033,2096,496,41,0,14374,192,595,1698,1978,1946,1328,306,38,4,8079,8485,9133,10178,8213,8308,6767,1635,119,6,52846,11059,7252,7128,4620,3474,2218,539,29,4,36314,189,801,2340,2496,2529,1789,435,37,0,10622,218,387,896,723,593,415,102,13,0,3351,112,707,3363,4071,3274,1882,401,39,9,13862,109,569,1780,1862,1782,1356,493,91,8,8037,296,2758,9594,9884,6883,3924,1217,125,6,34682,361,1508,4219,4037,3509,2552,651,46,0,16887,247,1542,6050,7513,7221,5304,1050,64,0,28992,1422,3899,12195,15672,17772,12869,3028,196,6,67056,1727,9634,27929,26647,24822,19659,4807,264,8,115495,1118,1436,2178,1813,1375,921,317,37,0,9205,1024,2247,5333,4579,3785,2475,669,84,3,20212
SOS51,5607,7075,18979,20025,19151,15873,4697,597,54,92053,57,114,266,223,209,214,170,39,0,1291,88,364,1146,1069,791,337,35,3,0,3827,177,227,608,645,520,318,78,10,0,2589,14,35,129,158,119,86,20,0,0,556,51,145,560,596,520,409,98,8,0,2390,51,89,243,239,250,167,39,5,0,1090,1722,990,1772,1993,2079,1699,383,33,0,10676,2003,872,1484,1356,1190,827,219,21,0,7969,70,144,419,451,527,453,126,12,0,2208,55,52,100,79,67,48,18,0,0,411,22,88,313,318,285,201,40,4,0,1269,41,141,323,296,318,218,78,9,0,1417,67,196,660,809,638,427,155,15,0,2960,87,207,639,800,761,547,120,15,0,3176,86,236,946,1250,1282,888,189,14,0,4884,190,542,2189,3067,3412,2327,480,38,0,12246,441,1309,3947,4293,4345,3736,864,45,0,18988,124,82,236,249,211,161,30,0,0,1085,216,318,850,737,717,449,106,12,0,3407
SOS52,529,840,2180,2194,2501,2646,967,154,22,12026,24,33,144,87,73,79,69,16,0,525,4,41,113,112,104,72,5,0,0,452,24,30,67,89,74,48,10,0,0,343,0,0,8,6,9,12,0,0,0,40,8,12,44,56,53,69,6,0,0,246,3,25,48,31,39,28,12,0,0,187,114,87,162,187,240,224,60,5,0,1078,167,93,205,162,175,191,49,13,0,1048,5,19,37,63,85,93,44,5,0,351,0,0,6,14,11,8,0,0,0,38,0,9,26,33,31,13,5,4,0,111,4,5,18,23,22,28,5,0,0,104,3,16,50,45,48,56,17,0,0,250,11,30,51,72,97,94,21,6,0,389,10,56,170,179,229,168,35,5,0,863,29,83,348,416,441,392,101,4,0,1815,45,96,299,383,435,496,113,10,0,1876,13,15,27,20,45,29,14,4,0,158,21,27,69,67,69,65,19,0,0,332
SOS53,2186,3006,6351,7854,10045,9908,4154,968,125,44592,147,220,607,891,1153,1248,819,241,21,5338,26,155,340,336,316,221,19,4,0,1425,99,68,176,229,313,265,83,12,0,1236,0,7,28,37,52,44,8,0,0,175,23,55,177,284,337,284,62,3,0,1221,41,49,118,134,167,128,28,10,0,681,501,297,312,417,676,620,149,16,0,2989,638,228,365,335,402,411,136,13,0,2529,16,31,98,160,261,262,88,10,0,929,9,3,14,23,18,30,8,0,0,108,3,29,84,118,129,101,17,0,0,481,17,26,65,99,109,104,40,6,0,468,29,89,236,365,341,283,94,11,0,1443,26,59,141,198,267,216,61,5,0,971,42,111,277,408,569,464,88,10,0,1973,85,177,567,1064,1415,1184,264,9,0,4765,103,284,711,1010,1420,1419,345,17,0,5322,68,66,112,104,114,95,39,8,0,596,78,96,188,250,292,225,57,0,0,1181
SOS57,3,12,60,92,55,30,5,0,0,246,0,3,6,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,19,101,268,211,156,115,28,0,0,899,0,10,19,0,0,5,0,0,0,38,0,6,13,8,8,9,0,0,0,38,0,0,15,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,7,4,0,0,25,0,0,3,4,3,0,0,0,0,5,0,9,10,9,6,9,3,0,0,47,22,21,54,9,12,14,0,0,0,142,0,3,9,3,4,8,0,0,0,29,0,0,0,5,0,0,0,0,0,7,0,0,5,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,9,13,20,4,4,0,0,0,44,0,7,14,3,0,3,0,0,0,29,5,0,7,7,3,7,0,0,0,32,0,7,10,11,10,10,3,0,0,50,4,14,32,31,15,29,5,0,0,124,3,0,9,0,0,0,0,0,0,17,3,0,8,6,4,5,0,0,0,24
SOS60,1926,4101,13469,9972,8781,6780,2154,293,15,47489,13,33,145,74,75,40,20,6,0,409,0,4,8,11,3,0,0,0,0,33,114,123,300,231,208,153,52,7,0,1192,3,37,161,202,149,53,8,0,0,620,12,40,197,184,163,139,43,0,0,780,10,28,95,94,104,71,27,3,0,431,666,821,1248,721,622,571,152,17,0,4822,848,646,1331,554,336,221,72,7,0,4028,16,60,136,139,143,119,30,0,0,644,11,39,145,132,94,90,22,0,0,539,13,50,327,302,259,152,31,0,0,1140,10,57,145,96,118,83,29,5,0,541,32,185,810,672,516,362,106,8,0,2687,32,112,374,318,287,237,65,9,0,1447,41,237,1021,1407,1469,921,161,4,0,5259,108,352,1475,1600,1686,1285,327,14,0,6847,112,989,3429,2496,2398,2243,459,33,3,12161,111,117,239,200,174,147,58,12,0,1054,52,177,555,376,323,210,60,13,0,1766
SOS61,2554,4406,11380,9328,9315,8467,2383,306,29,48170,24,95,307,227,198,139,46,7,0,1049,0,4,43,30,28,13,4,0,0,125,133,152,383,328,382,350,64,0,0,1795,3,16,97,104,77,43,7,0,0,342,17,85,197,190,180,164,39,5,0,872,22,69,123,110,155,107,30,0,0,620,943,829,1179,965,1098,885,211,15,0,6120,1143,689,909,561,551,444,87,15,0,4399,19,61,158,173,236,213,63,8,0,923,16,28,74,69,70,68,11,0,0,344,15,89,292,298,251,173,25,3,0,1152,11,82,152,126,117,116,26,8,0,636,48,164,512,438,371,259,93,7,0,1891,30,127,300,344,408,293,67,11,0,1580,29,142,496,629,719,541,86,0,0,2637,69,317,1085,1491,1686,1217,271,27,0,6154,165,1057,3203,2615,2907,2777,572,24,0,13326,55,62,144,100,128,120,37,0,0,651,87,229,508,368,347,236,81,8,0,1864
SOS62,283,488,1236,1309,1464,1485,526,89,7,6881,8,15,52,35,48,59,25,6,0,243,3,4,22,6,8,3,0,0,0,54,30,18,48,51,52,58,12,3,0,275,0,0,13,17,11,9,0,0,0,51,3,4,30,35,23,26,11,6,0,128,0,3,17,17,15,15,3,0,0,71,112,65,120,113,162,135,32,3,0,750,111,65,139,100,115,155,25,0,0,718,3,6,18,27,42,42,11,4,0,148,0,4,5,6,11,10,7,0,0,46,0,3,15,29,29,25,9,0,0,106,3,8,23,14,21,19,6,0,0,97,0,16,49,54,61,57,29,0,0,277,5,9,57,51,61,64,14,4,0,263,7,11,49,96,128,81,14,0,0,387,14,37,151,219,227,197,40,3,0,889,17,83,231,245,340,392,79,3,0,1395,12,9,16,24,25,13,12,0,0,105,6,13,47,39,43,42,12,0,0,204
SOS63,1399,1782,4099,4937,6002,6034,2172,412,50,26894,78,123,306,349,399,463,274,89,7,2082,0,5,20,24,21,18,10,5,0,102,52,79,172,199,243,219,50,3,4,1016,0,0,34,48,58,39,6,0,0,187,24,21,87,166,134,105,35,4,0,584,21,28,55,76,73,68,19,0,0,334,357,254,346,375,518,388,71,8,0,2325,442,212,305,278,328,293,86,5,0,1952,6,32,74,102,152,155,19,5,0,535,9,11,22,27,49,40,9,0,0,167,6,22,85,109,97,69,9,0,0,398,9,25,53,53,67,54,27,0,0,294,27,52,200,286,285,209,72,7,0,1137,23,35,90,168,202,183,36,4,0,736,11,56,223,366,473,363,66,0,0,1562,53,116,422,794,879,736,146,5,0,3148,67,303,818,1044,1406,1438,224,6,0,5303,44,34,65,81,93,94,25,3,0,442,50,78,157,170,198,145,37,0,0,837
SOS67,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
