SOS_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,54,28,12,14,13,10,4,6,0,8,4,7,10,176,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,3,5,7,16,11,3,4,9,12,3,8,12,110,6,30,72,43,36,37,66,47,11,14,25,56,22,34,36,530
SOS50,7,5,52,399,2073,1784,9127,10262,1714,1241,1173,1478,530,165,488,30488,191,93,169,365,2207,651,560,503,60,61,62,54,29,5,102,5122,67,139,440,1451,2368,2302,4579,1775,345,381,374,412,310,51,243,15238,19,81,410,1563,3507,5003,15977,6592,876,715,842,940,505,257,403,37701,48,79,187,375,821,820,2359,1995,257,248,286,675,298,26,111,8590,0,0,3,17,236,355,664,1159,153,149,202,281,59,15,72,3362,4,4,34,192,734,828,2699,1736,424,337,357,370,197,71,231,8226,2134,6324,34406,27373,28794,18567,43122,22361,2100,1729,1723,1886,1076,389,3848,195840,31,84,431,775,956,1057,1940,1388,284,273,303,406,327,135,210,8594,5,0,25,1632,4595,2709,2795,2128,501,516,433,585,306,71,631,16942,831,1359,6608,7321,11111,14160,32109,18175,4002,3791,4214,5542,2349,535,2144,114247,6264,19616,57731,57939,89018,77705,194159,126662,20172,18296,20361,25422,11797,3346,14657,743151
SOS51,0,0,0,57,268,247,1578,1790,378,270,322,385,121,41,107,5582,35,12,11,27,99,31,42,30,9,3,7,0,3,0,15,322,5,15,36,78,68,58,116,42,11,6,17,15,6,0,21,495,0,13,73,158,286,440,2233,1008,84,132,117,187,110,41,62,4963,0,5,9,4,23,22,129,109,28,26,24,39,9,9,5,449,0,0,0,7,6,5,63,166,20,18,63,94,19,0,10,467,0,0,7,19,55,119,435,311,108,68,70,91,40,17,56,1381,482,1270,5913,3894,2976,1737,3888,1952,197,134,155,215,119,35,807,23780,4,3,81,157,121,119,221,135,29,32,39,52,26,19,14,1057,0,0,0,24,52,76,130,148,35,28,27,37,24,7,41,643,116,180,583,571,723,632,2410,1447,296,310,350,494,295,209,320,8930,1141,2867,8081,6957,7627,5975,17440,11877,1813,1695,1946,2617,1209,603,2395,74246
SOS52,0,0,0,9,28,25,121,187,46,42,48,51,29,3,22,624,4,0,5,0,12,4,0,0,0,0,0,0,0,0,0,22,0,0,7,11,5,5,3,0,0,0,0,0,0,0,5,32,0,0,9,14,29,45,160,71,13,8,4,8,14,12,11,414,3,0,0,0,4,4,5,5,0,0,3,3,0,0,0,26,0,0,0,0,0,0,8,12,0,0,18,25,7,0,0,62,0,0,0,6,5,11,33,20,3,12,11,10,0,0,6,119,82,235,1046,643,400,237,446,208,19,16,23,35,12,0,164,3566,0,4,17,14,17,17,20,13,7,4,4,3,3,0,6,124,0,0,0,0,4,10,13,15,3,6,4,5,4,0,0,61,16,29,124,74,81,64,180,94,26,21,29,64,22,48,40,901,172,464,1415,1088,1050,762,1488,1023,205,152,222,272,125,82,396,8919
SOS53,0,0,0,12,62,42,181,242,40,30,31,43,21,9,49,767,5,10,6,10,68,8,12,4,0,0,5,0,0,0,0,124,3,9,21,30,40,31,45,19,0,3,0,7,0,0,5,223,0,10,22,74,185,236,727,254,30,29,37,60,19,10,57,1752,5,5,5,4,13,4,11,6,0,0,0,4,0,0,24,76,0,0,0,0,4,3,14,18,3,5,16,27,5,0,12,97,0,0,3,13,17,23,69,57,9,10,14,19,16,0,12,264,168,587,3215,2164,1692,1161,2020,624,55,36,69,89,30,14,544,12458,3,10,60,90,64,63,116,69,9,3,10,13,12,0,14,541,0,0,0,18,116,57,41,44,4,12,6,5,7,10,98,418,35,107,436,369,452,366,691,300,45,55,94,232,70,81,312,3648,419,1434,4559,3794,4224,3093,5489,2582,344,325,471,766,273,179,1804,29754
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,3,0,0,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,3,0,0,25,0,0,4,7,14,19,46,20,0,5,6,8,3,0,16,148
SOS59,0,0,0,0,0,0,6,12,0,0,0,0,0,0,8,35,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,18,3,0,4,0,0,0,9,6,55,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,7,80,51,48,38,43,27,8,4,14,31,16,12,53,431,0,4,0,0,3,4,4,4,0,0,0,10,5,3,4,43,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,11,0,0,8,8,20,8,30,13,12,10,16,57,23,12,44,258,7,25,109,106,143,110,179,110,28,22,56,166,79,92,210,1431
SOS60,0,0,5,22,137,80,213,212,79,60,86,65,49,3,29,1054,23,32,28,28,95,42,27,22,4,0,0,5,0,0,9,314,7,3,11,20,23,23,64,56,16,26,26,19,12,0,7,304,3,14,39,94,93,125,261,89,29,23,36,49,22,18,6,899,0,0,6,9,30,21,91,299,115,74,64,53,21,0,11,789,0,0,0,0,8,12,41,188,25,29,28,21,3,0,6,365,0,0,0,8,24,35,163,94,31,23,11,16,12,4,6,427,269,907,1986,1299,724,452,806,403,71,53,68,80,35,18,246,7421,0,11,49,100,88,130,209,131,23,21,28,42,22,5,16,873,0,0,3,20,18,24,112,349,87,90,77,107,46,4,41,978,94,201,273,344,372,410,994,957,341,332,336,281,116,21,101,5182,625,2082,3259,2706,2588,2215,6011,8786,3046,2874,2671,2385,855,175,950,41226
SOS61,0,0,3,25,142,151,189,195,66,41,76,57,16,5,45,1012,13,7,17,12,57,22,21,8,0,3,0,0,0,0,5,163,4,9,17,8,16,14,28,35,13,12,9,9,6,0,0,162,0,12,30,52,85,82,217,41,12,10,32,20,10,13,14,633,0,0,0,5,21,3,47,109,67,64,62,52,23,7,7,467,0,0,0,0,0,7,30,80,14,32,41,37,7,0,3,249,0,0,0,5,26,30,89,57,21,20,15,15,6,0,10,295,288,1168,2679,1638,859,355,610,231,36,39,36,46,32,3,294,8319,0,9,33,79,53,78,144,90,13,14,18,18,10,0,6,561,0,0,0,13,16,5,34,113,45,14,23,41,16,0,11,334,67,179,318,264,264,209,665,586,194,199,195,284,143,66,115,3747,533,2307,3788,2824,2415,1607,3568,3862,1359,1438,1390,1387,530,160,826,27999
SOS62,0,0,0,0,24,5,25,18,6,7,6,9,0,0,7,102,0,0,0,3,10,0,5,0,0,0,0,0,0,0,0,18,0,4,6,6,0,9,3,6,0,0,7,0,0,0,0,31,0,3,9,15,19,13,36,12,7,0,4,13,0,0,3,137,0,0,4,0,0,0,4,8,0,10,8,0,0,0,0,30,0,0,0,0,0,0,0,11,0,0,3,3,0,0,3,24,0,0,0,0,0,6,11,8,3,0,0,0,0,0,7,35,48,211,482,318,187,92,146,44,10,4,4,5,0,3,73,1641,0,4,9,13,20,10,37,14,7,3,0,0,6,0,0,130,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,13,8,22,72,60,58,43,63,38,17,8,5,26,11,0,10,442,91,354,706,578,486,298,462,265,103,81,71,82,28,11,163,3776
SOS63,0,0,0,13,34,27,69,51,16,9,17,10,5,0,12,262,0,3,4,4,34,13,4,9,0,0,0,3,0,0,0,83,0,3,11,8,7,15,15,10,0,0,5,3,0,0,0,78,0,5,22,35,57,76,131,43,10,8,19,4,10,0,3,423,0,0,3,4,10,9,4,11,6,6,10,0,0,3,6,73,0,0,0,0,0,4,8,15,0,6,10,5,0,0,5,55,0,0,0,6,0,10,28,21,9,6,6,7,10,0,10,110,98,481,1479,1034,673,393,598,152,33,28,26,32,12,11,219,5274,0,6,41,76,80,58,114,54,13,5,16,7,7,4,10,491,0,0,0,3,0,0,11,23,8,0,0,3,0,0,3,62,19,85,217,205,197,128,220,107,32,26,39,104,69,8,39,1509,225,918,2182,1908,1741,1192,1799,921,226,214,244,306,171,35,436,12503
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,8,9,4,6,4,0,0,0,0,0,0,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,3,0,0,0,8,0,0,9,39,4,6,14,23,13,8,26,11,5,9,8,9,0,0,18,161
SOS70,0,3,5,107,486,306,1490,1439,310,286,250,286,79,18,95,5162,3,0,4,8,25,6,18,4,7,12,0,0,0,0,0,92,0,5,19,41,36,29,33,21,5,22,15,17,12,0,5,266,3,3,9,20,24,41,194,100,47,21,39,70,16,8,9,599,0,0,9,29,65,42,138,233,131,119,131,111,31,3,19,1056,0,0,0,6,9,14,83,175,41,32,22,16,0,0,9,405,0,0,10,40,78,99,251,146,44,30,34,41,15,6,28,814,43,193,720,501,345,286,649,536,88,62,80,129,63,20,99,3812,0,0,14,42,31,46,71,78,8,11,24,16,16,3,6,381,0,0,0,47,129,85,149,223,84,76,68,81,49,7,31,1020,20,74,252,729,694,515,1159,968,309,217,229,377,124,23,153,5852,125,595,1736,2510,3036,2558,7450,7885,2226,2198,2070,2283,831,164,895,36574
SOS71,0,0,0,9,84,83,200,216,59,41,55,81,32,10,38,915,0,0,0,0,7,0,9,3,3,0,0,0,0,0,0,26,0,0,0,3,4,5,3,0,0,0,0,0,0,0,0,24,0,0,0,4,11,17,94,53,4,11,10,6,10,0,5,229,0,0,0,3,4,4,24,56,25,21,15,11,4,3,3,168,0,0,0,0,0,10,18,39,4,3,4,4,0,0,0,81,0,0,0,0,10,8,40,13,10,0,8,6,6,0,4,115,7,60,202,160,94,79,133,105,15,17,24,13,12,9,30,959,0,0,5,22,22,41,44,89,33,45,68,117,105,97,15,701,0,0,0,9,8,13,15,26,4,11,12,19,4,0,4,123,4,16,58,68,94,121,539,269,98,72,59,61,33,24,38,1550,19,140,368,463,579,638,1992,1772,533,480,561,663,303,200,260,8973
SOS72,0,0,0,0,6,5,11,23,4,3,11,18,7,0,4,103,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,10,12,0,0,3,0,0,0,0,32,0,0,0,0,0,0,0,7,5,4,5,4,0,0,0,21,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,3,3,5,12,5,0,0,0,0,0,0,34,3,15,46,25,31,22,29,10,7,4,7,6,8,0,9,230,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,16,0,5,11,27,23,30,56,28,17,10,12,7,10,0,17,256,8,38,85,109,117,121,245,195,69,45,69,78,47,8,46,1280
SOS73,0,0,0,14,33,32,32,38,7,11,6,12,0,0,12,203,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,10,36,5,5,0,0,5,8,0,3,80,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,15,0,0,0,13,17,13,25,24,10,9,10,17,6,0,9,147,18,51,218,141,81,62,130,67,3,5,10,18,6,0,54,855,0,0,22,8,6,9,9,13,0,0,3,7,0,4,0,82,0,0,0,20,42,22,25,26,3,6,4,21,5,0,19,193,4,25,64,75,71,48,91,56,7,16,20,52,56,16,36,630,32,131,434,468,435,324,533,352,69,54,81,171,98,25,195,3405
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,6,0,0,0,0,0,0,4,22
SOS79,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,19,13,11,6,26,6,0,3,4,27,12,11,6,144,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,5,7,9,9,0,6,10,35,25,3,8,124,0,15,31,38,47,32,70,39,7,13,25,83,52,30,22,492
SOS80,0,3,32,158,608,562,1107,1201,281,250,290,304,125,48,86,5051,42,39,71,84,430,121,103,62,10,11,15,8,5,0,18,1009,8,24,62,135,160,129,272,159,47,43,37,22,17,17,28,1166,0,38,57,183,217,330,689,453,56,84,62,100,28,17,23,2333,0,17,55,122,518,566,926,637,91,109,90,89,35,14,24,3298,0,0,6,15,60,84,161,183,47,36,38,23,10,3,15,690,0,6,14,81,166,219,477,308,53,71,65,67,25,8,44,1616,454,1560,3805,2541,1833,1212,2201,1221,180,153,163,151,99,54,312,15952,19,29,163,338,346,432,705,513,92,138,139,180,157,67,44,3365,0,5,21,552,839,592,745,559,153,154,134,126,68,4,127,4077,296,701,1830,2143,2355,2546,4438,3121,794,953,1100,1200,545,125,421,22566,1448,4599,9387,9468,12383,13078,28194,22087,5457,6487,6309,5690,2606,738,2471,130394
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,3,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,5,7,9,10,6,5,4,0,0,0,0,0,0,0,0,62
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,5,6,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,4,0,0,0,0,0,6,0,21,0,4,11,7,9,7,17,3,0,0,0,11,0,10,0,85
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,3,0,0,0,0,0,5,26,0,0,10,7,15,14,12,18,6,0,3,9,3,5,13,121
SOS91,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,6,0,6,0,0,0,0,0,0,0,4,34,0,0,0,0,6,0,4,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,0,9,0,4,7,0,4,4,4,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,3,0,0,4,0,0,0,0,0,0,0,0,16,0,3,19,96,105,40,70,39,13,3,6,4,3,0,17,431
SOS92,0,0,0,0,5,0,9,13,6,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,8,7,0,0,9,3,0,0,0,0,3,5,62,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,6,5,13,11,0,0,3,0,0,0,8,62,8,22,55,59,61,46,72,69,23,14,9,14,11,8,63,528
SOS93,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,8,0,0,5,7,0,0,0,0,0,0,6,32,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,6,0,8,0,0,0,0,0,0,0,98,115,0,5,12,43,64,7,27,17,4,0,0,3,10,0,226,420
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
