SOS_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOS42,80,267,403,444,513,636,645,293,89,3366,56,311,613,568,646,728,443,157,49,3564,35,214,635,555,716,837,403,108,18,3513,5,118,468,444,530,571,237,42,11,2436,5,47,352,390,415,426,156,62,19,1866,5,23,211,283,308,293,87,25,3,1238,0,28,248,414,498,453,112,25,11,1791,0,5,46,55,95,94,26,9,0,330,0,4,37,79,102,110,63,26,10,420,286,193,407,450,555,673,715,498,354,4129,2509,2161,4998,5150,6274,8260,7919,4099,1592,42961
SOS43,344,829,1045,1230,1601,1801,1657,637,131,9276,213,912,1537,1545,2031,2241,1330,421,80,10309,100,742,1711,1812,2427,2629,1222,340,34,11018,36,358,1182,1461,1921,1817,777,168,16,7747,27,160,976,1394,1672,1496,637,140,24,6528,8,73,539,935,1218,1048,374,103,11,4321,5,78,701,1464,1921,1602,510,141,21,6440,4,14,103,316,434,355,157,27,3,1422,3,36,160,515,853,780,324,127,13,2807,840,598,1373,1529,1905,2041,1713,902,243,11139,8627,6493,12777,16088,21437,25136,19900,8239,1738,120427
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
SOS49,5,13,37,35,12,30,26,4,0,169,3,6,46,28,25,27,13,6,0,162,0,13,44,23,25,25,7,5,0,141,0,3,20,10,8,14,9,0,0,66,0,0,23,13,14,11,0,0,0,66,0,0,14,13,9,11,0,0,0,51,0,0,25,35,15,5,3,0,0,79,0,0,0,7,8,0,0,0,0,19,0,0,4,13,7,7,0,0,0,29,33,35,127,126,107,98,61,8,3,599,186,206,627,534,478,513,359,64,11,2975
SOS50,3123,13340,19559,16527,13842,13147,13887,7706,2583,103724,2112,14720,28100,21945,19468,16502,11718,4943,1662,121175,1093,12972,36824,29497,25399,21911,11075,3520,981,143275,448,7795,31407,25898,21839,17538,7196,1922,480,114529,230,4295,27881,25626,21745,16878,5721,1544,534,104459,103,1966,19440,21210,18353,12865,3781,807,225,78754,115,2393,30531,44224,38612,25275,6167,1207,351,148884,22,354,6298,11844,10627,6596,1722,418,120,38002,67,303,5846,18916,21317,12934,3790,1170,311,64649,5584,8005,20220,17499,14727,11713,9551,8679,7536,103516,118535,128352,295897,297929,263686,229678,182320,99540,39936,1655875
SOS51,982,2205,3256,3106,3078,2852,2769,1476,448,20171,705,2613,4465,3948,3833,3449,2116,843,286,22264,406,2253,5457,4872,4834,4344,2096,587,121,24979,173,1439,4322,4081,3978,3254,1173,285,64,18771,113,991,4160,4003,4011,3118,908,258,117,17681,39,536,3225,3471,3428,2629,714,123,35,14194,44,721,5445,7313,7120,4929,1002,157,48,26784,5,123,1356,1947,1847,1214,245,54,20,6809,19,81,1178,2409,2278,1471,461,134,42,8083,2242,2230,6032,5655,5113,4289,3126,2280,1569,32527,22391,19240,50560,52149,50132,46811,36993,19669,7350,305293
SOS52,112,248,454,419,398,469,529,251,69,2952,94,289,538,480,575,619,356,136,51,3135,56,240,597,552,666,729,324,114,31,3317,21,178,485,428,503,566,198,47,14,2445,13,96,431,471,463,503,169,59,13,2214,6,71,307,337,413,365,98,6,4,1601,3,87,549,686,766,729,164,18,5,3018,0,10,141,194,182,159,41,6,5,742,7,12,89,216,230,179,82,20,7,839,454,393,899,913,1008,1057,842,534,231,6326,3135,2915,6906,6899,7596,8621,7322,3685,1134,48211
SOS53,366,723,887,1055,1345,1596,1375,561,108,8023,254,815,1198,1322,1649,1914,1295,445,73,8968,154,795,1596,1612,2162,2446,1249,337,50,10409,66,535,1239,1459,1747,1826,787,196,19,7889,38,342,1183,1427,1883,1788,648,156,28,7492,33,238,912,1223,1655,1398,439,121,17,6020,23,331,1682,2476,3249,2622,715,147,22,11270,4,57,478,765,928,726,215,39,7,3224,11,40,424,1028,1432,1087,429,128,23,4598,1058,1497,3905,3891,3777,3280,2127,1001,191,20737,8927,7726,17368,20805,25420,27127,19970,8074,1649,137066
SOS57,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,6,4,3,5,7,5,0,0,0,27,0,6,8,4,9,0,0,0,0,20,0,0,10,5,7,0,0,0,0,22,0,3,3,9,4,3,0,0,0,25,0,3,17,32,15,12,0,0,0,80,0,3,3,14,0,0,0,0,0,26,0,0,9,17,16,4,0,0,0,49,5,16,46,74,48,21,8,0,0,217,6,31,116,170,109,62,18,0,0,516
SOS59,4,50,91,42,25,42,28,7,0,289,4,36,102,48,37,47,29,11,5,316,4,30,121,61,45,55,23,0,0,341,0,11,62,52,36,32,18,0,0,205,0,15,48,51,36,31,8,0,0,196,0,5,46,35,21,23,9,0,0,124,0,3,69,72,54,25,4,0,0,234,0,0,17,23,13,11,0,0,0,56,0,6,16,39,18,12,4,0,0,98,52,137,389,422,407,323,201,42,18,1991,261,562,1512,1543,1313,1144,758,155,30,7285
