SOS_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
SOS29,62,133,338,166,112,121,15,6,0,961,83,102,233,223,191,200,141,48,8,1228,79,92,300,346,179,113,61,14,6,1186,229,321,878,730,479,429,224,58,19,3373,25,91,327,204,150,102,13,0,0,919,44,99,215,96,90,88,22,3,0,646,9,21,42,30,28,24,7,0,0,164,6,7,16,14,15,7,0,4,0,69,82,217,600,341,277,227,47,11,0,1797,18,41,89,84,57,35,3,0,0,329,29,31,37,24,13,11,6,0,0,163,45,68,132,110,69,51,11,0,0,485,130,282,733,454,352,279,60,11,0,2281,165,173,401,418,406,397,362,104,16,2447,172,214,688,867,639,405,190,34,13,3220,459,671,1819,1736,1393,1074,613,152,29,7946
SOS30,65004,96050,210039,205750,191207,128173,29011,2521,180,927939,39638,20281,43745,42924,41719,70735,131103,86510,35675,512339,4791,6985,15858,12517,10029,8184,7361,6971,6261,78951,109435,123314,269637,261186,242960,207093,167478,96003,42120,1519229,15933,81225,254006,262205,249692,152341,26771,1792,79,1044048,71646,73555,111114,109927,94624,78171,31260,4523,267,575096,16018,17934,31778,23164,19621,18312,5838,629,64,133354,1795,3926,8264,5738,4234,2630,798,268,99,27762,105394,176653,405169,401030,368172,251454,64670,7211,504,1780257,4464,8853,13431,9734,9537,7391,965,45,12,54429,15103,7604,7648,5779,4673,4779,1492,133,21,47229,19563,16459,21081,15512,14210,12165,2461,181,32,101655,124955,193104,426247,416539,382383,263621,67133,7390,539,1881915,88037,38286,67676,63823,66897,117167,235993,158737,57912,894531,9905,14879,33345,26471,22195,17468,14894,12333,9336,160828,222896,246265,527278,506832,471471,398262,318021,178459,67791,2937275
SOS31,15975,18356,42629,43240,43819,34037,7644,741,79,206503,9077,4610,11758,10528,11160,23395,43115,28367,11206,153216,1718,1987,4675,3869,3744,3311,3091,2986,1979,27349,26765,24952,59061,57630,58721,60747,53847,32094,13262,387070,6772,21107,53555,54153,56156,40308,7391,583,29,240047,18506,11168,22210,23408,21916,21276,8068,1116,85,127752,1682,1737,5222,3806,3921,4445,1292,121,21,22238,673,931,2110,1551,1345,1020,322,153,50,8156,27635,34941,83100,82914,83335,67038,17070,1977,188,398196,1611,2100,2988,2279,2403,2202,285,11,5,13893,2802,1187,1637,1296,1210,1445,404,32,4,10014,4413,3285,4627,3577,3613,3643,688,45,14,23908,32045,38226,87723,86493,86953,70682,17757,2018,203,422106,19795,7793,17385,16128,18958,39637,81699,53815,18576,273790,3641,4461,10736,9189,8836,7919,6517,5460,3120,59890,55482,50485,115851,111813,114752,118238,105974,61295,21899,755788
SOS32,1853,1991,4793,5642,6672,5972,1380,147,17,28469,1424,731,1779,1547,1903,4448,7115,3834,1076,23851,315,306,686,638,691,798,678,478,170,4759,3591,3028,7257,7830,9267,11218,9174,4447,1263,57085,854,2294,5751,6669,8080,6809,1452,136,0,32050,2001,1189,2527,3138,3563,3987,1456,228,19,18106,290,251,623,568,692,847,250,36,0,3554,119,146,286,262,313,248,95,31,6,1508,3268,3881,9195,10631,12647,11892,3257,427,31,55220,242,308,462,419,474,456,71,3,0,2424,284,136,204,149,202,267,66,3,4,1322,525,439,669,574,672,716,130,5,4,3744,3800,4319,9863,11207,13322,12608,3391,437,33,58963,3102,1351,2875,2691,3462,7887,14444,8013,1917,45739,653,618,1425,1387,1570,1702,1435,983,307,10073,7551,6285,14159,15279,18350,22201,19263,9429,2259,114777
SOS33,7330,6644,14290,19376,25126,20952,6075,1095,91,100979,4576,1513,4032,4294,5612,12211,18511,9002,2061,61814,998,898,2021,2219,2715,2748,2106,1127,298,15124,12901,9058,20340,25889,33453,35907,26694,11227,2454,177913,3888,8438,18567,24565,33107,26677,7748,1559,116,124669,8168,3952,7496,10956,13132,13708,5987,1324,148,64873,1129,857,2135,1846,2393,2848,917,178,23,12323,444,449,782,843,1085,825,486,309,70,5305,13632,13696,28978,38205,49722,44064,15140,3367,359,207163,466,661,864,722,1046,1070,153,4,0,4991,965,332,441,401,489,749,174,14,0,3559,1433,993,1303,1121,1534,1820,327,21,0,8553,15064,14691,30283,39327,51253,45881,15470,3391,358,215714,9793,3061,6870,7330,9882,21843,37903,19551,4139,120365,2164,2007,4595,5085,6449,6402,4703,2428,649,34482,27016,19762,41750,51750,67583,74122,58073,25367,5145,370559
SOS37,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,13,5,0,0,0,0,0,24,0,9,13,7,0,4,0,0,0,28,0,0,3,8,12,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,4,6,13,15,0,0,0,0,29,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,12,13,15,0,0,0,0,35,0,0,4,4,0,0,3,0,0,11,0,14,34,48,32,8,0,0,0,135,0,16,49,64,45,5,3,0,0,183
SOS39,113,224,605,330,309,267,48,3,0,1892,117,143,382,296,360,713,715,132,19,2883,58,127,362,259,219,194,106,26,5,1349,291,493,1345,885,887,1170,870,160,25,6127,23,161,575,320,255,225,42,0,0,1610,72,118,329,217,169,157,52,7,0,1119,23,35,86,79,55,75,13,3,0,371,8,15,32,23,22,12,4,0,0,124,128,325,1027,644,497,464,118,7,0,3219,37,69,157,104,104,70,12,0,0,565,41,30,59,44,53,59,13,0,0,286,76,96,212,142,157,130,25,4,0,851,204,426,1241,790,656,596,140,9,0,4069,229,236,644,575,665,1368,1672,361,33,5780,124,267,765,717,612,501,313,74,12,3387,566,934,2649,2077,1929,2468,2124,444,44,13234
SOS40,18749,31814,70158,67009,61645,47188,10792,907,91,308350,13957,7430,15918,15106,14547,27889,53443,37196,19036,204510,1025,1446,3350,2745,2316,2141,2236,2278,1663,19208,33732,40690,89419,84854,78507,77213,66473,40379,20793,532069,3829,24620,86515,84752,79872,54972,9619,611,32,344825,24487,30657,43434,41621,35465,32489,12502,1798,126,222573,1542,2378,6770,4815,3459,4181,1284,169,22,24619,431,1064,2225,1549,1163,808,293,117,47,7680,30286,58715,138940,132731,119963,92447,23689,2698,226,599698,1149,3081,4869,3578,3347,2522,314,14,4,18879,4852,3189,2971,2242,1795,1724,434,42,9,17264,5999,6273,7841,5814,5143,4241,756,56,14,36143,36284,64993,146786,138542,125101,96698,24450,2754,236,635843,30950,15151,24528,22997,24695,47336,95969,66395,30465,358488,2142,3083,7236,6078,5279,4665,4279,3876,2592,39227,69374,83229,178542,167621,155078,148698,124690,73023,33293,1033551
SOS41,5375,6485,14463,14852,16645,13650,3216,362,30,75072,3125,1417,3754,3340,3724,8328,18279,13249,5796,61015,418,386,1013,898,938,941,1084,1027,664,7374,8914,8286,19224,19093,21310,22924,22586,14636,6494,143460,1783,6738,17647,17721,20225,14824,2836,211,13,81996,6782,4897,8821,9335,9576,10028,3976,632,41,54082,447,500,1760,1136,1122,1556,527,77,7,7127,251,280,540,398,427,357,144,92,15,2508,9262,12414,28761,28588,31344,26769,7479,1008,82,145710,330,700,956,700,830,735,86,9,3,4354,866,464,517,426,438,555,133,14,3,3421,1198,1163,1475,1125,1275,1297,216,17,6,7778,10462,13576,30237,29715,32619,28067,7697,1027,86,153485,7121,2625,5981,5582,6673,14428,33716,24341,9524,109988,879,885,2127,1975,2076,2044,2062,1860,1072,14981,18465,17089,38345,37268,41370,44540,43474,27229,10681,278457
SOS42,639,752,1824,1942,2370,2472,624,67,8,10694,481,206,567,504,561,1402,2927,1803,792,9242,85,75,160,178,221,264,274,198,146,1606,1205,1035,2555,2624,3153,4133,3821,2067,949,21547,271,823,2132,2260,2754,2603,584,51,5,11490,754,572,1149,1292,1500,1848,792,126,11,8046,59,54,227,156,208,299,123,25,7,1154,40,31,89,71,97,76,33,15,3,450,1129,1479,3590,3778,4557,4825,1532,217,28,21143,74,102,147,100,121,156,9,0,0,719,79,53,74,53,68,94,30,0,0,447,151,152,222,155,186,253,35,4,0,1167,1280,1632,3818,3935,4749,5082,1569,221,28,22306,1054,381,847,824,1051,2610,5751,3499,1335,17356,166,145,342,388,476,569,597,382,235,3302,2509,2161,4998,5150,6274,8260,7919,4099,1592,42961
SOS43,2263,2265,4567,6358,8269,7647,2435,417,44,34257,1551,454,1118,1160,1537,3519,5982,2871,693,18886,260,189,426,446,668,748,647,325,123,3835,4075,2908,6110,7971,10470,11916,9060,3608,859,56981,1169,2703,5961,7876,10770,9441,2986,497,37,41434,2755,1771,2810,4075,5031,5858,2698,644,67,25701,215,182,591,499,601,810,341,65,6,3306,171,153,225,233,335,297,182,80,12,1692,4311,4807,9585,12683,16730,16410,6201,1285,122,72129,110,198,256,182,291,293,40,6,0,1372,265,100,115,109,158,249,60,0,0,1058,371,303,365,295,449,551,98,6,0,2433,4679,5108,9957,12973,17185,16961,6298,1285,123,74563,3388,908,1831,2091,2788,6536,12217,6210,1400,37357,568,483,993,1024,1463,1639,1391,739,218,8505,8627,6493,12777,16088,21437,25136,19900,8239,1738,120427
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
