SOS_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,20,4,61,0,0,8,5,4,0,13,0,0,6,0,0,0,9,4,7,3,0,3,0,15,0,0,0,0,0,0,11,5,0,12,6,4,0,36,4,0,6,3,4,3,24,4,3,14,3,10,0,33,20,6,18,3,7,0,53,20,13,37,20,29,6,123,3,0,9,4,8,0,19,0,0,7,5,4,0,17,4,0,5,3,6,7,24,75,35,204,76,136,22,546,6,0,13,5,22,0,54,0,0,5,0,0,0,4,5,0,23,3,37,3,78,0,0,3,0,8,0,18,0,0,18,11,101,3,130,5,0,4,0,14,0,27,0,5,19,9,31,3,67,7,4,46,15,34,9,115,3,0,22,10,24,0,59,4,0,10,4,0,0,18,7,4,20,0,4,5,44,0,0,7,4,6,0,16,22,4,35,17,11,0,84,3,0,18,11,9,5,52,12,3,32,8,30,0,83,22
SOS30,13796,1291,33580,896,410,3584,2915,4604,491,12897,620,353,2628,939,1108,130,5780,2002,1073,7359,5031,5126,587,21182,912,337,3494,2683,4432,524,12385,8156,3689,24905,7067,7735,953,52507,1366,658,6379,4823,7240,776,21242,4712,3448,15516,8262,8601,782,41328,17907,10890,42395,13256,16605,1417,102474,21085,12255,71580,34560,41909,4327,185716,774,436,3723,2124,3001,262,10324,1362,746,5159,6426,11837,698,26234,1784,469,5413,3607,4896,3076,19249,69840,37714,228755,119799,165984,18611,640698,575,162,1958,1077,2246,295,6311,2185,579,5125,1910,6596,318,16708,3825,1002,12699,9167,32923,1681,61292,1698,520,4172,2469,5448,263,14564,3170,1115,14963,13531,79226,2588,114603,2113,566,6918,4605,11356,757,26309,4676,1377,21435,16160,37107,2891,83636,3533,807,15575,14062,27130,2363,63476,3671,1144,11821,10575,21988,2008,51193,1519,586,6121,2597,3672,347,14837,5073,2306,16118,9230,8196,1050,41969,2000,652,7511,4639,8808,944,24548,21075,7013,58483,15128,15246,2226,119177,2594,1052,11012,7951,15441,1407,39460,9988,6041,29346,18923,23889,1812,89997,28350
SOS31,4466,450,7684,65,53,392,523,1382,92,2505,30,10,190,100,209,13,555,60,67,436,632,951,90,2232,27,34,271,422,1122,103,1982,374,284,2122,874,1754,122,5534,82,86,595,735,1934,235,3665,408,422,2239,1896,2536,170,7671,2191,2304,9984,3135,5250,377,23243,2281,2114,12039,8058,13600,1145,39232,47,30,253,229,528,46,1135,87,104,543,1206,3398,143,5487,91,62,562,622,1439,733,3507,6505,6030,35021,24073,51216,4826,127670,271,81,1546,1025,3020,494,6439,362,207,1622,1585,12308,443,16518,342,154,1835,1670,11047,551,15600,147,89,596,748,2860,114,4543,170,119,1221,2031,19364,636,23538,76,60,537,706,3721,157,5259,335,161,2064,2461,10801,755,16587,311,96,1889,2255,7876,698,13133,223,130,1031,1502,6559,436,9884,67,22,358,251,608,39,1345,144,132,799,1008,1282,125,3491,61,57,477,639,2055,162,3450,833,506,4263,1702,3312,262,10884,146,125,928,1120,4169,382,6875,874,749,3963,4212,6716,456,16972,3206
SOS32,549,84,1056,11,4,61,83,194,25,378,12,4,30,15,26,3,91,7,10,47,74,123,5,263,8,3,36,38,126,19,233,70,34,298,125,234,30,797,6,0,82,105,251,34,480,69,53,304,354,538,43,1370,302,294,1346,431,837,65,3272,278,277,1314,1135,1700,181,4885,10,9,43,33,90,9,202,14,12,77,151,373,12,646,24,9,77,104,222,165,600,910,800,4368,3444,6938,857,17326,32,16,196,181,738,102,1265,25,20,156,168,1108,57,1548,35,27,160,197,1430,71,1923,10,4,39,79,398,23,553,22,20,151,285,2904,122,3507,15,10,60,85,374,22,557,40,29,265,313,1400,130,2177,41,18,217,319,992,125,1724,14,12,128,232,940,98,1427,20,4,46,29,88,6,193,20,14,87,116,161,9,407,11,6,53,57,248,28,409,168,73,555,250,439,48,1529,12,7,119,160,553,64,918,119,101,535,766,1556,150,3234,437
SOS33,1443,183,2753,34,38,192,277,645,63,1245,25,13,96,59,80,13,289,51,45,283,325,359,35,1106,18,14,158,213,412,62,875,319,189,1576,616,1007,93,3799,39,37,293,345,755,94,1559,219,182,981,849,1048,91,3363,1089,1031,4498,1689,2640,216,11163,1088,866,4897,3265,4740,501,15361,48,28,208,164,312,29,777,57,49,340,488,1348,70,2351,70,60,444,417,830,418,2235,3524,2971,18102,12597,22794,2734,62728,338,261,3062,2846,8606,1050,16156,130,69,533,511,4037,171,5451,157,103,843,932,5294,234,7555,67,46,265,304,1385,47,2113,118,75,977,1377,11163,440,14139,59,38,361,407,1590,97,2555,112,85,1002,988,3871,344,6412,135,58,697,807,2495,293,4478,104,62,459,743,2999,242,4607,42,31,187,132,258,21,670,130,80,498,494,540,49,1793,51,30,294,327,898,100,1696,751,310,2980,1118,1659,164,6972,70,56,439,554,1697,154,2966,430,304,1710,1811,2843,216,7320,1464
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,60,9,180,0,0,3,0,16,0,20,0,4,5,0,0,0,8,3,0,6,5,7,0,14,0,0,5,8,9,0,16,10,5,31,7,10,0,64,4,5,26,14,23,7,79,4,4,9,9,6,0,38,16,6,35,10,12,4,91,21,12,78,48,59,7,230,0,0,6,4,11,0,26,0,0,4,5,16,3,35,5,4,17,5,6,13,46,95,52,390,207,323,54,1118,6,5,87,25,52,12,193,4,0,9,11,44,6,62,4,4,16,15,48,0,88,0,0,4,3,15,0,30,3,0,15,17,155,8,194,0,0,8,7,14,0,27,14,0,27,22,57,5,123,21,5,99,49,107,16,292,7,4,8,17,59,3,96,0,8,8,6,5,0,28,6,0,9,3,12,0,30,0,0,7,5,10,0,28,23,9,61,22,30,3,150,9,3,43,24,50,6,135,12,10,15,16,34,3,83,18
SOS40,3507,335,8953,236,80,755,514,1030,93,2706,247,104,843,278,368,52,1890,786,345,2496,1742,2096,196,7663,167,78,740,620,976,123,2704,2777,1038,7150,2049,2357,291,15660,690,222,2249,1486,2782,279,7703,2174,1316,5972,2705,3477,274,15916,6642,3323,14273,4026,4553,374,33197,8726,4323,26225,11255,14974,1569,67071,302,126,1145,499,752,71,2904,501,256,1815,1571,4252,230,8619,515,110,1356,708,1134,664,4481,26988,12217,77273,34069,53192,5584,209320,297,82,847,386,850,146,2601,509,141,1325,404,1748,69,4192,2192,529,6433,3775,11633,687,25240,685,236,1781,860,2212,131,5905,1148,287,4738,3232,21968,780,32155,665,210,2108,1330,3651,238,8203,1897,465,7716,4034,11501,933,26551,1513,217,5200,3305,7131,643,18004,1371,278,3351,2789,6039,574,14394,660,200,2103,881,1299,130,5279,1792,762,5207,3310,3227,330,14633,400,156,1676,1258,2057,210,5760,6913,2146,18090,4641,4835,701,37328,1338,344,3978,2557,5690,488,14397,4687,2272,11787,6192,8992,661,34594,10906
SOS41,1531,135,2422,11,9,70,96,296,29,505,18,26,99,48,97,8,290,38,34,183,285,408,35,982,14,8,92,183,361,28,692,244,143,748,394,687,56,2269,27,42,257,311,824,76,1538,239,185,865,768,1080,57,3196,873,849,3708,1143,1681,121,8370,911,852,4495,3104,5359,381,15104,34,21,180,85,231,17,563,47,42,211,306,1234,46,1884,46,27,163,171,359,180,944,2804,2436,13003,8644,18391,1557,46830,90,48,561,467,1715,224,3109,92,28,282,242,1771,69,2484,272,127,1195,944,5027,254,7823,36,29,128,177,846,27,1232,80,57,471,582,6401,240,7832,41,23,205,252,1101,77,1696,148,75,951,843,3972,291,6278,95,46,496,579,2624,216,4053,55,22,231,343,1740,147,2539,34,41,204,108,284,16,690,100,75,380,517,585,53,1702,29,18,160,301,595,46,1150,551,248,1719,774,1226,103,4618,67,55,403,484,1662,126,2796,472,325,1550,1635,2699,130,6805,1292
SOS42,239,31,375,0,0,19,29,60,7,115,3,0,14,8,11,0,35,0,4,18,33,54,5,120,0,0,3,14,36,5,59,26,12,83,41,83,16,253,3,0,29,45,133,19,239,31,24,92,87,136,6,383,122,110,555,190,270,27,1274,103,90,481,460,694,68,1896,7,5,9,12,26,5,64,7,4,20,41,152,14,232,0,3,29,32,84,33,169,343,283,1653,1266,2658,307,6522,22,8,140,133,649,102,1057,3,0,17,26,225,10,281,13,15,126,107,614,33,914,4,3,15,13,123,4,162,5,7,72,92,1046,45,1263,5,7,35,39,204,14,308,21,9,129,101,519,49,821,16,3,63,79,385,43,593,0,8,29,67,286,33,422,3,0,20,8,29,3,66,0,7,25,50,77,5,172,0,0,12,24,71,6,108,37,23,150,81,146,20,462,9,4,43,67,256,34,415,63,44,169,205,373,23,874,170
SOS43,483,57,871,11,5,46,85,181,20,350,6,5,35,17,32,0,100,16,17,80,98,133,19,371,3,5,36,63,117,19,246,132,74,431,208,302,34,1185,21,13,94,117,282,33,558,93,67,371,298,335,32,1196,365,356,1607,545,762,72,3705,350,361,1733,1176,1712,167,5506,23,10,69,46,85,19,257,20,13,101,124,492,23,773,30,17,102,118,169,136,567,1275,1146,6286,4282,7573,935,21501,198,162,1517,1448,4322,474,8122,23,10,147,73,609,31,903,113,61,632,445,1897,113,3259,19,3,60,67,393,19,569,32,21,234,294,2977,137,3685,14,16,143,155,534,44,895,35,25,343,264,1310,128,2105,35,25,213,219,810,93,1386,20,9,127,182,860,68,1272,14,5,57,38,79,3,203,33,25,149,177,192,27,611,13,8,72,112,204,25,438,288,117,904,356,502,64,2230,24,18,155,181,578,55,1016,178,110,615,622,882,75,2472,516
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,8,0,17,0,0,5,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,3,6,0,17,0,0,5,7,7,0,23,0,5,4,4,0,0,18,5,3,6,0,4,0,18,3,5,18,20,17,3,65,0,0,0,0,0,0,0,0,0,0,6,4,0,5,0,0,0,4,0,3,3,19,8,75,46,69,8,228,0,0,9,0,6,0,17,0,0,5,3,10,0,19,0,0,7,4,12,0,25,0,0,6,0,5,0,11,0,0,6,7,26,0,41,0,0,0,0,0,0,3,0,0,0,3,15,3,28,3,0,9,3,17,0,33,0,0,3,0,22,8,28,0,0,3,0,3,0,4,0,0,0,0,5,0,6,0,0,4,5,3,0,11,8,3,14,7,8,0,40,0,0,15,5,22,3,41,3,5,6,6,8,0,27,8
SOS50,6262,729,16537,495,182,1752,1310,2310,278,6327,274,166,1097,365,417,66,2387,953,424,3648,2272,2310,354,9963,299,137,1565,1469,1869,336,5679,5081,1755,13984,3783,4153,630,29381,845,351,3202,2261,3556,488,10698,3155,1850,8975,3852,4582,606,23021,8436,7620,24047,7305,10452,1195,59054,11173,6098,39147,17098,20727,2787,97024,512,259,2249,1068,1709,167,5972,702,401,3017,3295,7063,505,14980,1032,318,3354,1898,2732,1732,11067,39481,21808,131632,61047,88899,12370,355238,313,96,1002,539,1149,166,3267,6479,1624,15701,6093,21518,1234,52648,2435,662,7915,5347,17878,1122,35365,1101,316,2635,1196,3063,191,8495,2452,752,10202,8320,38096,1869,61688,1297,356,4361,2537,7150,515,16213,3184,769,12688,7737,18186,1839,44409,1776,398,8663,6976,12480,1326,31622,2303,607,6846,5853,10831,1190,27626,716,282,2631,1159,1563,173,6519,2318,1003,8065,4315,3449,582,19739,712,269,3390,2627,3643,517,11156,13199,3500,34734,9056,8920,1559,70975,1632,559,5686,3843,7500,851,20073,6167,3282,16461,9010,12300,1295,48515,13614
SOS51,1801,193,3534,31,33,199,252,584,52,1143,12,16,92,46,88,5,258,20,20,143,235,332,46,781,15,9,107,214,468,74,899,172,117,802,426,731,71,2322,36,35,314,342,824,96,1648,216,199,991,781,1292,104,3571,730,1219,4152,1341,2699,226,10369,1051,981,5112,2921,4733,479,15279,37,25,151,146,300,42,707,50,56,297,523,1444,81,2454,60,30,277,256,535,320,1482,2870,3022,15586,10190,21933,2381,55975,68,31,464,359,1346,184,2450,438,168,1540,1458,9710,378,13688,172,96,1031,758,3936,248,6237,59,29,183,246,1340,52,1911,89,53,620,1101,8475,333,10670,24,29,227,276,1561,70,2186,167,82,1040,1069,4560,392,7307,171,63,1113,1069,3189,295,5902,117,76,576,778,2879,191,4619,31,28,172,103,247,19,598,56,38,271,386,442,55,1246,29,15,205,360,864,105,1577,366,197,1643,832,1456,130,4621,56,43,461,501,1704,142,2906,447,364,1796,1643,2980,222,7453,1067
SOS52,233,35,466,9,0,28,35,68,11,145,0,0,3,5,11,0,24,0,3,11,16,29,7,66,0,6,6,13,35,5,64,18,6,56,37,60,7,181,3,7,31,37,96,20,188,25,14,128,120,222,17,534,104,150,574,147,372,59,1393,78,79,429,304,456,57,1397,3,5,26,10,37,6,90,5,6,27,43,142,6,232,6,5,43,21,82,39,195,316,316,1761,1110,2492,360,6345,9,10,169,96,466,79,831,48,17,168,192,1006,59,1487,13,9,74,74,472,32,680,5,0,4,12,136,11,175,6,10,56,96,804,40,1012,0,0,52,30,221,12,314,21,4,120,98,382,49,682,24,15,129,131,409,54,755,9,9,51,78,294,33,473,7,3,5,6,29,0,52,6,5,14,23,34,7,94,0,6,15,21,62,10,109,32,15,118,74,103,12,355,6,10,49,64,194,33,360,52,39,226,269,550,51,1196,145
SOS53,556,101,1202,13,8,78,115,219,37,455,4,3,21,16,25,3,73,19,6,82,98,97,19,324,6,16,68,100,127,21,331,103,61,471,190,311,35,1170,16,20,112,120,236,25,532,105,78,425,329,450,45,1433,270,449,1619,535,1025,117,4025,287,274,1543,916,1149,178,4341,22,4,107,61,143,20,359,24,13,111,167,436,41,799,30,17,168,126,265,174,777,1175,1209,6948,4436,7888,1260,22908,198,172,1972,1358,3653,517,7859,207,90,818,704,3744,198,5758,77,47,410,364,1506,97,2484,14,7,74,79,338,17,525,53,38,338,563,3301,170,4453,24,13,151,156,646,34,1033,47,28,366,362,1142,129,2083,52,28,423,338,968,163,1972,23,15,171,271,952,78,1511,4,5,58,40,88,10,198,24,17,159,155,138,32,528,10,15,103,164,265,34,594,237,102,928,372,560,73,2273,22,27,177,198,613,51,1091,164,116,652,616,1138,89,2783,375
SOS57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,9,9,0,23,0,0,7,0,14,5,27,4,0,8,11,36,3,57,0,0,0,0,3,0,4,0,0,0,0,8,0,5,0,0,0,0,21,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,12,3,9,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,4,0,0,0,0,0,0,0,0
SOS59,33,0,84,0,0,12,5,6,3,26,0,0,4,0,0,0,7,0,0,4,0,3,0,10,0,0,0,4,0,0,4,6,3,16,8,0,0,39,3,0,6,8,17,0,23,0,0,13,0,8,0,25,13,4,14,5,4,0,46,0,14,39,15,27,7,101,0,0,3,0,0,0,9,0,0,0,0,11,0,15,0,0,6,0,7,7,22,48,26,182,95,159,25,532,5,0,21,16,22,0,66,11,0,19,19,80,9,136,0,0,10,7,24,0,41,0,0,3,0,8,0,13,0,0,9,6,77,0,94,3,0,4,7,0,0,16,4,0,7,14,24,0,51,13,0,40,31,60,0,148,0,0,10,8,30,3,60,0,0,3,0,3,0,9,4,0,3,3,11,0,17,0,0,0,0,0,0,6,10,7,46,9,12,0,78,3,0,16,5,27,3,49,5,4,23,8,15,6,49,11
SOS60,609,75,2186,46,7,91,73,158,4,377,67,40,167,66,69,7,419,104,36,199,175,227,29,764,40,7,84,92,141,21,380,578,186,917,231,324,33,2270,124,24,257,145,283,38,870,632,475,1530,620,811,83,4152,1644,541,2428,523,846,74,6056,1715,814,3782,1485,2344,271,10404,120,46,298,84,158,20,729,173,48,296,205,638,28,1385,119,12,161,57,138,115,592,6584,2432,12302,4687,8214,940,35159,258,34,356,142,265,42,1090,25,0,54,19,55,6,155,385,46,674,334,1401,91,2935,265,65,628,256,488,17,1716,219,49,551,406,3599,90,4915,96,21,188,124,390,27,844,792,86,1361,508,1618,167,4526,1027,82,1468,665,1321,139,4704,325,43,469,281,694,77,1885,141,54,392,154,205,25,969,220,89,530,355,345,48,1586,81,28,216,166,261,32,787,1301,403,2486,546,694,91,5522,280,58,473,247,580,67,1705,1177,759,2746,1179,1682,153,7700,2623
SOS61,1041,102,1833,12,4,66,89,262,21,458,22,16,83,40,77,4,238,35,15,125,175,341,35,717,11,9,50,110,210,17,409,160,92,505,202,436,35,1432,34,16,137,167,442,49,852,176,104,600,415,635,60,1999,718,390,2317,612,1243,102,5377,962,622,3317,1900,3806,328,10935,41,13,124,57,143,18,396,46,30,155,223,876,28,1356,26,9,94,75,202,143,545,2614,1433,8833,5025,12375,1195,31471,185,21,445,228,824,118,1814,34,8,81,82,626,32,862,254,46,570,399,2596,175,4040,44,25,160,149,571,18,969,67,24,307,394,4784,145,5714,90,19,202,183,879,47,1421,249,62,696,524,2648,195,4380,310,41,605,415,1703,157,3228,136,19,299,321,1389,131,2305,29,26,184,101,207,7,565,82,41,258,305,469,49,1203,23,14,97,180,348,26,684,375,192,1189,443,752,64,3013,79,35,226,264,842,70,1510,327,219,1076,766,1388,111,3895,1124
SOS62,164,18,328,4,4,14,15,47,3,91,0,4,9,3,12,0,30,0,3,12,22,27,3,71,0,0,7,22,32,3,69,30,15,76,40,54,4,217,6,0,35,21,77,11,150,28,21,79,49,107,12,289,115,60,319,86,152,16,735,101,77,329,210,386,36,1124,16,4,18,16,21,0,77,5,0,20,27,88,7,150,6,5,18,13,23,20,91,368,216,1133,695,1554,197,4153,28,6,72,64,316,65,553,8,0,31,23,170,10,237,15,5,72,61,350,31,534,9,4,26,26,88,4,158,8,0,49,70,678,28,836,9,0,11,24,118,11,168,15,15,63,66,298,38,494,51,14,103,92,271,34,564,10,9,23,41,187,22,290,0,4,19,12,20,0,62,0,3,25,35,38,0,107,0,0,10,30,46,3,101,96,32,182,84,98,6,493,13,3,49,39,132,15,254,61,32,154,102,232,17,605,171
SOS63,433,59,927,9,8,32,44,146,17,250,21,10,30,26,30,3,120,14,13,58,72,105,8,271,6,6,33,58,77,16,190,120,52,323,160,217,31,902,18,10,88,89,175,17,387,128,82,398,230,355,25,1221,414,210,1089,351,586,49,2703,317,283,1333,852,1452,143,4383,38,20,83,58,95,13,304,39,9,70,91,382,18,607,20,8,64,56,115,64,321,1319,811,4590,2870,5753,677,16024,198,76,815,690,1908,234,3923,13,11,49,44,355,24,497,74,27,305,265,1492,106,2267,30,16,99,110,354,17,620,32,19,182,247,2847,90,3425,15,5,87,107,468,30,717,36,19,261,219,950,96,1584,109,23,312,238,727,79,1496,27,19,91,147,743,58,1091,25,16,67,56,94,3,257,25,24,111,105,139,19,427,11,10,58,100,157,23,356,277,97,741,313,385,53,1866,33,14,141,137,420,22,766,215,132,637,435,806,65,2290,582
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
