SOS_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
SOS29,19,21,10,3,33,43,14,33,4,174,18,34,45,24,74,99,12,25,6,334,20,28,20,14,53,60,23,25,8,250,35,60,39,31,15,21,9,8,5,227,4,25,21,14,39,26,3,12,4,143,13,40,20,9,15,11,5,4,7,129,17,34,17,11,30,36,8,28,6,177,27,60,46,33,50,54,3,27,11,308,7,8,0,0,10,3,0,0,23,49,164,300,218,132,329,340,91,164,69,1797
SOS30,10595,11407,11730,10128,43637,55221,20523,54646,1610,219485,23214,38188,42348,37587,96663,103745,26237,54537,2702,425217,16032,16683,15454,12278,52180,60809,17624,32892,3318,227273,32215,46765,39080,25079,35461,22134,6476,11119,3397,221722,12770,27082,29422,19440,74274,44328,10296,14511,1784,233897,17091,45596,24090,11893,25639,17774,4768,8730,1801,157377,6161,10301,9971,6679,22274,20135,7422,19107,1919,103967,13321,39851,23961,13412,29340,20693,5498,10365,2778,159223,1965,2853,2246,1573,5858,5133,1141,2868,8454,32096,133354,238729,198294,138069,385321,349977,99980,208772,27762,1780257
SOS31,1492,1817,1971,1749,7062,8511,3655,11632,411,38299,3451,5466,6570,6140,12559,13368,4484,8783,482,61311,3315,3847,3528,2963,13973,15469,6583,15338,1049,66059,4097,9945,9790,7059,9661,5643,1759,3421,954,52318,2294,5534,6255,4375,13341,8185,2089,3268,408,45749,1915,10803,6230,3365,6315,3570,1141,2018,506,35853,2471,2156,2135,1429,5421,6282,3709,13861,848,38318,2689,11558,6867,4765,10220,7325,2366,5384,1187,52365,523,640,442,349,1177,1052,331,1098,2326,7937,22238,51770,43789,32197,79719,69410,26119,64805,8156,398196
SOS32,271,353,369,302,974,1258,491,2027,90,6145,503,797,943,819,1484,1563,464,1137,79,7780,551,626,555,482,1734,2157,646,1891,158,8806,654,1376,1294,940,1182,781,220,490,137,7074,330,892,923,558,1614,1086,230,458,70,6160,290,1251,703,449,748,420,151,288,93,4390,380,357,357,228,768,925,440,2118,165,5742,475,1693,948,633,1370,1187,350,870,239,7762,102,122,81,56,136,169,53,180,470,1365,3554,7471,6166,4464,9999,9551,3048,9458,1508,55220
SOS33,1235,2479,2404,1988,3820,7078,2705,18928,908,41538,1990,3345,3668,2958,4692,5586,1744,4329,272,28588,1873,2447,1922,1584,5709,7268,2501,7459,627,31392,2084,4289,3717,2462,2871,1913,580,1211,372,19497,1124,3901,3656,2300,5314,3929,919,1856,288,23291,983,4287,2183,1143,1950,1436,457,946,220,13610,1175,1202,1037,804,2229,3053,1352,7051,481,18392,1516,5260,2981,1979,4033,4162,1221,4469,673,26301,342,401,265,216,482,569,134,690,1454,4555,12323,27606,21830,15441,31112,34997,11620,46939,5305,207163
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,5,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,26,5,29
SOS39,30,29,30,14,48,59,12,56,5,290,55,75,60,40,86,119,13,34,10,488,40,35,39,14,72,73,26,63,15,386,78,88,83,51,62,34,10,20,12,429,40,48,46,18,68,39,9,13,6,275,38,45,38,18,31,18,3,13,8,208,35,23,27,17,36,41,25,109,12,319,46,117,78,74,121,112,41,118,23,732,9,6,9,9,15,10,0,9,38,98,371,466,404,251,535,500,136,436,124,3219
SOS40,1984,3401,4419,4087,16098,17399,7406,15399,399,70595,6144,13420,15730,14631,37351,30490,9241,15612,793,143421,2606,6006,6739,5072,20897,19691,5487,8553,882,75934,4697,19982,16968,10130,13113,7577,2654,3705,997,79822,3014,9242,11249,8020,27477,12836,3314,3851,451,79448,2072,17903,9461,4096,8428,5015,1532,2114,496,51114,1372,3033,3508,2405,8544,6477,2315,4815,560,33035,2203,15711,9841,4897,11131,6431,1886,2989,894,55991,522,1169,839,621,2248,1512,407,823,2200,10343,24619,89863,78747,53966,145287,107432,34249,57851,7680,599698
SOS41,546,986,1136,1002,3227,3962,1830,4222,162,17089,1221,2281,2799,2515,5161,4987,1828,3039,144,23979,847,1696,1640,1348,5227,5566,1745,3341,291,21694,1291,4591,4307,2772,3176,2042,623,1038,297,20134,703,2254,2439,1855,4673,2453,639,855,95,15970,597,4356,2610,1315,2169,1374,457,606,208,13679,698,749,748,522,1998,2027,1165,2996,217,11124,1057,5230,2750,1565,3553,2849,753,1252,429,19432,168,288,196,127,448,359,113,248,659,2608,7127,22426,18628,13021,29634,25616,9166,17587,2508,145710
