SOS_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SOS27,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,0,0,0,24,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,19,59,201,145,110,77,13,0,0,621,16,38,92,39,43,34,20,0,0,281,0,10,14,12,8,14,4,0,0,74,3,4,12,7,14,5,0,0,0,44,43,104,316,210,182,131,36,7,0,1022,12,25,57,64,50,23,0,0,0,222,8,24,17,13,13,5,0,0,0,78,16,46,75,71,56,28,6,0,0,298,63,152,389,284,241,154,40,7,0,1324,77,73,169,199,220,198,223,62,5,1218,91,124,383,525,461,287,130,22,7,2028,234,345,939,1008,912,644,392,90,15,4576,9,35,126,65,39,33,0,0,0,302,22,59,131,50,42,55,3,0,0,367,3,11,30,12,14,8,4,0,0,85,0,0,9,0,0,0,3,4,0,16,37,109,287,131,99,96,9,6,0,771,7,15,34,19,10,13,5,0,0,105,26,13,18,13,8,9,8,0,0,79,32,23,55,38,14,20,6,0,0,191
SOS30,11076,46960,149330,162487,147384,93245,18158,1391,60,630089,31247,31519,40547,29499,26219,26070,15042,2853,193,203192,6190,6895,10231,7975,7860,7913,2885,363,43,50344,865,2165,4711,3349,2380,1420,439,138,52,15516,49378,87543,204814,203314,183844,128645,36515,4744,345,899137,2829,5632,8332,5892,5879,4942,731,35,9,34276,7746,3880,3063,1586,1451,1854,874,92,5,20553,10569,9513,11394,7476,7328,6801,1605,124,13,54832,59944,97055,216207,210790,191176,135445,38121,4873,361,953971,48394,18002,23937,20897,25179,46435,104882,72228,22240,382198,5121,7889,17485,13960,12162,9285,7539,5365,3074,81877,113461,122950,257639,245647,228516,191162,150538,82459,25668,1418042,4859,34265,104678,99714,102309,59099,8616,398,19,413958,40398,42041,70571,80430,68410,52105,16220,1667,73,371902,9824,11036,21552,15192,11761,10398,2957,263,21,83005,933,1767,3560,2387,1850,1206,363,136,43,12242,56013,89105,200351,197715,184331,122807,28154,2466,161,881114,1636,3217,5105,3838,3653,2445,239,8,9,20154,7356,3723,4579,4193,3226,2922,619,46,12,26677,8988,6947,9684,8031,6879,5365,857,51,20,46831
SOS31,4549,12402,33425,33872,33199,25354,5098,436,24,148355,8013,4275,6217,5093,5450,6412,3693,672,60,39875,705,664,1682,1618,1890,2260,731,79,11,9642,336,523,1212,917,772,573,159,69,23,4586,13601,17870,42534,41494,41301,34596,9682,1255,123,202456,1056,1425,1961,1405,1443,1454,206,5,7,8970,1412,568,601,355,386,600,225,25,4,4178,2468,2003,2553,1764,1830,2052,435,31,7,13147,16072,19866,45097,43258,43134,36648,10115,1284,128,215598,10712,3188,5633,5608,7797,16242,38587,25445,7367,120577,1925,2481,6066,5329,5092,4609,3428,2469,1139,32534,28714,25532,56784,54183,56029,57495,52129,29203,8636,368711,2231,8706,20133,20279,22960,14954,2293,148,4,91699,10498,6892,15998,18314,16468,14861,4374,443,29,87878,970,1064,3544,2189,2032,2183,564,43,8,12595,332,410,894,642,580,448,159,90,28,3575,14032,17067,40564,41422,42037,32444,7388,720,71,195748,553,678,1030,875,961,745,81,3,3,4929,1390,613,1037,940,823,850,173,11,0,5834,1941,1291,2068,1812,1783,1592,252,11,4,10763
SOS32,601,1432,3616,4161,4784,4325,1030,104,0,20054,841,444,720,704,977,1345,691,147,7,5886,137,91,214,242,351,415,138,19,5,1610,64,88,168,148,179,137,59,16,4,862,1639,2055,4716,5261,6296,6227,1922,289,10,28409,151,197,284,251,273,302,50,4,0,1508,152,70,68,48,78,110,40,7,0,572,300,272,356,301,353,414,84,7,0,2081,1938,2329,5069,5562,6646,6636,2004,296,10,30497,1683,622,1095,1142,1559,3441,7334,4181,838,21884,337,307,738,751,876,905,756,505,141,5308,3955,3252,6901,7451,9082,10979,10098,4975,999,57694,255,858,2140,2510,3292,2486,423,34,0,11993,1166,742,1809,2435,2589,2641,763,75,11,12218,152,156,415,324,338,434,111,17,0,1948,60,59,121,108,132,107,32,12,6,645,1631,1822,4480,5369,6354,5667,1333,143,13,26810,96,109,181,169,197,151,15,0,0,916,134,68,138,107,124,151,31,0,4,744,230,170,315,271,319,304,47,0,4,1658
SOS33,2769,5379,12168,15810,20239,17548,5539,1184,94,80721,3478,1485,1911,2271,3287,4471,2817,783,111,20619,467,327,678,760,1159,1428,536,114,16,5482,233,285,481,500,622,476,286,199,45,3112,6937,7475,15236,19346,25306,23921,9174,2276,268,109937,300,424,589,461,656,701,115,4,0,3253,498,148,163,143,167,309,109,10,0,1553,796,570,757,602,822,1010,221,15,0,4801,7733,8049,15996,19954,26127,24930,9392,2296,263,114738,5210,1546,2842,3041,4271,9631,19391,10545,2077,58551,1169,1109,2574,2874,3736,3652,2602,1302,350,19361,14115,10707,21406,25861,34129,38217,31383,14142,2696,192653,1128,3055,6395,8754,12872,9131,2215,380,20,43947,4687,2469,5583,8682,9849,9236,3176,536,39,44254,663,529,1460,1080,1237,1419,382,62,9,6839,211,169,311,346,462,358,197,114,28,2187,6694,6223,13743,18862,24421,20142,5969,1092,93,97228,173,237,272,259,387,367,41,0,0,1739,469,185,276,254,320,441,69,7,0,2011,639,424,546,513,709,809,109,7,0,3751
SOS37,0,0,0,8,12,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4,9,13,15,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,15,0,0,0,0,31,0,0,4,0,0,0,3,0,0,6,0,9,30,40,31,3,0,0,0,109,0,4,37,55,42,3,3,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,20,89,319,230,167,150,32,0,0,1003,32,41,142,88,56,65,34,5,0,462,6,15,35,41,29,37,10,3,0,167,4,12,22,19,11,6,3,0,0,74,58,155,510,369,266,259,77,4,0,1705,18,41,98,69,59,46,9,0,0,346,17,7,22,22,20,28,7,0,0,122,32,48,126,89,81,70,15,4,0,466,90,206,635,460,344,331,95,3,0,2172,112,95,260,277,301,648,961,226,15,2898,66,149,402,455,389,312,205,44,6,2040,272,444,1301,1194,1042,1297,1253,283,23,7108,4,70,256,91,90,69,11,0,0,602,38,75,188,126,104,91,20,3,0,658,16,18,53,43,24,35,8,0,0,205,3,7,15,10,7,3,0,0,0,44,69,169,518,272,232,210,41,3,0,1512,18,29,54,35,43,29,5,0,0,218,20,15,31,21,31,33,8,0,0,163,42,51,89,58,73,59,11,0,0,384
SOS40,2779,14426,52446,54759,48741,34202,6542,495,27,214421,10569,13405,16526,11191,9629,10362,5847,1141,86,78758,704,1035,1996,1690,1650,1973,603,108,12,9767,218,577,1324,949,679,431,163,56,20,4417,14270,29451,72285,68590,60700,46967,13158,1793,140,307367,748,2041,3112,2274,2178,1792,243,8,0,12402,2509,1690,1232,675,579,741,253,36,8,7718,3261,3729,4345,2950,2761,2537,495,43,3,20122,17534,33177,76634,71543,63463,49508,13653,1841,151,327488,16991,7722,8611,7892,10149,19453,42524,29204,11431,153976,1113,1638,3886,3334,2959,2525,2034,1598,929,20015,35644,42541,89123,82765,76573,71483,58214,32643,12507,501480,1054,10192,34073,29985,31132,20772,3075,114,9,130402,13919,17248,26907,30432,25833,22128,6649,658,40,143818,835,1342,4778,3125,1812,2209,684,63,10,14847,211,480,900,596,487,372,130,58,24,3265,16010,29270,66658,64146,59258,45476,10540,899,81,292332,400,1042,1757,1301,1167,729,75,0,4,6472,2336,1505,1738,1561,1216,980,185,10,3,9544,2736,2546,3499,2866,2390,1710,256,12,7,16018
SOS41,1255,4143,11449,11517,12143,9600,2013,169,11,52296,2885,1866,2609,2004,2337,3094,1970,398,27,17179,191,201,527,489,570,777,296,44,4,3099,135,159,323,242,243,190,78,47,15,1427,4462,6369,14907,14251,15297,13657,4352,654,52,73997,204,477,649,468,522,516,58,10,6,2911,421,249,217,141,161,247,66,5,3,1515,624,724,867,611,684,763,129,11,4,4417,5089,7099,15770,14867,15974,14422,4479,661,55,78415,3996,1207,2229,2242,2948,6098,15436,11099,3722,48975,458,495,1115,1076,1143,1098,980,833,408,7606,9544,8804,19118,18184,20062,21617,20893,12598,4188,134997,533,2601,6193,6205,8080,5225,827,39,6,29705,3898,3030,6208,7328,7241,6943,2004,231,16,36896,258,296,1233,643,548,783,233,28,4,4026,114,117,217,158,188,170,66,43,4,1083,4805,6049,13851,14333,16048,13113,3126,356,28,71715,128,225,306,231,313,226,21,5,0,1448,439,214,303,286,281,310,66,7,0,1912,569,434,608,515,597,532,90,9,3,3359
SOS42,202,540,1433,1514,1734,1692,435,38,3,7598,302,207,312,290,380,575,391,92,4,2552,31,21,52,66,104,156,70,11,4,524,24,16,50,49,53,37,23,8,0,257,553,788,1851,1916,2275,2459,923,150,18,10929,49,70,105,60,83,107,6,0,0,479,45,25,38,17,26,41,17,0,0,205,87,91,140,79,105,153,18,0,0,681,643,880,1987,1996,2378,2612,945,151,18,11612,572,176,275,318,496,1209,2822,1694,543,8109,83,69,171,209,255,303,328,183,83,1692,1300,1126,2443,2523,3124,4123,4097,2028,644,21414,70,279,697,742,1021,917,146,11,0,3897,452,367,837,1009,1120,1274,398,32,3,5490,30,34,171,90,100,137,48,16,0,635,23,16,38,21,43,35,14,6,0,196,576,691,1741,1864,2288,2369,609,67,8,10214,24,38,43,39,42,54,0,0,0,237,37,20,39,34,40,52,13,0,0,243,63,59,81,68,81,101,16,0,0,483
SOS43,859,1823,4148,5395,6997,6497,2233,372,27,28360,1164,672,694,729,1205,1885,1281,411,39,8096,95,80,186,202,268,430,183,38,4,1494,81,77,127,136,186,168,100,47,10,937,2200,2662,5160,6466,8663,8984,3802,873,81,38884,71,125,178,115,185,222,26,0,0,919,143,48,56,41,71,109,33,0,0,497,214,176,228,154,256,331,56,4,0,1419,2413,2838,5391,6617,8917,9313,3866,872,79,40301,1836,449,715,931,1254,3018,6230,3338,703,18473,304,290,562,570,795,886,744,415,95,4670,4556,3577,6667,8119,10966,13220,10839,4625,878,63446,310,873,1814,2479,3774,2947,752,123,7,13076,1593,1094,2115,3345,3826,3973,1412,227,24,17600,121,100,404,292,329,381,155,27,4,1817,92,76,99,101,144,127,76,30,7,749,2108,2142,4429,6222,8070,7427,2397,413,44,33245,38,72,78,74,105,76,12,6,0,454,120,49,62,71,91,142,26,0,0,559,156,126,140,139,201,220,35,6,0,1016
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,3,11,58,67,56,30,7,0,0,233,9,11,36,15,20,24,9,0,0,124,0,3,4,6,9,10,0,0,0,35,0,3,11,3,0,6,0,0,0,28,13,33,116,93,83,63,16,5,0,419,7,3,23,26,17,21,0,0,0,99,9,9,12,9,5,11,0,0,0,52,12,11,32,33,25,30,3,0,0,150,26,41,147,127,111,92,17,5,0,562,34,39,86,77,97,123,154,34,7,651,14,23,87,87,95,96,46,0,0,447,74,108,320,289,299,311,214,40,7,1668,0,4,48,27,21,17,4,0,0,117,14,21,41,24,22,16,5,0,0,141,4,0,7,9,5,11,3,0,0,42,0,3,4,0,0,0,0,0,0,10,18,31,97,63,45,47,14,0,0,311,6,9,14,12,10,7,0,0,0,56,18,5,16,6,7,9,0,0,0,60,23,13,28,20,14,11,0,0,0,113
SOS50,6506,24896,90977,103527,88954,60749,12220,835,42,388718,18820,20088,20590,14942,13064,14796,10618,2058,146,115132,861,1314,3983,3887,3520,3801,1242,146,17,18780,395,1153,2790,2014,1429,898,286,97,24,9084,26585,47456,118342,124376,106970,80244,24362,3132,235,531710,1359,2744,4359,3362,3317,2906,519,30,3,18599,4563,2026,1479,712,728,987,571,63,7,11134,5923,4769,5837,4077,4044,3893,1091,92,8,29739,32511,52227,124178,128455,111013,84142,25459,3227,238,561453,26015,9170,11094,9802,11724,21789,57522,40126,13321,200560,2127,3414,9684,8981,7543,5706,3724,2845,1822,45838,60648,64814,144955,147237,130284,111637,86701,46197,15377,807849,2727,18384,59976,52178,53757,33571,5203,202,4,225993,24519,26493,42010,52970,43676,34472,11357,1151,59,236707,936,1690,7871,5345,3097,3645,1031,113,5,23735,440,916,1852,1237,1055,684,227,83,37,6533,28619,47486,111712,111734,101583,72375,17809,1540,99,492968,858,1478,2515,2235,2178,1417,135,13,0,10834,4600,1961,2815,2991,2169,1773,376,27,3,16711,5458,3438,5325,5226,4352,3190,516,37,7,27543
SOS51,2043,5188,15094,16433,15591,11708,2465,181,12,68717,3200,1426,2462,2188,2197,2808,1820,331,26,16456,232,251,901,993,1053,1121,347,48,9,4959,132,208,522,414,316,224,66,29,17,1924,5607,7075,18979,20025,19151,15873,4697,597,54,92053,320,456,650,525,534,446,66,5,0,2996,482,159,194,135,136,193,97,6,3,1400,798,619,848,657,665,634,157,15,3,4399,6407,7691,19823,20683,19817,16503,4859,607,58,96453,4165,1170,2081,2140,2485,4704,11976,7933,2444,39097,999,1028,2793,2742,2627,2172,1373,850,415,14991,11569,9891,24698,25562,24926,23384,18206,9393,2912,150537,1158,3505,8793,8831,9963,6348,1009,40,0,39648,4228,2404,6820,9261,7835,6455,2092,222,10,39326,224,330,1458,893,783,940,238,26,0,4894,135,154,298,251,224,165,54,22,3,1320,5746,6393,17368,19243,18800,13904,3403,313,14,85191,212,218,335,274,322,219,24,0,0,1608,499,187,368,405,315,309,48,4,3,2144,711,413,701,678,635,527,73,4,5,3755
SOS52,257,600,1692,1741,1931,1869,547,51,4,8690,220,171,291,284,331,501,315,77,11,2192,30,28,109,100,162,203,78,14,0,736,31,36,91,64,76,77,23,9,7,413,529,840,2180,2194,2501,2646,967,154,22,12026,41,88,146,109,116,109,26,0,0,633,39,23,35,35,35,37,19,0,0,220,77,117,176,147,149,149,41,0,0,853,607,953,2357,2335,2647,2795,1009,159,22,12882,848,333,551,569,675,1076,2462,1468,397,8381,148,165,427,435,540,532,386,243,76,2959,1607,1449,3338,3343,3862,4401,3853,1868,498,24224,127,371,987,945,1230,1024,193,29,0,4904,346,277,766,1011,963,999,355,39,0,4759,27,36,160,120,130,166,53,7,0,710,22,27,56,46,33,42,16,6,3,248,521,719,1967,2121,2355,2232,619,88,4,10624,41,38,62,70,62,47,6,0,0,338,49,23,62,70,56,51,15,0,0,331,90,61,123,143,119,101,25,0,0,666
SOS53,993,2209,5184,6442,8148,7310,2367,434,47,33138,1025,589,698,815,1141,1762,1412,439,56,7933,97,129,301,421,576,655,275,47,5,2504,69,83,159,174,182,177,96,57,18,1017,2186,3006,6351,7854,10045,9908,4154,968,125,44592,86,121,175,185,207,198,43,0,0,1021,158,52,46,32,51,78,56,4,0,476,246,176,220,218,260,279,95,8,0,1505,2430,3183,6569,8070,10302,10184,4252,977,126,46098,1889,710,1649,1593,1513,2645,5811,3094,626,19531,416,747,1840,1834,1919,1638,984,443,93,9912,4741,4644,10059,11495,13733,14468,11045,4509,841,75535,396,1106,2335,2806,4281,3472,842,136,10,15383,1464,855,1897,3442,3836,3765,1465,230,13,16981,94,106,438,328,400,535,173,21,0,2092,78,74,98,120,154,114,70,37,0,743,2027,2139,4769,6690,8680,7890,2551,433,27,35194,54,54,89,87,103,104,12,0,0,512,160,47,76,103,110,116,20,0,0,639,218,104,164,193,210,224,32,0,0,1144
SOS57,5,12,51,82,53,23,3,0,0,221,0,0,0,5,5,0,0,0,0,14,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,3,12,60,92,55,30,5,0,0,246,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,12,60,91,55,34,5,0,0,252,0,0,0,0,4,0,4,0,0,12,7,13,44,70,43,20,4,0,0,195,7,25,99,157,103,55,14,0,0,455,0,4,10,5,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,8,9,5,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,8,49,188,129,116,67,14,0,0,572,9,40,50,47,19,32,11,0,0,210,0,6,27,36,18,8,3,0,0,95,0,7,3,7,3,0,0,0,0,18,19,101,268,211,156,115,28,0,0,899,5,18,41,47,35,23,5,0,0,179,3,6,7,10,11,3,3,0,0,45,9,28,51,54,45,27,7,0,0,227,28,123,316,268,206,141,39,3,0,1125,42,50,115,135,122,198,258,68,9,990,41,130,392,525,511,326,148,47,7,2132,118,295,822,926,842,667,444,118,14,4247,7,39,138,59,47,48,4,0,0,341,19,37,75,58,38,42,10,0,0,274,0,7,17,26,9,17,3,0,0,80,0,0,3,0,6,0,0,0,0,12,33,84,234,138,91,102,18,0,0,715,8,12,23,22,20,9,0,0,0,94,6,8,18,14,8,8,0,0,0,66,15,22,46,34,33,16,0,0,0,160
SOS60,456,2053,8876,7523,6916,4728,884,59,0,31502,1349,1830,4002,2044,1474,1699,1125,203,8,13744,93,122,307,266,280,294,119,17,0,1500,32,93,291,138,103,54,30,3,7,746,1926,4101,13469,9972,8781,6780,2154,293,15,47489,156,389,732,364,227,193,30,0,0,2093,447,330,378,123,89,84,42,0,0,1491,603,720,1111,479,318,277,73,5,0,3581,2526,4823,14583,10449,9093,7056,2231,295,15,51073,2624,1176,1808,1372,1505,3189,6742,4652,1636,24703,208,251,751,509,451,412,393,327,145,3445,5357,6254,17136,12326,11047,10655,9363,5279,1795,79218,174,1529,5793,4436,4852,3191,436,20,0,20435,1923,2417,5644,4921,3992,3549,1195,116,10,23768,114,177,798,521,371,404,119,18,0,2520,43,75,229,91,73,58,23,8,5,605,2250,4201,12470,9969,9285,7211,1773,162,14,47332,89,205,555,222,133,94,12,0,0,1312,426,299,473,237,173,136,25,0,0,1777,515,505,1025,459,305,231,42,0,0,3093
SOS61,806,2817,8354,7332,7273,5913,1062,64,4,33627,1591,1332,2404,1583,1535,1967,1125,205,11,11761,110,128,370,287,375,475,142,20,3,1902,51,129,254,123,137,113,51,23,5,884,2554,4406,11380,9328,9315,8467,2383,306,29,48170,205,461,601,380,351,273,37,0,0,2314,328,206,210,114,120,130,39,6,0,1165,539,665,814,500,479,402,73,6,0,3478,3092,5066,12194,9826,9796,8868,2458,310,31,51646,2767,950,1430,1388,2040,3949,9399,6589,2044,30563,312,360,764,642,619,623,679,519,284,4798,6177,6380,14379,11855,12457,13438,12536,7423,2359,87006,342,1968,4607,3837,4839,3293,467,12,0,19371,2356,2150,4827,4951,4764,4392,1244,110,6,24798,140,183,779,453,402,523,134,10,0,2638,79,92,163,98,104,74,32,19,3,665,2919,4389,10376,9338,10115,8291,1885,153,15,47477,124,199,304,203,227,146,23,0,0,1225,338,185,294,221,216,237,35,0,0,1540,457,384,605,426,442,390,51,7,0,2765
SOS62,122,328,925,992,1089,956,229,29,0,4659,137,118,228,236,292,404,251,55,8,1732,21,19,46,50,62,89,34,4,0,330,12,14,37,30,28,34,11,4,0,164,283,488,1236,1309,1464,1485,526,89,7,6881,29,37,48,35,55,50,9,0,0,256,23,14,17,19,14,31,7,0,0,122,51,51,63,50,69,74,17,4,0,374,333,534,1301,1356,1529,1568,546,91,9,7262,361,89,134,173,316,815,1807,1064,250,5011,49,65,95,75,111,149,181,119,49,888,741,688,1526,1607,1964,2529,2535,1266,303,13160,33,161,446,489,651,490,85,3,0,2361,287,203,544,653,724,829,227,19,0,3484,14,20,116,65,62,108,40,9,0,429,11,12,21,19,37,18,0,5,4,127,343,394,1126,1225,1480,1446,349,32,4,6395,3,18,21,21,32,29,0,0,0,127,27,11,32,28,26,41,15,0,0,186,31,30,54,52,60,66,19,0,0,314
