SA1_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
12702151923,0,0,0,0,3,7,20,4,0,43,0,0,0,0,0,6,5,4,6,20,0,0,7,0,0,3,6,0,0,19,23,43,71,75,77,93,89,32,4,507
12702151924,0,0,6,4,8,11,0,3,0,30,0,3,0,6,0,8,6,6,0,30,0,0,3,0,0,0,3,0,0,8,12,25,57,40,40,44,23,19,8,270
12702151925,0,3,3,9,11,12,6,14,8,64,0,0,0,3,0,6,4,8,0,24,3,3,3,16,8,14,8,6,0,66,28,50,83,91,99,96,72,42,9,580
12702151926,0,0,0,6,3,9,3,8,7,36,0,0,3,0,0,0,4,5,0,19,0,0,0,6,0,3,5,0,0,14,15,32,47,58,62,41,37,26,3,334
12702151927,0,6,4,3,0,0,3,0,0,20,0,0,3,0,3,5,6,0,0,21,0,3,3,0,3,0,0,4,0,21,10,20,51,50,31,48,25,14,7,257
12702151928,0,0,0,3,6,5,9,17,8,45,0,0,0,4,0,5,5,8,3,24,3,0,0,3,3,5,7,0,0,17,18,37,66,50,70,72,41,34,15,404
12702151929,0,0,4,0,0,12,7,12,9,45,0,0,0,0,0,7,10,0,0,19,4,6,4,4,9,0,10,4,0,37,16,30,75,61,53,54,48,30,11,370
12702151930,0,0,5,7,6,6,12,4,0,46,0,0,3,0,4,12,4,3,3,28,0,0,3,0,4,4,3,6,4,35,15,37,71,73,65,59,57,33,10,417
12702151931,0,0,0,0,10,6,4,3,3,30,0,0,5,0,0,5,0,0,0,13,0,0,0,3,3,0,0,0,0,13,11,24,42,33,47,35,20,16,6,228
12702151932,0,0,6,3,0,0,5,3,0,19,0,0,3,0,0,0,4,0,0,11,3,0,0,6,0,4,3,0,0,20,11,16,61,64,33,45,30,4,4,271
12702151933,0,0,3,4,5,4,14,8,0,43,0,0,4,4,5,0,0,0,0,12,0,5,0,5,3,5,3,3,5,26,17,49,84,87,86,56,54,31,7,473
12702151934,0,0,7,3,6,4,6,8,3,38,0,3,5,0,3,5,3,5,0,28,0,0,0,3,3,0,4,0,0,16,10,32,78,70,68,62,35,22,9,384
12702151935,0,0,0,0,5,4,3,5,0,18,0,0,0,0,0,3,6,0,0,14,0,0,0,0,0,0,0,0,0,3,9,26,55,27,37,42,20,19,0,233
12702151936,0,0,0,0,0,6,14,7,3,36,0,0,3,0,0,4,8,0,0,12,0,4,0,6,5,3,4,6,0,20,8,15,47,39,46,46,41,20,9,264
12702151937,0,3,4,7,8,6,4,0,3,33,0,0,0,0,3,0,5,15,49,79,0,6,9,3,6,14,3,7,7,45,15,40,76,72,73,81,44,40,58,507
12702151938,0,0,0,3,10,17,10,4,6,52,0,6,3,0,8,7,3,6,3,41,0,0,0,0,0,0,0,12,0,25,12,36,74,54,75,77,56,49,22,459
12702151939,0,4,6,13,9,3,12,12,8,72,0,0,0,5,7,4,4,5,3,30,0,3,6,0,9,0,6,8,0,35,17,42,77,82,73,63,49,37,15,447
12702151940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
12702152001,0,0,0,0,0,3,8,10,0,23,0,0,0,0,0,8,8,4,0,32,0,0,4,0,4,0,0,0,3,19,7,33,47,48,50,72,60,37,10,363
12702152002,0,0,0,6,0,6,12,10,5,44,0,0,0,3,6,4,3,6,0,25,0,5,6,0,0,3,0,4,0,30,18,39,67,48,57,68,49,34,12,384
12702152003,0,0,3,0,7,4,13,3,4,35,0,0,4,0,7,4,11,0,5,30,4,0,5,0,3,0,0,0,0,14,12,26,44,48,60,53,57,21,3,314
12702152004,0,0,0,3,9,5,12,10,0,34,0,0,4,0,3,5,10,0,4,33,0,0,3,0,0,5,0,0,0,10,8,41,53,65,57,65,72,31,12,405
12702152005,0,0,0,7,3,4,5,3,0,24,0,0,0,3,0,4,0,0,0,8,0,0,3,5,0,6,0,0,0,13,5,14,55,65,33,39,38,11,3,259
12702152006,0,0,0,0,0,3,10,4,0,25,0,0,0,0,0,4,0,3,0,14,0,3,0,0,4,0,0,4,4,12,10,16,26,36,30,29,48,22,11,219
12702152007,0,0,0,0,3,3,4,10,3,22,0,0,0,0,8,0,0,0,0,11,0,0,3,0,0,3,3,0,0,11,12,15,26,30,42,38,39,17,6,222
12702152008,0,0,0,0,4,8,8,4,4,33,0,0,0,0,3,7,6,0,3,23,0,0,0,0,0,0,4,3,0,14,18,23,40,44,45,68,68,21,8,324
12702152009,0,0,0,0,4,5,13,31,44,97,0,0,0,4,0,3,6,4,17,32,0,0,0,0,0,5,4,24,30,60,10,26,56,43,49,75,67,69,93,495
12702152010,0,0,0,0,3,5,13,6,0,34,0,0,0,7,5,13,11,9,0,43,0,0,0,0,3,3,0,0,0,7,8,26,62,59,55,54,75,21,8,368
12702152011,0,0,0,0,4,7,12,3,0,24,0,3,0,0,8,0,8,3,4,34,3,0,6,7,0,11,6,0,0,33,20,37,77,77,66,53,72,24,11,437
12702152012,0,0,0,0,0,0,8,9,0,18,0,0,3,4,0,4,6,5,0,15,0,0,0,0,0,4,0,0,0,5,3,19,28,26,43,45,34,27,4,235
12702152013,0,0,4,4,4,3,4,0,0,19,0,0,3,0,0,3,3,0,0,18,0,0,0,0,0,0,0,0,0,4,3,20,37,40,37,41,39,5,4,221
12702152014,0,0,0,3,3,5,9,3,0,24,0,0,0,4,4,5,9,6,0,28,0,0,0,0,0,0,0,0,0,0,10,15,36,47,40,30,29,16,4,217
12702152015,0,0,4,0,3,3,6,0,3,22,0,0,0,0,0,6,5,5,0,20,0,0,3,0,0,3,0,0,0,8,9,12,44,36,34,58,41,10,4,258
12702152016,0,0,6,3,8,13,9,0,0,38,0,0,0,5,3,9,7,5,0,29,7,5,10,3,5,0,4,0,0,31,9,21,67,41,46,51,44,17,7,308
12702152017,0,4,0,9,3,4,9,3,3,31,0,0,0,5,3,12,4,6,5,40,0,5,8,0,7,3,3,0,0,29,17,52,80,61,76,93,71,19,13,478
12702152018,0,0,0,0,0,7,13,17,0,39,0,0,0,0,0,8,3,5,0,10,0,0,6,0,0,0,4,3,0,9,9,7,39,39,47,47,52,32,3,287
12702152019,0,0,0,3,0,7,19,12,7,45,0,0,3,0,3,7,9,4,6,27,0,0,3,0,4,0,0,0,0,6,3,25,51,51,46,46,63,25,18,333
12702152020,0,0,0,3,3,9,14,7,3,42,0,0,0,0,7,11,9,4,6,34,0,0,0,6,5,6,3,3,0,19,7,38,73,70,57,78,77,30,11,434
