SA1_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
10102100811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,5,0,0,0,0,0,4,0,0,0,8,0,3,0,0,3,0,0,0,0,0,8,0,0,0,10,6,6,0,0,10,3,8,0,0,8,3,8,0,0,12,3,15,0,0,21,0,4,0,0,11,0,0,0,0,4,42,40,12,0,95
10102100812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10,0,9,0,0,10,0,0,0,0,3,0,5,0,0,8,7,22,0,0,29,0,0,0,0,5,0,0,0,0,0,19,43,7,0,71
10102100813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,8,0,0,0,0,0,0,0,0,0,3,6,0,0,0,6,0,0,3,0,3,0,5,3,0,3,0,0,4,0,5,9,0,3,0,14,8,8,0,0,14,5,8,0,0,16,0,3,0,0,6,7,29,0,0,40,5,7,0,0,7,0,0,0,0,0,47,66,14,5,133
10102100814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,5,4,0,0,0,4,3,0,0,3,6,0,0,0,0,4,6,3,0,0,10,5,5,5,0,14,4,6,0,0,9,16,10,0,0,28,5,11,0,0,21,0,3,0,0,3,15,14,0,0,29,0,7,3,0,6,0,0,0,0,0,65,64,20,4,154
10102100815,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,7,0,5,3,0,4,0,10,4,4,0,0,11,7,5,0,0,8,7,11,0,0,18,4,6,3,0,11,0,8,0,0,8,0,5,0,0,3,3,3,0,0,12,6,3,0,0,10,0,0,0,0,0,41,48,21,4,113
10102100816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,3,0,8,0,8,0,0,8,0,11,0,0,3,0,6,3,0,3,0,9,0,7,0,0,3,3,3,0,0,12,5,7,3,0,19,5,5,0,0,9,8,4,0,0,14,0,4,0,0,7,0,4,0,0,4,3,4,0,0,9,0,0,0,0,0,38,42,30,4,115
10102100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,3,0,9,0,12,6,0,0,0,8,4,3,6,0,8,10,5,0,0,9,0,3,0,0,3,3,4,0,0,6,0,14,0,0,17,0,0,0,0,5,0,0,0,0,0,30,40,23,0,89
10102100818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,3,0,9,0,3,0,0,6,0,7,0,0,4,6,10,0,0,12,0,5,0,0,5,8,0,0,0,10,0,0,0,0,4,0,3,0,0,10,0,3,0,0,0,0,0,0,0,0,20,39,16,0,80
10102100819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,6,5,0,0,0,8,3,0,4,0,6,0,0,0,0,0,6,8,0,0,16,11,9,0,0,19,6,14,3,0,20,4,10,0,0,12,9,23,4,0,36,0,0,0,0,5,0,0,0,0,0,48,65,15,0,127
10102100820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,5,0,0,5,0,3,0,5,0,0,6,3,0,0,0,3,0,0,0,0,0,10,12,0,0,20,0,4,0,0,4,0,4,0,0,4,0,4,0,0,3,0,4,0,0,6,0,0,4,0,6,0,0,0,0,0,18,45,16,0,79
10102100821,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,3,0,0,0,5,3,0,0,0,3,0,6,0,0,7,0,0,0,0,4,10,4,0,0,19,8,6,0,0,16,0,10,3,0,14,0,8,0,0,9,3,24,0,0,25,0,10,0,0,10,0,0,0,0,0,43,75,10,0,129
10102100822,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,4,0,0,0,5,4,0,0,0,4,0,0,0,0,3,5,3,0,0,6,4,5,0,0,5,0,4,0,0,6,3,9,0,0,6,0,3,0,0,9,7,8,0,0,14,0,0,0,0,0,0,0,0,0,0,28,35,6,0,73
10102100823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,6,3,0,3,0,4,0,0,3,0,6,0,0,13,0,4,0,0,4,3,6,0,0,11,0,5,0,0,5,0,0,0,0,0,17,28,17,0,56
10102100901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,4,0,0,0,0,0,5,3,0,0,11,0,4,0,0,6,6,9,0,0,12,0,5,0,0,0,3,3,0,0,13,0,0,0,0,3,3,0,0,0,3,28,35,8,4,73
10102100902,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,8,0,0,3,0,6,6,0,0,0,6,0,0,0,0,5,3,0,0,0,5,6,3,0,0,14,5,3,5,0,11,0,5,3,0,4,9,5,0,0,10,4,15,0,0,18,0,0,0,0,10,0,0,0,0,0,47,42,18,5,111
10102100904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,0,6,0,0,0,0,4,3,0,0,0,3,0,7,0,0,12,8,3,5,0,14,0,4,0,0,8,5,4,0,0,10,7,16,0,0,22,0,4,0,0,5,0,0,0,0,0,39,44,19,0,102
10102100905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,3,10,0,9,0,8,3,0,0,0,9,4,3,0,0,9,4,0,4,0,5,3,0,0,0,3,6,6,0,0,11,0,7,0,0,4,7,9,3,0,18,0,7,0,0,7,8,22,0,0,26,0,0,3,0,4,0,0,0,0,0,53,46,20,0,124
10102100907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,3,0,0,4,7,7,6,0,15,3,0,0,0,10,7,3,0,0,8,4,3,0,0,17,7,7,0,0,15,9,5,0,0,12,0,3,0,0,9,3,7,0,0,7,3,13,0,0,16,0,0,0,0,7,0,0,0,0,0,61,57,18,0,134
10102100908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,3,0,0,0,3,4,0,6,0,9,0,0,5,0,5,10,0,0,0,11,10,3,3,0,12,7,3,3,0,13,18,9,4,0,30,7,3,3,0,13,6,0,0,0,7,3,0,0,0,9,4,4,0,0,7,0,0,0,0,3,0,0,0,0,0,66,29,26,3,127
