SUA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
5009,185624,24165,8437,1474,162,219866,284440,28126,10832,128,175,323691,70537,28287,26321,104,136,125382,7067,8705,2800,7,26,18604,1197,1996,997,4,22,4220,34307,10414,6200,120,70,51111,3894,1274,765,379,42,6360,596,371,175,12,0,1154,117602,51047,37269,619,298,206827,6144,5095,2100,72,33,13447,6349,1877,852,118,140,9336,600165,110312,59481,2409,798,773166
5010,251,52,21,25,0,349,716,84,12,10,0,822,541,254,184,4,3,987,421,117,28,0,0,563,66,10,3,0,0,79,107,26,12,6,0,155,958,273,160,8,6,1407,12,8,0,0,0,15,2101,684,387,22,15,3208,219,48,22,11,5,300,61,19,7,3,0,87,3347,883,453,65,18,4766
6000,27700,281,171,289,60,28505,21436,128,69,60,33,21724,3607,352,171,36,4,4173,707,248,97,0,0,1060,180,157,59,0,0,396,4194,160,99,49,10,4517,844,63,44,61,20,1036,103,24,4,0,4,135,9642,1008,481,147,39,11321,1556,54,25,42,21,1695,1021,54,27,86,14,1198,61349,1528,769,620,173,64438
6001,3964,99,22,24,8,4109,3419,38,10,5,3,3474,1280,295,58,11,0,1656,537,258,9,0,0,797,111,83,7,0,0,202,705,122,27,3,0,852,88,26,21,24,0,161,18,7,0,0,0,28,2738,792,126,35,3,3696,93,15,0,0,0,109,143,34,3,6,0,185,10349,979,156,68,15,11572
6002,4292,220,3,54,12,4584,3949,76,0,9,4,4035,1103,309,3,3,0,1420,636,349,7,0,5,995,161,83,0,0,0,242,920,171,8,3,0,1104,104,47,4,39,7,196,22,20,0,0,0,46,2949,972,27,43,8,3998,109,36,0,5,6,151,148,52,0,9,0,211,11453,1361,34,118,20,12982
6003,27113,956,1094,145,40,29340,27673,820,845,32,21,29392,8217,1491,2775,62,26,12566,2622,787,872,0,17,4296,562,320,277,0,22,1176,4861,718,1220,53,30,6890,501,113,175,36,5,834,108,42,38,0,0,192,16869,3471,5347,156,104,25952,897,285,263,11,10,1464,775,112,144,9,21,1056,73318,5637,7689,347,193,87197
6004,10681,644,466,26,14,11827,10893,465,271,10,9,11637,4061,845,1136,50,14,6099,678,352,318,0,0,1347,342,236,149,0,5,729,2037,350,396,18,16,2817,174,55,45,28,4,311,47,14,18,0,0,80,7336,1855,2061,99,37,11389,339,144,47,4,0,533,375,194,65,5,4,646,29618,3301,2904,142,68,36036
6005,2506,110,10,52,0,2680,1845,42,0,8,0,1894,288,114,4,3,4,414,189,128,0,0,0,317,37,45,3,0,0,87,413,89,12,8,0,520,40,6,0,8,0,61,11,15,0,0,0,22,973,398,15,24,4,1412,52,25,0,7,0,82,83,23,3,5,0,110,5465,590,26,97,9,6188
7000,2200,31,3,281,79,2591,3327,37,3,49,30,3444,654,215,24,4,11,902,3361,486,99,9,15,3975,1550,182,52,11,15,1818,641,50,15,38,13,756,1438,344,136,77,79,2070,91,14,0,0,0,112,7734,1292,336,136,128,9627,1732,152,78,108,90,2163,380,71,24,59,54,591,15375,1582,448,634,382,18416
7001,1092,173,22,86,28,1399,2579,568,43,6,17,3210,693,862,201,6,18,1783,434,318,28,3,4,781,64,44,3,0,12,127,501,257,38,12,26,828,116,107,23,28,25,305,10,4,0,0,0,18,1824,1593,290,53,82,3838,110,86,14,17,11,243,109,59,4,11,18,199,5709,2482,375,175,151,8891
7002,5430,554,1004,194,15,7193,11694,1007,1988,18,3,14707,4047,1676,6091,14,24,11850,1135,743,694,0,10,2583,142,31,88,0,7,264,1811,577,1236,22,17,3672,1102,108,345,68,20,1642,54,18,48,0,0,121,8288,3160,8503,108,79,20131,356,74,111,16,9,581,363,105,213,30,27,741,26134,4898,11820,369,135,43351
8000,90,0,0,0,0,95,127,0,0,0,0,132,15,6,0,0,0,13,11,6,0,0,0,13,0,0,0,0,0,0,18,0,0,0,4,23,14,0,0,0,3,17,0,0,0,0,0,0,55,9,0,0,5,76,15,0,0,0,0,20,5,0,0,0,0,5,294,14,0,0,6,320
8001,37739,6346,4275,101,30,48492,52747,10875,9489,6,38,73155,10118,7121,14272,8,47,31572,4775,2830,1479,20,10,9117,418,411,336,0,7,1179,5127,2587,3618,10,28,11374,1921,520,601,36,28,3104,114,66,60,0,3,237,22480,13529,20366,74,128,56574,1073,871,832,4,24,2799,980,309,317,0,11,1626,115027,31931,35279,194,226,182655
9000,442,29,28,0,5,494,252,13,6,0,4,280,104,3,4,0,0,111,59,31,49,0,0,139,39,0,3,0,0,42,154,21,22,0,3,198,74,8,17,0,0,104,0,0,0,0,0,0,432,62,94,0,5,600,78,5,8,0,3,94,53,0,10,0,4,65,1259,106,141,5,23,1533
