SUA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
6001,54,70,24,62,45,12,6,13,4,286,95,132,47,207,117,57,18,38,7,722,332,121,1036,611,357,213,317,302,61,3353,21,9,20,56,36,59,20,53,6,278,18,12,15,60,39,23,13,26,4,205,9,13,13,17,11,8,0,4,0,77,13,16,20,36,28,30,28,36,37,239,754,1772,1266,1251,755,431,430,516,141,7311
6002,63,98,31,49,41,12,7,19,4,327,121,131,80,265,142,47,24,43,14,878,440,168,1343,729,423,268,283,387,53,4096,25,10,32,69,59,54,31,77,0,361,21,9,18,79,42,35,16,38,0,269,6,6,4,15,15,8,3,5,0,68,21,18,18,52,19,20,31,67,39,290,992,1756,1642,1540,890,494,434,860,132,8733
6003,597,789,377,596,570,171,55,127,46,3327,1123,1082,797,1508,1245,415,152,314,112,6747,2450,1236,7166,3672,2778,1164,1021,1525,362,21381,126,77,165,322,313,250,85,227,20,1590,170,128,131,363,342,140,68,155,21,1520,71,137,58,114,73,53,24,59,20,605,154,238,155,251,168,135,91,196,186,1589,10687,25534,10997,11333,9128,4066,2336,4568,1265,79915
6004,218,317,134,223,172,54,35,56,6,1206,421,423,263,694,456,151,75,142,36,2656,1232,473,3125,1731,1225,633,659,777,145,10003,55,28,85,160,156,129,67,154,9,832,62,60,72,143,143,81,37,70,8,666,23,64,19,37,42,15,10,33,4,246,54,90,56,101,79,63,48,101,81,670,3516,8423,4300,4404,3076,1544,1276,1913,407,28854
6005,24,44,8,52,32,9,0,6,0,174,69,63,39,95,74,20,12,10,0,386,207,93,618,318,198,99,155,174,26,1889,6,5,12,28,16,18,10,28,0,134,10,3,10,34,22,13,13,14,4,126,3,3,3,3,0,0,0,6,0,29,10,8,4,16,5,8,11,21,10,106,509,1000,734,647,420,183,223,319,62,4087
7000,163,193,74,163,102,20,16,38,10,779,325,270,138,405,264,49,50,99,9,1601,837,474,2138,942,690,196,460,636,123,6497,46,122,67,182,104,40,38,125,12,736,65,76,53,146,78,20,33,65,10,551,10,21,7,13,16,3,6,6,0,86,69,129,80,165,69,41,72,132,119,873,2471,3863,2733,2563,1753,511,730,1294,331,16245
7001,61,95,33,84,62,23,3,11,8,379,180,154,127,331,160,48,18,30,17,1072,325,199,905,502,412,141,145,185,54,2868,15,15,16,42,44,19,10,14,0,180,18,29,16,68,39,12,12,18,6,211,10,27,13,12,12,5,3,10,4,88,19,43,28,61,22,13,12,29,55,275,1313,3214,1329,1750,1133,378,239,424,231,10006
7002,389,442,250,398,303,81,60,97,23,2049,915,806,621,1319,902,268,153,233,98,5311,1554,934,4961,2231,2019,648,838,827,248,14260,92,58,98,208,245,138,66,134,11,1061,120,96,139,181,221,104,61,93,16,1028,45,120,50,91,57,28,29,39,8,461,116,150,120,196,142,90,70,121,170,1166,6804,14302,7382,7390,6249,2281,1705,2332,853,49295
8000,14,15,0,3,11,0,0,0,0,37,7,7,11,10,7,5,0,0,0,54,27,11,64,18,16,7,4,19,0,164,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,4,6,0,0,0,5,15,125,179,84,54,74,18,10,26,9,581
8001,1985,2253,879,1172,1765,427,197,284,159,9114,3615,3377,1848,3325,3707,852,343,647,358,18073,4281,3109,11186,4739,5349,1543,1398,2008,639,34252,294,271,250,446,582,333,87,224,29,2519,477,445,307,571,880,257,138,249,68,3383,201,436,154,178,208,80,47,79,35,1414,314,566,283,341,468,166,138,203,513,2996,40336,76000,19340,19523,27743,7359,3738,6432,4209,204693
9000,26,11,15,11,20,5,0,8,0,88,31,8,11,33,28,7,0,6,4,125,81,31,231,57,46,12,23,51,10,548,3,0,3,20,14,5,4,12,0,68,3,3,3,11,12,3,0,5,0,46,5,3,3,6,4,0,0,3,0,24,12,6,16,11,9,7,6,15,8,93,265,271,286,210,172,61,50,107,22,1444
