SUA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
3003,45,1300,617,285,1472,0.8,1186,2.4
3004,39,1595,812,340,1951,0.8,1575,2.5
3005,32,1600,1033,300,2510,0.8,2190,2.7
3006,36,1578,794,270,2113,0.7,1691,2.5
3007,40,1950,772,450,1976,0.8,1637,2.5
3008,43,1300,584,295,1395,0.7,1129,2.4
3009,51,1408,552,335,1312,0.7,1083,2.3
3010,38,1213,666,262,1548,0.7,1257,2.4
3011,37,1733,886,349,2224,0.8,1834,2.5
3012,47,1125,528,255,1307,0.8,1034,2.3
3013,31,1546,1158,275,2652,0.9,2236,2.6
3014,36,1419,783,290,1958,0.8,1545,2.5
3015,44,1928,755,445,1917,0.8,1590,2.5
3016,37,1517,766,310,1910,0.7,1504,2.5
3017,35,1517,872,310,2095,0.8,1717,2.5
3018,44,1222,618,265,1423,0.7,1117,2.3
3019,42,1733,786,350,2065,0.7,1641,2.5
4000,47,1200,664,220,1606,0.7,1259,2.3
4001,39,1560,761,320,1985,0.8,1543,2.5
4002,41,1170,713,220,1735,0.7,1280,2.3
4003,42,1100,596,240,1374,0.7,1077,2.3
4004,38,1138,697,200,1651,0.7,1277,2.3
4005,41,1300,736,240,1750,0.7,1301,2.3
4006,43,951,570,185,1448,0.7,1044,2.2
4007,61,1253,548,285,1238,0.7,974,2
4008,41,1083,641,180,1679,0.7,1188,2.2
5000,42,1517,752,203,1833,0.8,1448,2.4
5001,45,1517,707,300,1741,0.7,1332,2.3
5002,34,2167,1164,330,2623,0.9,2222,2.7
5003,39,1625,770,320,2009,0.7,1605,2.5
5004,45,1755,751,369,1866,0.7,1458,2.5
5005,42,1600,785,270,2017,0.7,1492,2.4
5006,40,1560,783,260,2020,0.7,1553,2.4
5007,34,1600,1204,300,2825,0.8,2325,2.6
5008,32,1972,1570,320,3497,0.9,3194,2.8
5009,37,1907,859,350,2259,0.8,1864,2.6
5010,32,1500,1542,228,3278,0.9,2882,2.7
6000,48,1257,622,250,1510,0.8,1205,2.3
6001,43,1131,633,240,1531,0.8,1146,2.2
6002,43,1213,631,250,1491,0.8,1172,2.3
6003,38,1517,782,350,1940,0.8,1560,2.4
6004,39,1300,714,280,1748,0.8,1353,2.4
6005,48,1235,619,250,1496,0.7,1150,2.3
7000,32,1950,446,100,1223,1.2,1619,3.3
7001,34,1800,1131,375,2484,0.9,2142,2.6
7002,34,2054,1122,385,2472,0.9,2199,2.6
8000,38,2312,987,380,3077,0.9,2899,3
8001,35,2058,1195,450,2851,0.8,2350,2.5
9000,43,1300,829,200,1890,0.9,1497,2.4
