SUA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
1010,2466,1985,1763,1350,481,77,9932,129,653,963,975,1007,949,256,52,4975,1583,7608,8441,6596,4823,4137,1683,411,35282,1162,3856,5196,6126,5153,3818,1767,407,27480,4888,10382,10602,10848,10694,6924,3724,1000,59062,712,622,551,622,651,562,213,34,3968,373,531,797,1242,1522,1575,785,210,7044,5975,11536,11950,12713,12861,9059,4726,1255,70073,100,187,242,305,369,478,333,89,2108,2147,2426,2562,2655,2861,3499,3677,2795,22622,11171,27988,31823,31345,28841,23289,12930,5084,172472
1011,451,431,323,318,91,23,1961,14,162,217,239,278,291,80,11,1291,262,1578,1799,1522,1162,1132,395,79,7928,154,763,1003,1247,1210,959,422,118,5887,956,2122,2145,2220,2311,1707,755,191,12411,156,167,120,111,166,132,32,12,903,70,126,155,214,298,339,185,42,1430,1182,2415,2418,2544,2772,2180,973,249,14740,14,53,49,47,53,71,69,18,374,562,743,674,648,663,771,786,579,5417,2200,6029,6611,6681,6461,5723,2822,1067,37598
1012,372,165,128,60,17,7,1366,12,133,142,117,108,78,14,0,599,226,1387,1001,607,443,317,108,25,4117,113,486,511,466,439,258,130,41,2441,612,1565,1207,1085,969,557,242,66,6299,88,122,72,53,67,33,16,4,452,33,86,74,91,125,119,72,14,605,736,1770,1356,1223,1166,700,330,82,7360,12,34,31,28,31,31,29,15,199,491,665,499,449,400,364,359,195,3421,1596,5073,3910,3045,2719,1801,986,365,19494
1013,59,67,59,50,36,6,338,6,26,32,33,58,75,22,6,254,32,243,275,220,275,324,164,35,1559,42,114,211,255,311,372,164,58,1532,200,446,477,575,792,798,440,140,3877,29,33,44,47,49,62,21,4,292,20,16,24,61,103,154,79,29,493,249,501,549,683,952,1008,546,172,4658,3,4,10,8,18,44,27,13,135,137,123,124,181,273,440,494,338,2106,474,1066,1257,1442,1943,2312,1457,625,10589
1014,121,90,98,87,32,11,579,3,70,89,62,78,52,15,6,372,96,501,385,288,243,225,117,35,1886,77,331,313,348,302,262,113,29,1774,408,948,764,709,706,438,203,45,4223,52,48,42,46,30,28,9,6,261,29,38,56,78,101,81,44,15,441,488,1036,866,834,840,550,251,65,4925,5,15,13,17,21,23,16,10,118,245,387,296,299,250,271,225,168,2144,922,2469,2079,1938,1827,1469,769,324,11798
1015,56,59,43,29,17,3,252,7,33,40,38,37,34,12,0,208,33,263,248,226,191,164,54,26,1199,30,134,212,211,209,194,86,22,1110,375,717,601,557,535,361,169,55,3369,63,51,54,47,44,44,6,6,317,28,39,41,50,77,67,47,14,358,464,802,700,656,656,473,228,73,4045,3,8,6,10,15,16,19,3,88,197,210,187,208,199,254,245,210,1717,747,1492,1454,1413,1350,1174,650,334,8618
1016,121,53,48,16,6,0,458,9,39,25,42,33,33,10,0,194,115,655,441,271,164,100,41,12,1801,64,287,295,191,156,84,34,8,1127,292,670,615,497,456,252,101,27,2905,31,40,30,32,29,17,3,0,186,24,55,32,63,71,39,15,4,312,341,759,675,595,566,304,123,29,3401,8,27,24,13,10,17,5,7,101,191,314,229,208,197,179,170,167,1660,727,2298,1809,1372,1177,746,388,225,8747
1017,30,18,21,24,0,6,117,4,17,19,29,20,24,7,0,122,26,146,140,153,114,107,40,16,745,22,79,126,149,164,143,48,11,744,221,492,435,450,526,361,148,34,2668,35,50,21,42,31,24,3,0,209,15,24,33,40,63,74,12,17,276,279,561,489,532,617,457,170,46,3157,4,5,4,9,10,22,13,4,65,349,492,412,253,250,194,173,93,2221,685,1321,1225,1138,1195,971,453,178,7173
1018,186,173,146,123,48,0,871,11,72,109,103,105,107,31,4,543,96,618,702,625,534,415,133,42,3176,101,276,333,400,433,314,108,40,2001,448,932,868,817,813,511,213,62,4664,82,78,51,57,58,44,6,4,386,41,60,69,74,113,103,60,21,539,565,1068,989,953,988,664,282,86,5592,7,12,9,19,14,41,19,12,132,329,306,292,272,260,274,238,167,2136,1121,2529,2619,2545,2484,1934,864,347,14448
1019,38,37,37,25,13,0,185,0,16,20,29,36,31,10,6,155,29,169,133,129,125,134,44,17,778,27,98,114,137,158,133,56,17,745,187,435,339,399,409,275,144,20,2212,42,28,20,22,38,16,4,0,178,18,25,17,28,43,41,27,11,206,243,492,379,449,493,341,167,37,2593,4,6,3,6,17,9,9,6,60,138,228,187,145,159,197,185,70,1326,453,1050,875,941,1023,865,484,149,5839
1020,81,61,38,29,13,0,254,3,22,44,30,37,29,6,0,179,41,220,282,204,140,139,43,4,1078,48,161,231,285,241,167,41,4,1181,234,593,647,670,566,357,174,15,3240,40,38,33,36,34,19,9,0,199,19,15,24,40,64,50,24,5,237,289,648,695,745,658,424,202,16,3674,0,8,11,5,15,15,7,0,69,100,86,88,124,130,133,112,26,804,486,1173,1446,1453,1258,935,426,58,7234
1021,114,165,138,154,105,27,811,5,60,50,70,83,67,46,5,389,111,454,452,376,368,395,194,76,2422,87,297,324,383,415,374,209,90,2172,454,1008,943,925,937,696,376,122,5471,77,69,53,50,49,41,23,12,370,34,51,55,89,116,135,96,39,611,568,1135,1052,1061,1097,880,500,175,6456,0,15,10,24,20,36,40,16,173,164,160,167,163,194,285,334,216,1673,946,2207,2161,2243,2324,2184,1424,605,14085
1022,83,43,31,24,3,0,263,3,23,37,41,27,17,5,0,154,52,317,244,189,132,113,74,15,1139,24,129,175,171,138,91,58,8,799,242,636,490,415,337,183,94,26,2431,22,39,19,25,27,13,4,3,156,10,20,17,42,49,53,25,10,221,278,694,529,475,419,252,123,32,2800,8,8,13,8,10,10,18,3,72,80,123,117,99,114,105,105,73,808,447,1364,1198,1027,867,628,379,137,6038
1023,32,39,15,12,4,0,128,0,22,25,22,18,13,7,0,99,36,157,144,116,74,51,23,7,603,20,121,135,141,106,67,12,4,607,237,667,489,425,357,172,66,14,2427,23,37,31,26,27,15,0,0,163,8,26,32,33,37,24,11,0,172,267,729,552,490,423,213,74,14,2759,0,0,5,8,5,12,3,0,46,137,233,198,164,125,95,72,38,1069,470,1294,1105,975,767,453,194,60,5313
1024,113,174,169,173,84,11,800,5,31,43,92,117,141,37,3,469,66,337,458,523,541,527,264,40,2753,71,233,335,483,603,587,301,67,2664,328,583,731,939,1103,974,552,124,5339,41,42,39,34,78,78,31,0,340,21,35,51,88,154,211,114,25,698,390,661,820,1057,1334,1263,693,156,6375,3,5,16,26,32,59,45,17,202,152,132,133,191,305,420,509,284,2122,683,1477,1916,2543,3091,3170,1933,576,15383
1025,5056,3544,2697,1871,634,134,17952,198,1366,1742,1622,1522,1351,338,60,8197,3506,16222,14180,10084,6773,5472,2066,502,58804,1705,6344,7436,7863,6967,4639,1982,493,37420,8482,18741,16129,15561,14503,9470,4335,1238,88466,1305,1121,938,881,813,605,200,42,5910,573,793,922,1501,1922,1878,903,269,8760,10368,20650,17992,17942,17235,11955,5438,1550,103136,174,287,301,342,421,480,313,118,2432,3541,4322,3830,3564,3610,4028,3850,2629,29369,19643,53054,50537,44965,39222,29798,14616,5480,257315
1026,219,162,130,95,37,0,859,15,96,107,84,119,109,36,6,570,149,757,617,461,442,357,151,49,2978,87,425,495,546,547,416,183,55,2758,697,1518,1218,1139,1075,755,388,126,6914,104,109,77,76,77,64,10,8,524,49,64,79,106,138,167,68,24,690,848,1694,1373,1317,1293,985,470,161,8134,11,19,23,23,31,54,31,16,213,490,738,612,519,390,368,333,164,3613,1614,3932,3448,3119,2949,2386,1242,443,19127
1027,398,266,191,139,39,15,1453,13,127,149,146,120,96,35,9,695,218,1311,1194,820,544,491,172,46,4791,113,474,568,621,503,408,200,49,2929,676,1591,1273,1125,920,556,254,91,6498,73,89,79,68,81,69,28,6,481,45,82,83,115,142,134,98,13,711,785,1763,1437,1308,1143,765,381,109,7688,10,18,24,31,34,30,34,11,204,317,371,342,331,332,377,323,209,2609,1484,4445,4115,3526,2861,2303,1181,456,20364
1028,385,371,240,244,85,25,1645,5,89,162,194,171,191,62,6,883,214,1161,1184,1069,832,733,372,108,5673,126,387,729,836,847,747,385,135,4192,719,1323,1301,1480,1518,1205,681,225,8448,115,89,78,100,125,100,42,6,649,63,53,105,154,200,297,176,52,1096,897,1463,1477,1727,1841,1598,902,285,10191,13,16,30,37,63,71,51,19,311,303,308,289,321,411,539,613,509,3289,1571,3724,4257,4556,4400,4123,2470,1081,26183
1029,57,59,36,18,9,0,251,3,33,37,35,23,12,9,0,145,72,329,265,167,131,106,32,4,1110,62,196,204,227,152,95,29,7,976,377,939,748,697,535,232,94,31,3650,63,52,34,34,28,23,0,4,241,22,38,31,53,71,47,18,7,279,461,1031,809,782,636,300,107,38,4163,0,9,12,7,18,7,6,0,64,236,186,120,137,135,124,78,31,1050,839,1852,1502,1405,1136,669,264,84,7760
1030,79,99,97,117,27,7,494,3,41,53,45,64,78,19,4,303,45,271,308,266,269,301,102,23,1579,33,151,257,267,355,312,130,25,1536,244,659,617,643,724,665,321,82,3962,33,46,50,48,51,51,15,8,287,20,32,29,48,97,144,60,8,444,295,733,693,742,873,851,397,94,4681,3,10,13,21,16,31,23,10,121,155,154,151,171,214,297,244,115,1504,534,1422,1548,1608,1893,1993,949,271,10221
1031,123256,70670,44678,25655,9195,1824,388780,1968,16197,20346,18077,14172,10396,3261,611,85024,67624,265782,221285,146645,98197,60919,24159,6892,891500,28119,72537,82530,78654,59699,37191,16631,5322,380690,40834,88106,82939,82079,70658,42460,22047,6989,436115,5419,5475,5977,6465,5948,3724,1329,347,34692,4208,7407,10565,15313,16417,13125,6542,2208,75774,50463,100988,99481,103859,93020,59309,29920,9537,546576,2053,5723,6170,5255,5114,4782,2950,1027,33077,34622,56890,47919,36002,31797,28749,25243,19614,280837,189684,626786,600983,459158,346683,227002,111360,44819,2606480
1032,240,181,124,73,34,0,991,19,100,142,117,101,99,32,0,615,231,1078,816,610,445,378,176,59,3789,73,457,514,536,522,343,183,61,2681,710,1574,1355,1186,1079,725,373,92,7090,96,139,80,80,72,61,26,0,559,48,77,83,117,145,153,92,23,750,855,1791,1523,1380,1294,952,490,120,8400,12,43,22,20,31,46,29,8,205,507,569,489,421,380,384,457,248,3454,1714,4364,3742,3251,2892,2270,1403,504,20143
1033,101,54,57,52,22,0,359,0,34,33,51,47,56,21,0,243,58,271,260,250,255,254,106,37,1494,56,196,242,303,313,247,121,38,1522,409,839,691,763,856,571,313,77,4515,71,86,58,49,66,52,11,3,383,18,39,47,74,111,93,57,25,461,500,961,801,885,1027,711,387,96,5365,13,15,8,8,20,34,18,10,128,303,290,281,261,381,407,436,296,2665,933,1839,1728,1808,2110,1762,1110,481,11780
1034,92,65,105,105,40,3,470,3,35,54,42,67,75,32,0,309,17,251,305,265,304,309,124,30,1609,23,122,186,222,282,284,133,38,1290,213,441,510,509,625,566,256,82,3202,22,18,34,26,47,38,12,0,199,13,32,43,38,84,110,64,23,410,239,499,585,573,748,721,336,105,3812,5,3,9,5,21,32,16,7,93,115,99,123,142,220,230,195,106,1215,405,1072,1360,1304,1750,1750,868,292,8800
1035,433,359,291,172,63,19,1776,17,182,220,230,166,132,40,6,995,397,1718,1475,1046,717,525,220,62,6160,207,660,661,743,687,479,222,88,3741,1095,2152,1678,1465,1472,906,354,111,9232,149,176,103,93,91,65,20,5,698,49,82,104,147,215,189,96,31,909,1285,2403,1885,1708,1773,1156,477,150,10834,24,47,41,35,45,41,33,15,287,461,521,434,414,424,465,431,314,3463,2415,5952,5149,4541,4107,2969,1483,652,27260
1036,3417,2574,2141,1505,446,65,13869,122,1020,1188,1004,980,857,224,39,5439,2994,9913,7991,6156,4374,3218,1169,282,36089,1378,3861,4839,5192,4320,2902,1070,304,23859,5011,9913,9183,9130,8683,5411,2631,797,50756,642,530,513,521,590,375,128,39,3331,346,466,631,1071,1427,1235,567,167,5905,6000,10900,10321,10724,10697,7018,3323,1003,59990,85,151,200,220,300,334,205,60,1567,2106,2237,2035,1992,2059,2167,2356,1693,16644,12889,31615,29993,27862,24872,18003,8782,3443,157459
2000,3177,3342,3527,2984,893,133,16779,203,1610,2570,3055,3291,2848,689,74,14349,2149,11542,13188,12142,11104,10143,3524,665,64465,1678,6543,8868,10794,11779,10166,3904,794,54511,8354,20479,20773,23167,24808,16466,6192,1326,121562,1212,1211,1271,1124,1360,918,266,51,7420,458,826,1165,1613,2076,1976,816,211,9146,10031,22511,23204,25902,28250,19359,7277,1587,138128,96,266,303,349,474,658,434,146,2720,6843,6497,7571,8825,10892,11769,8623,4188,65213,21153,51549,58884,64408,69314,57936,25355,7581,356178
2001,198,123,77,44,18,0,685,17,98,123,101,57,71,9,0,474,143,652,615,396,213,174,83,18,2297,109,422,496,405,293,227,102,27,2073,334,1067,927,751,617,391,133,29,4253,45,49,50,32,32,24,7,0,240,21,36,62,61,61,47,19,4,309,400,1151,1039,842,708,463,162,34,4803,6,16,20,11,20,9,6,4,90,148,185,165,169,158,177,148,40,1199,836,2728,2662,2049,1531,1162,525,125,11615
2002,61,49,41,28,13,0,280,0,39,47,51,51,54,17,0,265,39,259,211,196,180,167,94,21,1161,27,168,194,219,206,211,120,40,1184,207,537,433,470,416,340,174,37,2618,24,34,37,19,26,26,3,0,180,8,18,35,29,39,30,20,8,184,244,588,504,515,488,397,202,51,2984,3,10,4,7,13,12,15,3,73,124,142,134,141,184,213,219,159,1324,449,1283,1158,1182,1158,1081,683,276,7269
2003,1129,887,682,477,177,27,4584,36,455,642,629,554,483,134,23,2964,770,3505,3361,2437,1577,1327,529,111,13627,426,1439,1620,1620,1425,1167,497,132,8327,1656,3863,3179,2871,2549,1646,716,209,16692,259,272,194,156,120,111,29,11,1153,83,158,175,216,243,216,114,36,1237,1995,4291,3546,3245,2916,1973,855,259,19080,24,57,54,66,61,75,61,24,415,872,940,759,815,800,966,907,624,6682,4214,11809,11106,9704,8016,6463,3161,1206,55681
2004,714,544,435,354,131,15,3131,57,443,587,522,449,373,88,13,2546,673,3000,2720,1931,1340,1101,425,125,11312,365,1303,1421,1404,1325,1146,527,130,7623,1422,3688,3088,2892,2594,1682,789,231,16387,229,218,208,150,162,125,21,3,1121,96,137,178,220,245,229,98,39,1233,1748,4039,3475,3259,3001,2033,916,275,18746,10,68,41,52,54,63,48,25,362,726,920,786,783,851,907,953,687,6616,3673,10608,9745,8505,7461,5980,3087,1276,50332
2005,163,172,157,157,75,8,802,0,30,86,108,118,101,38,3,482,17,186,362,362,270,307,158,23,1683,15,92,131,171,207,199,123,20,953,79,202,188,215,254,200,82,30,1243,13,15,8,12,17,16,5,0,87,5,11,11,26,36,22,20,3,130,96,224,204,251,305,235,109,36,1462,4,4,5,4,5,9,8,4,42,78,77,92,125,102,178,189,220,1048,205,673,1047,1191,1158,1184,698,309,6468
2006,38,41,26,26,11,4,179,3,26,27,30,18,31,12,0,150,24,232,184,131,101,125,59,24,877,20,144,132,150,157,131,56,18,811,217,507,440,359,353,223,95,23,2220,23,30,21,12,13,15,0,0,120,15,27,18,26,29,27,6,0,141,252,567,481,397,400,260,102,29,2483,0,13,5,5,4,5,8,5,47,58,107,105,96,97,150,145,82,836,366,1125,972,848,801,726,395,154,5386
2007,87,71,48,24,9,0,362,4,63,78,84,74,44,24,0,377,93,458,471,337,255,201,69,20,1901,51,213,267,307,294,231,117,21,1499,314,724,649,762,691,542,222,47,3960,31,37,26,28,26,16,10,0,165,13,27,36,55,57,54,16,3,259,360,790,709,850,772,612,249,56,4390,3,3,14,16,12,11,23,11,87,148,170,136,188,251,313,322,208,1746,663,1805,1773,1853,1706,1440,807,317,10359
2008,3183,2201,1601,1147,430,47,12847,134,1395,1697,1498,1289,1074,298,39,7417,2605,10718,9879,6739,4749,3869,1428,338,40319,1354,4194,4741,4834,4082,3512,1627,399,24742,3712,8908,8100,7466,6892,4575,2010,630,42293,493,425,455,363,309,252,83,11,2398,234,400,498,606,634,656,325,107,3453,4440,9726,9050,8437,7839,5488,2417,747,48145,90,152,178,151,174,212,208,75,1229,2015,2361,2108,1994,2003,2438,2268,1430,16611,10920,32491,30831,25856,21731,17737,8675,3067,151309
2009,248,244,206,112,44,0,997,5,56,172,205,166,108,24,7,736,112,446,849,706,481,300,127,18,3034,76,202,411,451,393,330,139,16,2021,190,463,695,722,599,352,159,25,3206,24,16,29,24,33,21,6,0,160,17,23,40,66,83,61,23,9,318,236,507,769,808,700,435,189,30,3686,3,8,10,20,15,23,25,4,110,140,70,135,193,170,175,127,100,1114,578,1422,2595,2631,2133,1485,666,175,11693
2010,89,68,42,19,4,6,355,10,55,61,49,52,33,15,3,281,88,389,299,238,170,150,55,18,1404,44,205,239,250,243,177,78,25,1275,276,676,550,463,473,287,106,25,2861,42,50,25,25,24,15,3,0,183,11,19,30,39,41,36,14,3,205,332,745,608,527,533,341,120,34,3251,3,5,5,8,8,17,12,7,62,158,154,112,115,137,162,171,96,1113,655,1677,1420,1262,1181,893,458,189,7735
2011,108146,57606,35554,20664,7632,1413,351486,2456,22599,28381,26129,20095,13066,3912,641,117283,65483,247760,213452,138802,86059,54858,21543,5953,833899,27171,80703,88636,76957,57326,38307,17537,5297,391937,43626,103725,92950,92123,78050,45472,22742,7129,485821,6445,6372,5890,5257,4558,2816,929,210,32468,3763,7401,9823,12320,11821,8574,4408,1557,59677,53834,117496,108660,109701,94434,56861,28079,8897,577965,1739,4786,5105,3632,3423,3389,2246,961,25280,31803,51925,42166,33671,29386,28343,25395,17349,260035,189775,638445,594546,446493,326279,215484,106348,40510,2557875
