SUA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
1033,0,10,0,10,..,23,14,32,0,32,..,5,0,5,0,5,..,24,13,35,0,35,..,159,25,182,8,190,..,926,88,1015,20,1029,..,81,8,84,1996,2079,23408,1003,93,1096,2016,26519
1034,0,0,0,0,..,32,8,32,0,32,..,0,0,0,0,0,..,18,6,27,0,27,..,123,8,125,5,127,..,630,62,696,12,706,..,43,3,45,892,938,15382,676,64,739,900,17026
1035,7,99,0,99,..,64,17,79,0,80,..,0,0,0,0,0,..,65,14,80,0,80,..,1497,595,2094,24,2117,..,4454,959,5418,61,5482,..,178,20,204,2738,2938,48588,4637,986,5616,2798,57003
1036,10,232,0,236,..,607,159,761,8,770,..,1033,255,1281,8,1294,..,981,321,1302,7,1309,..,4259,784,5043,97,5142,..,35363,6327,41690,375,42067,..,1034,145,1187,12676,13859,249774,36396,6481,42877,13046,305691
2000,16,171,0,171,..,699,242,946,7,952,..,262,57,319,0,319,..,513,350,857,26,886,..,5349,872,6221,146,6366,..,25859,4284,30135,469,30607,..,1644,141,1781,54340,56131,629316,27499,4423,31921,54813,716050
2001,4,46,0,46,..,19,0,14,0,14,..,21,5,24,0,24,..,47,12,57,0,60,..,463,49,513,9,527,..,2159,226,2387,30,2416,..,75,8,84,908,989,21309,2231,239,2469,935,24717
2002,0,30,0,30,..,12,22,32,0,32,..,0,0,0,0,0,..,38,22,60,0,60,..,85,16,101,4,105,..,696,125,824,8,831,..,52,12,67,1061,1126,13721,751,139,886,1066,15684
2003,0,146,3,149,..,116,20,139,4,143,..,18,3,26,0,26,..,162,19,181,0,181,..,1102,127,1232,40,1271,..,7082,729,7816,116,7930,..,314,36,349,5169,5519,98523,7396,768,8167,5280,111973
2004,3,83,0,81,..,74,15,83,0,83,..,22,3,25,0,25,..,124,41,159,5,167,..,1705,889,2594,48,2643,..,5939,1367,7307,107,7411,..,281,58,342,5110,5456,90175,6221,1425,7648,5219,103034
2005,0,9,0,9,..,10,0,10,0,10,..,5,0,5,0,5,..,3,0,3,0,3,..,83,15,104,0,104,..,377,39,423,8,426,..,33,0,35,1314,1347,9578,410,40,457,1317,11352
2006,0,8,0,8,..,13,3,16,0,18,..,0,0,0,0,0,..,13,6,19,0,19,..,141,35,172,12,182,..,640,268,914,14,932,..,29,3,35,599,630,11195,674,274,949,612,12756
2007,0,8,0,8,..,13,3,12,0,12,..,0,0,0,0,0,..,27,15,48,0,43,..,121,18,141,3,143,..,791,105,899,17,916,..,73,5,76,1269,1347,20313,866,108,972,1282,22568
2008,40,460,4,466,..,363,76,440,3,444,..,280,52,336,0,336,..,651,237,886,12,898,..,5187,1308,6492,138,6631,..,27750,4239,31990,397,32390,..,794,111,901,13608,14512,242730,28542,4351,32895,14004,289630
2009,0,7,0,7,..,21,0,18,0,18,..,33,0,32,0,32,..,14,6,22,0,22,..,194,19,213,5,213,..,963,70,1032,11,1045,..,53,0,56,902,955,20204,1012,69,1086,913,22200
2010,4,11,0,13,..,8,0,9,0,9,..,11,0,20,0,15,..,19,0,19,0,19,..,125,59,189,7,198,..,779,109,880,14,899,..,33,8,49,846,897,15198,813,119,928,864,16985
2011,2295,32305,372,32671,..,10145,2173,12317,88,12405,..,26598,6387,32986,231,33223,..,79754,34611,114365,845,115215,..,191797,40576,232375,4171,236542,..,1394549,262094,1656644,16317,1672958,..,23130,5368,28498,202595,231093,2913791,1417685,267462,1685146,218910,4817843
2012,18,92,3,97,..,77,75,155,8,161,..,263,148,407,0,413,..,190,186,380,7,388,..,1006,339,1350,24,1371,..,4763,1744,6512,89,6605,..,192,44,232,4082,4316,42703,4957,1790,6747,4171,53620
2013,0,0,0,0,..,17,9,22,0,22,..,0,0,3,0,3,..,12,11,26,0,26,..,316,58,367,4,377,..,918,170,1084,11,1095,..,63,3,64,1502,1565,19336,982,169,1152,1518,21997
2014,0,4,0,4,..,17,0,17,0,17,..,0,0,0,0,0,..,11,5,17,0,13,..,66,8,67,0,73,..,358,21,384,5,386,..,31,0,30,680,712,10129,392,23,415,684,11230
2015,5,42,0,44,..,13,0,13,0,13,..,0,0,0,0,0,..,37,21,55,3,59,..,115,24,137,3,142,..,830,120,948,17,965,..,54,0,56,892,950,13388,885,121,1004,907,15301
2016,14,156,0,156,..,98,24,124,0,128,..,289,99,387,0,390,..,57,20,81,8,81,..,1876,711,2589,48,2632,..,8694,2229,10927,160,11083,..,230,61,287,3658,3947,38809,8928,2289,11215,3817,53841
2017,0,9,0,9,..,9,0,10,0,10,..,0,0,0,0,0,..,92,69,160,0,163,..,150,46,199,11,204,..,1035,326,1359,24,1382,..,46,17,62,681,741,9057,1087,340,1425,700,11186
2018,0,44,0,44,..,50,10,67,0,67,..,11,3,16,0,16,..,75,24,96,3,103,..,572,139,718,28,744,..,3022,500,3519,51,3571,..,134,35,167,3126,3290,36391,3152,529,3681,3179,43252
2019,6,33,0,33,..,17,7,28,0,28,..,5,0,0,0,3,..,15,7,26,0,26,..,133,15,147,13,154,..,1048,130,1182,21,1200,..,54,7,60,1030,1090,17592,1105,145,1243,1047,19882
2020,3,34,0,36,..,45,14,55,0,53,..,20,0,20,0,20,..,50,19,70,0,70,..,453,44,498,10,503,..,2048,244,2288,22,2311,..,98,6,102,2192,2291,38223,2139,252,2390,2216,42827
2021,6,28,0,28,..,56,15,76,0,76,..,8,0,10,4,16,..,70,54,122,0,127,..,259,33,296,13,307,..,1551,315,1868,42,1911,..,100,8,109,1891,2001,31835,1650,325,1976,1934,35743
3000,19,143,0,144,..,678,164,841,3,849,..,64,9,74,0,74,..,519,327,844,19,862,..,18418,2572,20990,636,21630,..,40262,5683,45945,971,46921,..,2367,266,2636,74354,76987,627965,42635,5947,48578,75325,751871
3001,0,9,0,9,..,42,6,46,0,46,..,9,0,9,0,9,..,36,10,41,0,41,..,181,11,184,5,190,..,1225,64,1296,14,1300,..,36,4,38,1754,1790,11428,1262,69,1333,1765,14523
3002,324,5562,66,5626,..,4436,1000,5438,44,5483,..,1493,217,1715,18,1735,..,18606,7629,26235,196,26430,..,60015,11450,71465,1457,72918,..,379295,60611,439903,4817,444723,..,9625,1560,11188,107957,119140,1883418,388917,62177,451094,112770,2447280
3003,0,38,0,37,..,86,90,181,0,181,..,48,17,69,0,69,..,144,71,214,0,214,..,657,113,776,16,794,..,3512,722,4238,57,4292,..,200,37,240,3837,4077,65377,3713,763,4474,3893,73747
3004,3,103,3,105,..,434,81,522,0,522,..,49,4,61,0,62,..,337,81,421,3,428,..,5781,801,6575,148,6726,..,19529,2761,22286,311,22603,..,1177,179,1359,12724,14080,116743,20703,2940,23641,13040,153425
3005,0,13,0,13,..,29,10,34,0,34,..,6,0,8,0,8,..,23,8,29,0,29,..,229,26,251,12,265,..,999,142,1140,19,1158,..,45,4,54,1176,1227,11700,1046,146,1197,1193,14089
3006,8,105,0,105,..,76,11,92,0,92,..,9,0,11,0,11,..,37,18,53,0,53,..,427,50,477,11,494,..,2839,242,3081,37,3121,..,119,9,137,2607,2744,39318,2956,255,3213,2646,45185
3007,11,453,5,456,..,1674,260,1930,10,1938,..,612,98,708,7,715,..,1333,279,1610,13,1626,..,10582,1233,11821,239,12061,..,77831,10346,88182,876,89054,..,2615,299,2913,39005,41922,562617,80447,10646,91092,39884,693596
3008,0,5,0,10,..,23,3,32,0,32,..,0,0,0,0,0,..,24,12,38,0,38,..,115,16,133,3,134,..,644,81,723,15,741,..,53,4,58,1131,1185,20496,695,84,780,1151,22424
3009,0,33,0,35,..,95,18,115,0,114,..,17,0,21,0,21,..,30,9,43,0,43,..,584,65,647,16,660,..,2647,237,2887,44,2926,..,142,8,148,3193,3339,51450,2783,246,3032,3238,57722
3010,0,4,0,4,..,12,0,13,0,13,..,0,0,0,0,0,..,12,4,20,0,20,..,104,11,113,5,120,..,457,76,535,12,543,..,38,0,43,643,683,9314,494,78,576,658,10545
3011,0,65,0,65,..,153,36,186,0,187,..,7,0,7,0,7,..,74,23,98,3,103,..,1151,107,1259,23,1284,..,5860,522,6386,89,6473,..,354,39,388,6772,7164,70692,6216,557,6771,6864,84333
3012,0,10,0,10,..,43,4,47,0,47,..,0,0,0,0,0,..,7,3,17,0,17,..,149,33,179,6,184,..,590,75,669,12,677,..,69,0,70,2262,2333,24471,659,80,738,2273,27489
3013,0,26,0,26,..,18,3,27,0,27,..,0,3,7,0,7,..,12,4,21,0,21,..,535,31,567,10,572,..,1660,120,1778,17,1797,..,113,12,127,1656,1789,14735,1772,135,1903,1679,18317
3014,43,190,0,194,..,72,18,89,0,89,..,3,0,3,0,3,..,245,167,415,5,413,..,797,163,962,24,987,..,4409,798,5202,71,5271,..,270,58,328,5777,6101,67914,4677,850,5533,5849,79293
3015,0,104,0,104,..,598,99,703,0,704,..,49,5,59,0,62,..,406,85,489,7,500,..,3675,374,4044,83,4127,..,21515,1749,23267,314,23579,..,1042,103,1148,18476,19626,339695,22562,1856,24416,18796,382903
3016,16,175,3,180,..,128,23,151,0,148,..,17,3,24,0,24,..,156,29,186,0,183,..,3344,1463,4798,81,4882,..,11917,2468,14386,189,14569,..,460,116,576,6235,6810,120775,12377,2585,14962,6426,142163
3017,9,228,0,228,..,234,56,286,0,287,..,10,0,14,0,14,..,290,108,397,3,404,..,3853,662,4512,67,4581,..,13045,1587,14633,160,14785,..,812,93,909,13545,14448,149769,13860,1675,15539,13704,179011
3018,0,3,0,3,..,18,0,21,0,21,..,0,0,0,0,0,..,13,4,13,0,15,..,81,7,89,6,96,..,516,68,590,8,595,..,37,5,34,1044,1080,13854,548,73,623,1052,15525
3019,0,0,0,0,..,24,6,30,0,30,..,0,0,0,0,0,..,9,4,16,0,16,..,152,14,170,5,174,..,658,49,714,11,725,..,53,3,62,1286,1351,18173,718,55,769,1297,20244
4000,3,65,0,66,..,212,49,258,4,262,..,63,18,86,0,82,..,198,56,251,0,251,..,4052,727,4775,240,5021,..,11566,1816,13379,367,13747,..,692,71,763,18611,19372,239270,12252,1890,14145,18976,272390
4001,155,3150,29,3175,..,1675,353,2030,18,2050,..,632,83,709,9,719,..,14937,6287,21228,132,21355,..,35776,8969,44752,886,45634,..,248728,43852,292576,2942,295516,..,5145,977,6120,46340,52457,1020234,253870,44835,298701,49274,1368209
4002,0,9,0,11,..,28,0,30,0,30,..,0,0,0,0,0,..,22,14,36,0,36,..,497,274,772,14,784,..,1472,365,1833,29,1869,..,87,17,101,1554,1658,25919,1556,381,1937,1589,29446
4003,0,13,0,13,..,12,0,17,0,17,..,31,14,50,0,50,..,64,42,108,0,110,..,267,58,323,3,323,..,1331,308,1642,10,1653,..,73,4,78,1453,1530,15059,1409,310,1720,1465,18243
4004,0,16,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,30,6,33,0,33,..,325,39,364,9,373,..,848,89,934,21,954,..,80,3,88,1558,1645,10913,928,91,1021,1576,13515
4005,0,0,0,0,..,16,0,17,0,17,..,0,0,0,0,0,..,14,4,15,0,15,..,105,18,115,0,116,..,594,52,648,11,658,..,66,5,77,1186,1260,14388,664,56,721,1193,16307
4006,0,7,0,13,..,8,3,10,0,10,..,0,0,0,0,0,..,16,3,16,0,16,..,115,22,134,0,138,..,564,83,649,10,654,..,57,0,54,775,829,12411,616,87,703,780,13896
4007,0,0,0,0,..,20,7,22,0,22,..,0,0,0,0,0,..,17,3,18,0,18,..,211,17,230,3,232,..,801,65,872,15,887,..,67,0,67,1067,1137,26344,877,65,942,1077,28363
4008,0,42,0,45,..,19,0,18,0,18,..,5,0,6,0,6,..,18,0,13,0,13,..,183,25,213,12,227,..,1233,107,1337,22,1361,..,83,6,95,1293,1382,18412,1314,113,1433,1308,21154
5000,4,88,0,89,..,383,91,471,11,480,..,18,0,17,0,17,..,335,190,518,4,526,..,10164,1094,11261,301,11560,..,21032,2263,23291,473,23768,..,1062,249,1318,37402,38710,220613,22095,2519,24605,37876,283092
5001,0,19,0,19,..,49,4,52,0,52,..,8,0,6,0,6,..,37,0,38,0,38,..,433,136,564,0,573,..,1987,243,2231,16,2249,..,80,7,91,1962,2050,30757,2068,258,2322,1977,35053
5002,0,17,0,17,..,62,11,71,0,71,..,6,0,10,0,14,..,20,0,25,0,25,..,506,22,532,11,544,..,1492,80,1574,16,1590,..,132,18,149,2053,2206,10859,1624,101,1721,2078,14660
5003,0,48,0,48,..,111,18,128,0,128,..,6,0,6,0,6,..,87,47,134,0,140,..,951,109,1059,31,1089,..,5698,623,6322,80,6399,..,240,20,256,4253,4512,65546,5938,641,6574,4329,76452
5004,0,20,0,17,..,70,10,81,0,82,..,0,0,0,0,0,..,53,26,77,0,77,..,356,76,436,11,444,..,1856,201,2061,29,2090,..,135,10,146,2207,2356,36102,1994,209,2204,2237,40544
5005,0,5,0,5,..,31,3,30,0,30,..,0,0,0,0,0,..,18,0,22,0,22,..,94,11,108,0,108,..,471,37,507,7,517,..,48,5,47,1196,1252,10242,516,43,556,1207,12003
5006,0,22,0,22,..,96,21,115,0,115,..,0,0,0,0,0,..,98,46,145,0,142,..,483,47,531,14,544,..,2601,288,2887,39,2929,..,173,10,183,3558,3738,31927,2774,297,3071,3592,38595
5007,0,40,4,43,..,119,24,149,0,149,..,10,0,10,0,10,..,46,16,62,0,58,..,915,63,978,27,1006,..,3413,261,3679,56,3727,..,193,30,225,2954,3181,22162,3613,289,3899,3005,29072
5008,0,18,0,18,..,110,14,128,0,128,..,4,0,4,0,4,..,33,10,42,0,42,..,420,41,459,14,473,..,1917,142,2063,31,2097,..,108,7,119,2502,2621,12300,2029,157,2184,2534,17013
5009,564,8347,95,8439,..,5472,924,6396,45,6441,..,1563,365,1927,11,1940,..,15193,6301,21493,163,21652,..,63147,9982,73128,1401,74528,..,382702,54080,436778,4690,441469,..,9830,1382,11213,93941,105155,1551617,392529,55464,447993,98630,2098239
5010,5,17,0,17,..,86,6,92,0,90,..,5,3,14,0,10,..,44,0,42,0,42,..,541,33,578,15,592,..,2025,147,2171,35,2215,..,189,8,199,2234,2428,10654,2213,162,2372,2275,15298
6000,0,20,0,20,..,108,18,130,0,130,..,22,8,21,0,21,..,48,13,61,4,61,..,1019,92,1113,31,1141,..,4679,375,5049,80,5131,..,362,12,373,10733,11110,149087,5037,385,5425,10818,165335
6001,0,28,0,28,..,27,6,38,0,38,..,0,0,0,0,0,..,16,0,17,0,17,..,156,27,187,4,189,..,1014,104,1115,15,1132,..,65,5,75,1371,1442,25251,1082,109,1191,1382,27826
6002,0,10,0,10,..,29,5,33,0,33,..,0,0,0,0,0,..,44,23,64,0,67,..,217,39,262,14,276,..,1526,180,1710,22,1735,..,80,3,79,1367,1450,28542,1601,185,1794,1393,31721
6003,15,298,3,301,..,279,40,313,5,322,..,49,5,59,0,60,..,919,131,1052,18,1064,..,2669,545,3208,123,3332,..,27878,2958,30831,380,31209,..,681,99,783,9371,10150,185290,28557,3056,31608,9752,226653
6004,3,101,0,101,..,91,13,104,0,104,..,10,0,10,0,10,..,214,32,244,3,247,..,1173,366,1543,39,1584,..,7701,1264,8971,106,9079,..,292,58,345,3721,4068,77805,7995,1320,9312,3833,90953
6005,0,0,0,0,..,7,5,12,0,12,..,0,0,0,0,0,..,9,0,9,0,9,..,104,15,123,0,125,..,361,36,397,3,408,..,33,0,33,747,785,13899,398,36,431,753,15086
7000,0,27,0,27,..,145,33,178,0,178,..,11,0,11,0,11,..,149,123,266,0,267,..,28025,4596,32617,815,33430,..,30853,5014,35867,869,36737,..,696,152,846,9006,9849,32890,31548,5163,36710,9873,79475
7001,5,27,0,27,..,64,10,67,0,67,..,4,3,10,0,10,..,69,23,93,0,93,..,2409,253,2661,67,2732,..,5669,552,6221,114,6333,..,212,32,246,1674,1917,17658,5883,585,6461,1785,25912
7002,39,487,6,488,..,619,163,785,5,783,..,37,5,45,0,45,..,939,261,1197,3,1203,..,3990,563,4557,134,4683,..,28679,3197,31875,391,32268,..,829,126,952,11286,12239,82705,29499,3328,32826,11680,127215
8000,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,25,4,27,0,27,..,113,6,117,0,119,..,9,0,9,197,204,1340,118,6,121,203,1666
8001,102,2449,25,2474,..,1132,231,1358,9,1373,..,377,33,410,11,421,..,4100,963,5058,41,5101,..,14927,1826,16750,315,17068,..,105162,11707,116863,1156,118018,..,1942,283,2225,18419,20646,351851,107105,11988,119089,19576,490517
9000,0,4,0,4,..,5,5,6,0,6,..,0,0,0,0,0,..,0,4,4,0,4,..,708,20,728,8,738,..,1567,348,1912,30,1946,..,15,10,24,863,889,1956,1583,361,1940,897,4788
