SUA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
1010,174,177,1358,1479,280,3221,516,2320,156,9675,580,1353,2633,2732,1135,1931,723,1719,219,13034,2749,6802,5235,3898,3325,2050,1450,2390,492,28390,4938,8068,4632,3496,4248,1925,1601,2204,541,31653,5215,7177,4052,3970,4914,2152,2068,2722,550,32823,3499,5087,3098,3182,4384,1832,2024,2545,344,26001,912,1547,696,625,1118,529,482,570,127,6607,163,182,63,30,123,72,47,56,66,796,18,9,4,0,3,6,0,0,30,71,18247,30404,21775,19418,19526,13723,8919,14518,2523,149052
1011,42,24,298,400,68,788,79,492,28,2232,129,201,461,526,229,352,88,369,51,2406,589,1336,1029,905,638,440,246,840,109,6133,989,1663,842,901,818,433,263,695,119,6714,1095,1547,783,921,1004,478,311,700,109,6948,748,1156,609,799,871,493,360,622,64,5716,262,407,158,152,250,137,108,161,18,1661,41,35,6,12,16,11,10,10,13,146,4,0,0,0,4,5,0,0,9,20,3895,6369,4170,4615,3901,3141,1470,3888,522,31976
1012,9,19,207,223,42,452,33,249,25,1256,96,224,365,371,159,188,65,189,40,1699,409,1196,836,895,544,406,256,540,98,5182,463,934,504,627,494,267,218,361,73,3948,497,687,393,477,522,231,240,279,62,3384,391,539,309,355,521,244,242,283,38,2912,123,170,104,79,146,80,80,84,6,882,44,11,7,9,17,7,8,12,13,134,4,0,0,0,0,0,0,0,0,13,2019,3785,2726,3038,2456,1889,1144,1988,355,19401
1013,4,4,67,87,18,194,9,106,11,498,32,38,92,120,29,81,14,68,8,477,99,244,192,210,98,85,32,99,12,1078,157,266,208,215,156,108,39,124,24,1290,166,265,200,260,176,153,72,173,32,1502,179,280,174,228,247,159,77,170,19,1534,62,129,41,63,71,44,36,57,13,518,15,15,9,9,13,3,3,8,10,78,3,0,0,0,0,0,0,0,0,10,708,1243,987,1191,812,832,284,799,133,6986
1014,13,9,106,77,36,253,19,146,12,673,46,102,223,187,78,151,57,162,17,1024,224,452,456,405,242,191,176,280,54,2489,288,364,295,360,261,142,169,247,42,2173,251,305,237,368,298,128,202,231,46,2055,223,300,195,293,267,118,217,243,35,1902,72,112,42,61,65,39,62,54,7,508,14,17,6,4,7,4,0,6,3,58,0,0,0,0,0,0,0,0,0,4,1134,1656,1560,1757,1253,1014,908,1369,220,10874
1015,14,6,70,58,24,184,19,118,10,498,29,49,131,156,68,116,38,95,19,688,83,273,240,280,143,130,100,191,24,1466,154,271,153,290,185,105,81,151,19,1407,167,250,140,278,213,106,110,155,25,1445,153,207,115,206,199,92,112,192,16,1298,52,53,38,30,50,25,38,47,9,329,16,8,0,3,4,5,7,5,9,54,7,0,0,0,0,0,0,0,0,5,665,1115,883,1305,881,760,505,957,124,7194
1016,18,8,117,75,27,235,14,126,14,646,46,91,166,127,71,125,40,182,28,880,236,459,377,246,229,148,155,586,74,2506,298,361,279,214,205,122,148,461,63,2159,319,265,180,161,243,144,140,413,33,1894,276,191,198,135,243,107,146,297,29,1626,97,70,52,36,78,31,54,83,8,512,21,10,7,4,13,5,8,7,6,77,5,0,0,0,0,0,0,0,3,8,1320,1451,1374,1007,1112,924,702,2155,271,10301
1017,7,7,52,46,12,146,15,111,0,402,23,30,85,107,42,70,27,66,14,457,84,153,140,185,98,78,59,130,19,948,105,182,109,177,99,75,66,110,23,951,115,163,119,220,118,76,84,138,18,1044,90,145,92,199,116,67,100,113,14,936,51,49,27,42,40,23,30,37,6,303,13,5,0,4,5,0,6,5,0,39,0,0,0,0,0,0,0,0,0,5,489,726,637,990,533,534,377,699,105,5082
1018,14,11,109,119,37,329,27,248,3,895,50,93,180,218,115,176,38,226,18,1116,200,544,398,418,283,217,126,340,37,2577,289,675,340,357,280,172,126,243,38,2522,274,594,289,408,374,186,140,282,41,2593,247,474,245,335,348,153,168,303,24,2312,69,154,71,82,87,42,39,76,9,619,11,17,13,4,10,3,0,6,10,73,4,0,0,0,0,0,0,0,4,12,1158,2563,1642,1946,1520,1285,682,1731,184,12716
1019,6,4,41,50,14,81,9,65,3,273,12,41,88,85,45,67,37,48,11,432,93,159,184,139,108,79,88,106,22,980,68,116,138,120,124,61,106,76,18,819,107,141,136,125,148,57,129,101,19,977,106,126,123,111,136,56,125,114,14,915,21,45,22,32,36,10,27,21,0,219,11,0,3,3,0,3,3,0,5,34,4,0,0,0,0,0,0,0,0,4,428,636,741,666,617,406,520,536,86,4647
1020,9,7,81,85,16,150,21,132,4,513,18,31,152,138,51,79,29,76,9,577,97,213,293,181,152,77,89,111,26,1237,197,292,271,186,225,72,100,108,42,1494,222,266,260,186,237,108,155,133,37,1601,140,148,188,128,191,90,125,123,11,1144,50,46,37,25,45,22,40,23,6,283,9,0,0,0,4,3,0,3,0,29,4,0,0,0,0,0,0,5,6,11,752,1010,1282,930,913,601,560,707,138,6890
1021,12,12,118,99,41,193,31,190,17,723,45,139,255,207,75,142,65,151,21,1096,209,451,482,349,264,148,154,233,60,2345,286,454,394,260,257,118,209,191,46,2206,345,489,354,291,349,155,237,194,33,2451,269,386,277,236,319,126,182,207,36,2035,98,137,53,35,94,31,50,50,11,559,17,22,5,4,11,5,3,3,5,75,0,0,0,0,0,0,0,0,0,4,1274,2093,1942,1481,1407,919,934,1217,236,11500
1022,3,5,70,109,5,109,17,92,0,408,25,58,165,75,27,52,44,64,5,505,111,289,303,161,115,103,197,129,24,1429,137,245,221,153,119,83,186,100,14,1261,169,183,152,141,146,81,158,108,18,1159,119,120,120,85,135,57,123,114,13,890,40,41,31,15,22,28,35,26,0,239,18,4,0,0,7,4,6,9,10,52,3,0,0,0,0,0,0,0,3,3,628,937,1069,738,576,517,757,641,91,5949
1023,5,3,61,39,14,115,13,106,7,359,11,32,147,66,43,61,49,65,10,481,73,160,299,132,109,93,222,170,27,1287,78,122,234,114,93,71,246,133,28,1121,108,115,160,120,113,56,239,137,15,1069,62,87,135,83,95,38,168,91,19,778,19,38,19,20,24,5,31,24,4,183,0,0,0,0,3,5,6,0,4,17,0,0,0,0,0,0,0,0,0,0,352,559,1057,572,492,456,978,727,106,5299
1024,13,14,115,174,18,263,36,172,15,815,28,47,218,223,66,130,28,87,15,834,151,292,382,224,138,115,63,148,27,1545,296,383,352,273,201,125,95,155,37,1923,428,497,398,326,371,179,154,211,49,2623,380,459,294,289,379,221,131,271,35,2457,101,160,59,66,115,57,41,63,19,678,14,38,9,0,23,9,9,6,6,107,0,0,0,0,0,0,0,0,4,0,1413,1883,1821,1584,1322,1098,546,1114,210,10996
1025,225,351,2100,2792,569,5146,597,3622,181,15576,1079,3090,4568,6071,2331,3664,1155,2829,333,25118,4825,15042,9801,7484,6089,3693,3248,4153,829,55155,7084,14665,7331,5577,6507,2662,3573,3426,783,51603,7017,11200,6182,5576,7200,2820,3909,3908,726,48540,4292,7391,4437,4133,5609,2319,3337,3488,490,35501,988,2081,777,759,1232,534,744,775,146,8030,156,219,70,45,134,62,69,96,65,913,16,13,5,3,6,8,0,3,25,71,25683,54052,35275,32434,29673,20894,16628,22301,3566,240511
1026,39,10,140,162,38,414,32,284,21,1149,88,126,382,372,117,221,66,194,25,1582,296,701,743,607,347,327,183,329,44,3575,415,631,502,502,327,212,149,304,52,3088,417,547,365,504,406,205,225,329,54,3054,321,441,303,404,332,179,208,275,31,2491,73,124,63,87,75,56,64,66,6,603,20,16,3,7,10,4,5,4,11,79,0,0,0,0,0,0,0,0,3,6,1670,2597,2499,2640,1648,1611,922,1789,260,15631
1027,23,24,197,251,51,409,42,270,24,1287,84,213,359,350,151,199,105,191,29,1674,415,1268,842,615,461,299,317,351,70,4628,547,1182,579,528,532,227,258,339,65,4246,550,917,456,440,600,212,288,341,62,3861,375,610,336,327,487,173,227,328,46,2907,112,217,75,68,151,63,100,95,14,894,24,24,8,7,20,7,11,9,0,115,6,0,0,0,0,0,0,0,0,10,2131,4453,2845,2581,2444,1599,1342,1927,299,19618
1028,23,13,157,394,56,525,42,343,26,1586,81,205,321,486,170,288,65,171,46,1834,296,1105,629,604,366,299,112,274,63,3746,579,1309,593,541,503,280,127,277,69,4279,719,1216,540,645,715,315,178,357,63,4755,507,843,404,520,632,306,229,374,43,3861,149,280,109,121,172,96,62,87,15,1096,35,29,11,8,13,12,10,8,18,143,0,0,0,0,0,0,0,0,8,16,2393,4997,2763,3320,2641,2132,820,1892,356,21307
1029,13,13,91,238,18,202,22,131,11,742,40,55,173,295,78,89,69,111,18,929,154,314,421,268,190,117,312,166,21,1966,171,247,300,176,195,95,314,121,30,1644,178,207,284,159,219,92,355,147,38,1676,119,139,181,95,163,67,236,101,25,1115,42,23,22,27,34,17,53,20,3,236,10,3,0,0,0,0,7,0,0,29,0,0,0,0,0,0,0,0,0,0,722,1002,1473,1249,887,687,1368,805,148,8338
1030,6,9,98,88,14,107,9,73,13,407,22,40,149,121,42,77,15,92,13,563,136,284,321,235,128,89,56,119,24,1401,204,342,280,217,165,110,61,133,23,1534,229,326,227,255,210,122,80,181,29,1659,194,257,156,241,199,114,89,150,20,1434,65,78,31,39,78,27,22,35,11,387,5,6,0,5,9,7,4,3,0,41,0,0,0,0,0,0,0,0,0,6,864,1346,1271,1201,830,654,340,792,131,7427
1031,1408,5002,11003,14399,5802,28107,3769,15872,1390,86742,10240,43619,26815,34179,27304,29783,11554,18650,4314,206460,68011,205969,60706,50480,67137,36035,27130,31239,12036,558745,106491,187969,49492,38069,73056,28840,25430,23824,10905,544067,92404,126206,41012,34775,68627,25129,26360,25665,7894,448068,52668,78373,30466,24640,52116,18544,24079,24444,5066,310390,13155,25667,7552,5761,15322,5409,6054,6829,1684,87433,2068,3647,715,463,1784,821,433,677,533,11141,215,235,50,17,103,70,9,43,157,906,346657,676683,227805,202793,311246,172736,124812,147249,43982,2253956
1032,32,25,216,243,52,483,51,311,27,1436,92,221,341,307,142,222,81,305,24,1743,343,1013,748,650,411,339,266,837,71,4665,498,834,543,492,412,258,247,606,46,3927,504,731,393,491,525,257,275,429,48,3637,358,584,322,361,500,212,280,402,41,3054,127,186,105,80,154,62,91,107,8,920,21,18,20,9,20,9,14,3,7,125,0,0,0,0,0,0,0,0,9,10,1966,3608,2682,2622,2218,1841,1296,3002,284,19521
1033,14,11,85,104,17,262,19,163,16,684,36,73,166,176,62,118,34,129,9,803,137,317,285,338,136,176,105,260,35,1793,186,298,224,311,177,158,104,209,36,1692,217,307,223,334,256,159,141,241,27,1909,189,291,192,302,223,161,171,263,28,1820,63,77,60,49,67,47,50,58,12,486,13,15,3,0,7,4,3,8,4,52,3,0,0,0,0,0,0,0,4,6,853,1390,1235,1614,944,1083,629,1328,169,9250
1034,9,9,75,81,16,175,12,99,10,480,15,31,119,74,29,63,15,46,9,402,127,203,250,164,103,82,31,108,18,1087,198,302,241,161,120,109,52,124,14,1325,217,266,231,195,149,129,56,166,12,1422,187,253,162,171,185,136,65,139,17,1316,74,75,55,43,62,40,20,40,7,421,11,8,0,7,10,3,0,0,10,48,0,0,0,0,0,0,0,0,0,5,828,1151,1127,906,679,739,246,735,100,6508
1035,34,52,349,442,97,712,42,346,28,2103,122,323,610,778,227,459,119,361,49,3042,570,1689,1100,955,604,450,281,582,109,6334,742,1464,743,638,623,327,276,592,95,5493,758,1216,557,586,763,299,296,444,90,5004,540,864,469,486,705,278,344,429,64,4183,185,256,130,111,172,87,116,132,13,1200,32,22,15,8,18,14,4,22,13,143,5,0,0,0,0,0,3,0,7,17,2987,5876,3975,4004,3214,2620,1483,2908,461,27525
1036,123,205,1461,1459,387,2561,333,1792,113,8444,605,2070,2836,3236,1502,1996,670,1465,235,14622,2828,8993,5224,3993,3338,1840,1706,2013,471,30404,4328,8254,4008,3315,3861,1585,2020,1866,478,29710,4351,6714,3647,3401,4447,1694,2171,2252,461,29135,2745,4569,2744,2482,3226,1335,1884,2154,318,21461,589,1217,492,416,738,313,378,466,83,4678,86,127,37,24,46,26,31,46,32,451,12,3,6,4,0,0,3,0,8,40,15663,32151,20454,18323,17559,11346,9198,12062,2205,138956
2000,539,166,3021,3096,479,5374,487,4630,471,18258,1434,1697,5187,3836,1506,2512,1147,3896,410,21621,6367,9704,10139,6600,4469,3124,3086,6881,973,51341,10818,11689,9192,6147,6259,3096,3516,6046,1037,57797,14343,12083,9331,7917,8270,4184,5110,7509,1226,69971,14504,10904,8090,7372,8239,4159,5896,8245,1277,68687,8476,3875,2054,1697,2553,1287,1780,2533,625,24868,2745,421,185,99,304,157,142,351,312,4717,346,13,9,3,19,9,7,37,98,543,59567,50552,47213,36759,32097,23900,21170,40123,6416,317796
2001,4,14,104,100,25,222,23,166,11,667,35,108,263,188,125,173,78,105,20,1099,233,577,664,353,366,171,220,232,53,2875,372,589,448,303,429,145,247,192,51,2781,388,444,337,290,420,160,247,166,52,2499,205,242,215,240,306,103,211,162,18,1702,55,60,55,32,87,27,58,48,8,429,8,5,0,3,4,4,5,4,3,46,0,0,0,0,0,0,0,0,0,5,1310,2040,2084,1507,1760,1004,1091,1073,218,12099
2002,7,8,71,68,10,167,7,104,7,448,29,35,117,109,42,73,33,106,17,557,119,271,229,167,129,114,75,212,23,1332,124,249,166,178,136,88,69,132,23,1162,155,226,161,203,176,120,92,162,29,1310,148,200,140,150,163,93,96,182,20,1197,68,57,40,45,65,30,39,49,9,399,21,6,5,0,0,7,4,4,13,58,4,0,0,0,0,0,0,0,6,3,677,1056,929,918,725,678,415,940,131,6475
2003,77,53,421,569,122,1237,82,741,45,3337,263,551,992,1178,488,846,185,648,82,5253,999,3175,2045,1690,1318,905,581,982,177,11867,1484,3281,1441,1264,1444,599,488,773,124,10900,1622,2551,1146,1290,1526,643,574,892,150,10399,1070,1744,942,1003,1246,566,614,842,116,8151,277,493,192,209,279,150,170,235,43,2053,53,48,11,10,12,18,3,17,19,208,3,0,0,4,5,0,0,0,11,24,5841,11915,7193,7213,6437,4962,2706,5140,780,52182
2004,46,28,353,454,115,1156,96,781,44,3068,195,599,829,980,454,699,222,710,85,4768,825,3063,1840,1494,1031,736,556,1175,168,10880,1311,2739,1333,1204,1164,544,523,964,140,9904,1336,2142,1044,1189,1371,595,623,852,149,9300,907,1519,814,1036,1181,505,627,895,106,7600,280,454,189,226,286,134,162,238,41,2009,37,28,18,8,26,22,15,33,18,201,4,3,0,0,0,3,0,0,8,21,4956,10576,6415,6590,5622,4383,2827,5641,758,47758
2005,4,0,23,43,8,86,5,62,3,234,4,15,49,40,17,22,13,41,3,207,58,171,118,91,71,25,32,69,6,643,157,381,111,98,76,36,27,68,15,969,172,398,132,127,104,44,36,81,21,1112,123,285,116,143,112,60,41,101,10,997,53,122,33,20,49,19,22,22,4,345,11,10,0,0,7,3,0,0,0,32,0,0,0,0,0,0,0,0,0,3,574,1392,582,564,448,306,166,447,72,4557
2006,16,3,50,45,6,155,11,153,11,445,31,28,102,81,33,76,39,147,10,548,91,172,242,149,77,87,78,386,27,1306,125,171,170,155,104,62,89,240,19,1124,139,136,133,181,137,68,123,211,24,1156,110,114,111,153,133,65,125,171,12,990,53,41,32,34,33,24,32,46,13,317,9,5,0,0,3,0,0,3,0,31,3,0,0,0,0,0,0,0,3,10,574,677,849,798,521,537,493,1350,119,5923
2007,6,12,127,152,17,269,13,145,14,754,34,93,204,167,55,119,22,93,8,793,190,427,399,257,148,125,75,198,28,1851,306,436,330,230,207,116,75,178,19,1892,384,369,273,277,306,177,168,239,28,2222,287,280,230,256,272,166,205,252,39,1986,107,84,62,66,70,56,52,70,12,578,17,12,0,7,4,5,10,16,4,70,5,0,0,0,0,6,0,0,0,10,1337,1711,1621,1421,1074,1038,621,1189,164,10162
2008,97,82,929,1484,227,2957,232,1875,100,7988,572,1515,2459,2916,1099,2185,762,1672,226,13405,2935,9256,5648,4295,3060,2015,1722,2537,499,31966,4755,8983,4366,3351,3536,1625,1406,2060,524,30607,4595,6851,3552,3446,3796,1667,1676,2145,502,28231,2906,4572,2452,2684,3128,1448,1715,2025,318,21250,819,1415,553,523,850,409,430,617,132,5745,164,135,52,36,65,38,31,77,47,646,17,12,3,0,9,4,0,6,12,58,16864,32821,20021,18728,15775,12346,7981,13007,2357,139894
2009,9,10,116,151,20,241,10,182,8,743,34,70,181,157,68,104,38,97,16,761,154,381,319,187,171,66,72,79,16,1442,478,833,418,228,358,94,102,107,36,2659,581,777,387,289,415,149,111,129,41,2882,407,523,262,180,335,106,111,108,30,2065,79,165,64,35,102,22,38,32,8,540,29,12,9,8,0,4,3,4,0,74,0,0,0,0,0,0,0,0,5,3,1770,2784,1748,1234,1474,787,482,736,162,11174
2010,11,0,103,58,9,176,10,127,5,493,33,98,158,111,82,91,44,94,7,717,155,480,321,250,173,131,79,175,29,1795,228,355,212,190,180,107,90,125,31,1510,261,288,172,216,205,114,100,143,22,1533,255,214,143,183,188,130,135,150,24,1429,94,59,47,39,58,37,43,45,5,415,31,8,9,0,3,4,7,12,12,87,3,0,0,0,0,0,0,0,3,10,1066,1502,1158,1056,900,795,511,869,137,7987
2011,1396,2828,9870,18350,4917,37792,3058,21437,1649,101292,9906,35636,33447,39257,26318,38582,12461,24652,4761,225014,62709,201406,81294,62835,70344,38630,32649,41124,12960,603956,99632,182968,64240,49126,70391,29163,30191,30890,11509,568097,89585,122008,52535,43628,68273,27455,29146,32215,8754,473592,51919,75083,36466,30378,52187,20200,25213,27722,5396,324559,13142,23542,8619,6666,14242,5693,6070,7897,1765,87631,2073,3139,829,475,1393,773,397,1067,560,10698,176,201,42,22,74,54,15,60,181,818,330528,646799,287349,250732,308136,198343,139187,187051,47538,2395663
2012,33,24,200,150,51,585,35,336,23,1429,111,201,440,355,183,302,104,305,62,2050,470,1139,817,710,438,348,296,785,130,5114,702,924,633,541,506,286,284,573,97,4534,828,908,556,587,639,338,311,555,129,4856,679,655,430,477,555,309,396,538,76,4122,257,178,121,95,168,74,110,164,24,1180,38,8,10,6,11,13,6,23,20,131,9,0,0,0,0,0,0,0,7,18,3129,4025,3195,2911,2554,2253,1541,3271,568,23438
