SUA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
3007,..,62239,62239,82278,9623,91895,39357,2337,41690,37760,775,38532,14422,193,14615,7082,114,7192,180893,75272,256170
3008,..,2621,2621,2930,256,3181,1173,28,1204,1026,9,1040,438,4,447,271,4,270,5843,2923,8759
3009,..,6403,6403,9216,721,9940,2834,85,2921,2232,14,2248,1031,4,1035,609,0,609,15926,7239,23163
3010,..,1200,1200,1302,125,1424,511,21,530,440,10,453,236,5,239,143,3,145,2631,1361,3989
3011,..,7884,7884,9670,826,10492,4503,182,4686,4425,39,4465,1976,11,1982,929,0,931,21500,8942,30437
3012,..,3286,3286,3866,307,4173,1304,46,1347,1093,5,1103,474,0,474,325,0,327,7066,3636,10706
3013,..,1779,1779,1750,196,1950,897,38,932,894,13,903,450,0,456,309,0,309,4299,2026,6328
3014,..,7686,7686,8755,766,9522,4143,135,4283,4192,39,4235,1804,10,1807,957,7,965,19853,8644,28494
3015,..,33864,33864,51081,4221,55307,20549,990,21538,20650,339,20987,8194,77,8270,3551,25,3573,104020,39513,143532
3016,..,14885,14885,17645,1355,18993,7283,284,7571,6816,69,6890,3214,16,3232,1881,9,1890,36838,16627,53468
3017,..,16981,16981,20237,2167,22410,9990,525,10516,8859,167,9022,3772,41,3813,2046,14,2058,44903,19893,64797
3018,..,1928,1928,2124,129,2253,768,21,782,629,4,631,312,0,312,199,3,196,4030,2078,6109
3019,..,1873,1873,2703,163,2867,1040,23,1059,1022,0,1027,444,0,444,204,0,204,5403,2065,7473
4000,..,30406,30406,39132,2008,41143,12175,212,12388,11765,68,11837,5706,25,5729,2649,26,2679,71431,32743,104172
