SUA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
3011,210,269,480,90,89,177,76,284,358,103,548,647,319,1270,1591,379,874,1255,1017,518,1528,911,677,1590,1076,779,1858,1279,579,1849,1000,567,1564,1180,455,1631,2668,841,3506,2172,100,2273,1894,216,2105,1235,44,1279,2968,235,3201,2681,252,2935,250,356,607,21500,8942,30437
3012,74,66,140,40,42,80,51,156,201,51,309,368,220,939,1159,206,511,715,851,260,1106,694,325,1018,702,269,974,705,177,887,402,120,519,425,76,502,742,89,831,485,10,493,311,11,325,182,0,185,328,21,342,477,39,518,129,218,345,7066,3636,10706
3013,37,69,107,8,25,31,17,89,107,21,98,117,60,117,178,81,82,165,117,83,199,116,108,223,151,162,317,199,149,347,170,143,313,181,149,330,511,362,874,466,26,497,527,74,599,329,26,352,841,91,939,411,50,456,57,130,186,4299,2026,6328
3014,163,247,410,76,81,152,74,287,358,102,585,686,335,1479,1815,420,909,1328,1232,618,1854,1121,761,1879,1243,773,2019,1472,576,2046,1121,453,1571,1121,394,1518,2669,564,3227,1869,93,1964,1525,129,1653,945,23,967,2037,172,2217,2074,139,2220,256,350,606,19853,8644,28494
3015,999,1140,2139,494,479,977,432,1123,1551,405,2371,2777,1594,6601,8196,1912,4746,6659,6449,2961,9411,6018,3518,9539,7365,3352,10721,8671,2632,11298,6051,2019,8072,6625,1623,8249,13649,2444,16091,9913,485,10399,7550,618,8167,4656,162,4817,12307,990,13296,7819,871,8697,1098,1380,2475,104020,39513,143532
3016,315,445,759,151,163,311,128,442,577,173,969,1143,616,2724,3334,688,2052,2740,2431,1251,3685,2210,1577,3784,2583,1591,4175,2991,1283,4269,2318,991,3311,2411,735,3150,5133,1012,6145,3628,164,3791,2665,207,2872,1647,48,1694,3665,277,3943,2690,231,2920,397,468,864,36838,16627,53468
3017,356,572,932,150,211,360,148,606,757,246,1094,1342,605,2409,3018,779,1895,2670,2172,1350,3518,2101,1772,3877,2649,1998,4649,3230,1711,4937,2588,1432,4024,2858,1081,3943,6153,1533,7688,4939,290,5227,3773,360,4136,2402,91,2490,5112,433,5550,4204,487,4690,428,559,987,44903,19893,64797
3018,47,61,103,27,22,53,20,60,84,22,143,168,101,457,554,113,302,409,443,170,616,353,211,572,347,185,531,390,104,484,296,72,365,273,52,329,504,69,574,276,11,286,173,13,184,99,3,106,177,20,198,294,23,318,73,101,174,4030,2078,6109
3019,49,74,127,32,31,60,25,62,90,25,131,157,92,401,489,103,238,338,351,131,478,268,149,418,344,157,504,331,120,455,227,103,333,286,95,386,616,143,760,477,20,494,425,50,478,302,3,310,679,52,726,710,40,751,60,68,126,5403,2065,7473
4000,759,934,1697,382,419,806,374,1253,1625,395,2607,3010,1709,7232,8936,1723,3830,5550,6487,2528,9016,5274,2960,8239,5528,2816,8341,6589,1873,8464,4259,1371,5627,4667,955,5623,8566,1271,9838,5871,156,6021,4193,255,4448,2278,46,2325,4987,481,5466,6184,311,6491,1202,1445,2651,71431,32743,104172
4001,3051,4833,7876,1339,1905,3240,1507,5639,7145,1838,11593,13426,5823,28459,34281,7131,18102,25230,21611,11959,33569,21305,14730,36032,25479,15616,41100,29105,11946,41049,21627,9571,31199,22537,7020,29561,48499,10412,58912,36306,1784,38096,27898,2322,30218,17803,601,18407,44044,3408,47454,22113,2741,24856,3055,4663,7720,362073,167290,529364
4002,60,98,151,31,43,69,34,160,194,56,331,386,181,879,1058,202,484,688,654,323,975,551,416,962,562,366,927,667,233,893,502,185,684,540,112,652,1167,181,1347,697,14,712,527,23,555,248,3,245,477,49,529,491,39,530,79,157,240,7714,4097,11808
4003,49,65,116,12,38,52,12,100,119,31,222,255,126,631,756,138,334,473,507,187,700,425,221,647,447,220,666,512,132,643,312,97,405,297,56,356,567,65,641,309,12,316,182,11,192,95,0,95,194,16,207,311,27,336,81,121,204,4611,2568,7177
4004,30,43,71,8,26,32,17,83,101,20,144,163,78,326,402,79,180,263,267,139,407,206,154,362,254,142,398,249,113,366,203,108,312,187,63,255,353,113,466,283,4,288,215,35,248,124,0,125,206,25,229,359,17,381,66,65,131,3194,1802,4993
4005,31,52,86,13,14,32,23,84,104,33,183,211,94,414,511,103,232,338,320,154,472,245,231,479,332,186,517,354,112,472,245,99,343,278,51,327,585,88,667,388,17,407,236,21,257,141,10,145,278,43,321,435,28,469,54,94,146,4185,2116,6302
4006,26,47,69,15,34,49,26,118,141,22,215,241,121,614,729,128,244,371,393,133,527,292,177,468,290,149,447,327,116,444,201,94,294,192,60,256,410,73,477,289,9,299,188,11,196,134,0,138,173,37,208,282,18,295,78,117,193,3592,2255,5847
4007,82,100,185,46,64,110,40,145,179,57,338,395,199,1043,1242,238,850,1096,1103,436,1542,944,410,1352,1027,319,1348,977,178,1154,446,144,589,489,65,558,723,108,828,419,7,426,270,22,294,145,5,148,372,38,407,537,37,570,101,159,260,8208,4477,12684
4008,73,69,144,24,52,81,36,213,244,41,380,424,156,704,862,175,326,498,499,197,692,409,273,682,392,264,650,430,201,627,271,193,469,294,129,422,608,194,804,486,18,503,405,37,437,240,7,246,413,38,450,426,33,456,110,160,267,5486,3474,8952
5000,698,917,1614,368,364,736,421,1114,1535,456,1953,2410,1543,4871,6410,1466,2542,4006,4557,1686,6244,3679,2251,5932,4121,2342,6465,4584,1763,6347,3103,1541,4643,3530,1190,4719,7254,2086,9337,5411,160,5573,4420,520,4944,2663,73,2736,6521,638,7156,8322,445,8764,1196,1244,2440,64313,27707,92016
5001,79,129,208,45,66,109,32,154,186,62,323,385,194,824,1020,213,611,824,712,324,1041,576,390,971,696,385,1082,797,227,1026,558,212,768,571,147,712,1167,228,1391,860,19,874,608,40,648,328,10,331,679,62,744,807,60,860,108,163,272,9075,4372,13451
5002,22,33,54,10,14,20,17,45,56,28,111,138,40,105,141,54,59,111,82,60,142,80,70,154,111,118,227,113,95,211,104,107,213,122,96,219,385,164,545,345,33,374,358,35,390,227,14,246,555,65,619,489,66,554,71,53,123,3201,1333,4532
5003,151,221,373,68,81,151,91,249,342,111,574,685,368,1408,1773,451,824,1279,1330,594,1923,1085,680,1757,1252,712,1961,1357,554,1913,1049,480,1527,1192,386,1575,2563,605,3164,1997,59,2060,1668,168,1837,933,36,966,2148,178,2321,2217,141,2360,178,243,427,20220,8185,28400
