SUA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
1011,176,41,474,307,167,157,52,180,21,1560,0,3,3,0,0,6,0,17,0,33,54,51,34,37,28,12,13,48,9,294,83,60,92,86,58,48,32,142,97,695,2738,6047,3208,3337,2716,1309,633,1653,294,21936
1012,84,28,231,152,96,77,27,84,10,799,0,3,8,8,0,5,0,4,0,33,16,22,20,25,24,4,13,23,3,156,25,40,54,53,40,35,35,54,72,406,1485,3554,2034,2175,1622,769,531,806,212,13187
1013,42,7,146,88,27,42,6,47,7,414,0,0,0,0,0,0,0,4,0,4,8,8,6,6,4,3,0,10,0,54,20,16,31,39,18,28,5,27,29,206,491,1172,761,863,506,320,113,336,78,4639
1014,48,17,151,101,45,50,29,53,3,486,0,0,0,0,4,5,0,7,0,20,18,17,15,9,13,4,13,5,0,93,16,20,33,27,6,11,21,42,41,215,813,1550,1169,1291,785,379,389,485,130,6996
1015,20,10,95,76,36,33,17,32,0,318,0,0,0,0,0,0,0,0,0,5,5,12,5,5,4,6,7,5,0,54,18,10,17,35,11,10,17,35,23,166,440,1048,651,964,602,280,194,367,67,4617
1016,33,7,114,63,36,20,15,61,6,362,0,0,0,0,0,0,4,10,0,11,9,7,16,13,7,3,13,49,3,121,20,16,36,25,21,16,18,75,55,276,770,1329,1036,713,645,321,273,780,139,6002
1017,26,3,67,48,19,27,14,33,5,232,0,0,0,0,0,0,0,0,0,0,0,5,7,9,3,5,8,3,0,42,11,15,14,30,8,20,14,28,21,158,339,659,455,734,362,202,147,247,55,3191
1018,49,10,166,91,44,57,23,79,4,518,0,3,0,0,0,0,0,0,0,12,13,15,14,16,17,4,9,16,0,107,22,18,34,35,20,23,15,40,35,234,817,2419,1221,1416,1024,486,292,681,115,8474
1019,23,9,58,40,39,14,21,33,3,243,0,0,0,0,0,0,0,0,0,9,5,3,4,4,4,0,3,0,0,37,6,0,14,14,17,10,19,12,16,102,302,583,590,462,376,146,278,215,44,3001
1020,35,6,66,49,40,24,17,17,3,266,0,0,0,0,0,0,0,0,0,4,10,3,16,8,15,4,10,3,8,77,11,7,34,11,11,11,10,15,29,143,560,920,1025,669,613,244,257,248,99,4633
1021,48,14,147,80,56,47,39,56,9,480,3,0,0,0,0,0,0,0,0,7,16,20,10,17,9,6,6,7,8,97,17,13,33,18,18,16,27,27,34,198,961,1938,1503,1098,912,382,412,496,144,7843
1022,31,3,82,57,25,21,34,29,3,282,0,0,0,0,0,0,0,0,0,0,8,4,9,0,4,3,10,7,3,53,10,0,18,15,9,10,21,12,17,120,460,889,850,498,392,204,430,267,58,4064
1023,9,0,61,35,22,24,33,21,0,206,0,0,0,0,0,0,0,0,0,3,5,0,18,3,0,0,14,4,5,56,6,6,21,6,4,9,25,18,25,117,245,511,866,382,337,154,486,255,58,3296
1024,74,18,201,114,45,57,28,57,8,594,0,0,0,0,0,0,0,0,0,3,20,18,18,13,15,0,10,7,9,107,25,32,37,33,20,24,17,15,35,231,1090,1755,1427,1079,869,450,278,443,134,7520
1025,881,301,3023,1737,1128,860,539,877,82,9435,6,13,14,21,24,20,13,26,0,136,254,369,270,237,274,118,235,172,69,1994,338,333,598,466,372,265,390,466,603,3843,20217,50830,27870,22132,20238,8012,8065,8054,2170,167587
1026,84,15,238,159,60,69,40,94,4,773,0,0,3,3,0,4,0,3,0,16,22,24,18,34,16,5,6,17,7,155,27,26,49,52,33,36,25,39,47,338,1237,2436,1983,1910,1130,652,414,771,147,10687
1027,91,29,282,148,100,70,54,89,12,881,3,0,4,5,5,0,0,5,0,20,25,29,25,25,19,10,12,9,4,157,22,43,36,28,37,37,38,55,44,349,1629,4233,2219,1842,1666,611,643,724,177,13740
1028,137,35,338,180,123,97,33,112,14,1066,3,3,0,8,6,5,0,6,0,24,30,37,25,27,26,13,16,10,9,193,37,31,42,49,46,44,19,34,70,372,1849,4714,2183,2290,1847,873,355,787,206,15118
1029,27,6,92,70,24,31,55,31,6,340,0,0,0,0,0,0,0,0,0,4,8,5,8,10,7,5,19,9,9,77,17,3,20,18,16,11,39,16,31,177,542,923,1204,725,598,231,745,273,76,5323
1030,40,11,140,72,35,40,12,37,4,386,0,0,0,0,0,0,0,0,0,4,7,23,9,22,6,0,10,8,3,84,15,9,20,21,4,20,11,18,20,144,649,1241,980,844,552,284,161,343,73,5125
1031,8315,2664,17031,8823,8789,5629,3739,5264,768,61015,143,194,178,177,243,173,172,315,50,1648,4705,6661,2181,2408,4028,1780,1993,1542,857,26145,3815,4684,3959,2945,4272,2336,2730,3040,7932,35708,290689,632576,174844,146787,220773,93061,59441,66878,30243,1715289
1032,96,27,244,164,87,81,50,119,10,877,0,4,0,5,0,5,0,5,0,21,15,25,19,17,18,6,14,26,0,139,34,16,48,45,43,38,33,86,40,391,1394,3398,1992,1867,1453,686,582,1108,155,12635
1033,41,6,144,86,33,35,10,59,3,413,0,0,0,0,0,4,0,3,0,5,6,14,7,13,5,0,5,7,0,59,19,13,34,41,21,29,23,48,27,259,567,1308,904,1207,569,381,254,500,94,5781
1034,50,7,137,65,26,30,11,41,7,368,0,0,0,0,0,3,0,0,0,5,4,5,9,10,0,8,0,9,0,46,16,5,22,17,18,15,9,24,11,135,625,1085,882,616,446,308,108,321,64,4461
1035,124,39,311,244,117,101,43,134,8,1130,5,5,6,13,10,7,0,14,0,58,37,41,30,38,29,14,15,24,6,238,35,31,66,59,42,32,41,71,72,464,2202,5496,2948,2698,2150,952,661,1095,249,18455
1036,555,150,1412,874,637,413,287,473,49,4856,6,9,0,12,6,15,6,10,3,69,175,275,145,151,165,57,122,102,44,1223,174,193,316,250,226,143,199,241,346,2089,12629,30208,16193,13259,12079,4703,4636,4964,1444,100116
2000,1779,314,3746,1800,1333,1139,558,1654,161,12481,23,15,14,20,8,11,12,59,3,164,696,609,379,441,378,149,309,343,127,3432,1391,461,1252,789,575,608,728,1313,959,8072,39012,47407,35625,26698,19934,9448,9866,16795,3608,208400
2001,34,19,134,57,62,38,22,37,3,410,0,0,4,0,0,4,0,4,0,5,17,21,25,15,16,4,16,17,5,134,32,11,44,26,29,25,24,20,51,256,953,1892,1608,1137,1049,397,477,450,141,8112
2002,25,4,76,58,42,40,14,56,0,316,0,0,0,0,0,0,0,3,0,8,8,3,8,8,7,8,0,7,0,51,9,7,26,12,17,9,10,25,22,138,459,990,687,643,474,250,186,336,75,4090
2003,224,47,649,348,241,210,84,226,14,2051,0,6,3,4,4,3,0,11,0,28,89,121,72,82,85,41,47,40,21,587,75,64,140,88,87,62,62,108,111,809,4457,11266,5441,5154,4143,1940,1288,1957,451,36096
2004,205,45,632,339,204,169,92,252,24,1965,4,5,8,0,5,3,3,11,0,36,67,95,48,62,57,32,46,37,13,456,58,67,117,84,50,62,79,108,143,768,3634,10000,4902,4880,3437,1638,1308,2114,448,32363
2005,18,5,59,14,17,10,0,16,0,133,0,0,0,0,0,0,0,0,0,3,26,33,4,7,15,7,4,6,3,103,13,11,11,9,8,5,8,3,7,78,453,1334,464,432,300,132,80,177,52,3426
2006,23,3,106,39,20,25,23,63,3,308,0,0,0,0,0,0,0,3,0,3,12,6,3,7,13,4,4,9,0,54,14,8,19,7,10,10,12,33,27,136,379,615,606,598,293,171,195,478,60,3389
2007,61,4,206,78,51,42,27,57,9,534,0,0,0,0,0,0,0,5,0,10,13,10,11,10,9,7,9,12,0,85,30,9,32,15,17,16,24,34,25,199,919,1595,1241,951,609,348,268,455,83,6472
2008,587,150,1803,868,576,517,278,568,60,5392,7,9,8,9,9,10,4,16,4,74,241,358,180,259,218,87,111,137,55,1646,231,222,396,267,214,162,147,285,414,2332,13193,31040,15643,13862,10557,5116,3851,5607,1537,100407
2009,42,11,97,43,54,26,11,27,5,311,0,0,0,0,0,0,0,0,0,4,26,45,17,25,27,7,11,7,0,169,25,15,34,12,16,12,14,11,36,185,1396,2586,1388,836,901,323,259,304,116,8117
2010,47,14,122,50,48,46,20,23,0,364,0,0,0,0,0,0,0,5,0,10,8,10,8,16,5,0,0,4,0,60,26,11,18,11,9,5,18,26,20,147,713,1407,869,791,549,264,228,291,81,5186
2011,9254,2704,24673,12163,9680,7376,5778,7835,1030,80494,122,145,186,175,151,148,164,305,40,1446,5626,7981,3139,4021,4874,2124,2341,2164,1073,33343,3906,4188,5532,3676,3882,2622,3195,3808,8371,39174,267410,609215,216716,185077,210929,95555,69778,83954,31556,1770192
2012,118,36,315,148,97,112,57,138,15,1024,10,3,0,4,0,0,0,16,0,33,25,27,21,35,8,5,23,38,5,203,75,43,89,60,51,53,48,112,111,641,2016,3741,2348,2154,1503,771,648,1165,276,14623
2013,29,18,97,60,44,38,21,46,9,358,0,0,0,0,0,0,0,0,0,4,17,9,10,13,4,4,3,11,6,80,18,13,49,22,16,25,16,40,39,238,515,1007,1296,977,670,272,346,455,114,5647
2014,19,3,50,31,20,26,10,25,7,202,0,0,0,0,0,0,0,0,0,5,6,7,15,10,4,4,4,8,0,49,7,7,9,16,7,9,19,22,20,118,287,691,533,514,260,124,209,214,63,2894
2015,36,8,97,52,25,27,4,39,3,298,5,0,0,0,0,0,0,0,0,6,16,19,7,4,3,6,3,5,0,63,18,11,15,14,12,9,8,15,10,97,599,1348,737,709,432,209,136,258,68,4493
2016,93,23,289,142,113,99,54,132,10,965,0,0,0,0,0,6,0,10,0,15,33,36,31,23,17,10,23,32,4,217,63,36,67,33,38,41,46,101,83,507,1826,4036,2306,2149,1469,767,591,1285,245,14665
2017,17,8,74,43,30,20,6,28,7,231,0,0,0,0,0,0,0,4,0,5,8,12,10,6,0,6,4,9,3,46,14,4,7,7,3,7,7,23,13,91,437,844,528,467,324,167,97,268,54,3188
2018,88,16,238,125,136,70,26,79,7,805,0,0,0,0,0,0,0,0,0,4,15,20,37,17,21,3,20,24,4,162,32,21,67,42,35,25,42,59,52,361,1193,3067,2210,1685,1462,564,606,776,197,11765
2019,49,5,144,64,39,54,27,69,0,451,0,0,0,0,0,0,0,0,0,0,5,10,7,6,9,8,9,10,0,65,23,13,20,13,23,16,17,34,36,183,672,1623,952,1007,575,329,259,427,88,5925
2020,77,25,233,116,95,81,42,94,12,788,0,0,0,6,3,0,0,0,0,13,35,27,24,36,23,6,16,18,9,198,47,31,47,43,37,20,39,58,72,383,1724,3363,2414,1917,1426,670,647,1085,209,13458
2021,93,23,290,145,70,98,21,121,14,874,0,0,0,5,0,0,0,11,0,13,24,28,23,22,19,11,12,16,8,156,31,21,38,31,19,30,20,73,48,312,1390,3312,1855,1696,1163,615,387,895,164,11477
3000,1602,300,3370,1885,1349,1113,1014,1975,182,12789,16,11,32,46,19,51,17,83,3,277,429,331,408,334,279,119,451,364,134,2850,1121,481,1348,896,664,616,1159,1812,1318,9412,28667,36547,36870,24818,19526,8853,14322,19106,3990,192689
3001,86,18,248,152,57,64,33,76,5,727,0,0,0,0,0,0,3,0,0,9,15,11,8,19,9,6,8,15,0,94,15,12,39,18,14,12,13,26,33,188,783,892,1133,863,466,319,292,571,84,5387
3002,5292,1684,12200,7381,5950,4463,2651,4716,479,44811,86,106,143,178,152,213,110,226,14,1237,1802,2452,1352,1507,1795,812,1248,1048,419,12440,1957,1971,2797,2139,2193,1465,1834,2331,4091,20782,120890,283064,115651,102965,107728,46532,35510,47563,13979,873884
3003,149,23,381,230,106,149,46,193,15,1296,0,0,5,0,4,6,0,6,0,21,23,27,37,35,22,18,36,42,15,253,49,43,92,80,53,42,52,142,98,648,1958,4652,3038,3221,1903,1060,856,1696,275,18666
3004,478,112,1212,725,406,420,187,429,37,4004,5,9,4,9,4,5,3,12,0,60,94,114,114,132,86,52,57,44,34,718,117,126,213,219,116,128,93,200,258,1468,5977,14371,8460,8149,5631,3030,1967,3112,792,51483
3005,31,9,61,50,36,37,41,36,0,314,0,0,0,0,0,4,0,0,0,8,12,4,10,4,0,4,13,3,4,67,21,13,41,15,11,10,33,33,19,192,544,971,1071,433,468,267,562,306,81,4706
3006,83,23,214,139,74,90,101,103,9,823,0,0,0,4,0,3,0,0,0,13,15,39,77,27,25,10,80,31,9,308,32,22,97,38,42,20,74,69,87,489,1245,3081,3550,1662,1354,675,1235,956,290,14039
3007,2170,616,5223,2999,2085,1801,713,1761,197,17567,27,30,26,39,28,41,14,57,16,272,416,531,395,373,378,221,217,289,132,2959,714,590,1043,732,654,584,442,702,1293,6757,32052,62718,36774,31748,26549,16730,8309,14691,4283,233854
3008,48,8,139,78,30,69,23,88,6,492,0,0,0,0,0,0,0,0,0,0,8,10,7,17,6,6,15,16,3,82,18,10,39,19,15,20,25,46,32,222,484,1085,1003,932,615,407,332,581,98,5536
3009,120,20,311,228,90,114,39,112,11,1038,0,0,5,0,0,4,0,0,0,7,20,30,36,34,12,14,20,30,3,199,25,23,68,82,20,46,26,57,73,417,1287,3568,2053,2711,1343,782,468,911,219,13348
3010,19,3,43,34,15,18,20,54,0,207,0,0,0,0,0,0,0,0,0,0,5,3,9,6,7,3,5,6,0,38,10,0,22,8,8,12,0,16,16,90,299,623,500,472,265,158,146,323,43,2826
3011,174,39,484,262,195,187,164,157,19,1675,0,3,8,3,0,6,4,7,0,34,43,50,80,43,29,18,79,28,19,384,73,40,180,68,65,54,122,105,138,841,2703,6472,6389,3205,2776,1278,2066,1451,483,26829
3012,30,11,123,85,45,59,26,63,4,447,0,0,0,0,0,0,0,0,0,3,5,9,9,20,6,8,20,12,5,85,11,12,29,31,16,26,24,47,24,223,528,1132,1025,1197,730,390,324,508,96,5925
3013,28,10,89,37,40,22,57,29,5,305,0,0,3,0,0,3,0,0,0,9,5,11,12,12,12,0,19,0,0,70,15,20,54,34,17,7,59,29,45,287,498,1457,1515,642,592,205,601,237,114,5861
3014,160,40,433,262,178,166,99,165,8,1520,5,6,3,3,3,22,6,13,0,61,31,42,46,54,39,11,64,39,10,334,35,42,124,83,57,51,100,129,121,753,2065,5835,4463,3611,2542,1064,1411,1460,372,22817
3015,1155,275,2781,1535,971,924,322,881,98,8946,6,19,16,30,16,40,16,33,4,175,240,336,244,243,211,148,143,176,62,1799,356,281,583,426,315,296,217,357,577,3416,16975,34967,21136,17529,14004,7957,4293,8036,1989,126887
3016,296,68,871,543,376,349,103,331,22,2946,6,3,6,14,0,13,0,16,0,69,73,90,73,104,62,44,79,62,24,610,77,86,153,150,105,73,72,151,167,1041,5096,13346,7357,6903,5417,2471,1830,2949,608,45972
3017,408,94,1026,785,392,364,193,389,39,3697,8,8,12,11,10,20,4,21,0,106,118,126,126,166,92,40,80,67,32,845,116,123,260,240,142,112,134,193,259,1581,6388,16371,9804,9490,6465,2733,2784,3044,856,57936
3018,43,9,95,56,24,42,14,47,4,332,0,0,0,0,0,0,0,0,0,9,3,4,3,6,0,3,9,8,8,41,17,3,27,13,7,6,11,38,21,149,396,767,612,612,374,255,248,444,71,3775
3019,50,14,127,102,57,41,36,36,4,472,0,0,0,0,0,0,0,0,0,5,13,13,9,22,14,3,14,6,4,105,20,12,45,23,20,14,31,25,34,216,714,1640,1312,874,641,274,450,298,91,6285
4000,673,97,1489,670,444,394,252,671,69,4767,5,4,3,6,7,6,3,16,0,58,177,110,118,144,115,49,106,152,37,1001,487,142,392,314,227,168,261,568,336,2901,13651,14557,12402,9728,7242,3508,3653,7133,1251,73129
4001,2660,739,8387,3616,2748,2142,1094,2434,263,24070,44,48,33,79,81,48,34,85,14,465,886,1232,782,1066,926,406,663,715,234,6904,997,882,1412,1177,997,679,829,1176,1596,9747,60160,146461,63800,63682,55188,23491,16761,25540,7041,462128
4002,62,11,191,117,50,66,29,64,5,597,0,0,0,5,0,3,0,5,0,9,15,16,5,17,13,0,15,14,3,100,29,12,42,38,24,25,29,49,34,280,955,1875,1503,1468,833,547,434,564,104,8277
4003,24,6,79,53,20,31,11,62,5,298,0,0,0,3,0,0,0,0,0,6,5,6,6,12,5,6,3,12,0,53,7,8,30,21,6,13,22,44,18,172,397,632,660,848,415,281,188,500,76,3996
4004,13,6,61,40,9,17,11,17,0,170,0,0,0,4,0,0,0,4,0,6,11,5,5,16,0,0,5,10,0,42,8,13,17,24,8,9,19,28,9,141,289,757,587,649,309,124,219,244,60,3239
4005,26,11,98,63,26,42,13,47,3,323,0,0,0,0,0,0,0,0,0,0,8,8,4,5,4,4,3,8,0,56,17,9,32,25,15,12,14,43,20,178,507,1138,795,756,440,298,177,378,67,4558
4006,30,6,57,36,24,34,25,24,0,231,0,0,0,0,0,0,0,0,0,0,0,3,5,7,4,0,10,0,0,28,10,3,19,19,8,6,17,27,11,124,299,705,565,643,289,154,229,183,45,3124
4007,48,11,182,57,32,45,7,62,3,447,0,0,0,6,0,0,0,4,0,5,4,16,10,24,4,5,5,7,0,73,16,8,33,30,15,17,18,24,22,187,745,1433,1004,1159,597,390,228,447,91,6092
4008,37,6,85,59,29,31,38,39,7,346,0,0,0,0,0,0,0,4,0,8,0,9,18,7,4,0,19,4,3,69,15,8,41,20,4,16,32,20,26,177,517,1162,1162,850,460,221,589,308,96,5359
5000,547,78,1253,611,474,332,472,594,63,4422,4,8,14,16,4,9,3,35,5,106,168,138,199,142,89,38,178,115,37,1110,479,182,556,322,207,188,435,555,413,3335,12756,14154,15539,8408,6969,2937,6165,6977,1382,75297
5001,68,26,229,110,69,68,35,77,8,689,0,0,0,0,0,3,0,3,0,15,14,19,22,28,15,4,7,17,5,130,28,22,55,36,21,21,18,49,25,285,1137,2573,1928,1682,1018,624,505,817,117,10397
5002,40,13,70,62,49,24,8,29,0,301,0,0,0,0,0,0,0,0,0,6,16,18,15,12,12,0,5,3,0,82,17,35,28,33,32,22,10,30,49,249,757,1563,739,732,606,245,181,334,105,5254
5003,122,40,428,235,144,166,137,177,15,1466,3,5,0,10,0,3,7,6,0,35,34,63,67,46,39,12,75,42,8,374,45,52,137,63,44,43,94,99,108,678,2224,5504,5345,3189,2477,1276,1688,1780,345,23828
5004,146,23,397,159,81,75,54,102,12,1042,0,0,5,6,0,4,0,0,0,19,25,28,26,20,12,10,11,21,8,161,44,28,71,41,35,44,31,52,42,388,1744,2957,2615,1606,1231,786,633,1051,192,12805
5005,20,6,78,42,25,16,19,34,5,241,0,0,0,0,0,0,0,0,0,0,4,6,4,9,3,0,6,6,0,34,15,8,26,19,16,12,20,25,17,158,427,694,704,346,387,164,291,259,70,3340
5006,58,12,205,126,81,63,47,74,4,668,0,0,6,0,0,3,0,7,0,17,23,20,19,29,13,8,9,15,3,131,38,31,56,37,30,18,31,46,42,326,1197,2797,2303,1663,1191,611,666,792,162,11376
5007,60,22,148,80,80,46,92,51,3,580,0,0,0,3,0,5,3,0,0,17,9,15,32,19,10,3,37,12,9,143,22,20,81,40,20,10,64,37,50,339,964,2045,2563,913,901,341,1012,492,145,9374
5008,53,13,96,47,46,32,23,20,6,328,0,0,0,0,0,0,0,0,0,8,10,16,40,16,11,3,18,11,3,121,10,14,61,9,22,8,28,24,33,213,772,1281,1838,556,675,229,415,365,124,6246
5009,4223,1259,13083,7018,4830,3568,2773,3630,400,40783,56,65,104,137,92,119,94,196,30,891,1328,2051,1582,1574,1289,637,1104,867,343,10780,1654,1708,3203,2038,1796,1132,1731,1978,3295,18532,96921,234554,119864,90636,84122,37227,34900,39817,11169,749213
5010,29,15,55,25,40,12,31,28,4,234,0,0,0,0,0,0,5,3,0,11,6,15,23,10,13,9,18,9,5,105,14,12,58,15,11,5,27,34,45,229,524,924,1613,412,525,159,472,345,130,5107
6000,383,63,947,468,293,267,162,427,45,3046,6,5,0,9,0,4,3,11,0,36,112,100,83,83,62,32,70,73,21,639,274,106,298,182,139,136,202,327,214,1874,7318,9391,8368,6148,4396,2032,2472,4014,794,44935
6001,66,16,155,108,48,53,27,60,3,545,0,0,0,3,0,3,0,0,0,12,10,5,6,22,7,10,6,17,6,91,17,6,43,34,20,30,31,43,44,266,754,1772,1266,1251,755,431,430,516,141,7311
6002,78,17,219,127,56,67,32,95,4,707,0,0,0,0,0,0,0,0,0,5,8,9,11,16,15,6,17,12,4,94,39,10,47,52,20,21,37,67,48,353,992,1756,1642,1540,890,494,434,860,132,8733
6003,509,148,1515,743,532,334,147,404,59,4394,8,8,11,22,8,14,5,17,7,95,204,293,131,185,175,70,80,86,48,1263,177,187,274,269,190,137,112,234,262,1835,10687,25534,10997,11333,9128,4066,2336,4568,1265,79915
6004,207,51,618,336,190,188,109,217,17,1928,0,0,0,5,3,6,0,15,0,34,55,72,58,64,39,25,32,42,11,398,46,60,121,77,90,50,76,107,114,741,3516,8423,4300,4404,3076,1544,1276,1913,407,28854
6005,32,4,97,53,17,22,8,38,0,274,0,0,0,0,0,0,0,0,0,3,11,12,6,8,5,0,10,7,3,65,14,9,25,26,8,9,7,25,9,133,509,1000,734,647,420,183,223,319,62,4087
7000,120,46,249,163,117,52,43,106,5,905,0,0,0,10,0,0,4,6,0,24,30,37,32,50,28,8,16,31,3,242,82,132,136,199,84,52,82,152,141,1063,2471,3863,2733,2563,1753,511,730,1294,331,16245
7001,73,28,157,105,95,51,24,53,5,596,0,4,0,6,6,0,0,0,3,17,20,43,21,47,19,8,3,7,7,174,28,37,43,72,27,18,20,42,74,356,1313,3214,1329,1750,1133,378,239,424,231,10006
7002,295,103,856,475,355,185,110,220,21,2628,4,3,8,17,4,6,0,9,0,57,149,143,118,167,96,27,49,65,24,844,135,120,216,218,169,76,92,123,247,1398,6804,14302,7382,7390,6249,2281,1705,2332,853,49295
8000,5,0,11,0,7,5,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,9,6,0,3,0,0,0,0,0,5,11,125,179,84,54,74,18,10,26,9,581
8001,930,363,2479,1123,1295,515,279,510,102,7597,11,13,15,25,27,15,17,13,5,145,915,1015,225,384,588,133,131,144,137,3685,421,545,413,392,469,193,155,266,732,3586,40336,76000,19340,19523,27743,7359,3738,6432,4209,204693
9000,17,0,38,26,13,8,4,11,4,119,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,3,6,33,9,3,15,14,5,5,4,16,7,86,265,271,286,210,172,61,50,107,22,1444
