SUA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
1021,275,287,560,601,598,1202,125,129,257,327,357,688,1061,1086,2148,392,392,787,117,109,220,261,243,500,767,738,1512,40,46,84,30,53,83,150,82,236,96,195,297,0,4,3,319,385,704,158,228,381,77,86,157,32,40,79,90,184,278,0,0,0,352,537,897,673,923,1600,20,32,55,38,55,88,0,0,0,54,87,139,565,615,1179,3392,3741,7129
1022,164,140,304,413,390,800,175,178,352,4,0,7,589,566,1161,227,247,476,126,140,263,11,5,15,363,391,754,19,21,34,9,15,18,76,49,117,72,127,201,0,0,0,167,209,380,8,36,41,11,36,48,5,16,22,44,85,122,0,0,0,64,169,235,239,373,614,10,10,21,27,41,66,0,0,0,35,51,85,348,360,710,1746,1885,3632
1023,171,152,327,441,419,859,143,99,243,48,56,107,630,573,1205,302,277,575,97,97,192,28,34,55,426,402,824,13,18,29,11,26,43,69,53,126,44,99,145,0,0,0,136,199,338,9,30,38,13,21,38,7,22,24,25,62,94,0,0,0,60,133,196,201,332,536,8,10,16,18,42,61,0,0,0,34,51,81,656,379,1035,2108,1896,4007
1024,198,204,407,650,622,1275,110,112,222,138,154,293,901,895,1793,543,533,1078,81,95,177,179,174,352,798,803,1605,34,24,55,23,33,59,125,59,183,103,183,285,0,0,5,290,299,589,93,161,255,38,67,102,12,33,47,63,157,221,0,3,3,215,416,633,504,715,1222,13,19,30,16,42,60,0,0,0,31,64,90,739,840,1583,3178,3520,6695
1025,6113,5643,11755,15586,14405,29993,4118,3926,8040,1991,1865,3860,21718,20218,41939,10678,10260,20940,2918,3175,6093,2184,2148,4327,15786,15599,31385,801,918,1715,615,968,1585,2503,1538,4037,2280,3572,5849,25,22,46,6217,7014,13231,4666,6342,11006,1879,2586,4466,759,1148,1909,2350,4198,6548,16,13,31,9680,14283,23955,15917,21311,37223,469,462,933,847,1355,2203,26,20,42,1341,1847,3186,12823,11278,24097,73702,75886,149589
1026,476,426,901,1136,1158,2299,213,215,433,197,205,407,1557,1583,3142,767,688,1458,220,221,437,181,200,375,1172,1110,2279,59,65,122,41,76,112,173,121,300,161,334,498,6,6,5,432,598,1031,101,171,272,74,125,208,25,50,79,103,196,303,0,0,6,310,554,865,743,1156,1897,47,33,82,51,100,147,4,0,5,97,132,229,2084,1309,3390,6126,5721,11845
1027,556,486,1043,1348,1250,2593,401,405,797,276,265,540,2027,1919,3952,756,711,1463,382,399,780,392,373,767,1535,1481,3020,40,57,90,44,93,132,212,152,369,241,368,611,5,0,5,532,674,1202,132,254,389,102,157,256,33,70,104,223,347,568,0,0,0,492,826,1316,1022,1500,2522,31,42,78,46,91,138,0,3,3,82,139,220,1175,1201,2373,6402,6729,13128
1028,498,443,940,972,908,1876,597,600,1197,321,314,631,1894,1820,3712,554,539,1092,760,764,1531,305,275,576,1629,1579,3205,92,63,158,58,109,166,161,114,277,208,389,601,0,6,8,518,693,1211,290,577,860,116,191,315,41,85,127,190,359,553,0,6,5,637,1221,1857,1153,1914,3071,36,41,76,63,128,194,3,0,4,107,173,274,1179,1274,2454,6458,7201,13658
1029,205,196,401,535,534,1067,215,178,399,68,81,150,826,796,1618,361,362,722,139,109,253,69,71,143,574,539,1117,20,18,38,16,26,45,104,65,171,84,151,234,5,0,5,224,260,492,55,73,126,16,45,67,14,23,42,42,99,137,0,0,0,128,240,371,357,505,862,30,15,45,37,53,90,0,0,0,65,67,139,583,367,948,2607,2470,5082
1030,208,161,365,589,560,1147,26,33,55,50,48,99,666,642,1307,376,376,757,78,95,178,58,55,113,511,537,1046,17,27,43,18,29,44,79,41,125,71,142,220,0,0,0,186,236,424,24,59,88,19,68,88,4,15,20,44,82,135,0,0,0,99,234,332,286,471,751,20,13,29,15,42,61,0,0,5,33,56,92,629,610,1243,2332,2473,4810
1031,51939,47077,99020,138532,129302,267836,37849,37550,75402,25660,25139,50804,202423,192310,394736,86035,81415,167456,40527,40536,81059,32643,31850,64494,159489,154037,313528,9062,9035,18094,11556,16734,28288,16913,8366,25282,21498,33866,55359,240,234,471,59274,68226,127497,69100,79811,148910,24456,28422,52876,9306,10421,19726,21766,32460,54223,347,341,688,124970,151451,276419,184616,220091,404702,11562,11154,22718,14230,19124,33353,296,262,559,26092,30539,56629,126852,121140,247989,751408,765195,1516597
1032,522,451,977,1317,1292,2601,458,427,877,206,184,392,1977,1900,3879,1191,796,1983,256,321,572,212,293,500,1661,1407,3067,45,75,123,35,118,151,177,156,327,186,386,571,0,0,6,442,734,1171,66,169,233,62,119,180,29,72,104,127,284,414,0,3,3,290,639,928,739,1374,2107,25,33,62,73,93,161,3,4,9,101,129,230,1630,1681,3311,6619,6945,13566
1033,261,240,499,736,709,1441,154,128,291,159,146,308,1048,990,2037,524,522,1047,126,109,237,94,122,222,750,757,1504,37,54,87,23,59,82,106,106,210,77,195,270,0,0,3,242,415,654,31,63,100,25,57,84,13,24,36,40,112,146,0,0,0,105,260,369,349,677,1022,16,13,32,22,42,62,0,3,10,41,62,102,1084,1144,2228,3523,3868,7385
1034,190,156,347,535,496,1026,44,47,94,0,9,8,584,547,1131,424,447,874,19,21,42,16,20,31,462,482,947,13,13,27,6,31,37,73,28,101,45,87,140,0,0,0,142,160,307,22,49,76,21,43,56,4,11,10,28,86,118,0,0,0,71,193,262,214,350,564,10,7,17,15,36,50,0,0,0,24,47,67,495,501,995,1964,2078,4045
1035,722,641,1369,1535,1323,2857,709,768,1479,310,284,595,2551,2380,4934,895,958,1850,641,662,1300,350,320,669,1880,1947,3830,96,107,200,95,140,230,331,211,537,311,477,790,4,6,3,838,928,1773,383,907,1284,143,270,413,64,145,214,274,509,784,0,0,0,869,1830,2699,1709,2768,4474,78,65,141,98,146,246,0,0,0,177,211,387,1498,1566,3064,8538,9516,18046
1036,3756,3425,7179,9373,8619,17989,2254,2269,4522,901,920,1818,12540,11825,24363,6341,6175,12514,2466,2508,4968,1013,986,1999,9824,9683,19506,453,546,999,403,682,1084,1746,1011,2757,1330,2193,3525,20,20,41,3956,4454,8411,3316,4529,7849,1295,1463,2765,535,713,1251,1138,2167,3300,13,14,23,6303,8889,15196,10276,13359,23640,282,292,576,434,693,1122,12,9,20,723,994,1721,6916,7156,14078,44046,46439,90480
2000,6688,6065,12757,19072,17457,36529,6027,6007,12030,2021,1969,3992,27138,25454,52595,12760,12256,25020,5266,5533,10802,3285,3407,6696,21322,21210,42534,746,941,1685,466,1069,1535,2622,1421,4043,1930,3668,5595,66,43,117,5827,7147,12972,1649,3036,4677,666,1679,2339,314,672,982,1321,3899,5216,27,36,65,3968,9325,13290,9807,16479,26282,650,562,1215,962,1782,2741,57,51,109,1664,2401,4068,31436,27376,58817,98059,98987,197049
2001,306,317,617,931,788,1716,159,148,306,180,161,339,1280,1097,2374,431,424,854,166,161,322,206,255,461,806,848,1654,35,47,82,44,52,95,97,48,148,91,141,230,0,0,0,272,287,556,128,230,362,30,118,148,18,41,55,67,158,223,0,0,0,243,547,790,511,836,1347,50,48,101,46,81,129,0,5,5,100,134,228,487,500,986,3488,3722,7206
2002,177,154,331,380,372,757,140,134,274,53,55,109,569,566,1133,249,268,514,136,122,257,52,44,104,442,435,874,20,35,53,11,30,41,54,44,91,42,119,166,0,0,0,128,229,354,19,41,61,14,33,50,4,21,23,26,88,113,0,0,0,57,188,247,180,418,599,16,18,34,23,53,76,4,0,6,49,73,117,539,621,1155,1949,2261,4212
2003,1316,1207,2523,2864,2625,5487,1371,1366,2738,583,594,1178,4825,4589,9415,1710,1772,3480,1236,1164,2395,809,894,1699,3759,3828,7589,177,174,355,150,236,384,391,230,625,452,622,1075,0,6,8,1171,1272,2440,831,1313,2147,370,641,1004,114,182,300,482,935,1417,6,7,11,1803,3072,4875,2973,4346,7323,141,137,274,223,379,606,6,11,18,373,521,893,2829,2893,5723,16081,17391,33472
2004,1145,1107,2249,2794,2590,5387,1274,1187,2469,352,348,700,4430,4130,8559,2050,1953,4001,867,871,1742,419,459,876,3341,3285,6626,201,272,472,171,310,481,387,233,617,389,569,957,8,9,9,1150,1390,2545,571,1044,1615,228,379,601,90,130,222,295,687,981,6,0,6,1185,2248,3432,2342,3645,5988,156,147,305,202,320,514,3,0,11,364,470,830,2735,2872,5607,14344,15511,29853
2005,106,77,189,299,277,574,26,28,53,28,30,66,351,341,695,245,218,455,24,33,63,41,59,101,310,309,620,15,9,22,14,30,47,24,12,37,42,60,97,0,3,3,101,111,202,22,31,54,16,65,83,3,10,8,48,118,163,0,6,6,92,221,311,188,329,519,5,4,7,12,28,43,3,0,4,22,38,54,909,504,1411,1886,1599,3486
2006,139,130,274,260,237,495,247,223,470,3,0,7,508,454,970,150,148,301,237,219,459,10,8,17,400,374,772,12,17,30,18,24,44,46,23,72,35,58,94,3,4,3,112,128,236,19,48,64,12,28,43,6,13,16,22,52,70,0,0,0,59,141,194,166,264,440,20,17,35,22,32,49,0,0,0,44,51,95,346,346,689,1606,1628,3234
2007,215,210,431,487,479,965,287,280,563,114,89,197,882,842,1728,292,257,550,290,352,639,95,127,222,677,736,1413,24,26,51,22,34,60,94,67,159,64,139,199,0,0,0,206,271,478,40,112,149,14,45,55,5,9,20,35,101,142,0,0,0,91,274,364,300,543,842,15,16,23,32,54,96,0,3,3,49,70,118,707,737,1448,2833,3143,5978
2008,3511,3113,6632,8036,7534,15566,2742,2791,5533,1267,1181,2450,12058,11509,23569,4487,4039,8527,2421,2872,5293,2238,2015,4257,9157,8925,18086,492,566,1061,461,708,1166,1128,582,1715,1174,1508,2685,17,9,24,3274,3372,6644,2714,3712,6425,1169,1476,2646,382,564,949,1125,2254,3381,15,18,32,5405,8032,13437,8686,11414,20104,413,401,815,602,946,1549,15,8,20,1032,1361,2390,7890,6883,14780,42345,43207,85549
2009,310,266,579,844,785,1623,241,217,462,96,96,195,1185,1099,2285,379,372,757,335,288,619,276,222,497,990,882,1875,31,19,48,7,20,29,104,32,140,66,118,177,0,0,4,211,187,398,186,233,423,29,61,92,26,27,55,80,166,243,0,0,0,317,488,808,530,682,1211,17,22,41,44,52,95,0,0,0,54,79,129,475,483,955,3542,3494,7039
2010,180,188,366,479,409,887,134,121,249,120,137,256,726,663,1390,421,365,789,92,84,179,63,68,132,574,522,1097,13,16,34,14,16,31,57,35,88,48,94,139,0,0,0,130,159,291,38,63,102,12,56,74,13,29,42,44,113,163,0,0,0,110,268,380,243,426,665,24,19,34,39,71,114,0,0,0,64,89,153,470,459,931,2261,2352,4614
2011,55044,50395,105445,138395,128645,267039,37463,36572,74036,22694,23693,46386,198868,189179,388049,89887,82981,172870,33219,34194,67415,32974,33969,66945,156306,151353,307662,12009,10441,22451,11983,16058,28042,14600,6594,21193,19540,27796,47336,241,176,418,58378,61064,119441,67271,81047,148319,25864,31912,57779,7947,9574,17524,21161,34814,55979,295,329,620,122541,157681,280221,181222,219030,400252,11402,10955,22354,14345,21030,35381,281,278,554,26028,32263,58292,115252,110621,225872,732718,752856,1485573
2012,612,542,1151,1605,1505,3112,367,410,776,209,195,407,2183,2113,4295,1201,1139,2338,323,352,671,121,126,249,1645,1617,3267,98,115,214,67,124,191,196,117,313,191,359,545,4,4,7,548,717,1267,102,218,327,49,129,173,28,50,75,99,250,356,0,3,3,278,652,931,825,1373,2202,70,65,136,110,178,287,8,10,18,194,251,443,2311,2231,4541,7770,8124,15897
2013,190,174,367,591,588,1183,186,192,373,28,34,63,804,813,1617,472,483,956,92,81,170,40,49,87,604,610,1212,25,30,55,10,60,76,99,66,167,69,143,207,0,0,0,210,300,514,45,80,121,36,58,91,13,29,38,34,99,128,0,0,3,123,261,386,332,564,899,32,22,55,32,57,91,0,6,3,63,87,146,837,841,1678,2841,3082,5923
2014,94,89,184,279,254,534,82,111,198,23,22,46,393,389,780,238,216,453,55,61,113,51,46,94,340,319,666,25,20,47,9,19,26,52,30,80,33,61,98,0,0,0,120,133,253,12,26,34,10,17,32,6,13,11,19,56,75,0,0,0,46,110,160,162,243,404,13,13,21,22,31,50,0,0,0,30,47,72,386,357,741,1403,1441,2849
2015,172,145,321,424,378,796,171,162,332,81,66,145,673,605,1278,232,216,451,150,181,330,79,90,172,458,495,952,18,18,36,5,32,40,48,41,93,47,127,174,0,0,0,130,216,339,30,71,100,26,54,79,9,16,29,62,125,189,0,0,0,125,269,394,252,486,739,26,17,43,20,56,77,5,0,5,45,73,122,454,453,907,2061,2258,4313
2016,619,542,1164,1659,1496,3157,555,574,1128,127,133,256,2348,2205,4552,900,899,1797,705,657,1366,259,227,493,1868,1789,3659,69,135,204,61,165,232,233,163,396,196,347,546,9,4,17,573,819,1390,148,287,436,75,156,233,29,75,103,130,268,398,0,3,8,389,783,1178,962,1613,2579,80,86,170,130,196,328,6,6,7,216,285,503,2035,1983,4019,8055,8422,16473
2017,118,116,237,273,238,508,174,201,370,18,16,33,456,455,913,196,196,396,92,113,206,16,18,36,302,333,636,15,20,40,6,21,25,49,27,75,35,87,119,0,3,0,111,153,267,35,60,87,6,17,22,5,15,21,12,60,80,0,0,0,58,148,208,171,304,473,17,18,33,19,34,55,0,0,0,38,49,90,357,375,730,1449,1633,3081
2018,449,412,860,1086,940,2025,515,557,1075,125,101,226,1732,1600,3328,760,663,1422,379,449,827,153,147,298,1296,1250,2546,45,87,136,51,112,157,129,115,250,148,242,391,7,3,7,373,560,934,166,265,427,65,141,208,33,60,92,133,231,363,0,0,4,398,694,1094,773,1253,2027,48,43,88,82,134,220,3,3,4,129,177,308,1672,1725,3402,6056,6420,12474
2019,192,191,382,417,363,780,296,297,593,90,90,185,809,756,1563,206,210,418,327,318,643,118,102,224,650,629,1282,20,45,60,25,68,87,63,68,132,62,118,181,0,5,0,174,292,466,46,71,116,34,59,92,5,20,25,53,114,165,0,0,0,140,266,409,314,560,876,23,22,43,39,58,97,0,0,0,64,81,141,536,582,1124,2565,2796,5360
