SUA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
1010,26,34,35,24,14,0,0,0,141,21,55,46,30,20,0,0,0,181,61,338,391,724,951,1727,1577,965,6728,114,427,476,779,986,1727,1577,965,7049,18588,16988,18236,19283,19060,16054,9324,2289,119830,976,1065,1018,1065,942,914,864,660,7522,19675,18485,19731,21128,20998,18693,11760,3916,134395,5,7,6,5,0,0,0,0,25,5,7,0,8,7,0,0,0,28,21,38,63,155,183,176,98,82,818,30,54,69,172,188,176,98,82,871,17676,18301,20149,21419,22246,20330,12362,5084,137575,898,1012,1021,914,890,1095,1320,1438,8597,18605,19367,21243,22507,23332,21603,13778,6602,147043,36,43,45,33,17,0,0,0,168,32,68,50,40,30,0,0,0,201,85,377,453,882,1135,1904,1667,1043,7542,148,482,551,952,1178,1904,1667,1043,7917,36263,35288,38383,40706,41311,36385,21687,7374,257397,1877,2079,2040,1978,1841,2014,2189,2101,16118,38285,37850,40975,43634,44328,40301,25537,10520,281435
1011,0,6,6,3,0,0,0,0,18,3,5,7,3,7,0,0,0,30,17,89,113,202,237,485,377,224,1753,21,97,128,212,249,485,377,224,1798,3630,3634,3752,3853,4112,3921,1937,533,25370,238,306,283,263,230,208,198,144,1868,3886,4035,4171,4331,4588,4612,2516,896,29035,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,14,4,14,19,42,41,52,27,18,216,4,14,26,48,42,52,27,18,234,3523,3985,4311,4512,4948,4712,2681,1086,29754,222,306,260,219,217,238,293,281,2031,3746,4306,4588,4781,5203,5004,3002,1382,32016,0,9,7,8,6,0,0,0,21,3,10,14,9,7,0,0,0,41,21,96,133,249,277,534,404,244,1967,25,110,157,263,291,534,404,244,2032,7146,7616,8060,8366,9066,8636,4618,1618,55123,460,607,542,485,440,449,491,417,3896,7631,8340,8761,9115,9795,9620,5513,2277,61051
1012,3,0,0,0,0,0,0,0,9,0,9,0,3,0,0,0,0,15,3,43,63,78,103,155,105,72,619,5,49,66,79,108,155,105,72,639,2103,2857,2120,1871,1793,1368,789,209,13103,259,298,219,191,163,127,84,50,1385,2367,3199,2401,2146,2055,1646,982,337,15128,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,3,17,18,14,8,3,9,72,3,7,13,19,16,8,3,9,83,2158,3118,2348,2103,2163,1724,1166,459,15235,193,298,218,179,137,128,123,104,1388,2359,3419,2582,2298,2318,1863,1293,572,16703,3,0,0,0,0,0,0,0,8,0,13,0,3,4,0,0,0,21,3,47,80,96,117,162,114,82,687,9,56,78,100,117,162,114,82,722,4262,5971,4460,3977,3954,3095,1954,671,28342,455,595,440,366,293,253,217,156,2775,4726,6620,4981,4442,4373,3507,2274,909,31834
1013,0,0,0,0,0,0,0,0,4,0,4,0,5,0,0,0,0,4,0,11,19,31,80,208,206,164,719,3,13,21,40,76,208,206,164,730,747,630,769,919,1263,1684,1085,285,7379,60,46,41,65,70,110,101,76,573,808,691,832,1022,1413,2004,1393,524,8684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,10,24,12,16,76,0,0,6,9,10,24,12,16,77,744,742,841,1068,1596,2039,1395,613,9030,52,55,47,51,70,128,169,204,772,791,802,885,1127,1679,2188,1572,829,9875,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,6,0,15,27,43,89,226,220,173,795,3,17,25,46,92,226,220,173,802,1489,1371,1609,1984,2860,3721,2480,899,16411,111,98,83,116,137,237,269,281,1345,1600,1493,1717,2149,3089,4185,2963,1355,18557
1014,0,4,3,0,3,0,0,0,16,3,8,3,8,9,0,0,0,22,3,40,39,72,114,118,112,72,578,4,52,48,77,121,118,112,72,613,1315,1428,1228,1181,1287,1069,609,167,8276,143,269,176,175,103,78,43,22,1012,1463,1746,1456,1436,1508,1264,756,261,9895,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,4,0,3,12,9,26,22,10,6,89,0,11,14,9,34,22,10,6,97,1171,1544,1330,1388,1432,1364,870,426,9517,78,99,86,68,63,77,59,35,558,1248,1650,1432,1467,1527,1460,933,470,10178,3,5,3,0,3,0,0,0,16,3,7,10,10,9,0,0,0,30,3,43,53,84,143,140,116,78,667,9,57,58,91,151,140,116,78,709,2482,2968,2559,2568,2719,2428,1477,594,17791,217,363,262,245,162,156,99,59,1573,2708,3394,2882,2907,3036,2721,1688,733,20071
1015,3,0,0,0,0,0,0,0,9,0,4,5,0,0,0,0,0,14,5,21,28,46,66,124,125,78,502,5,21,36,50,69,124,125,78,519,1027,904,831,887,1020,940,532,168,6315,98,88,73,80,72,57,46,23,536,1132,1012,939,1020,1160,1130,711,269,7370,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,7,9,18,13,9,8,70,3,7,7,9,18,13,9,8,75,940,1043,976,1071,1167,1139,823,431,7579,80,97,75,82,59,66,75,73,602,1027,1141,1061,1159,1243,1216,901,505,8256,0,6,0,0,4,0,0,0,8,3,4,5,0,0,0,0,0,15,7,21,39,57,90,140,136,82,570,14,35,41,59,91,140,136,82,596,1966,1944,1809,1954,2187,2079,1355,592,13890,175,181,154,159,129,124,117,98,1140,2158,2156,2003,2176,2406,2342,1614,777,15625
1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,12,17,27,48,41,30,183,0,14,14,21,27,48,41,30,192,1155,1484,1266,1120,1074,686,412,143,7338,85,143,87,93,66,59,49,50,640,1239,1646,1372,1230,1165,791,500,217,8167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,4,3,0,25,0,3,0,6,6,4,3,0,23,1074,1552,1246,1163,1065,838,561,296,7797,75,110,78,66,67,62,64,86,600,1148,1661,1327,1233,1137,899,630,385,8422,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,4,0,16,15,23,27,53,42,35,206,0,13,18,29,25,53,42,35,215,2230,3036,2512,2283,2141,1524,972,432,15137,159,257,168,158,135,116,113,137,1239,2389,3312,2701,2467,2305,1694,1125,603,16593
1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,19,40,49,104,92,41,365,4,20,18,43,48,104,92,41,368,794,639,593,703,831,791,386,93,4829,226,370,282,136,106,50,41,15,1225,1025,1022,891,885,983,948,516,154,6426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,9,10,6,3,52,0,0,3,11,14,10,6,3,55,782,725,727,808,969,911,542,260,5726,98,94,89,80,60,61,61,42,591,877,818,821,901,1042,985,617,305,6375,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,7,3,17,22,50,61,111,100,50,417,4,17,22,52,65,111,100,50,426,1574,1361,1322,1510,1801,1707,932,349,10562,325,459,372,215,167,115,106,61,1813,1905,1841,1709,1783,2033,1933,1139,460,12802
1018,0,3,0,5,0,0,0,0,13,3,5,5,3,6,0,0,0,26,8,31,24,90,99,148,113,82,593,11,35,28,95,106,148,113,82,621,1625,1563,1462,1512,1646,1311,615,183,9923,147,135,113,111,105,80,47,35,778,1787,1732,1601,1726,1854,1542,780,303,11319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,8,13,22,20,11,11,81,0,6,5,19,20,20,11,11,88,1519,1655,1672,1774,1886,1628,982,470,11578,166,142,128,92,91,72,96,89,873,1686,1808,1804,1880,1991,1721,1088,563,12543,0,4,0,6,0,0,0,0,12,3,7,4,7,11,0,0,0,28,8,30,28,105,119,167,126,94,666,12,38,37,117,129,167,126,94,710,3145,3220,3134,3293,3528,2944,1595,646,21500,311,282,232,201,195,157,142,127,1651,3472,3541,3398,3609,3848,3261,1862,862,23865
1019,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,7,12,28,41,68,63,40,263,5,6,19,28,41,68,63,40,270,606,607,522,641,743,693,395,90,4297,89,169,124,68,65,55,40,7,618,700,787,662,735,855,821,491,137,5185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,8,0,4,30,0,0,4,5,7,8,0,4,28,533,637,575,699,852,793,559,241,4880,38,38,41,42,31,44,45,12,304,570,678,614,745,892,844,606,258,5213,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,3,0,7,20,34,48,82,63,42,289,5,6,20,32,50,82,63,42,298,1139,1247,1093,1343,1601,1482,950,324,9182,122,208,166,110,99,103,86,24,920,1266,1468,1276,1486,1748,1664,1100,388,10392
1020,48,82,89,81,15,0,0,0,311,0,7,22,19,19,0,0,0,62,0,20,57,97,136,154,79,32,570,50,105,164,189,173,154,79,32,948,827,610,683,774,760,674,339,36,4704,53,40,35,53,42,39,28,5,304,928,758,878,1023,980,865,451,72,5951,23,26,24,15,0,0,0,0,91,0,3,5,8,3,0,0,0,15,0,10,21,37,35,24,5,0,136,21,42,53,63,37,24,5,0,245,753,737,880,903,891,801,379,84,5421,42,36,33,34,34,38,28,5,249,817,814,963,1001,962,859,416,86,5920,70,107,111,94,20,0,0,0,403,0,9,22,26,20,0,0,0,86,3,32,74,131,168,181,86,30,710,76,151,213,250,212,181,86,30,1196,1574,1346,1557,1679,1646,1469,723,121,10121,96,73,70,90,76,75,58,14,555,1742,1573,1844,2020,1939,1724,863,166,11876
1021,0,0,0,0,3,0,0,0,8,0,4,3,5,3,0,0,0,16,7,36,36,56,87,155,132,107,606,13,37,33,69,88,155,132,107,636,1518,1383,1337,1461,1517,1463,989,312,9993,72,72,73,58,65,74,59,36,504,1604,1495,1446,1585,1678,1687,1180,455,11126,0,0,3,0,0,0,0,0,4,0,5,0,0,0,0,0,0,5,0,5,8,20,13,12,8,3,73,0,5,6,20,13,12,8,3,75,1430,1522,1379,1529,1799,1728,1299,603,11287,79,63,65,57,59,93,104,74,594,1507,1585,1455,1610,1871,1839,1414,683,11958,0,0,3,0,3,0,0,0,13,0,4,3,5,3,0,0,0,16,13,36,36,78,99,167,144,114,682,17,44,45,91,102,167,144,114,713,2947,2903,2718,2990,3319,3195,2285,917,21276,147,134,132,116,129,167,163,107,1091,3110,3079,2902,3191,3547,3521,2595,1138,23078
1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,24,26,18,38,54,37,33,231,3,22,33,22,38,54,37,33,242,667,788,704,655,601,459,291,83,4251,43,43,56,37,35,37,28,13,285,712,859,786,713,667,554,357,127,4777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,4,0,4,7,31,3,0,3,11,6,0,4,7,36,605,882,733,698,671,579,426,185,4792,32,45,37,36,30,35,36,36,290,642,929,775,752,705,615,462,233,5114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,33,32,36,60,41,39,265,6,26,31,33,42,60,41,39,274,1273,1669,1436,1356,1273,1038,717,271,9036,72,89,91,76,65,70,59,55,579,1352,1786,1560,1469,1379,1167,822,353,9889
1023,0,0,3,0,0,0,0,0,7,0,5,0,4,3,0,0,0,14,3,18,28,28,35,53,40,10,209,8,23,31,32,37,53,40,10,229,703,769,696,650,639,430,185,36,4103,75,158,124,98,52,27,24,5,560,788,952,843,779,726,506,243,60,4897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,3,3,0,0,23,0,10,7,3,3,3,0,0,23,631,844,698,706,642,479,251,101,4352,40,57,55,37,31,34,18,16,300,676,906,756,753,682,516,271,122,4681,0,0,3,0,0,0,0,0,7,0,6,0,4,3,0,0,0,18,3,24,27,34,39,57,41,12,237,8,32,32,33,40,57,41,12,259,1335,1608,1393,1350,1278,907,438,138,8454,120,215,176,135,85,67,42,23,859,1463,1860,1603,1528,1404,1026,517,179,9573
1024,6,37,49,61,14,0,0,0,166,0,9,8,23,36,0,0,0,73,4,21,50,74,174,287,247,111,976,13,63,108,160,224,287,247,111,1217,1263,922,982,1375,1791,2023,1293,259,9915,78,54,54,71,99,103,128,61,654,1355,1040,1141,1608,2116,2417,1668,434,11779,9,14,6,15,0,0,0,0,50,0,3,5,5,5,0,0,0,14,0,4,16,34,43,28,20,6,149,13,21,33,51,47,28,20,6,211,1130,966,1225,1663,2245,2514,1606,527,11873,66,45,56,66,89,127,146,138,737,1213,1032,1310,1778,2380,2671,1774,671,12823,20,49,57,75,15,0,0,0,216,0,6,12,27,39,0,0,0,87,5,25,72,113,211,316,268,118,1123,24,87,139,211,267,316,268,118,1428,2397,1890,2206,3032,4038,4540,2899,785,21790,146,98,105,136,194,234,276,201,1384,2562,2069,2450,3381,4501,5085,3440,1104,24604
1025,183,536,356,215,72,0,0,0,1362,49,182,145,114,98,0,0,0,596,126,775,1004,1433,1646,2745,2011,1229,10971,362,1492,1510,1760,1816,2745,2011,1229,12929,30205,30996,28340,27404,26006,20968,10779,2672,177366,1710,2173,1847,1517,1301,1178,924,581,11228,32277,34662,31694,30679,29120,24889,13719,4479,201522,86,180,72,29,9,0,0,0,370,12,33,37,30,11,0,0,0,137,48,116,213,351,333,255,88,69,1473,155,332,320,410,351,255,88,69,1981,29701,33359,31176,30503,29901,25776,14932,6603,201953,1460,1499,1255,1044,991,1126,1253,1291,9914,31313,35189,32754,31953,31249,27151,16285,7958,213849,273,715,428,234,78,0,0,0,1731,70,220,186,144,117,0,0,0,731,176,894,1218,1788,1979,2995,2103,1296,12442,513,1825,1831,2175,2165,2995,2103,1296,14910,59905,64357,59519,57904,55910,46744,25716,9270,379320,3171,3666,3103,2557,2286,2305,2178,1873,21136,63590,69849,64445,62634,60368,52045,30001,12437,415368
1026,135,242,165,101,25,0,0,0,664,0,22,18,18,45,0,0,0,98,3,68,80,186,254,347,211,141,1293,142,333,261,305,323,347,211,141,2054,1984,1905,1617,1617,1779,1607,963,251,11739,271,483,390,275,167,108,67,33,1789,2393,2721,2277,2195,2271,2055,1242,426,15583,81,47,32,7,0,0,0,0,167,0,7,6,4,3,0,0,0,27,7,26,35,45,51,30,17,12,223,88,79,79,59,57,30,17,12,422,1889,2214,2010,2060,2206,2126,1246,566,14310,179,185,164,153,105,101,83,52,1022,2158,2481,2245,2270,2370,2256,1346,628,15753,216,290,199,107,26,0,0,0,837,0,26,21,22,49,0,0,0,123,12,95,123,230,304,376,228,153,1517,227,407,337,364,384,376,228,153,2475,3876,4121,3629,3683,3986,3735,2207,815,26050,449,666,553,421,273,204,149,81,2813,4553,5201,4520,4469,4643,4314,2581,1054,31332
1027,0,5,3,0,0,0,0,0,5,0,11,7,5,0,0,0,0,25,8,46,55,87,101,184,139,104,716,13,56,68,94,101,184,139,104,752,2329,2483,2279,2163,1915,1579,878,247,13875,160,162,142,143,105,115,79,52,969,2503,2702,2495,2396,2127,1873,1087,401,15589,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,4,7,16,26,19,11,3,77,4,5,12,16,28,19,11,3,85,2285,2847,2635,2375,2247,2031,1215,532,16170,133,175,145,114,104,121,110,102,999,2420,3026,2790,2500,2373,2164,1334,635,17251,0,4,3,0,0,0,0,0,12,4,11,10,5,3,0,0,0,29,10,47,61,99,120,198,144,108,795,16,57,75,109,130,198,144,108,835,4613,5332,4913,4535,4167,3608,2094,778,30041,295,335,286,261,209,236,188,158,1968,4924,5732,5281,4902,4500,4040,2424,1045,32841
1028,8,0,5,0,0,0,0,0,18,3,13,6,6,8,0,0,0,33,11,49,81,137,177,363,364,224,1409,27,65,91,140,185,363,364,224,1455,2485,2131,2325,2544,2613,2735,1760,493,17085,139,140,124,105,137,133,141,125,1057,2657,2336,2541,2791,2937,3230,2263,842,19600,0,5,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,6,5,13,8,31,29,40,15,27,160,3,17,8,30,32,40,15,27,176,2616,2372,2677,3093,3376,3507,2469,1085,21187,129,115,107,106,120,157,216,210,1170,2751,2500,2796,3228,3528,3699,2702,1321,22531,10,3,5,0,0,0,0,0,21,5,12,6,10,8,0,0,0,45,15,64,91,164,204,401,376,250,1570,33,81,100,176,214,401,376,250,1630,5099,4501,5006,5631,5991,6237,4231,1580,38272,272,260,236,214,260,295,358,335,2224,5404,4842,5337,6021,6462,6934,4966,2162,42132
1029,314,100,18,21,0,0,0,0,460,0,3,6,4,4,0,0,0,22,4,28,40,59,50,81,38,28,323,320,131,61,80,58,81,38,28,802,981,1089,888,933,858,557,276,90,5665,177,97,64,50,61,35,18,3,511,1482,1315,1021,1061,976,672,336,117,6976,8,7,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,4,0,4,11,13,12,4,0,0,54,8,11,10,19,12,4,0,0,69,894,1128,985,1039,875,652,358,175,6113,53,60,43,45,36,29,14,8,297,957,1201,1041,1101,930,690,382,189,6477,327,105,17,24,0,0,0,0,473,0,4,10,4,4,0,0,0,21,4,27,50,75,61,88,37,26,381,330,142,75,98,74,88,37,26,875,1876,2215,1873,1971,1735,1206,632,262,11776,228,156,105,92,98,65,39,20,807,2436,2513,2061,2163,1905,1364,713,306,13458
1030,13,107,86,36,13,0,0,0,265,0,7,8,4,15,0,0,0,37,0,32,46,90,138,221,140,86,741,21,145,139,129,164,221,140,86,1036,822,713,782,891,1124,1357,787,155,6632,74,60,67,81,77,77,66,22,531,912,919,990,1105,1361,1653,993,264,8198,8,36,19,8,3,0,0,0,78,0,3,0,7,0,0,0,0,12,0,3,15,20,29,22,12,7,118,11,44,36,33,31,22,12,7,207,782,866,971,1098,1420,1696,962,343,8145,62,65,65,52,71,80,68,39,508,864,976,1075,1190,1528,1796,1049,387,8861,27,140,101,49,15,0,0,0,341,0,7,9,12,15,0,0,0,47,6,38,60,105,164,238,150,90,858,34,188,175,168,202,238,150,90,1244,1603,1580,1754,1991,2545,3052,1753,503,14774,133,123,135,135,147,160,138,63,1035,1776,1891,2061,2291,2885,3453,2043,656,17055
1031,1471,3101,1677,1035,375,0,0,0,7660,318,757,537,415,448,0,0,0,2478,376,2552,3452,5214,6497,9614,8243,5539,41486,2167,6401,5670,6666,7318,9614,8243,5539,51623,286412,347304,336020,280430,239062,168973,87065,25956,1771223,16869,25713,20634,14567,11650,8567,6900,5027,109915,305444,379419,362330,301667,258035,187148,102203,36517,1932765,602,898,366,185,61,0,0,0,2112,68,140,120,95,57,0,0,0,482,122,389,589,968,1043,774,457,497,4844,788,1432,1076,1244,1166,774,457,497,7436,272106,363553,348503,300110,258057,196286,109365,47042,1895022,14271,22528,17761,12531,10138,8816,8826,10261,105131,287164,387507,367342,313888,269362,205878,118653,57794,2007586,2069,3993,2044,1219,439,0,0,0,9768,382,895,661,513,508,0,0,0,2960,502,2941,4041,6179,7538,10388,8703,6038,46329,2954,7829,6747,7912,8482,10388,8703,6038,59056,558514,710862,684531,580543,497123,365253,196427,72997,3666247,31137,48238,38397,27099,21788,17384,15724,15283,215046,592607,766928,729672,615554,527399,393027,220855,94315,3940349
1032,0,5,4,5,3,0,0,0,17,0,13,7,8,3,0,0,0,28,0,62,47,109,113,224,143,104,794,8,76,60,114,116,224,143,104,845,2586,2680,2255,2008,2001,1664,1023,253,14473,235,248,194,184,130,104,106,82,1273,2820,3001,2511,2309,2244,1988,1270,442,16589,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,13,3,12,7,24,30,18,16,10,128,3,16,11,31,32,18,16,10,143,2405,2977,2448,2334,2408,2120,1433,623,16757,217,231,204,153,132,120,166,120,1344,2629,3223,2663,2521,2572,2259,1619,753,18241,0,7,3,5,3,0,0,0,21,0,13,9,8,3,0,0,0,38,7,72,61,133,142,241,159,117,928,11,92,77,150,152,241,159,117,983,4994,5655,4701,4340,4408,3788,2460,879,31228,447,479,396,333,262,221,274,197,2619,5452,6226,5175,4827,4816,4250,2893,1193,34829
1033,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,4,22,22,71,92,190,176,112,694,6,21,28,75,94,190,176,112,704,1291,1192,1082,1186,1461,1385,872,215,8681,135,104,115,107,150,107,106,62,888,1433,1316,1222,1367,1701,1680,1157,391,10275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,16,9,18,7,10,75,4,5,3,16,13,18,7,10,79,1244,1319,1248,1448,1790,1725,1152,551,10477,108,140,112,90,112,135,143,132,967,1354,1463,1366,1551,1922,1877,1300,696,11526,4,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,5,5,27,32,90,104,212,183,119,769,6,26,33,91,111,212,183,119,780,2533,2511,2327,2632,3249,3110,2025,769,19161,243,247,225,197,260,238,253,194,1859,2788,2775,2593,2920,3624,3555,2458,1086,21798
1034,0,6,0,3,0,0,0,0,9,0,0,0,4,3,0,0,0,10,0,21,23,29,61,152,98,81,454,4,22,31,32,66,152,98,81,477,666,620,753,808,1051,1234,712,144,5994,46,45,53,60,70,63,39,21,393,720,681,840,903,1185,1445,852,249,6862,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,6,10,16,11,5,62,0,11,10,6,9,16,11,5,66,604,691,825,909,1324,1518,823,350,7051,53,40,48,53,76,64,61,41,435,660,745,881,968,1417,1596,895,398,7552,0,6,4,3,0,0,0,0,15,0,0,4,4,3,0,0,0,14,0,23,31,39,68,163,102,85,514,3,31,36,42,76,163,102,85,546,1271,1318,1585,1717,2374,2752,1537,494,13047,98,85,102,109,144,125,102,60,828,1378,1426,1719,1869,2596,3039,1741,644,14419
1035,142,200,116,65,31,0,0,0,553,10,16,15,16,18,0,0,0,78,15,54,98,148,193,302,209,142,1151,170,270,226,228,244,302,209,142,1784,3479,3483,2890,2669,2591,2059,1103,331,18606,216,225,185,163,119,124,114,61,1214,3863,3978,3300,3063,2953,2486,1431,531,21607,39,61,23,8,4,0,0,0,137,6,9,8,8,5,0,0,0,31,10,27,29,46,46,23,8,9,208,50,99,55,63,55,23,8,9,374,3903,3846,3323,3063,3137,2628,1632,801,22334,205,197,174,144,135,145,133,143,1279,4155,4145,3548,3277,3328,2795,1778,958,23983,179,264,138,81,35,0,0,0,695,14,28,19,26,27,0,0,0,110,20,78,127,189,240,324,214,151,1355,218,370,285,294,297,324,214,151,2159,7374,7328,6214,5737,5729,4686,2734,1134,40939,424,421,350,310,260,273,251,205,2495,8015,8118,6850,6335,6286,5282,3211,1488,45591
