SUA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1014,30,51,110,89,91,65,17,0,0,447,23,45,115,63,68,65,15,4,0,406,673,1024,2489,2173,2055,1902,508,58,4,10874
1015,17,28,68,47,66,44,14,4,0,290,27,35,73,59,49,38,18,8,0,308,498,688,1466,1407,1445,1298,329,54,5,7194
1016,35,41,93,74,51,54,22,0,0,364,34,74,156,124,99,80,23,14,4,606,646,880,2506,2159,1894,1626,512,77,8,10301
1017,7,14,43,37,41,32,14,0,0,182,13,22,40,37,45,33,19,0,0,208,402,457,948,951,1044,936,303,39,5,5082
1018,35,47,134,87,129,92,29,7,0,557,40,40,88,88,103,63,26,12,0,462,895,1116,2577,2522,2593,2312,619,73,12,12716
1019,15,26,41,24,39,23,7,3,0,186,15,14,38,26,44,37,6,5,0,185,273,432,980,819,977,915,219,34,4,4647
1020,25,29,60,48,64,62,20,0,0,301,9,34,50,60,67,35,9,5,0,269,513,577,1237,1494,1601,1144,283,29,11,6890
1021,35,52,115,110,129,73,34,3,0,553,26,54,108,106,109,73,28,8,0,501,723,1096,2345,2206,2451,2035,559,75,4,11500
1022,17,32,75,42,44,37,21,0,0,257,10,11,49,27,29,23,12,14,0,181,408,505,1429,1261,1159,890,239,52,3,5949
1023,17,29,70,48,33,27,8,0,0,240,7,23,61,31,31,25,13,4,0,201,359,481,1287,1121,1069,778,183,17,0,5299
1024,22,37,77,87,106,76,29,3,0,428,25,29,54,74,88,90,33,8,4,401,815,834,1545,1923,2623,2457,678,107,0,10996
1025,583,1136,2348,1862,1745,1229,350,52,4,9308,461,981,2084,1840,1644,1167,320,87,23,8601,15576,25118,55155,51603,48540,35501,8030,913,71,240511
1026,33,76,173,114,124,89,28,5,0,646,45,46,130,118,134,81,16,12,3,591,1149,1582,3575,3088,3054,2491,603,79,6,15631
1027,52,80,207,170,145,99,36,3,0,796,52,57,161,106,120,83,31,5,0,613,1287,1674,4628,4246,3861,2907,894,115,10,19618
1028,31,83,151,172,168,140,45,4,0,792,45,74,119,110,133,98,39,19,6,642,1586,1834,3746,4279,4755,3861,1096,143,16,21307
1029,34,45,110,52,77,31,3,0,0,370,28,54,68,72,56,36,7,4,0,317,742,929,1966,1644,1676,1115,236,29,0,8338
1030,25,28,72,67,54,44,7,0,0,294,16,25,51,39,68,42,17,0,0,262,407,563,1401,1534,1659,1434,387,41,6,7427
1031,2755,6445,16832,15602,14564,10839,3173,455,22,70683,3158,10377,30714,27709,21150,14184,4195,889,183,112551,86742,206460,558745,544067,448068,310390,87433,11141,906,2253956
1032,59,89,199,157,136,125,42,3,4,824,53,77,179,130,100,77,33,14,7,673,1436,1743,4665,3927,3637,3054,920,125,10,19521
1033,20,32,87,93,95,67,23,0,0,417,24,42,67,59,72,73,27,4,0,361,684,803,1793,1692,1909,1820,486,52,6,9250
1034,7,13,48,48,60,51,19,0,0,253,21,16,50,37,36,45,9,6,0,215,480,402,1087,1325,1422,1316,421,48,5,6508
1035,76,151,284,234,187,190,64,11,3,1198,67,130,250,206,167,149,35,13,7,1014,2103,3042,6334,5493,5004,4183,1200,143,17,27525
1036,308,655,1189,1028,1027,795,188,26,0,5214,230,541,1207,1043,958,733,178,49,7,4946,8444,14622,30404,29710,29135,21461,4678,451,40,138956
2000,641,1056,2211,2102,2354,2153,748,88,5,11364,864,966,2078,2204,2777,2667,1238,517,103,13419,18258,21621,51341,57797,69971,68687,24868,4717,543,317796
2001,21,58,127,119,98,52,18,3,0,501,37,50,107,112,106,69,26,6,3,518,667,1099,2875,2781,2499,1702,429,46,5,12099
2002,11,40,66,39,67,48,16,0,0,289,13,29,50,38,63,44,23,8,6,278,448,557,1332,1162,1310,1197,399,58,3,6475
2003,72,227,456,351,329,270,82,5,3,1804,95,178,392,292,325,278,73,31,8,1677,3337,5253,11867,10900,10399,8151,2053,208,24,52182
2004,69,170,446,362,313,302,93,10,0,1760,80,150,358,337,287,265,67,27,4,1582,3068,4768,10880,9904,9300,7600,2009,201,21,47758
2005,9,9,20,35,40,35,14,4,0,156,11,9,19,30,25,41,12,0,0,160,234,207,643,969,1112,997,345,32,3,4557
2006,9,31,56,42,37,37,15,0,0,227,21,13,39,36,50,27,20,3,3,215,445,548,1306,1124,1156,990,317,31,10,5923
2007,23,36,94,79,78,94,24,0,0,438,24,25,65,53,86,75,27,5,0,354,754,793,1851,1892,2222,1986,578,70,10,10162
2008,196,542,1177,1017,886,709,182,37,0,4759,209,497,1192,1100,1031,714,246,63,15,5071,7988,13405,31966,30607,28231,21250,5745,646,58,139894
2009,20,36,52,96,93,77,15,5,0,391,20,28,59,94,115,54,19,6,5,400,743,761,1442,2659,2882,2065,540,74,3,11174
2010,22,43,89,75,62,48,20,6,0,360,13,21,70,48,35,42,15,11,0,252,493,717,1795,1510,1533,1429,415,87,10,7987
2011,2280,7734,20721,18270,16722,12015,3469,483,33,81735,3321,10731,31004,27438,22142,15009,4300,925,213,115081,101292,225014,603956,568097,473592,324559,87631,10698,818,2395663
2012,40,92,242,169,133,130,45,4,0,862,80,108,266,194,249,164,51,21,3,1145,1429,2050,5114,4534,4856,4122,1180,131,18,23438
2013,24,49,90,65,64,59,20,3,0,374,21,34,105,67,75,62,31,8,0,400,569,792,1885,1664,1769,1629,425,38,8,8776
2014,13,26,39,39,35,27,17,0,0,187,11,17,26,24,39,22,22,6,3,172,344,373,784,875,1063,980,301,36,5,4769
2015,9,25,59,53,41,38,10,5,0,238,13,19,49,40,39,31,10,3,3,220,432,554,1419,1324,1361,1133,288,42,3,6565
2016,41,106,229,189,218,161,56,6,0,1014,47,93,249,241,195,136,47,7,10,1031,1472,2103,5191,4685,4651,3840,1126,124,17,23209
2017,9,26,66,41,25,25,9,0,0,204,9,23,59,64,44,29,6,7,0,243,319,529,1274,1051,863,892,265,35,3,5241
2018,37,76,190,137,118,92,25,4,0,671,30,67,153,118,161,115,29,9,0,686,1215,1637,4189,3703,3602,2958,746,72,3,18132
2019,23,33,84,66,66,50,21,0,0,343,31,41,60,52,84,60,23,6,0,348,666,728,1811,1755,1854,1596,471,46,8,8934
2020,37,101,212,157,185,179,53,11,0,926,42,66,177,155,158,129,39,11,4,786,1145,1723,4462,3860,3922,3370,1012,185,25,19700
2021,47,72,156,115,117,78,40,8,0,637,35,55,133,96,126,86,29,7,0,563,1299,1444,3694,3443,3578,3106,823,112,3,17499
3000,970,1161,2331,2235,2178,2025,623,76,4,11611,1172,1219,2635,2678,3076,2719,1158,459,107,15228,19574,22708,54935,59764,69032,63159,20516,4000,434,314121
3001,15,23,76,75,60,36,14,0,0,296,9,26,71,66,69,30,20,6,0,292,440,857,2078,1695,1474,1056,328,41,0,7967
3002,2157,5150,11603,9936,8931,6160,1748,217,13,45917,2454,5903,13661,12777,10316,6678,1812,393,99,54092,69396,122487,282075,279247,249863,165647,40209,4353,306,1213582
3003,64,128,252,249,223,180,55,3,0,1169,103,150,293,250,248,169,56,33,6,1302,2140,2665,5890,5764,6195,5210,1329,199,15,29407
3004,163,342,710,735,723,461,159,21,0,3318,160,250,633,556,535,368,118,36,3,2662,4544,5607,14746,15941,16688,12113,3264,368,32,73295
3005,38,59,90,71,59,53,7,5,0,382,27,27,61,64,56,33,3,0,0,276,599,710,1725,1764,1425,1012,225,39,0,7505
3006,47,105,177,156,180,112,20,0,0,806,59,118,237,212,175,143,27,8,0,978,1484,1818,4454,4546,4660,3310,629,53,0,20948
3007,585,1418,3270,3108,2700,1826,548,75,4,13533,782,1622,3895,3800,3318,2271,779,194,49,16715,19928,30543,70639,72798,70727,51075,15342,1907,157,333117
3008,25,61,108,98,73,52,17,3,0,447,30,33,89,66,92,54,26,5,3,399,718,823,1726,1677,1854,1442,352,44,8,8638
3009,31,82,180,189,200,132,34,4,0,840,67,62,131,150,170,128,41,18,9,769,1393,1438,3424,3988,4515,3797,940,86,12,19593
3010,21,13,37,23,32,30,10,0,0,163,13,17,39,42,47,19,10,0,0,188,342,477,1041,863,809,705,191,22,0,4444
3011,151,261,553,424,383,259,68,10,0,2112,109,210,410,344,344,228,74,17,4,1748,2886,3841,8712,8952,8644,6630,1628,150,10,41452
3012,24,39,103,77,91,78,18,5,0,423,28,42,79,94,90,73,28,15,0,449,677,791,1573,1748,2116,1865,421,54,7,9243
3013,25,49,98,75,68,41,19,4,0,371,33,35,85,74,51,33,17,0,0,327,590,926,2427,1985,1648,1270,286,36,6,9178
3014,107,204,421,342,255,223,63,6,0,1623,110,144,326,227,196,143,49,10,4,1219,2701,3664,8122,7699,7032,5656,1275,118,15,36282
3015,413,702,1577,1510,1534,1075,282,32,0,7127,505,701,1574,1682,1672,1142,348,105,22,7752,12548,14353,31983,37398,41119,31261,8447,959,64,178125
3016,201,323,673,568,508,394,131,27,4,2821,156,275,517,492,421,294,106,34,8,2304,4782,6733,14574,13547,13129,10197,2762,369,37,66126
3017,252,458,875,679,597,425,134,30,0,3449,236,376,713,601,565,420,118,20,0,3052,6241,10216,19845,17985,17320,12807,3132,287,11,87845
3018,22,31,56,52,34,36,13,3,0,252,20,26,68,46,47,51,33,9,4,296,519,597,1272,1067,1255,1232,373,54,6,6376
3019,28,22,71,63,85,43,24,0,0,341,28,32,65,64,55,55,13,6,0,330,742,741,1705,1923,2067,1721,415,47,3,9365
4000,264,410,812,768,923,783,296,35,3,4300,304,330,640,716,910,873,429,191,33,4423,6932,8657,19845,22203,26464,26195,9146,1737,160,121338
4001,992,2748,6336,5371,5310,4052,1291,184,11,26296,831,2252,5044,4679,4179,3078,981,314,73,21433,34143,63966,149896,145110,134089,103410,26870,3106,261,660848
4002,31,55,141,126,120,88,25,5,0,588,23,42,121,70,99,95,35,11,0,498,1096,1178,2771,2625,2897,2503,653,71,12,13803
4003,16,42,68,48,54,45,15,4,0,296,15,20,55,45,54,37,16,4,0,247,468,686,1513,1273,1429,1318,347,40,0,7070
4004,24,25,69,44,42,29,8,0,0,240,11,19,37,30,17,35,8,3,0,166,361,439,1303,984,1079,1026,231,21,0,5450
4005,22,44,68,55,77,47,19,0,0,338,11,19,50,52,44,47,12,10,0,242,515,599,1482,1508,1555,1308,340,51,6,7358
4006,10,23,55,55,45,47,14,0,0,238,8,18,26,29,36,28,7,4,0,153,406,583,1112,948,1205,1016,200,18,0,5486
4007,13,31,80,67,87,98,39,3,0,427,22,9,24,52,67,53,38,18,8,288,583,593,1286,1623,1962,2189,836,123,8,9205
4008,13,29,57,47,65,52,17,0,0,282,20,26,46,53,60,58,14,4,0,275,515,777,1896,1664,2038,1614,302,34,0,8843
5000,308,404,808,802,796,726,213,25,0,4083,338,410,867,883,1049,1012,451,168,30,5200,6014,8106,21653,24553,27111,25332,8841,1689,172,123469
5001,47,72,137,127,120,121,51,3,0,680,56,50,96,88,107,91,38,12,3,543,1217,1174,2689,2952,3486,3107,987,124,18,15751
5002,12,24,61,81,53,32,11,0,0,273,23,28,82,106,72,40,15,3,0,369,377,439,1735,1809,1473,1003,315,31,0,7176
5003,78,166,334,274,304,220,59,9,0,1445,92,129,277,294,228,193,65,11,6,1294,2503,2853,6853,7792,7862,6085,1544,136,12,35640
5004,51,74,127,144,165,99,35,3,0,705,52,53,91,144,149,117,46,16,6,682,1414,1099,2909,4149,4513,3529,1141,142,15,18915
5005,28,30,69,50,69,40,10,0,0,299,20,33,41,38,42,46,19,8,0,244,373,435,994,1066,1215,1065,303,49,5,5501
5006,68,96,164,146,135,108,39,12,0,773,55,61,127,116,143,105,42,9,4,656,1309,1415,3263,3460,3919,3184,915,103,14,17580
5007,57,91,169,142,141,83,21,0,0,703,49,64,142,143,134,90,32,3,0,658,883,1417,3532,3289,3011,2403,582,45,0,15164
5008,28,34,96,93,62,26,0,0,0,339,20,45,131,137,82,53,8,0,0,472,489,619,2315,2536,1792,942,168,4,0,8866
5009,2098,4459,10120,8862,7660,5679,1832,242,15,40975,2264,4819,11711,11527,9744,6687,2127,465,97,49442,56923,97253,234162,241001,214639,157679,43646,4896,346,1050544
5010,20,26,73,67,45,32,4,0,0,269,22,34,79,80,69,47,13,0,0,338,377,508,2133,2068,1379,1002,174,6,0,7643
6000,155,247,522,484,518,447,151,13,0,2528,126,191,379,433,503,470,220,90,19,2434,3547,5064,12314,13281,15681,15536,4611,723,72,70824
6001,21,62,124,101,92,76,19,0,0,492,14,26,63,57,51,52,25,8,0,308,731,1108,2343,2308,2360,2177,513,57,10,11597
6002,28,60,149,105,123,83,20,3,0,575,23,36,72,68,70,62,22,20,3,372,867,1247,3122,2565,2837,2359,587,93,8,13688
6003,129,372,1140,859,715,580,185,41,0,4027,104,247,814,513,490,372,141,35,8,2721,4975,9385,28708,23152,21337,16653,4649,537,38,109439
6004,82,193,440,329,348,275,91,10,0,1773,57,124,279,218,212,159,57,18,9,1123,2454,4016,10219,8517,8726,6894,1839,176,22,42858
6005,12,29,52,43,50,49,10,3,0,246,11,15,35,28,36,35,16,3,0,176,412,512,1157,1163,1388,1329,310,38,3,6317
7000,53,73,222,207,192,145,52,0,0,945,92,121,270,235,241,153,60,11,0,1184,1156,2108,5929,5558,5268,3932,1089,130,8,25174
7001,35,44,157,154,109,103,33,5,0,636,24,29,154,123,85,58,30,4,0,515,659,855,3743,3092,2531,2148,643,56,0,13726
7002,133,222,709,617,446,339,110,10,0,2586,138,320,783,616,457,318,103,23,8,2758,3144,6128,18894,15917,12698,8663,2444,233,20,68133
8000,0,3,9,4,7,6,0,0,0,31,3,3,3,4,0,3,0,0,0,21,57,78,158,164,170,112,37,6,0,792
8001,512,1035,1955,1648,1402,906,335,45,0,7827,243,648,1789,1272,897,509,154,43,16,5575,13923,28136,69907,64152,51994,31529,8048,928,88,268700
9000,0,0,4,17,12,18,8,3,0,66,4,14,16,19,21,24,20,5,0,117,110,136,335,426,461,516,229,41,4,2251
