SUA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
3015,81108,86590,167693,11423,12505,23924,6872,7714,14584,4738,5157,9891,48090,54091,102181,621,721,1343,813,937,1747,438,556,993,529,573,1107,515,553,1066,8,15,22,62631,70315,132945,6726,7522,14250,1998,1992,3992,82774,92333,175099,10820,10869,21691,174705,189788,364492
3016,31218,33841,65057,3586,3909,7496,1354,1522,2879,387,403,792,19497,22079,41578,139,150,290,194,186,377,88,87,176,169,166,338,97,108,211,0,0,0,21926,24706,46635,2949,3155,6107,630,590,1221,29094,32357,61457,3612,3516,7134,63925,69718,133649
3017,39629,40613,80239,4041,4339,8375,2063,1868,3931,1401,1344,2748,22664,25457,48118,374,397,769,544,530,1081,175,178,352,522,528,1054,315,269,587,0,0,0,28059,30572,58632,2173,2407,4577,1047,941,1988,35320,38261,73576,8528,6129,14654,83475,84998,168467
3018,3653,3942,7599,1210,1355,2565,212,233,438,36,41,79,1121,1248,2368,23,26,48,17,20,35,8,8,12,14,25,37,0,0,0,0,0,0,1422,1603,3027,98,112,216,62,53,117,2794,3124,5919,567,591,1162,7016,7666,14674
3019,4334,4501,8839,1469,1653,3117,205,227,434,123,140,263,2054,2175,4226,25,34,62,42,42,83,19,20,37,46,44,91,14,13,27,0,0,0,2528,2697,5224,202,200,406,93,88,186,4287,4637,8928,874,566,1441,9497,9707,19200
4000,79962,76112,156077,11749,11957,23704,1059,1033,2090,1466,1522,2989,1034,1073,2103,20651,21596,42242,631,681,1313,190,172,363,624,632,1255,60,57,115,0,0,0,25711,26762,52477,1872,1935,3809,587,536,1129,39929,41191,81118,12002,9882,21879,131888,127187,259078
4001,363386,380467,743850,30304,32509,62813,7044,6772,13814,6736,6683,13425,4189,4314,8498,147324,158082,305404,2060,1992,4055,635,727,1359,1886,1937,3822,888,842,1726,24,19,44,170789,181354,352145,35024,36196,71218,4073,3608,7670,240193,253660,493854,29092,27562,56653,632664,661693,1294356
4002,7582,7952,15537,1588,1773,3362,86,98,185,355,383,743,83,98,181,2373,2676,5048,56,51,102,16,20,34,33,35,74,5,11,11,0,0,0,3008,3370,6376,248,273,518,122,91,215,4965,5509,10472,879,931,1812,13430,14392,27824
4003,4441,4726,9167,1389,1573,2964,64,63,128,100,85,183,84,71,150,1105,1244,2353,26,31,61,12,10,18,41,33,71,0,3,4,0,0,0,1431,1536,2962,174,208,379,61,47,108,3052,3364,6419,1084,615,1698,8578,8704,17284
4004,3544,3641,7182,945,1060,2006,37,41,76,47,22,78,45,38,81,495,587,1080,45,29,71,6,3,9,41,32,77,0,5,8,0,0,0,715,763,1479,147,144,290,35,31,67,1851,1993,3837,1168,532,1697,6558,6160,12719
4005,4278,4346,8626,1433,1494,2927,44,52,100,48,42,85,49,60,109,739,914,1654,46,63,111,12,7,22,51,33,84,4,0,5,0,0,0,997,1174,2174,83,96,180,52,36,83,2567,2801,5364,811,571,1378,7654,7714,15376
4006,4008,4058,8067,1050,1164,2220,53,39,88,30,34,59,62,45,107,575,691,1265,19,17,34,7,6,17,26,23,50,4,4,3,0,0,0,776,865,1642,79,79,159,47,47,89,1945,2163,4107,481,505,986,6432,6725,13154
4007,7023,7769,14793,1612,1817,3426,180,215,399,203,221,432,141,166,313,2760,3072,5834,51,59,117,31,34,65,78,90,168,18,16,26,0,0,0,3463,3875,7339,181,186,364,93,94,185,5346,5972,11309,643,753,1395,13014,14484,27498
4008,6225,6083,12300,1756,1874,3629,64,49,108,62,58,121,81,81,165,642,671,1313,62,58,120,12,11,18,38,49,86,0,0,0,0,0,0,963,973,1930,171,186,356,76,57,134,2959,3092,6050,834,816,1654,10021,9987,20004
