SUA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
1010,0,0,0,10,13,3,0,0,0,28,0,31,28,121,92,82,107,97,14,566,0,4,8,38,33,83,160,159,73,559,0,16,16,18,21,9,11,3,0,99,3,23,27,111,79,43,37,22,3,348,0,0,9,12,27,34,35,14,6,142,0,9,20,70,33,42,32,11,4,227,0,0,3,6,15,43,156,122,17,362,0,0,0,11,14,16,17,15,6,86,0,0,0,3,4,4,7,9,4,26,0,6,28,233,9,3,0,0,0,282,0,4,9,14,30,46,151,140,45,443,18,101,133,692,653,586,484,210,44,2922,0,0,0,0,3,11,4,0,0,30,4,9,12,74,5,5,6,0,0,115,0,3,5,29,45,35,12,4,0,131,11,68,70,336,110,82,50,14,0,740,0,3,3,50,30,26,45,28,9,188,0,0,0,20,9,6,4,0,0,35,0,19,22,94,129,204,188,176,57,891
1011,3,77,28,59,3,3,4,0,0,183,0,5,0,20,14,6,9,3,0,67,0,0,0,14,5,9,25,21,8,72,0,12,4,17,5,0,0,3,0,38,0,0,3,23,0,0,0,0,0,30,0,0,0,3,5,0,0,0,0,10,8,36,18,86,27,7,4,0,0,187,0,0,0,0,0,0,8,5,0,17,0,0,0,0,4,0,0,0,0,0,0,11,39,112,30,8,9,0,0,215,0,0,3,41,0,0,0,0,0,47,0,0,0,5,3,7,41,29,13,97,5,13,19,106,84,90,91,43,18,464,0,0,0,0,0,0,0,0,0,0,0,3,9,4,0,0,0,0,0,17,0,0,5,5,6,9,0,0,0,35,0,15,18,45,13,0,3,0,0,97,0,0,0,8,8,3,9,0,5,23,0,0,0,0,0,0,0,0,0,0,0,5,3,14,20,33,37,22,12,139
1012,0,0,0,0,3,0,0,0,0,3,0,0,0,11,3,0,0,3,0,23,0,0,0,0,0,0,4,3,5,15,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,16,0,0,0,3,3,0,8,0,0,16,0,0,0,8,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,9,0,3,31,312,13,0,0,0,0,357,0,0,0,3,0,0,4,9,8,29,0,0,13,39,29,27,25,13,0,148,0,0,0,0,0,0,0,0,0,3,4,7,0,79,6,0,0,0,0,96,0,0,0,4,0,0,0,0,0,9,3,21,15,59,26,7,0,0,0,131,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,0,0,3,28
1013,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,4,13,0,0,0,4,0,0,13,7,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,5,0,0,5,3,3,3,0,0,0,6,0,0,0,0,0,0,9,4,3,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0,0,36,0,0,0,0,0,4,8,16,9,37,0,3,4,10,22,28,25,13,3,111,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,5,0,5,3,17,0,0,0,0,0,30,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,10,3,46
1014,0,0,0,9,0,0,0,0,0,9,0,3,0,4,3,4,4,6,0,20,0,0,0,0,0,3,3,0,5,18,0,0,0,0,0,0,0,0,0,5,0,0,7,12,5,0,0,0,0,26,0,0,3,7,5,3,0,0,0,19,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,4,0,6,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,62,0,0,0,0,0,75,0,0,0,0,0,0,9,3,0,18,0,6,5,27,24,27,26,14,0,119,0,0,0,0,0,4,0,0,0,3,0,0,0,14,0,0,0,0,0,14,0,0,0,0,5,3,0,0,0,11,0,7,8,35,5,3,0,0,0,64,0,0,0,0,0,0,6,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,4,4,12,8,8,0,32
1015,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,18,0,0,0,18,16,8,12,14,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,13,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,0,16
1016,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,18,0,0,3,25,9,34,78,100,70,318,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,5,5,19,72,11,15,4,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,5,0,0,0,14,0,0,0,0,0,5,5,0,0,12,0,24,42,67,17,8,14,0,0,177,0,0,0,0,0,0,0,0,0,0,0,7,15,46,27,9,0,0,0,109,0,0,0,3,0,0,0,0,0,4,8,19,17,99,20,8,3,0,0,175,0,0,0,0,0,0,0,0,0,0,0,3,13,15,17,14,10,0,0,72,0,0,0,6,0,3,4,0,0,12
1017,0,0,0,5,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,11,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,8,5,0,11,0,0,3,17,15,19,10,3,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,3,3,0,7
1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,10,0,0,0,6,0,3,10,15,12,56,0,0,4,4,0,0,0,0,0,11,0,0,3,3,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,4,8,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,24,0,0,0,0,0,3,8,3,0,18,0,0,9,37,26,40,27,6,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,3,0,0,11,0,0,0,8,4,0,0,0,0,11,0,3,0,18,4,3,0,0,0,29,0,0,0,0,0,0,5,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,5,5,5,10,5,5,0,37
1019,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,4,0,3,8,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,3,0,3,0,0,0,0,8,0,0,0,0,0,0,7,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,4,6,3,0,13,0,0,6,20,7,6,9,6,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,8,11,3,3,0,0,0,27,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,7,10,0,29
1020,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,4,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,4,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,4,3,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,7,0,14,8,0,27,0,0,6,7,21,24,19,3,0,79,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,4,6,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,8,0,30
1021,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,3,0,24,0,0,0,0,0,0,7,5,8,21,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,10,0,0,0,3,3,4,4,0,0,15,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,3,12,9,3,31,0,0,0,0,3,0,5,3,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,11,10,11,3,33,0,9,18,47,44,63,61,49,9,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,4,6,8,3,0,0,29,0,4,6,7,4,3,0,0,0,29,0,0,0,0,3,0,0,0,0,12,0,0,4,10,9,8,3,0,0,25,0,0,0,4,0,21,12,10,5,54
1022,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,4,6,0,0,8,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,24,0,0,0,5,0,0,4,0,0,14,0,5,0,19,14,8,11,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,3,8,10,4,3,0,0,0,24,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
