SUA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
4000,159,640,505,385,830,895,254,554,72,4300,289,575,401,262,696,583,172,497,961,4423,5990,18349,14841,10625,20128,21374,7208,20121,2705,121338
4001,802,4298,3724,2300,6435,4802,1406,2309,226,26296,783,2544,2115,1348,4920,3490,871,1755,3606,21433,27469,99283,86458,59368,157698,118779,38133,65123,8524,660848
4002,15,79,60,46,139,135,50,66,7,588,23,61,36,27,95,75,37,54,85,498,582,2028,1814,1182,2933,2404,946,1680,246,13803
4003,8,46,35,17,68,62,31,23,5,296,9,32,23,14,53,33,4,23,61,247,301,1061,953,611,1607,1230,404,741,160,7070
4004,8,23,23,21,71,44,14,34,0,240,16,18,10,16,28,13,4,24,39,166,305,712,629,416,1314,912,290,746,112,5450
4005,12,51,48,38,70,67,23,28,0,338,13,32,26,12,48,32,4,22,52,242,452,1141,1048,703,1474,1176,396,794,163,7358
4006,11,36,32,19,52,41,15,32,5,238,3,17,11,9,27,23,17,14,35,153,232,862,732,486,979,957,535,605,103,5486
4007,23,86,53,34,83,76,28,38,4,427,13,54,40,20,24,32,11,18,78,288,521,1989,1507,1007,1484,1230,424,873,171,9205
4008,10,50,39,22,60,49,28,29,8,282,12,29,13,8,49,39,13,40,81,275,430,1149,1045,655,1886,1412,620,1470,178,8843
5000,184,638,429,283,621,828,292,738,68,4083,329,703,421,252,562,735,247,868,1090,5200,7548,16090,12757,8510,15748,20573,8073,31166,2999,123469
5001,28,98,75,62,141,150,38,73,4,680,36,95,54,34,60,78,23,68,99,543,818,2654,2008,1434,2789,2762,1063,1974,247,15751
5002,6,29,25,25,48,51,24,68,4,273,8,32,25,13,64,50,16,58,101,369,351,688,588,553,1594,1420,447,1351,182,7176
5003,58,247,162,108,284,251,113,219,9,1445,60,161,88,66,184,209,78,212,228,1294,1897,5171,4120,2818,6019,6451,2450,6205,505,35640
5004,27,139,92,60,124,137,50,76,4,705,34,106,76,59,73,101,36,86,111,682,1191,3283,2567,1728,2777,3095,1100,2892,282,18915
5005,10,29,30,21,48,82,32,43,0,299,12,38,20,14,33,32,12,37,43,244,345,751,590,400,822,1067,371,1042,120,5501
5006,29,96,83,55,137,175,46,146,6,773,28,90,67,41,75,103,33,107,106,656,923,2519,2001,1465,2985,3122,1198,3091,278,17580
5007,38,61,50,30,90,123,62,249,5,703,28,57,50,28,69,125,37,148,117,658,661,1364,1196,760,2034,2650,1343,4867,286,15164
5008,9,45,24,22,43,57,32,109,3,339,16,30,19,15,48,94,48,148,59,472,508,811,605,462,1212,1739,908,2491,135,8866
5009,1235,7033,5596,3348,7982,7895,2556,4869,455,40975,1504,5920,4408,2815,8389,10335,2565,6056,7448,49442,43862,155201,125977,79518,198104,211502,67016,153286,16079,1050544
5010,14,30,19,12,44,30,15,94,9,269,26,28,13,13,34,44,13,90,74,338,480,612,455,328,1045,1255,668,2595,201,7643
6000,75,409,333,200,505,541,136,265,60,2528,146,365,217,146,321,350,99,249,544,2434,3861,11106,9533,6284,12911,12455,3894,9191,1592,70824
