SUA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
1010,243,1771,12176,40174,35793,8861,1934,1252,102204,64,629,4561,3868,189,29,17,266,9624,19,467,1665,3435,368,32,12,116,6113,77,1101,6228,7302,553,63,30,381,15739,88,970,3067,1948,199,31,14,164,6473,21,107,953,388,22,0,0,23,1519,36,265,1695,423,21,4,4,34,2473,0,68,364,157,6,0,0,3,600,12,65,191,85,39,19,4,9,420,153,1480,6273,2999,278,46,24,230,11484,63,278,414,141,27,11,0,48,980,23,70,64,52,22,5,8,27,279,553,4696,25162,50665,36677,8987,1992,1936,130681
1011,60,358,1875,9069,7448,1553,369,271,21024,3,130,1117,656,58,8,3,58,2033,3,76,450,774,122,18,8,19,1468,4,200,1566,1433,176,23,10,75,3499,20,311,1333,473,32,6,0,60,2225,7,63,260,60,3,0,0,12,387,0,52,133,69,10,0,0,3,265,5,0,66,36,0,0,0,0,115,3,32,26,8,3,7,0,0,77,33,456,1815,647,41,6,3,77,3074,33,159,152,74,15,0,6,33,477,9,21,34,34,11,3,0,12,129,141,1195,5444,11255,7692,1600,390,478,28198
1012,17,83,730,4951,5172,741,127,174,11998,3,76,877,268,56,10,0,42,1321,0,7,37,13,0,0,0,0,60,3,85,911,280,56,9,0,46,1385,21,278,662,72,11,0,4,31,1078,0,5,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,3,4,0,0,0,18,21,292,676,76,20,0,4,28,1106,8,16,19,8,4,0,0,0,54,0,11,3,4,4,0,0,11,41,45,482,2334,5317,5253,752,139,264,14582
1013,6,73,607,2919,1825,304,47,88,5870,3,60,510,800,30,0,0,21,1420,0,37,88,86,9,0,0,5,230,3,96,601,882,34,0,0,25,1648,15,194,504,133,4,0,4,27,887,4,42,288,47,0,0,0,11,393,0,20,272,67,5,0,0,5,371,0,3,32,41,0,0,0,0,75,0,0,7,0,0,0,0,0,3,17,267,1095,290,9,3,4,48,1728,13,54,89,20,0,0,0,8,184,0,5,13,11,0,0,0,4,39,39,498,2392,4127,1880,310,50,177,9463
1014,0,112,859,3762,2647,427,99,103,8002,10,131,342,313,46,0,0,16,862,0,3,109,45,12,0,0,0,171,10,137,450,358,54,5,0,20,1027,0,73,175,15,6,0,0,8,279,0,29,34,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,13,0,106,218,20,4,0,0,9,359,9,29,18,4,3,0,0,7,71,0,6,6,9,0,0,0,10,23,23,385,1553,4157,2700,426,102,137,9486
1015,13,57,810,3212,1666,352,56,101,6265,5,108,115,68,7,0,0,8,322,0,29,102,92,15,0,0,3,246,10,133,218,159,24,3,0,19,568,3,106,339,114,11,0,4,11,594,0,0,13,0,0,0,0,0,14,0,5,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,3,114,365,114,11,0,4,12,630,11,37,16,42,21,4,0,3,136,0,7,9,3,0,0,0,8,27,37,348,1417,3527,1716,361,62,147,7616
1016,0,43,426,2704,2168,272,42,113,5771,0,42,138,156,6,0,0,8,344,0,30,17,8,0,0,0,6,64,0,71,155,163,6,0,0,10,408,5,126,516,180,8,4,0,27,860,0,4,18,3,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,10,5,133,535,183,14,3,0,27,894,4,33,14,13,5,0,3,9,82,0,0,4,3,4,0,0,5,29,11,279,1137,3068,2201,278,42,158,7182
1017,12,70,675,2466,1204,233,64,114,4842,0,0,36,17,3,0,0,0,60,0,4,41,0,0,0,0,0,48,0,4,80,18,3,0,0,0,106,9,89,168,19,0,0,0,11,296,0,3,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,94,175,19,0,0,0,12,314,11,22,10,10,3,0,0,16,66,0,3,5,0,0,0,0,6,16,33,196,942,2507,1209,239,64,149,5347
1018,19,89,891,4626,2590,513,106,108,8939,14,147,710,247,22,0,0,20,1163,7,60,225,169,15,7,3,14,503,14,207,943,420,38,5,3,37,1668,15,127,347,115,28,0,4,10,651,0,6,64,3,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,9,15,137,411,121,29,0,4,14,737,38,103,47,7,0,0,0,10,207,0,5,8,6,0,0,0,3,28,93,546,2302,5180,2661,517,109,160,11573
1019,4,56,823,2130,1054,174,60,94,4399,12,52,261,151,3,0,0,29,508,0,20,34,29,0,0,0,0,84,12,75,293,180,3,0,0,30,595,0,34,47,16,0,0,0,0,106,0,4,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,4,34,54,19,3,0,0,8,121,4,3,6,8,0,5,0,0,23,0,10,0,0,5,0,0,0,10,22,178,1175,2338,1068,176,63,131,5149
1020,10,73,414,1522,2321,427,124,56,4949,0,0,45,20,3,5,0,0,73,0,0,3,19,0,0,0,0,26,0,0,46,41,8,4,0,5,103,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,13,0,3,17,0,0,0,0,0,24,21,36,13,4,0,0,0,5,83,0,3,0,0,0,0,0,0,3,32,118,490,1570,2333,432,123,60,5155
1021,30,221,1160,3158,3535,720,198,109,9134,0,30,348,260,8,0,0,24,669,0,0,53,90,24,0,0,10,170,0,32,395,347,33,0,3,30,842,0,36,75,26,11,0,0,0,146,0,0,10,0,0,0,0,0,6,0,0,17,7,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,5,16,0,5,0,0,0,33,0,43,115,33,15,3,0,0,210,0,39,75,7,0,0,0,11,136,4,11,13,0,8,0,0,0,36,35,344,1755,3548,3589,728,203,152,10362
1022,5,30,306,1728,1608,278,47,45,4047,4,63,250,190,8,0,0,11,537,0,0,9,3,6,0,0,0,22,4,63,259,200,10,0,0,11,556,0,16,18,0,0,0,0,4,37,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,4,49,0,16,13,0,0,0,0,43,73,0,5,0,4,0,0,0,0,12,9,128,603,1935,1625,278,51,108,4727
1023,0,30,250,1677,1623,276,42,66,3958,0,80,157,103,13,4,0,12,373,0,28,69,50,0,0,0,5,150,3,104,222,149,19,4,0,16,518,0,0,13,4,0,0,0,0,18,0,0,9,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,0,0,0,27,5,12,0,0,0,0,0,0,17,0,5,5,7,0,0,0,0,15,8,149,501,1843,1648,276,40,77,4545
1024,11,86,866,3032,2993,662,128,77,7857,0,64,618,499,38,4,0,27,1239,0,28,157,976,240,17,7,20,1451,0,89,772,1471,282,21,10,46,2692,0,66,114,50,13,3,3,11,261,0,21,126,66,4,0,0,5,220,0,14,254,144,13,0,0,3,428,0,0,0,0,0,0,0,0,0,0,4,4,11,5,0,0,0,22,9,103,493,269,30,4,3,17,936,5,26,62,37,4,0,0,5,141,0,24,23,25,4,0,0,5,78,18,332,2216,4836,3315,694,138,153,11695
1025,186,1622,17772,69763,51672,9532,1777,1528,153857,23,1395,7391,3980,383,39,19,247,13477,49,997,3546,4321,590,97,34,152,9778,75,2393,10931,8301,968,136,52,400,23254,167,2384,2899,661,81,15,16,206,6431,42,569,1601,317,6,4,3,66,2614,57,593,1284,613,29,0,8,43,2621,24,472,774,332,23,0,0,13,1640,12,132,229,123,49,25,6,8,584,303,4150,6791,2046,196,45,30,324,13876,70,355,367,111,36,11,0,33,995,18,75,68,60,30,9,6,36,305,655,8602,35930,80290,52895,9736,1864,2325,192297
1026,16,159,943,5079,4713,877,205,159,12142,0,136,707,277,31,0,5,33,1192,0,72,115,56,3,0,0,3,256,0,210,827,331,34,4,5,43,1445,5,103,147,58,5,0,0,11,325,0,0,10,13,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,9,4,4,0,0,40,5,106,172,78,8,7,0,14,384,3,28,41,3,0,4,0,6,87,0,15,0,3,3,0,0,20,45,25,516,1986,5499,4754,889,203,239,14108
1027,23,113,937,5952,5155,891,144,187,13404,9,189,770,309,30,0,5,37,1355,0,83,64,46,3,0,0,8,204,9,267,840,359,30,0,5,46,1556,3,131,277,63,16,0,4,18,507,0,3,27,3,0,0,0,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,4,0,0,0,18,3,141,305,69,17,0,0,17,559,0,20,7,3,11,0,0,4,53,3,10,10,12,7,4,0,7,49,37,554,2095,6397,5225,900,152,258,15616
1028,11,133,1163,6073,5034,1034,167,170,13782,5,155,1354,964,83,5,3,70,2636,3,42,272,548,79,15,0,13,969,11,201,1623,1515,154,16,3,79,3606,6,337,670,243,14,0,0,37,1300,0,28,450,85,6,0,0,11,575,14,139,548,246,7,0,0,20,972,0,8,69,52,0,0,0,0,134,0,0,0,7,13,0,0,0,22,17,519,1728,634,31,3,4,68,3011,6,26,38,12,3,0,0,5,96,0,3,16,10,4,0,0,9,52,52,883,4565,8247,5232,1054,173,333,20544
1029,5,43,311,2052,2166,365,96,52,5087,0,18,135,218,19,3,0,8,399,0,18,124,50,9,0,0,4,209,0,42,256,269,32,3,0,12,611,0,42,137,45,5,0,0,9,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,41,137,45,5,0,0,9,231,7,47,8,6,6,0,0,0,82,0,0,0,5,0,0,0,0,9,19,179,717,2372,2207,367,98,77,6020
1030,14,80,820,3375,2375,379,75,81,7186,4,17,370,221,16,4,4,7,640,0,0,46,32,0,0,0,0,79,5,16,413,253,19,5,4,12,725,4,19,79,74,14,0,0,4,199,0,0,0,0,0,0,0,0,6,0,0,3,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,9,9,0,0,0,0,27,4,24,97,87,16,0,0,5,234,4,30,14,4,0,0,0,8,55,0,0,10,0,5,0,0,7,25,23,157,1348,3717,2409,379,76,111,8225
1031,1387,8542,57566,323352,355966,116303,26793,10105,900007,670,5093,24509,30639,6126,960,219,979,69203,577,7966,30873,74135,28198,4044,740,1865,148406,1248,13061,55379,104777,34326,5007,965,2845,217612,2373,19084,47913,14070,1590,343,200,1652,87220,2623,23083,103335,20791,959,115,117,2204,153218,3928,40670,108830,26894,993,140,76,2387,183922,3344,34500,62678,15213,593,43,46,1593,118012,130,1144,3257,1578,954,464,183,210,7932,12402,118480,326008,78544,5088,1109,626,8040,550302,321,1781,2924,1464,310,96,46,164,7112,214,811,1139,570,380,157,68,355,3688,15569,142672,443014,508709,396067,122672,28498,21508,1678712
1032,17,118,1090,6452,5087,794,177,217,13946,17,253,1064,328,21,3,0,43,1727,3,74,203,60,8,0,0,8,347,17,323,1266,387,26,3,0,47,2076,9,81,181,33,5,0,0,10,317,0,0,21,0,0,0,0,0,22,0,0,17,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,10,9,85,225,40,4,0,0,10,368,11,33,18,5,0,0,0,6,70,5,27,24,22,4,0,3,16,93,52,584,2616,6904,5124,797,179,291,16555
1033,7,98,896,4601,2374,407,114,194,8690,9,139,565,106,9,0,0,25,849,0,0,41,19,4,0,0,0,65,9,140,602,123,13,0,0,25,912,15,168,420,41,5,0,0,29,680,7,14,18,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,19,182,441,44,9,0,0,29,725,4,30,8,5,0,0,0,24,81,0,3,4,4,0,0,0,0,22,42,450,1951,4775,2397,411,114,282,10424
1034,7,70,586,2702,2143,386,61,69,6021,3,28,111,112,12,0,0,9,281,0,28,103,124,17,0,0,5,278,3,53,214,238,27,0,0,15,557,5,30,56,37,4,0,0,3,138,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,16,5,34,64,44,4,0,3,4,157,3,24,118,51,3,0,0,9,208,0,4,12,6,4,0,0,3,25,16,188,996,3037,2181,392,63,100,6970
1035,19,93,1368,7939,6866,1253,210,216,17960,4,99,629,154,13,3,0,29,927,0,8,115,90,5,0,0,0,219,7,107,748,241,17,4,0,27,1149,3,277,1485,183,15,6,3,54,2025,0,40,50,16,0,0,0,0,113,0,10,21,16,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,5,7,6,4,0,0,0,21,8,332,1560,223,20,5,3,59,2204,4,13,21,14,8,0,10,7,74,0,6,10,15,0,4,0,4,35,32,545,3704,8435,6906,1264,220,304,21419
