SUA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1010,133841,142268,276107,4134,4490,8624,15680,16628,32313,216,223,439,278,334,614,47,42,88,81,80,160,33,35,66,26,43,71,41,48,96,0,5,0,16397,17450,33847,615,654,1275,450,353,805,21597,22945,44546,8912,9895,18803,164354,175107,339457
1011,27908,30085,57994,1397,1579,2974,2875,3137,6011,168,190,354,270,296,568,19,21,44,36,20,59,43,47,84,15,18,40,31,45,79,0,0,4,3460,3779,7244,172,205,375,139,133,272,5171,5701,10867,2232,2386,4621,35311,38170,73478
1012,14452,15825,30275,730,845,1573,1912,2055,3972,63,42,101,72,75,148,8,6,17,10,17,23,8,6,14,16,14,28,17,11,29,0,0,0,2096,2228,4322,112,90,197,86,73,157,3019,3234,6257,1728,1690,3423,19202,20752,39947
1013,7759,8666,16422,491,559,1046,848,922,1768,22,24,49,47,40,80,4,4,4,5,6,11,7,4,4,0,0,6,4,9,16,0,0,0,938,1012,1952,21,30,54,28,49,80,1482,1651,3136,648,763,1409,9893,11074,20967
1014,9037,9592,18625,909,1019,1927,640,639,1275,24,29,50,34,42,80,4,4,7,7,7,14,3,0,3,0,0,5,82,78,159,0,0,0,796,800,1595,72,58,130,47,33,75,1822,1905,3726,1207,727,1934,12060,12226,24285
1015,7173,7788,14958,625,636,1264,471,525,996,23,17,36,94,99,188,0,0,0,7,10,18,0,3,4,10,9,21,0,4,3,0,0,0,606,661,1263,20,31,46,25,37,65,1269,1377,2646,714,731,1446,9157,9889,19050
1016,8028,8230,16256,679,706,1392,360,372,735,84,66,158,32,42,78,8,9,22,8,12,14,3,5,12,5,3,8,12,12,25,0,0,0,522,522,1048,65,60,126,19,10,23,1283,1308,2585,745,707,1452,10056,10241,20295
1017,5533,6081,11614,386,436,823,394,378,772,16,13,28,41,49,91,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,446,447,895,19,15,38,27,15,45,884,915,1793,1383,720,2104,7800,7710,15517
1018,10765,11652,22415,524,605,1125,1101,1194,2291,62,61,122,136,114,247,13,8,23,5,8,19,18,7,24,11,8,20,11,9,17,0,0,0,1356,1414,2772,71,60,130,56,55,107,2006,2137,4141,965,1026,1994,13736,14812,28550
1019,4729,4937,9668,306,303,601,332,377,709,4,0,3,23,22,48,0,0,5,0,0,3,3,6,6,0,0,0,0,3,10,0,0,0,373,413,784,13,17,30,10,3,11,695,732,1428,752,438,1185,6167,6106,12278
