SUA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
1030,8198,8861,17055,2430,1523,3949,978,1877,2855,294,334,624,233,181,417,3934,3909,7843,3748,4451,8197,5.9,4.7,5.3,47.9,44.1,46,45.1,42.1,43.5,228,267,494,93,214,303,582,999,1579,598,935,1536,2595,1364,3962,93,194,287,166,276,444,2847,1835,4681,7712,8220,15931,1297,1393,2691,4946,5221,10170,3657,4035,7694
1031,1932765,2007586,3940349,767869,559861,1327727,260927,387026,647956,140725,137537,278271,66572,54677,121249,1236097,1139108,2375205,590559,762574,1353133,5.4,4.8,5.1,64,56.7,60.3,60.5,54,57.2,193773,195006,388780,31651,53369,85024,411265,480232,891500,166202,214485,380690,289005,147109,436115,12222,22463,34692,29581,46196,75774,330807,215770,546576,1871579,1923991,3795566,368167,372280,740450,1185200,1234516,2419721,931169,945551,1876723
1032,16589,18241,34829,7329,5011,12338,2017,4049,6069,485,627,1109,552,491,1046,10382,10183,20564,4949,6683,11628,5.3,4.9,5.1,62.6,55.8,59,59.3,53.1,56.1,432,558,991,193,424,615,1381,2413,3789,972,1704,2681,4273,2822,7090,194,361,559,232,513,750,4703,3704,8400,15844,16910,32755,3536,3698,7231,9605,10302,19911,8503,9167,17677
1033,10275,11526,21798,2983,1972,4955,1295,2358,3655,310,333,639,448,363,807,5036,5018,10056,4368,5586,9959,8.8,7.2,8,49,43.6,46.1,44.7,40.4,42.4,150,205,359,78,164,243,530,967,1494,497,1021,1522,2693,1819,4515,151,236,383,153,304,461,2998,2364,5365,9753,10649,20399,1649,1847,3494,6457,7048,13506,4328,4819,9148
1034,6862,7552,14419,1974,1087,3057,1032,1883,2917,222,313,527,165,130,289,3394,3401,6801,3079,3710,6789,4.8,3.8,4.3,49.4,45.1,47.1,47.1,43.4,45.1,222,247,470,104,209,309,636,969,1609,447,842,1290,2203,997,3202,58,144,199,167,246,410,2426,1386,3812,6450,6990,13446,1174,1188,2362,4189,4516,8705,3062,3362,6427
1035,21607,23983,45591,10365,6675,17035,2891,6091,8981,629,875,1505,715,571,1281,14598,14211,28811,5823,8500,14328,4.9,4,4.5,67.6,59.3,63.2,64.3,56.9,60.4,839,936,1776,336,666,995,2292,3873,6160,1399,2342,3741,5841,3392,9232,257,436,698,307,602,909,6403,4434,10834,21190,22638,43829,4362,4998,9358,12952,13785,26734,11007,12324,23329
1036,121878,129047,250927,47332,28131,75471,16499,30507,47006,7211,9273,16480,3842,2981,6830,74883,70893,145784,41130,52080,93205,5.1,4.2,4.7,61.4,54.9,58.1,58.3,52.6,55.4,6675,7193,13869,1760,3678,5439,15285,20800,36089,9924,13931,23859,33483,17270,50756,1105,2227,3331,1980,3928,5905,36558,23430,59990,121767,125828,247592,19613,20816,40431,83174,86044,169212,50630,53480,104113
2000,298872,299168,598038,116145,59544,175684,37025,78133,115158,12364,14590,26953,6728,5122,11847,172260,157388,329643,102181,118894,221080,3.9,3.3,3.6,57.6,52.6,55.1,55.4,50.9,53.1,7058,9731,16779,4236,10107,14349,23682,40781,64465,21003,33507,54511,82585,38978,121562,2566,4854,7420,3913,5235,9146,89068,49066,138128,284788,284101,568884,39334,40710,80045,199120,195952,395075,110275,114827,225106
2001,9369,10187,19557,4765,2685,7452,1115,2642,3753,381,505,888,243,259,510,6513,6101,12607,2470,3651,6123,3.8,4.3,4,69.5,59.8,64.4,66.8,57.3,61.9,283,400,685,118,356,474,871,1425,2297,815,1253,2073,2798,1450,4253,82,165,240,115,195,309,3000,1807,4803,9745,10220,19966,1671,1741,3413,6076,6239,12317,4639,5069,9704
2002,6081,6900,12979,2203,1236,3443,800,1752,2552,227,253,477,175,119,297,3406,3360,6770,2209,2996,5204,5.2,3.6,4.4,56.1,48.7,52.2,53.2,47,49.9,113,166,280,71,193,265,409,747,1161,429,756,1184,1648,967,2618,53,120,180,84,104,184,1785,1192,2984,5860,6470,12327,959,1057,2016,3665,4088,7750,2756,3061,5813
