SUA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
1017,23,142,50,121,9,380,30,36,191,166,401,39,874,0,0,3,4,15,0,23,0,0,10,18,111,0,136,0,0,7,10,66,26,113,81,83,533,448,1873,174,3191
1018,130,525,140,210,11,1212,226,137,803,429,788,55,2436,6,0,34,11,34,0,85,13,3,56,59,262,6,403,14,4,42,33,118,39,258,628,380,2256,1245,3717,241,8474
1019,27,105,37,69,5,282,24,37,148,88,192,23,499,0,0,8,4,25,4,39,0,0,16,11,100,4,135,0,0,8,14,52,17,94,130,106,533,445,1675,118,3001
1020,31,167,52,99,5,405,42,33,196,170,339,24,797,0,0,7,0,23,3,42,0,0,19,24,184,8,228,0,0,18,21,94,24,159,193,125,782,821,2568,144,4633
1021,62,366,107,159,15,894,126,73,492,343,634,56,1720,6,0,17,23,35,3,84,21,10,61,49,295,7,438,13,4,38,42,154,43,295,534,229,1572,1274,3988,250,7843
1022,46,214,41,75,11,443,58,35,185,102,179,20,579,0,0,12,7,19,0,43,4,0,15,23,146,3,195,3,0,15,8,53,18,97,216,120,877,579,2127,147,4064
1023,27,128,32,65,6,282,18,17,101,83,176,17,414,0,0,3,0,11,0,24,0,0,8,17,136,5,164,3,0,9,9,63,24,110,107,80,471,442,2072,128,3296
1024,76,323,122,154,15,798,99,55,347,269,429,54,1246,10,5,25,18,46,3,107,10,7,30,67,220,12,345,12,3,44,40,130,28,260,487,239,1626,1413,3486,271,7520
1025,1461,8616,2196,3049,249,19306,4223,1870,13279,6198,10860,938,37378,88,55,496,287,668,45,1630,223,100,774,1022,4727,134,6975,280,83,936,652,2447,689,5083,14302,5936,46109,25986,70653,4604,167587
1026,121,354,132,237,14,1000,215,130,685,434,879,75,2425,4,3,32,10,61,0,111,15,5,32,84,350,10,495,11,5,48,43,184,56,353,665,382,2165,1738,5353,383,10687
