SUA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
5009,40037,42013,23409,14891,19747,10527,6190,156815,12073,11323,6342,4163,5276,2181,1049,42405,12853,12045,6364,4096,4813,1916,991,43071,42906,41150,24886,16254,19378,7102,3306,154972,451,464,274,163,79,30,16,1472,108325,106994,61273,39562,49287,21743,11544,398734,2608,4615,3493,2639,3799,1914,1361,20424,2045,3035,2093,1503,1788,644,353,11457,1352,2281,1565,1210,1470,530,335,8749,7731,11556,7880,5821,6599,1820,1013,42423,499,554,334,175,125,42,21,1751,14236,22045,15364,11350,13785,4942,3083,84810,122562,129039,76644,50905,63076,26690,14628,483539
5010,187,200,98,66,61,3,4,622,94,54,30,9,10,0,0,198,120,108,43,31,15,0,0,323,666,573,303,156,116,8,0,1823,12,11,0,3,0,0,0,31,1080,957,474,264,207,9,3,2996,8,8,5,10,15,0,0,49,9,17,9,4,10,0,0,43,8,17,0,3,4,0,0,31,90,145,82,52,44,8,0,416,11,7,10,0,0,0,0,31,129,186,102,70,67,14,0,579,1209,1147,585,332,273,21,4,3571
6000,224,229,149,89,130,26,11,863,297,374,189,143,184,36,20,1245,391,406,243,131,161,41,9,1377,5062,5264,3406,2333,2527,549,151,19293,36,49,39,23,9,4,0,156,6019,6318,4027,2719,3012,658,192,22943,6,21,20,18,25,13,7,120,62,96,79,81,65,17,5,409,30,72,46,36,42,14,9,253,1011,1537,1055,780,817,150,43,5399,45,54,47,29,20,0,0,203,1160,1780,1247,945,979,198,68,6379,7178,8104,5270,3666,3991,857,260,29322
6001,61,83,38,24,33,8,4,252,34,49,20,20,23,7,0,156,38,45,23,23,22,4,0,152,920,900,600,362,443,106,23,3343,7,4,0,0,0,0,0,10,1062,1083,681,426,521,126,23,3919,4,0,3,0,5,0,0,20,11,20,11,8,17,0,0,66,5,9,14,11,8,3,5,55,324,380,265,213,220,35,5,1443,16,10,16,11,0,0,0,54,360,427,317,246,250,42,11,1643,1419,1505,996,664,772,167,41,5559
6002,101,61,30,24,27,5,5,250,44,48,30,20,36,6,3,183,76,48,30,27,19,3,5,204,936,942,615,453,492,126,33,3589,5,4,5,3,0,0,0,22,1153,1099,710,521,573,143,42,4249,6,6,0,0,0,0,0,22,14,21,25,15,11,3,5,93,6,11,13,9,12,0,0,59,321,471,325,223,247,54,12,1664,17,23,14,7,6,0,0,61,362,536,382,252,284,61,22,1906,1515,1638,1087,782,863,207,60,6151
6003,1951,1405,674,376,542,206,125,5274,580,663,424,294,359,149,69,2536,629,695,411,236,278,119,49,2416,6095,6466,4066,2674,3203,1118,439,24054,26,23,28,15,13,0,0,106,9280,9251,5604,3581,4399,1592,681,34383,113,165,125,92,119,50,39,706,124,198,153,105,169,52,26,829,48,112,80,54,93,41,24,452,1505,2280,1589,1174,1322,410,174,8460,65,75,54,28,20,5,0,252,1862,2829,2007,1456,1724,565,265,10704,11141,12076,7606,5036,6122,2153,950,45091
6004,615,554,261,145,201,95,35,1897,181,207,155,89,125,36,14,802,194,224,144,80,113,28,8,780,2690,2763,1698,1153,1412,441,113,10271,7,5,10,0,0,0,0,29,3684,3763,2263,1457,1843,599,173,13784,42,63,51,40,62,23,9,291,38,77,50,34,72,28,3,298,24,43,43,40,39,16,9,217,725,1042,709,501,574,129,48,3728,37,24,14,15,7,3,0,106,868,1249,870,628,756,200,69,4643,4544,5011,3135,2091,2601,801,238,18425
6005,14,20,11,5,9,5,0,61,24,34,21,20,12,3,0,109,27,17,18,20,18,0,0,110,445,542,279,172,257,43,19,1761,0,7,8,3,0,0,0,18,508,610,339,222,304,51,21,2056,0,4,0,3,3,0,0,14,5,3,5,3,8,3,4,31,4,5,3,4,4,0,0,20,101,159,118,81,119,18,7,601,4,7,7,0,0,0,0,15,108,176,126,95,136,26,7,682,621,789,463,319,443,74,29,2742
7000,233,195,80,50,74,15,8,650,108,89,51,24,22,0,0,298,198,180,86,44,38,5,0,554,3250,3557,2161,1187,908,94,24,11175,47,38,31,17,6,0,0,136,3832,4058,2406,1320,1049,110,28,12812,11,19,11,9,7,0,4,65,10,23,14,14,5,0,0,65,9,24,19,22,13,4,0,83,975,1387,896,579,340,35,6,4210,43,30,23,14,4,0,0,121,1053,1478,974,630,365,41,8,4545,4886,5534,3378,1955,1419,151,39,17355
7001,493,439,214,94,121,24,8,1383,102,106,47,29,29,3,0,314,140,94,56,25,27,4,3,345,681,649,385,244,274,41,3,2274,8,5,5,0,0,0,0,13,1410,1288,709,385,451,71,13,4336,30,44,35,27,20,8,0,162,13,27,18,12,16,0,0,85,16,21,11,10,11,0,0,61,223,282,210,133,129,12,4,990,19,8,4,3,0,0,0,36,295,388,277,185,174,20,4,1334,1704,1673,980,571,622,90,19,5670
7002,2207,1967,990,613,830,312,140,7054,427,468,271,156,196,34,18,1564,777,663,340,195,245,46,7,2277,3515,3127,1746,1164,1171,190,91,10994,23,31,12,7,6,3,0,83,6951,6255,3356,2145,2439,578,256,21974,140,206,141,119,141,53,37,832,106,143,85,52,66,20,5,484,85,148,107,64,85,10,10,508,684,1109,677,509,465,60,25,3538,76,66,26,18,12,0,0,201,1097,1667,1039,766,777,145,78,5556,8043,7924,4398,2907,3212,723,330,27536
8000,3,0,0,0,0,0,0,7,4,7,0,0,4,0,0,15,0,6,5,3,3,0,0,13,42,55,30,23,24,10,5,185,0,0,0,0,0,0,0,0,48,66,39,25,28,8,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,12,4,9,0,0,33,6,0,0,0,0,0,0,3,10,8,12,7,3,0,0,36,59,70,48,32,39,11,0,260
8001,7752,7809,3906,2214,2686,1486,704,26550,1960,2051,1230,813,1050,457,219,7788,2407,2376,1376,812,1023,428,210,8628,12701,13114,7613,4717,6074,2223,1012,47452,68,63,42,20,9,11,3,204,24898,25408,14165,8576,10847,4593,2145,90627,453,782,524,336,561,292,172,3116,347,519,329,250,363,115,50,1976,150,317,249,183,248,101,63,1301,1655,2781,1923,1321,1766,565,274,10294,111,83,36,28,18,5,3,281,2716,4483,3059,2125,2952,1082,555,16970,27607,29893,17224,10699,13800,5677,2703,107600
9000,20,41,18,9,6,0,0,95,29,40,23,8,11,0,0,111,35,33,18,20,18,0,0,125,100,104,58,34,26,0,0,314,4,0,3,0,0,0,0,9,185,213,120,70,60,3,0,654,3,6,3,3,4,0,0,32,0,4,0,3,0,0,0,12,0,0,0,0,3,0,0,12,13,20,17,10,8,0,0,64,0,8,4,3,0,0,0,16,22,35,33,24,22,0,0,134,202,250,146,94,87,5,3,788
