RA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
RA23,..,0,39,75,74,152,177,88,20,631,..,6,23,21,19,34,7,4,0,114,..,0,0,3,3,3,7,0,0,24,223,..,..,..,..,..,..,..,..,223,..,40,..,..,..,..,..,..,..,40,..,36,22,10,13,4,0,0,0,81,..,3,5,0,0,3,3,3,3,20,..,5,0,0,0,0,0,0,0,8,..,5,0,0,5,14,7,0,0,32,..,9,20,25,34,81,78,38,25,305,7,7,0,6,5,12,12,8,5,57,232,103,117,148,154,301,291,144,48,1546,..,0,50,91,90,178,143,69,14,634,..,7,28,26,21,25,12,4,0,118,..,0,7,16,10,7,11,4,3,67,207,..,..,..,..,..,..,..,..,207,..,34,..,..,..,..,..,..,..,34,..,11,11,0,4,3,0,0,0,29,..,4,0,0,0,6,0,4,0,16,..,0,6,3,0,0,0,0,0,6
RA25,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA29,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,159,170,305,253,223,140,108,22,0,1385,159,170,305,253,223,140,108,22,0,1385,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA30,..,1978,56872,122611,120853,103822,87586,48912,10604,553247,..,15350,57998,33789,23725,15008,7467,2443,353,156136,..,393,2244,6517,9613,5615,2651,1410,871,29302,304218,..,..,..,..,..,..,..,..,304218,..,78106,..,..,..,..,..,..,..,78106,..,58332,31128,11405,7251,3219,550,19,0,111910,..,9935,8637,3693,3182,3753,3479,1971,918,35566,..,7496,9973,3801,2826,1869,1015,323,71,27375,..,18355,26168,8034,6385,6232,4421,1746,329,71670,..,5677,18912,19030,21063,22028,19620,11980,5047,123356,3241,4973,4996,3252,2626,2233,1788,752,200,24058,307467,200594,216924,212134,197528,163766,128575,69561,18398,1514950,..,3939,78083,134975,123681,101597,80224,35224,4846,562565,..,22401,61547,32180,22496,13319,5591,1526,171,159226,..,3301,17297,31051,34836,17034,7877,5344,3490,120233,287604,..,..,..,..,..,..,..,..,287604,..,80655,..,..,..,..,..,..,..,80655,..,39623,19269,5646,4242,2859,724,32,0,72398,..,8855,6171,2151,3146,7167,8578,5928,3145,45145,..,7423,7020,2124,1502,1293,662,230,54,20313
RA31,..,724,14004,26265,30802,35648,36818,20512,4039,168817,..,4620,11960,7560,6990,5951,3437,1182,159,41852,..,165,833,2121,2609,1637,837,541,341,9087,86562,..,..,..,..,..,..,..,..,86562,..,17465,..,..,..,..,..,..,..,17465,..,18392,7676,3729,2808,1318,183,4,0,34103,..,2487,1606,823,994,1336,1284,772,342,9634,..,1859,1844,946,881,700,421,159,39,6843,..,2283,3163,1426,1738,2218,1936,738,102,13604,..,1726,4426,4444,6530,9613,9671,5764,2068,44240,1226,1737,1565,1061,1101,1174,1075,459,97,9499,87783,51453,47078,48366,54444,59590,55659,30134,7190,441706,..,1434,19199,30877,34423,38399,34086,14843,1814,175079,..,6723,12920,8083,7309,5674,2772,770,78,44328,..,1473,6643,9396,8812,4211,2405,1932,1203,36070,82161,..,..,..,..,..,..,..,..,82161,..,18327,..,..,..,..,..,..,..,18327,..,11557,4116,1532,1398,993,227,12,0,19827,..,2041,885,408,939,2066,2410,1823,939,11509,..,1923,1185,475,465,426,286,98,23,4883
RA32,..,370,9061,18035,20744,21845,19800,10087,1939,101889,..,3635,10224,6437,5578,4317,2203,660,89,33130,..,102,595,1491,1923,1235,602,336,173,6464,60125,..,..,..,..,..,..,..,..,60125,..,11504,..,..,..,..,..,..,..,11504,..,11431,4778,2184,1525,728,111,7,0,20750,..,1943,1243,601,673,948,794,428,209,6850,..,1155,1277,597,562,398,269,79,19,4355,..,2238,3155,1277,1363,1611,1264,463,63,11440,..,1621,3886,3751,5444,7668,7016,3513,1069,33969,1026,1212,1087,811,872,888,747,259,68,6967,61150,35206,35310,35188,38691,39644,32804,15832,3634,297458,..,720,12877,21647,22611,22684,17451,7087,807,105871,..,5357,11128,6809,5638,3933,1604,409,31,34905,..,943,4320,6524,6072,2702,1435,1081,623,23695,56376,..,..,..,..,..,..,..,..,56376,..,11933,..,..,..,..,..,..,..,11933,..,6917,2413,889,698,548,116,0,0,11587,..,1643,700,309,645,1316,1360,949,502,7435,..,1152,838,286,265,231,116,47,16,2960
RA33,..,50,1032,1751,1883,2113,1646,773,132,9378,..,404,1159,688,549,432,232,60,3,3524,..,16,49,109,165,138,60,40,19,605,6617,..,..,..,..,..,..,..,..,6617,..,805,..,..,..,..,..,..,..,805,..,1038,483,169,153,59,8,0,0,1920,..,265,139,92,108,120,84,49,14,863,..,90,98,46,56,43,38,11,0,383,..,194,173,87,99,144,86,28,4,826,..,262,511,438,688,1023,859,425,84,4293,132,179,156,108,124,137,116,48,15,1000,6747,3299,3810,3479,3831,4213,3118,1437,271,30205,..,71,1443,1974,2037,2084,1456,513,61,9638,..,622,1267,728,552,384,166,36,8,3758,..,140,542,516,450,215,133,92,49,2134,6165,..,..,..,..,..,..,..,..,6165,..,736,..,..,..,..,..,..,..,736,..,673,190,67,58,38,16,0,0,1036,..,211,69,43,80,153,136,88,38,819,..,94,55,22,22,14,9,3,0,224
RA34,..,29,585,941,1062,1287,944,398,71,5319,..,369,1027,686,584,375,144,34,0,3230,..,14,57,95,123,86,53,16,12,459,5147,..,..,..,..,..,..,..,..,5147,..,449,..,..,..,..,..,..,..,449,..,955,426,158,96,37,6,0,0,1672,..,347,201,77,120,132,89,35,13,1005,..,105,90,33,34,26,14,3,4,307,..,125,124,37,57,80,59,14,0,497,..,141,300,284,437,591,540,274,54,2629,171,192,151,93,107,105,77,31,0,937,5317,2728,2961,2402,2622,2727,1925,816,156,21644,..,51,766,1099,1202,1323,743,265,36,5476,..,527,1109,734,562,293,111,17,0,3360,..,179,509,479,380,215,110,71,25,1973,4896,..,..,..,..,..,..,..,..,4896,..,431,..,..,..,..,..,..,..,431,..,667,238,78,54,24,4,0,0,1062,..,277,111,65,96,181,112,66,22,925,..,106,58,17,20,8,4,0,0,218
RA35,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,5,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA39,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,302,284,461,357,268,293,277,82,5,2333,302,284,461,357,268,293,277,82,5,2333,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA40,..,693,24273,48094,45504,44136,39982,23233,6156,232069,..,4227,19519,11390,8712,6461,3314,1003,158,54792,..,145,812,2609,4111,2876,1195,598,439,12781,112781,..,..,..,..,..,..,..,..,112781,..,32966,..,..,..,..,..,..,..,32966,..,23942,16307,5412,3636,1794,238,3,0,51326,..,3909,3628,1356,1176,1416,1167,551,335,13546,..,2577,3341,1148,713,562,269,52,13,8668,..,6809,10167,3095,2340,2239,1488,473,90,26690,..,2269,8490,8832,11031,12752,10877,6203,3236,63685,1433,1970,2192,1411,1161,899,632,284,97,10082,114215,79503,88727,83345,78383,73132,59153,32398,10534,619387,..,1677,33387,51865,46226,43909,37556,17838,2782,235240,..,6368,20808,11255,8443,5912,2764,669,80,56308,..,1054,6201,12067,14190,8339,3675,2524,1737,49795,106796,..,..,..,..,..,..,..,..,106796,..,33913,..,..,..,..,..,..,..,33913,..,16176,9966,2371,1660,1218,281,16,0,31685,..,3476,2415,683,1036,2632,2747,1736,1061,15796,..,2437,2406,583,335,247,126,30,13,6177
RA41,..,87,2130,4476,5877,7162,7896,4653,963,33247,..,461,1839,1384,1432,1376,811,244,29,7585,..,19,102,285,510,333,152,64,61,1524,13781,..,..,..,..,..,..,..,..,13781,..,3278,..,..,..,..,..,..,..,3278,..,3350,1565,589,408,187,31,4,0,6130,..,307,175,87,134,193,164,113,50,1225,..,176,175,105,94,93,45,7,6,701,..,185,351,200,215,321,238,118,21,1649,..,203,640,771,1376,2105,2013,1164,475,8746,199,309,269,212,198,223,201,81,25,1703,13981,8378,7248,8109,10236,11993,11551,6443,1622,79562,..,161,2945,5289,6460,7620,7570,3441,475,33967,..,763,2016,1440,1549,1304,675,149,22,7912,..,121,741,1259,1392,721,334,263,189,5019,12960,..,..,..,..,..,..,..,..,12960,..,3610,..,..,..,..,..,..,..,3610,..,2130,886,235,190,140,47,6,0,3628,..,230,116,42,89,237,281,250,132,1373,..,220,143,67,47,49,31,14,5,579
RA42,..,105,2465,4607,5720,7453,7919,4390,949,33598,..,873,2701,1516,1458,1356,713,220,24,8860,..,35,177,401,638,359,174,122,70,1972,15973,..,..,..,..,..,..,..,..,15973,..,2978,..,..,..,..,..,..,..,2978,..,3771,1483,634,522,238,35,3,0,6679,..,478,288,148,151,235,195,70,38,1602,..,230,238,109,105,89,37,6,5,813,..,439,602,297,333,351,293,69,28,2420,..,530,1375,1242,2073,3134,2782,1415,621,13174,280,397,325,286,261,291,324,129,31,2312,16247,9833,9653,9238,11259,13495,12471,6421,1766,90390,..,228,3285,5421,6350,7901,7343,3304,435,34257,..,1310,2829,1610,1512,1247,571,146,15,9226,..,292,1287,1675,1651,761,397,296,189,6544,15171,..,..,..,..,..,..,..,..,15171,..,3083,..,..,..,..,..,..,..,3083,..,2039,642,246,190,156,35,0,0,3309,..,336,135,61,139,265,256,201,119,1513,..,193,149,40,35,32,22,7,3,479
RA43,..,17,628,1134,1242,1506,1530,898,196,7148,..,197,610,394,333,288,188,36,3,2050,..,0,33,64,103,61,35,17,19,337,3690,..,..,..,..,..,..,..,..,3690,..,579,..,..,..,..,..,..,..,579,..,579,224,111,69,41,4,0,0,1026,..,101,68,28,21,27,26,18,3,291,..,59,50,20,21,12,3,0,4,172,..,102,147,70,60,91,33,17,0,519,..,134,298,275,428,693,558,314,119,2823,80,90,84,66,87,107,99,36,10,663,3772,1854,2142,2161,2362,2836,2483,1333,361,19300,..,41,854,1302,1362,1582,1408,655,95,7303,..,290,678,390,341,297,127,19,5,2152,..,51,206,267,284,138,59,49,29,1097,3492,..,..,..,..,..,..,..,..,3492,..,544,..,..,..,..,..,..,..,544,..,337,107,49,34,22,4,0,0,547,..,54,24,10,19,33,40,26,19,225,..,42,18,10,9,7,0,0,0,95
RA44,..,47,203,335,314,354,354,154,38,1794,..,57,216,120,152,118,42,10,0,720,..,0,11,33,34,20,17,8,4,129,1120,..,..,..,..,..,..,..,..,1120,..,124,..,..,..,..,..,..,..,124,..,204,86,31,25,9,0,0,0,364,..,115,62,36,32,46,14,6,5,321,..,8,16,0,5,12,0,0,0,46,..,24,30,11,18,30,15,8,3,147,..,47,84,78,147,267,214,119,25,989,38,30,41,26,24,42,27,16,0,248,1154,668,755,673,752,898,697,328,75,6000,..,49,287,347,346,367,307,110,20,1824,..,94,228,130,147,105,33,9,0,750,..,34,84,95,91,54,27,15,0,388,1180,..,..,..,..,..,..,..,..,1180,..,144,..,..,..,..,..,..,..,144,..,135,57,23,13,7,0,0,0,237,..,77,46,30,37,38,21,8,4,270,..,13,3,0,4,0,0,0,0,34
RA45,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA49,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,82,85,131,109,100,83,53,11,3,669,82,85,131,109,100,83,53,11,3,669,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA50,..,1012,36169,80628,76077,67408,56866,30639,7458,356252,..,6671,31761,19070,12800,8832,4321,1321,223,84998,..,179,1121,3481,5443,3587,1621,758,468,16664,193778,..,..,..,..,..,..,..,..,193778,..,51278,..,..,..,..,..,..,..,51278,..,37005,21456,7041,4249,1840,333,3,0,71933,..,6075,5474,2048,1653,1927,1578,883,457,20090,..,3083,4620,1851,1148,713,363,129,20,11922,..,8069,13936,4599,3213,2852,1924,702,151,35442,..,3691,14086,14115,14066,15581,13768,7970,3479,86762,2173,2640,2832,2077,1541,1229,999,504,151,14143,195947,119693,131456,134916,120186,103974,81772,42902,12412,943266,..,2409,54277,90858,79608,67344,51777,22291,3538,372092,..,10734,36237,19086,12859,7943,3299,856,106,91118,..,1594,9633,17457,19386,10767,4687,2983,2003,68510,183491,..,..,..,..,..,..,..,..,183491,..,52749,..,..,..,..,..,..,..,52749,..,25928,13028,3179,2054,1479,377,13,0,46055,..,5530,3550,1207,1631,3808,4538,2805,1690,24751,..,2892,2952,888,536,429,193,56,22,7966
RA51,..,100,2676,6371,7670,8258,7968,4187,853,38081,..,842,2704,2003,1787,1500,831,215,31,9915,..,28,128,461,645,324,176,88,56,1891,20695,..,..,..,..,..,..,..,..,20695,..,3918,..,..,..,..,..,..,..,3918,..,4225,1546,676,448,195,32,0,0,7120,..,479,307,148,141,198,230,95,47,1640,..,301,376,176,134,97,61,21,9,1168,..,391,689,324,347,400,299,95,17,2562,..,340,1010,1123,1608,2058,2088,1067,411,9705,346,394,365,308,272,315,294,115,29,2437,21039,11010,9798,11585,13044,13347,11976,5879,1440,99123,..,201,4104,7978,8662,8799,7374,2994,417,40529,..,1258,3191,2230,2012,1472,597,150,11,10920,..,214,1175,2114,2007,834,428,303,182,7249,19246,..,..,..,..,..,..,..,..,19246,..,4147,..,..,..,..,..,..,..,4147,..,2778,835,293,229,152,47,0,0,4332,..,341,160,68,128,344,391,288,186,1899,..,338,255,106,75,65,38,14,5,910
RA52,..,98,2343,4581,5462,6354,5837,3138,737,28550,..,888,2473,1592,1420,1306,653,181,33,8543,..,26,119,339,486,316,149,95,51,1579,15650,..,..,..,..,..,..,..,..,15650,..,2440,..,..,..,..,..,..,..,2440,..,3106,1143,533,385,176,22,0,0,5372,..,476,287,152,138,217,186,91,49,1589,..,236,240,117,102,84,43,13,0,822,..,428,595,273,258,304,204,91,14,2160,..,534,1081,1033,1624,2287,2114,1071,402,10152,293,350,296,245,311,320,352,147,39,2346,15940,8575,8565,8861,10191,11356,9570,4816,1333,79207,..,222,3293,5586,6050,6596,5338,2299,333,29721,..,1361,2675,1728,1562,1179,478,130,12,9131,..,201,940,1482,1330,665,324,256,149,5354,14801,..,..,..,..,..,..,..,..,14801,..,2607,..,..,..,..,..,..,..,2607,..,1808,586,212,174,125,33,0,0,2948,..,393,137,68,152,247,291,198,107,1589,..,238,137,50,40,42,22,10,0,552
RA53,..,43,1369,2968,2546,2316,1543,676,147,11606,..,414,1649,1193,841,545,206,49,3,4893,..,22,57,163,172,125,50,22,16,620,8432,..,..,..,..,..,..,..,..,8432,..,950,..,..,..,..,..,..,..,950,..,1193,425,156,124,39,3,0,0,1931,..,258,145,87,86,95,65,40,9,777,..,111,143,66,48,40,12,3,0,432,..,154,328,169,151,148,79,14,3,1051,..,299,680,632,820,1018,668,315,92,4512,180,186,187,146,160,168,110,33,16,1196,8618,3627,4978,5580,4939,4493,2747,1150,284,36410,..,76,1992,3221,2572,2157,1296,483,71,11871,..,641,1908,1150,777,481,130,33,5,5119,..,89,408,601,439,201,110,66,26,1938,7984,..,..,..,..,..,..,..,..,7984,..,918,..,..,..,..,..,..,..,918,..,682,168,70,43,22,5,0,0,994,..,229,88,40,80,135,109,57,26,756,..,98,134,31,35,17,0,4,6,331
RA54,..,106,768,1219,1114,1035,639,257,34,5172,..,269,941,647,477,377,153,42,0,2914,..,10,59,119,144,95,48,18,10,506,4930,..,..,..,..,..,..,..,..,4930,..,404,..,..,..,..,..,..,..,404,..,784,294,155,76,26,0,0,0,1339,..,408,212,152,122,98,59,28,12,1091,..,58,73,39,32,28,20,3,0,249,..,87,186,81,83,96,47,14,0,595,..,117,376,366,524,592,494,162,26,2659,128,110,133,134,127,110,61,14,0,823,5061,2354,3039,2908,2698,2459,1532,547,82,20678,..,142,1034,1360,1100,974,494,169,15,5291,..,420,1048,672,503,306,100,21,8,3076,..,134,417,445,354,182,111,56,20,1720,4636,..,..,..,..,..,..,..,..,4636,..,409,..,..,..,..,..,..,..,409,..,627,152,71,46,23,0,0,0,920,..,293,138,104,139,178,108,45,21,1030,..,61,51,19,16,18,9,6,0,180
RA55,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA59,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,96,148,195,182,126,107,64,21,8,953,96,148,195,182,126,107,64,21,8,953,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA61,..,207,6541,10277,10224,10702,10299,5837,1347,55434,..,1379,5873,3601,2738,2045,1041,340,43,17057,..,47,316,774,1087,727,278,160,94,3482,28411,..,..,..,..,..,..,..,..,28411,..,6923,..,..,..,..,..,..,..,6923,..,6016,3244,1182,868,357,61,0,0,11734,..,869,850,271,246,353,320,159,76,3145,..,811,2058,399,172,129,72,24,10,3676,..,1530,3631,784,502,525,384,150,39,7542,..,515,2044,1927,2503,3257,2869,1735,805,15655,365,575,677,383,333,291,241,113,31,3011,28778,18869,25232,19600,18676,18395,15556,8518,2438,156076,..,475,8364,10937,10890,10890,9449,4442,651,56102,..,2044,6324,3528,2671,1815,823,203,22,17427,..,459,2168,3444,3601,1852,858,619,351,13353,26901,..,..,..,..,..,..,..,..,26901,..,7030,..,..,..,..,..,..,..,7030,..,3916,1743,547,412,296,51,3,0,6970,..,723,497,165,255,591,622,405,234,3491,..,793,1418,270,80,67,46,18,4,2691
