RA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
RA55,0,0,0,39,0,38,0,3,3,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,0,0,0,0,0,0,138,20,155,32,8,34,228,26,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,9,5,11,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,246,29,277
RA59,12,6,22,65,25,86,0,0,0,0,0,0,11,3,11,302,239,536,76,56,134,10,3,13,3,0,3,14,11,23,54,13,72,91,111,201,629,470,1098,4,6,10,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,8,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,4,11,7,15,19,20,44,4,0,7,0,0,5,0,0,0,8,3,10,54,52,108,176,158,334,7,8,17,899,715,1614
RA61,19,11,31,2198,3481,5677,44,49,88,6,10,9,301,338,636,56249,46856,103109,3403,5946,9351,877,20,898,718,76,796,1098,453,1552,476,225,704,3484,3918,7399,68864,61379,130242,0,8,8,0,0,0,0,0,0,17,15,28,0,0,7,5,0,4,26,30,52,3,8,11,0,0,0,175,318,495,122,290,418,64,77,137,373,693,1061,658,554,1215,1052,1274,2326,7,6,15,62,96,158,30,14,45,97,124,215,5672,6745,12419,7081,12067,19150,378,359,737,83148,81948,165093
RA62,3,6,8,340,227,569,11,7,19,0,0,0,44,67,108,30362,26789,57151,1777,2019,3799,777,23,806,257,39,292,141,56,201,341,129,468,1505,1401,2913,35568,30765,66336,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,4,5,3,6,6,11,0,0,0,0,0,0,36,36,72,34,37,65,7,9,17,78,80,159,284,154,438,367,239,607,0,0,0,3,6,11,13,6,21,18,12,35,3560,3882,7446,3835,5636,9471,428,336,761,43779,40880,84657
RA63,0,0,0,4,7,9,0,0,0,0,0,0,0,3,0,1131,850,1978,74,95,172,27,0,24,24,4,33,7,12,20,22,6,27,164,190,355,1460,1165,2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,23,15,6,23,0,0,0,0,0,0,0,0,0,0,0,0,124,136,263,197,228,416,28,16,40,1814,1552,3370
RA64,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,440,346,784,28,32,56,11,0,11,4,0,8,0,0,0,13,0,14,56,46,99,558,423,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,94,89,178,37,60,97,9,3,14,703,585,1288
RA65,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
RA69,0,0,0,7,8,12,0,0,0,0,0,0,0,0,0,95,58,158,10,12,26,3,0,3,0,0,0,0,0,0,3,0,3,7,9,21,135,89,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,19,26,24,26,47,0,0,0,174,133,309
RA72,9,0,6,736,969,1700,15,7,27,5,0,7,133,151,287,26779,23860,50635,1577,2815,4399,377,24,398,729,151,880,765,505,1266,631,234,866,1450,1315,2761,33210,30029,63244,0,5,5,0,0,0,0,0,0,7,9,18,3,0,6,0,0,4,18,16,30,0,0,0,0,0,0,47,49,95,41,98,138,30,28,58,117,172,290,356,234,593,486,422,911,3,0,3,26,39,67,25,12,33,55,49,113,1297,1936,3235,2876,3857,6731,232,175,409,38166,36467,74631
RA73,0,0,0,194,80,270,6,8,10,5,0,6,32,44,69,6897,6374,13271,584,1009,1592,103,7,108,159,40,195,412,299,715,98,51,150,874,918,1795,9355,8825,18185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,3,0,0,4,0,0,0,15,3,16,0,0,4,3,3,8,17,9,28,142,129,270,168,141,307,0,0,0,9,3,13,11,15,28,18,25,40,336,460,803,699,974,1672,129,99,229,10708,10523,21232
RA74,0,7,5,164,107,267,3,0,3,0,0,0,3,0,4,2160,1676,3830,495,595,1089,28,9,43,34,15,43,95,65,156,138,93,238,1501,1932,3434,4615,4496,9109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,6,4,11,4,3,8,14,13,28,78,50,133,97,64,157,0,0,0,8,0,12,5,0,8,12,7,20,214,241,451,262,306,561,163,148,312,5355,5255,10616
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,37,3,40,5,0,5,49,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,56,3,56
