RA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
RA23,1728,1579,3305,54,66,123,193,175,369,72,54,122,53,37,89,131,125,258,172,170,342,167,166,335,339,320,657,324,239,566,159,158,311,63,71,133,1613,1483,3096,113,93,211,26,24,51,0,0,0,0,0,0,26,25,54,1453,1302,2758,110,132,241,1537,1398,2932,43,48,100,1546,1395,2943,23,16,34,173,149,325,48,37,89,5,12,17,15,49,64,400,543,950,293,212,507,331,254,589,153,97,248,139,96,239,6,4,14,1527,1382,2908,203,192,391
RA25,36,6,38,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,16,0,16,3,0,3,10,6,14,4,0,4,0,0,0,0,0,0,35,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,3,9,0,13,5,0,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,72,565
RA29,5170,3915,9089,222,189,414,370,361,730,234,229,459,345,321,671,939,878,1819,1008,730,1736,912,479,1393,644,429,1074,392,224,613,90,58,152,15,19,29,0,0,0,5170,3915,9089,241,206,448,4,3,9,0,0,4,246,214,462,2348,1934,4283,743,649,1390,2445,2041,4485,490,492,977,2541,2153,4693,39,23,63,201,203,407,57,85,140,55,75,133,95,175,267,1215,1231,2452,366,285,652,529,389,919,235,157,395,152,91,240,37,18,51,0,0,0,0,0,0
RA30,1628118,1703021,3331137,99545,93589,193133,222131,210229,432357,104246,100150,204395,111539,112406,223940,235209,246916,482124,227650,241334,468983,211755,224915,436674,176122,191204,367325,139422,155397,294820,76805,88507,165311,23683,38383,62072,1567510,1651705,3219211,60608,51313,111925,39733,41452,81182,2297,2294,4589,2465,2593,5058,44491,46338,90830,1110267,1147173,2257441,439133,479692,918825,1283084,1330565,2613648,258528,291039,549570,1353280,1416867,2770146,29044,27240,56285,208241,197697,405938,77286,79719,157009,38732,47266,85998,57015,93524,150543,787202,861406,1648609,97847,93680,191523,240157,257098,497256,57421,55154,112577,38738,44848,83581,7459,8779,16235,1516761,1599545,3116302,103621,105040,208661
RA31,493146,504663,997806,26815,25337,52153,66532,63208,129745,31037,29000,60040,26108,24933,51039,54517,56068,110592,55532,59020,114549,61935,65562,127493,66894,70886,137784,61475,62347,123830,33236,34973,68209,9055,13324,22375,462868,483271,946137,30276,21394,51665,23807,24063,47866,1512,1432,2947,1838,1841,3674,27151,27330,54484,393575,402692,796269,63982,70806,134787,429531,444819,874354,25618,29564,55188,430261,447146,877404,6773,6487,13262,61334,58464,119805,19659,20537,40195,4551,6642,11200,9358,19975,29338,163321,192047,355368,32933,32701,65635,115713,112983,228688,27630,24441,52068,24316,22008,46329,1946,1977,3921,442969,465789,908760,47174,41567,88745
RA32,346876,341633,688508,19602,18421,38032,47186,44206,91394,21332,20283,41613,20756,19055,39805,43772,44196,87970,42321,44603,86925,45799,46347,92148,46147,45335,91486,37249,34606,71853,18042,17979,36024,4663,6600,11258,324453,326119,650577,22418,15512,37933,20904,21455,42363,3975,4121,8100,4216,4225,8442,29100,29806,58902,262256,257146,519402,48249,54880,103129,281180,280083,561262,27354,31937,59296,290382,290450,580832,4787,4488,9282,42239,39758,81993,13142,13909,27055,3400,5263,8661,7163,14862,22023,119289,138070,257358,23976,22078,46053,71404,64675,136080,16700,13960,30665,14012,12073,26085,1509,1460,2975,299263,306657,605922,65552,49076,114632
RA33,37500,33851,71351,2498,2319,4815,4993,4619,9618,1997,1747,3749,2225,2126,4358,5363,5195,10558,4527,4322,8851,4905,4345,9252,5234,4346,9574,3714,2952,6674,1678,1414,3097,358,459,817,34628,31608,66231,2878,2246,5123,5429,5657,11083,156,127,280,441,442,888,6022,6231,12252,28539,26181,54722,3680,3868,7544,29570,27236,56803,2708,2918,5625,30527,28235,58760,453,430,882,4366,4090,8455,999,903,1901,176,310,487,527,1021,1553,10697,12464,23164,2358,2137,4490,8019,6260,14282,1964,1310,3275,1868,1176,3046,185,105,286,30352,29009,59361,16624,9545,26166
RA34,26748,25733,52481,1964,1856,3819,4017,3806,7823,1630,1517,3147,1811,1838,3652,3865,3915,7783,3115,3253,6369,3362,3229,6589,3464,3192,6658,2277,1885,4165,1016,893,1912,231,333,574,24348,23537,47888,2393,2195,4589,4845,5041,9885,2853,2929,5782,1986,1992,3981,9683,9963,19644,21843,21292,43138,1488,1613,3103,17917,17228,35146,5326,5673,10998,22857,22320,45177,343,376,724,3432,3276,6702,611,636,1246,94,206,299,350,761,1112,7072,8802,15881,1614,1834,3447,5514,4595,10108,1518,954,2471,1611,1166,2780,162,124,285,21765,21883,43643,13829,9373,23201
RA35,149,28,183,0,0,0,0,0,0,0,0,0,4,9,16,37,13,49,55,7,64,42,0,45,3,4,5,3,0,3,0,0,0,0,0,0,108,12,112,45,23,70,0,0,0,0,0,0,0,0,0,0,0,0,27,0,29,19,4,23,27,0,32,18,3,22,25,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,29,0,0,3,18,0,15,0,0,0,0,0,0,0,0,0,3,0,0,303,54,354
RA39,7861,6807,14670,277,229,504,478,457,932,272,291,566,444,493,934,1301,1345,2649,1194,885,2077,1042,887,1929,1297,1170,2468,1253,870,2124,283,160,444,23,25,44,0,0,0,7861,6807,14670,553,471,1025,44,27,72,57,30,84,652,533,1188,4859,4153,9019,1440,1472,2917,5206,4768,9972,551,630,1184,5052,4566,9621,26,37,63,365,357,721,94,120,212,41,70,112,139,233,369,2202,2483,4685,535,494,1026,1513,1272,2785,441,304,752,278,151,428,42,27,64,0,0,0,0,0,0
RA40,658606,685593,1344200,37315,35199,72513,80737,76626,157365,38823,36691,75510,45388,43410,88794,94580,95017,189595,88452,91148,179592,83040,85549,168590,77760,83803,161563,63520,72241,135765,35551,43752,79299,13441,22172,35608,633489,664224,1297709,25113,21375,46491,10836,11134,21974,327,343,670,320,301,622,11489,11778,23272,452380,466281,918661,181301,195435,376741,490226,508626,998854,142034,152158,294193,566623,591760,1158386,10333,9646,19980,77030,73179,150214,30413,30506,60920,18775,20921,39700,24932,36974,61907,304731,332497,637229,87805,82519,170327,72825,76357,149179,23880,24998,48876,20383,24748,45129,5536,7268,12810,620218,647813,1268031,31891,34632,66530
RA41,86964,88342,175307,4163,3982,8144,10500,9880,20380,4923,4796,9716,4145,3800,7952,8073,8164,16241,8992,9408,18405,11210,11646,22857,13132,13633,26765,12720,13027,25754,7104,7190,14290,1998,2813,4816,82032,84244,166281,4934,4096,9025,1733,1734,3465,46,45,92,28,27,56,1807,1797,3609,70165,70587,140750,11534,12782,24319,78704,80364,159066,3157,3630,6788,78770,80505,159282,1034,966,1996,9792,9277,19071,3486,3624,7114,918,1270,2181,1290,2994,4282,28515,34373,62884,15401,14457,29852,14666,13360,28026,5023,4241,9266,3578,3176,6750,225,198,424,79316,81572,160889,5827,5788,11614
RA42,101624,99636,201259,5165,4966,10135,12146,11550,23701,5756,5085,10840,5138,4463,9595,11199,10675,21873,10741,10754,21495,12695,12654,25351,15160,14754,29912,14075,13313,27394,7314,8055,15370,2229,3364,5592,95246,94360,189604,6372,5280,11658,4661,4563,9223,87,91,176,113,125,238,4857,4778,9637,83436,81276,164712,10517,11155,21673,87702,87470,175168,5508,5592,11101,89281,89222,178503,1171,1169,2337,11161,10610,21770,3642,3522,7174,573,979,1553,1303,3106,4408,26418,32966,59385,19161,17276,36434,18526,15415,33944,6619,5303,11924,5679,4913,10593,566,444,1012,90189,90189,180386,11849,9415,21271
RA43,22358,21242,43592,1258,1229,2491,2825,2612,5438,1145,1002,2149,979,895,1874,2534,2490,5027,2580,2449,5028,2845,2699,5550,3332,3119,6454,2881,2686,5567,1523,1429,2957,445,622,1066,20350,19641,39996,2007,1599,3601,817,788,1606,30,15,48,14,6,20,863,807,1674,18409,17440,35845,1943,2120,4068,19523,18910,38434,825,836,1660,19633,18990,38630,262,241,506,2577,2379,4958,706,680,1387,102,151,251,276,641,914,6326,7878,14200,4092,3454,7545,3796,2865,6662,1248,904,2154,954,780,1740,41,21,68,19193,18795,37993,5708,3100,8815
RA44,7163,6607,13768,369,439,805,882,875,1756,403,357,758,393,354,750,966,972,1938,817,783,1601,936,881,1819,1053,874,1932,841,669,1511,398,277,678,106,120,229,6575,6104,12675,590,505,1091,1895,2051,3948,3,9,13,11,15,29,1915,2074,3990,5747,5375,11128,589,587,1172,4834,4326,9163,1559,1668,3229,6216,5751,11973,90,130,221,766,778,1537,173,180,347,26,41,67,83,165,249,1668,2034,3707,1073,884,1956,1289,909,2200,484,333,813,482,376,863,50,41,91,5995,5761,11755,3956,1996,5952
RA45,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
RA49,1873,1506,3377,77,56,140,128,139,262,74,112,186,108,95,206,320,305,627,289,245,534,299,178,478,311,197,513,214,141,359,40,26,64,7,10,11,0,0,0,1873,1506,3377,199,180,376,0,0,0,7,3,6,203,180,384,1248,1010,2262,282,249,530,1230,1034,2261,148,167,314,1267,1065,2335,10,13,25,96,110,200,33,61,92,18,22,39,39,54,94,435,417,850,280,228,509,291,256,543,113,70,185,64,31,95,10,6,21,0,0,0,0,0,0
RA50,1029106,1058569,2087667,65931,62274,128206,137636,130498,268135,62185,59342,121530,66092,64600,130689,147123,153281,300403,149710,153391,303100,133337,136666,270009,114846,121194,236044,89170,98001,187175,47410,54408,101828,15662,24896,40566,968077,1018864,1986947,61019,39697,100726,19273,19584,38860,506,434,938,510,504,1008,20293,20513,40806,613864,624305,1238174,363379,391384,754765,763234,779296,1542535,208812,232246,441060,852642,881093,1733731,19091,17749,36838,130420,123634,254057,47694,47903,95598,25579,28449,54034,32801,52648,85454,483005,529560,1012566,76997,75481,152478,153975,152404,306380,33958,32636,66599,19772,23541,43312,5521,6950,12465,944492,993978,1938474,52042,52197,104245
RA51,116314,115138,231450,6351,5951,12302,15962,14781,30740,6974,6562,13537,5707,4817,10528,12603,12248,24852,14470,14876,29343,15915,16134,32047,15831,16363,32193,13931,13762,27697,6760,6973,13733,1810,2676,4482,105588,108003,213593,10720,7132,17854,3927,3235,7163,55,47,104,97,63,159,4076,3347,7426,85494,84306,169798,22044,23714,45758,98225,100641,198858,6638,7709,14343,97919,100540,198462,1644,1569,3215,14754,13662,28412,4630,4566,9192,844,1092,1935,1554,4196,5753,36795,44756,81553,10967,11215,22180,28331,24305,52636,5603,4582,10187,3007,2529,5537,442,244,683,98821,104437,203258,13211,8978,22187
RA52,93046,91191,184237,5332,5034,10358,12286,11638,23924,5476,5050,10528,4600,4175,8776,10485,10247,20730,10765,11148,21911,12168,12213,24378,13319,13017,26343,11243,10676,21921,5682,5725,11411,1681,2272,3958,85056,85127,170190,7981,6058,14039,5350,5224,10572,75,79,146,101,68,165,5518,5367,10888,68364,66208,134571,15491,16932,32418,77015,76310,153328,6361,6899,13262,77272,76962,154234,1245,1201,2448,10919,10370,21290,3317,3333,6652,588,731,1317,1435,3231,4662,28335,33637,61975,8709,8860,17569,21822,18195,40010,4805,3812,8615,3017,2294,5316,446,384,829,78980,80065,159039,14370,11004,25374
RA53,45432,42002,87426,3345,3112,6456,6635,6359,12989,2359,2048,4404,2271,2004,4280,6525,6881,13402,7038,6663,13702,6343,5574,11917,5758,4755,10505,3385,2853,6236,1405,1313,2719,368,447,815,41786,38954,80745,3637,3047,6686,4819,4801,9619,173,131,300,246,240,483,5237,5176,10411,32008,29269,61278,6809,7212,14022,34661,32220,66881,3841,4198,8041,35496,33043,68536,742,721,1472,5584,5371,10956,1282,1223,2504,229,319,545,717,1626,2345,14232,16144,30375,4079,3543,7618,8581,6163,14744,1776,1277,3056,979,728,1706,153,113,261,36701,35358,72056,18371,11826,30193
RA54,33874,26800,60672,2137,1991,4129,3994,3766,7758,1561,1425,2991,2125,1834,3963,6320,5020,11339,5656,4069,9719,5044,3442,8486,4137,3019,7161,2079,1496,3574,709,577,1286,111,147,258,31573,24871,56448,2294,1929,4227,8591,8721,17312,63,58,121,101,120,226,8761,8898,17659,21580,18476,40056,5041,4058,9100,20306,16555,36859,5961,5827,11783,24087,20371,44454,408,397,807,3245,3019,6267,583,565,1148,120,131,254,470,772,1242,8921,8555,17475,3021,2450,5474,6172,4228,10404,1416,972,2388,1093,807,1894,266,214,476,20865,20619,41485,48663,21134,69797
RA55,455,58,514,0,0,0,0,0,0,7,3,6,25,11,31,99,14,116,157,11,170,103,9,109,55,3,62,14,4,18,0,0,0,0,0,0,455,57,511,3,0,5,7,3,9,0,0,0,0,0,0,7,3,9,131,24,151,132,14,148,206,29,232,60,4,66,189,29,216,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,143,30,174,38,0,38,59,6,61,13,0,16,0,0,0,3,0,3,10,4,15,2846,390,3234
RA59,4639,3416,8055,149,153,300,244,230,473,118,147,261,295,256,562,822,692,1512,926,613,1543,842,468,1313,667,477,1144,444,316,758,118,38,155,14,16,30,0,0,0,4639,3416,8055,786,677,1464,11,0,11,13,5,19,819,683,1495,2708,2061,4775,775,656,1431,2185,1896,4079,243,244,486,2120,1823,3943,22,17,34,163,164,327,38,44,76,26,33,62,63,106,169,997,1029,2024,239,218,457,620,423,1036,143,100,241,80,36,118,10,14,30,0,0,0,0,0,0
RA61,168271,177214,345491,9285,8795,18083,20754,19680,40435,9784,9282,19066,10709,10435,21147,27164,26840,54006,21031,22310,43338,20059,21859,41917,19813,21817,41632,17070,19414,36485,9519,11632,21148,3088,5148,8238,160660,169964,330625,7612,7251,14864,6640,6880,13511,320,345,661,303,336,638,7260,7555,14818,130120,137951,268067,30402,31396,61797,139864,149032,288897,20385,20580,40965,143333,153311,296641,2467,2415,4878,19602,18558,38167,7337,7254,14588,3654,3941,7596,8035,10406,18438,70686,78217,148901,10935,11974,22907,35049,36137,71187,8315,8666,16979,4718,4932,9645,846,888,1727,156364,165413,321777,11037,11086,22124
